id,ancillaryImport,disMacro,elec,energy,equipRef,gas,groupRef,his,hisEnd,hisMode,hisSize,hisStart,kind,navName,point,sensor,siteRef,tz,unit,mod
@p:ubcv:r:2527d64a-2eab7d41 Thunderbird Residence - B Elec Main Meter Energy,✓,$equipRef $navName,✓,✓,@p:ubcv:r:2527d64a-d4c1119b Thunderbird Residence - B Elec Main Meter,"",@p:ubcv:r:2527d64a-7ae0d21d Thunderbird Residence - B Utilities,✓,2020-01-01T00:00:00-08:00 Los_Angeles,consumption,201700,2014-04-01T00:00:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:250acdf9-5fa5b08c Thunderbird Residence - B,Los_Angeles,kWh,2020-04-28T00:03:35.516Z UTC
@p:ubcv:r:252a61df-dfca54e5 Thunderbird Residence - B Gas Main Meter Energy,✓,$equipRef $navName,"",✓,@p:ubcv:r:2527d65e-22ba2c4b Thunderbird Residence - B Gas Main Meter,✓,@p:ubcv:r:2527d64a-7ae0d21d Thunderbird Residence - B Utilities,✓,2020-01-01T00:00:00-08:00 Los_Angeles,consumption,201700,2014-04-01T00:15:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:250acdf9-5fa5b08c Thunderbird Residence - B,Los_Angeles,GJ,2020-04-28T00:03:35.718Z UTC
