id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,curStatus,disMacro,discharge,effective,enable,entering,enum,equipName,equipRef,fan,groupRef,his,hisConvert,hisEnd,hisErr,hisSize,hisStart,hisStatus,hot,jci,kind,lastSynced,leaving,low,navName,noTagMatch,objectId,occ,outside,point,pump,run,scheduleOcc,scheduled,sensor,siteRef,sp,tagTableRef,tags,temp,tlName,tz,unit,water,zachName,mod
@p:ubcv:r:24edab6a-e4844538 Acadia Park HR Unsorted Points JCL-NAE10/Schedule.MUA-01 TOD Schedule,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),SCH3000908,"",✓,JCL-NAE10/Schedule.MUA-01 TOD Schedule,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),unknown,$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2019-08-21T08:45:00-07:00 Los_Angeles,"",198,2019-08-19T12:10:00-07:00 Los_Angeles,"","",✓,Number,"","","",Scheduled Occupancy,"","","","",✓,"","",✓,"","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","","",Los_Angeles,°C,"","",2020-03-12T18:51:41.043Z UTC
@p:ubcv:r:23d50f76-d8a0b1bf Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10 - FEC-05.DHWT1-T,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000511,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-05.DHWT1-T,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",23238,2019-01-13T15:00:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:20.804-07:00 Los_Angeles,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-05.DHWT1-T,✓,AI3000092,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.JCL-NAE10 - FEC-05.DHWT1-T.Trend1,Los_Angeles,°C,"",DHWT1-T,2020-04-09T19:01:58.617Z UTC
@p:ubcv:r:23d50fcb-adc87c5c Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.ZN1 SP,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000783,✓,JCL-NAE10/FCB.Local Application.ZN1 SP,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",68668,2019-01-17T14:40:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:20.987-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.ZN1 SP,✓,AV3000776,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.ZN1 SP.Trend1,Los_Angeles,°C,"",ZN1 SP,2020-04-09T19:01:58.618Z UTC
@p:ubcv:r:23d50f76-50362fa4 Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.SHWP4-S,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000476,✓,JCL-NAE10/FCB.Local Application.SHWP4-S,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-01-11T16:55:05-08:00 Los_Angeles,"",258,2019-02-21T12:32:10-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T14:00:13.347-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.SHWP4-S,✓,BI3000111,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.SHWP4-S.Trend1,Los_Angeles,"","",SHWP4-S,2020-04-08T18:55:36.765Z UTC
@p:ubcv:r:23d50fcb-ae1729ad Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.HW-WM.Trend1,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000785,✓,JCL-NAE10/FCB.Local Application.HW-WM.Trend1,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",40518,2019-08-01T16:20:00-07:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:20.995-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.HW-WM.Trend1,✓,"","","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","",✓,"","",Los_Angeles,_,"","",2020-04-09T19:15:03.605Z UTC
@p:ubcv:r:23d50f76-cc4364a5 Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.HWR-T,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000459,✓,JCL-NAE10/FCB.Local Application.HWR-T,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","",✓,"","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",23238,2019-01-13T15:00:00-08:00 Los_Angeles,ok,✓,✓,Number,2020-05-12T14:00:20.812-07:00 Los_Angeles,"","",Entering Hot Water Temp,"",AI3000127,"","",✓,"","","","",✓,@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"",@p:ubcv:r:23e65d3d-5ed87758 .+(\.|-| |_)HWR\d?-T,"",✓,JCL-NAE10/FCB.Local Application.HWR-T.Trend1,Los_Angeles,°C,✓,HWR-T,2020-04-09T19:01:58.62Z UTC
@p:ubcv:r:23d50f76-103f63c0 Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10 - FEC-07.DA-T,✓,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000044,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-07.DA-T,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",68076,2019-01-18T06:40:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:21.008-07:00 Los_Angeles,"","",Discharge Air Temp,"",AI3000019,"","",✓,"","","","",✓,@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-07.DA-T.Trend1,Los_Angeles,°C,"",MUA-01.DA-T,2020-04-09T19:01:58.621Z UTC
@p:ubcv:r:23d50f76-ee412c1f Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10 - FEC-07.PH-O (NV),"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000050,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-07.PH-O (NV),"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",68076,2019-01-18T06:40:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:21.016-07:00 Los_Angeles,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-07.PH-O (NV),✓,AV3000025,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.JCL-NAE10 - FEC-07.PH-O (NV).Trend1,Los_Angeles,%,"",MUA-01.PH-O (NV),2020-04-09T19:01:58.622Z UTC
@p:ubcv:r:23d50f77-12ce1417 Acadia Park HR Unsorted Points P12 JCL-NAE10/FCB.JCL-NAE10 - FEC-05.P12-S,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000523,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-05.P12-S,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $equipName $bmsName,"","","","","Off,On",P12,@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T13:57:13-07:00 Los_Angeles,"",58849,2019-01-18T05:18:48-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T14:00:21.195-07:00 Los_Angeles,"","",Run Status,"",BI3000079,"","",✓,✓,✓,"","",✓,@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-05.P12-S.Trend1,Los_Angeles,"","",P12-S,2020-05-12T11:03:27.836Z UTC
@p:ubcv:r:23d50f76-31277737 Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.ZN1DP-SP,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000496,✓,JCL-NAE10/FCB.Local Application.ZN1DP-SP,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-01-11T16:55:06-08:00 Los_Angeles,"",10,2019-05-31T14:36:13-07:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:13.501-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.ZN1DP-SP,✓,AV3000171,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.ZN1DP-SP.Trend1,Los_Angeles,kPa,"",ZN1DP-SP,2020-04-09T19:01:58.623Z UTC
