id,ancillaryImport,delta,deltaTempPoint,disMacro,energy,equipRef,gas,groupRef,his,hisEnd,hisFunc,hisMode,hisSize,hisStart,kind,navName,point,sensor,siteRef,temp,tz,unit,utilityPoint,water,mod
@p:ubcv:r:250ad569-40e180f2 Gage Res - Apartments HW Main Meter Water Delta Temp Copy,"",✓,✓,$equipRef $navName,"",@p:ubcv:r:250ad569-7bda540b Gage Res - Apartments HW Main Meter,"",@p:ubcv:r:250ad569-e8a6a13b Gage Res - Apartments Utilities,✓,"",deltaTemp,consumption,"","",Number,Water Delta Temp Copy,✓,"",@p:ubcv:r:250ad569-aaeaf048 Gage Res - Apartments,✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.96Z UTC
@p:ubcv:r:252a61e9-373382cb Gage Res - Apartments Gas Main Meter Energy,✓,"","",$equipRef $navName,✓,@p:ubcv:r:250ecf08-825f2ecc Gage Res - Apartments Gas Main Meter,✓,@p:ubcv:r:250ad569-e8a6a13b Gage Res - Apartments Utilities,✓,2020-01-01T00:00:00-08:00 Los_Angeles,"",consumption,198728,2014-04-01T00:15:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:250ad569-aaeaf048 Gage Res - Apartments,"",Los_Angeles,GJ,"","",2020-04-28T00:03:35.463Z UTC
