id,ancillaryImport,disMacro,elec,energy,equipRef,gas,groupRef,his,hisEnd,hisMode,hisSize,hisStart,kind,navName,point,sensor,siteRef,tz,unit,mod
@p:ubcv:r:252a61dd-03e17025 Spirit Park Apartments Gas Main Meter Energy,✓,$equipRef $navName,"",✓,@p:ubcv:r:250ecf08-3adfb545 Spirit Park Apartments Gas Main Meter,✓,@p:ubcv:r:250ecf07-c8b901d7 Spirit Park Apartments Utilities,✓,2019-06-01T00:00:00-07:00 Los_Angeles,consumption,181152,2014-04-01T00:15:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:24b938ef-32471a71 Spirit Park Apartments,Los_Angeles,GJ,2020-04-28T00:03:35.376Z UTC
@p:ubcv:r:250ecf07-23988123 Spirit Park Apartments Elec Main Meter Energy,✓,$equipRef $navName,✓,✓,@p:ubcv:r:250ecf07-71a73777 Spirit Park Apartments Elec Main Meter,"",@p:ubcv:r:250ecf07-c8b901d7 Spirit Park Apartments Utilities,✓,2020-01-01T00:00:00-08:00 Los_Angeles,consumption,201700,2014-04-01T00:00:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:24b938ef-32471a71 Spirit Park Apartments,Los_Angeles,kWh,2020-04-28T00:03:36.102Z UTC
