,groupRef,typeRef,unit,value
2020-03-16 18:00:00+00:00,weatherRef,UBC Precipitation Intensity,mm,0.000000
2020-03-16 18:00:00+00:00,weatherRef,UBC Pressure,kPa,102.480003
2020-03-16 18:00:00+00:00,weatherRef,UBC Solar Radiation,W/m²,498.000000
2020-03-16 18:00:01+00:00,weatherRef,UBC Running Mean Temp,°C,5.578617
2020-03-16 18:00:01+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640943
2020-03-16 18:06:21+00:00,weatherRef,UBC Running Mean Temp,°C,5.545935
2020-03-16 18:06:21+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630159
2020-03-16 18:06:49+00:00,weatherRef,UBC Running Mean Temp,°C,5.578615
2020-03-16 18:06:49+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640943
2020-03-16 18:13:12+00:00,weatherRef,UBC Running Mean Temp,°C,5.578613
2020-03-16 18:13:12+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640942
2020-03-16 18:13:26+00:00,weatherRef,UBC Running Mean Temp,°C,5.578613
2020-03-16 18:13:26+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640942
2020-03-16 18:20:01+00:00,weatherRef,UBC Running Mean Temp,°C,5.578611
2020-03-16 18:20:01+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640941
2020-03-16 18:20:07+00:00,weatherRef,UBC Running Mean Temp,°C,5.578611
2020-03-16 18:20:07+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640941
2020-03-16 18:26:49+00:00,weatherRef,UBC Running Mean Temp,°C,5.578609
2020-03-16 18:26:49+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640941
2020-03-16 18:26:57+00:00,weatherRef,UBC Running Mean Temp,°C,5.578608
2020-03-16 18:26:57+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640941
2020-03-16 18:33:26+00:00,weatherRef,UBC Running Mean Temp,°C,5.578607
2020-03-16 18:33:26+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640940
2020-03-16 18:33:49+00:00,weatherRef,UBC Running Mean Temp,°C,5.578606
2020-03-16 18:33:49+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640940
2020-03-16 18:40:07+00:00,weatherRef,UBC Running Mean Temp,°C,5.578604
2020-03-16 18:40:07+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640939
