,groupRef,typeRef,unit,value
2020-03-16 23:13:03+00:00,weatherRef,UBC Target Comfort Temp,°C,20.703643
2020-03-16 23:13:03+00:00,weatherRef,UBC Running Mean Temp,°C,5.768615
2020-03-16 23:19:31+00:00,weatherRef,UBC Target Comfort Temp,°C,20.703642
2020-03-16 23:19:31+00:00,weatherRef,UBC Running Mean Temp,°C,5.768614
2020-03-16 23:19:52+00:00,weatherRef,UBC Target Comfort Temp,°C,20.703642
2020-03-16 23:19:52+00:00,weatherRef,UBC Running Mean Temp,°C,5.768613
2020-03-16 23:26:17+00:00,weatherRef,UBC Target Comfort Temp,°C,20.703642
2020-03-16 23:26:17+00:00,weatherRef,UBC Running Mean Temp,°C,5.768611
2020-03-16 23:26:39+00:00,weatherRef,UBC Target Comfort Temp,°C,20.703642
2020-03-16 23:26:39+00:00,weatherRef,UBC Running Mean Temp,°C,5.768611
2020-03-16 23:33:03+00:00,weatherRef,UBC Target Comfort Temp,°C,20.703641
2020-03-16 23:33:03+00:00,weatherRef,UBC Running Mean Temp,°C,5.768609
2020-03-16 23:33:29+00:00,weatherRef,UBC Target Comfort Temp,°C,20.703641
2020-03-16 23:33:29+00:00,weatherRef,UBC Running Mean Temp,°C,5.768609
2020-03-16 23:39:52+00:00,weatherRef,UBC Target Comfort Temp,°C,20.703640
2020-03-16 23:39:52+00:00,weatherRef,UBC Running Mean Temp,°C,5.768607
2020-03-16 23:40:29+00:00,weatherRef,UBC Target Comfort Temp,°C,20.703640
2020-03-16 23:40:29+00:00,weatherRef,UBC Running Mean Temp,°C,5.768607
2020-03-16 23:46:39+00:00,weatherRef,UBC Target Comfort Temp,°C,20.703640
2020-03-16 23:46:39+00:00,weatherRef,UBC Running Mean Temp,°C,5.768605
2020-03-16 23:47:13+00:00,weatherRef,UBC Target Comfort Temp,°C,20.703640
2020-03-16 23:47:13+00:00,weatherRef,UBC Running Mean Temp,°C,5.768605
2020-03-16 23:53:29+00:00,weatherRef,UBC Target Comfort Temp,°C,20.703639
2020-03-16 23:53:29+00:00,weatherRef,UBC Running Mean Temp,°C,5.768603
2020-03-16 23:53:57+00:00,weatherRef,UBC Target Comfort Temp,°C,20.717594
2020-03-16 23:53:57+00:00,weatherRef,UBC Running Mean Temp,°C,5.810892
