id,air,alarm,avg,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,boiler,bypass,chilled,cmd,co2,connRef,cool,cooling,cur,curStatus,curVal,damper,delta,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,flow,gas,gasMeterLoad,groupRef,heatWheel,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,pressure,pump,quantityID,return,run,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:23d4d547-eb26b3c1 Ponderosa East FC-204 PON_EAST_FC204_SAT,✓,"","",@p:ubcv:r:23d12cc2-170f7886 PondE PON_EAST_FC204_CP720113 (720113),TL4,✓,PON_EAST_FC204_SAT,"","","","","",@p:ubcv:r:23d12cc2-170f7886 PondE PON_EAST_FC204_CP720113 (720113),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25b10389-ac5802a2 Ponderosa East FC-204,✓,"","","","","","",@p:ubcv:r:25b102db-179a8a2d Ponderosa East Floor 2,"","",✓,"","","",2020-05-12T15:54:46-07:00 Los_Angeles,"",128154,2019-01-17T19:31:37-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:56:39.2-07:00 Los_Angeles,2019-01-23T16:53:20.593-08:00 Los_Angeles,"",Discharge Air Temp,"",AI3,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,✓,"",Los_Angeles,°C,"","","","","",2020-04-14T16:49:59.684Z UTC
@p:ubcv:r:23d4d46b-12e2aa6d Ponderosa East Unsorted Points P21 PON_EAST_DHW_TNK_3_HEAT_P21S_BV,"","","",@p:ubcv:r:23d120cc-1e6ba3b7 PondE PON_EAST_MECHANICAL_RM1017A (720100),TL300,✓,PON_EAST_DHW_TNK_3_HEAT_P21S_BV,"","","","","",@p:ubcv:r:23d120cc-1e6ba3b7 PondE PON_EAST_MECHANICAL_RM1017A (720100),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","OFF,ON",P21,@p:ubcv:r:23d12e3b-a975e4fc Ponderosa East Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d12e3b-a4d3984b Ponderosa East Unsorted Points,"","",✓,"","","",2020-05-12T15:01:45-07:00 Los_Angeles,"",5762,2019-04-23T13:09:10-07:00 Los_Angeles,ok,"",✓,"",Bool,2020-05-12T15:55:19.622-07:00 Los_Angeles,2019-01-23T16:53:13.298-08:00 Los_Angeles,"","Run ","",BV62,"","","","",✓,"","","",✓,"","",✓,✓,@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","",@p:ubcv:r:23e65d0f-1634db40 .+_P\d+S(_BV)?(_\d+)?(_TL)?,"",PON_EAST_DHW_P21S_COV_TL,Los_Angeles,"","","","",✓,"",2020-05-12T11:03:27.084Z UTC
@p:ubcv:r:23d4d6e3-f980458b Ponderosa East FC-404 PON_EAST_FC404_FC,"","","",@p:ubcv:r:23d12dc1-8aec5ce2 PondE PON_EAST_FC404_CP720204 (720204),TL12,✓,PON_EAST_FC404_FC,"","","","","",@p:ubcv:r:23d12dc1-8aec5ce2 PondE PON_EAST_FC404_CP720204 (720204),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25b10942-3986a870 Ponderosa East FC-404,✓,"","","","","","",@p:ubcv:r:25b1090f-b5ad2446 Ponderosa East Floor 4,"","",✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"",24346,2019-01-14T01:06:46-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:53:29.151-07:00 Los_Angeles,"","",PON_EAST_FC404_FC,✓,BO1,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","",PON_EAST_FC_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:54.679Z UTC
@p:ubcv:r:23d4d6b1-ba439417 Ponderosa East FC-110 PON_EAST_FC110_MODE,"","","",@p:ubcv:r:23d12cc2-8db3f0dc PondE PON_EAST_FC110_CP720131 (720131),TL9,✓,PON_EAST_FC110_MODE,"","","","","",@p:ubcv:r:23d12cc2-8db3f0dc PondE PON_EAST_FC110_CP720131 (720131),"","","","","","","","",$equipRef $bmsName,"","","","","","","OCCUPIED,OS,NSB_HTG,OVR,DAYSB_ON,DAYSB_OFF,UNOCCUPIED,PURGE","",@p:ubcv:r:25b10154-6b0fc9c8 Ponderosa East FC-110,✓,"","","","","","",@p:ubcv:r:25b0ff04-bca0e2b7 Ponderosa East Floor 1,"","",✓,"","","-1 enumNumberToStr(self, false)","","","","",ok,"","","",Str,2020-05-12T15:56:39.905-07:00 Los_Angeles,"","",PON_EAST_FC110_MODE,✓,MSV1,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","",PON_EAST_FC110_MODE_TL,Los_Angeles,"","","","","","",2020-04-08T18:52:22.014Z UTC
@p:ubcv:r:23d4d46b-19e32acd Ponderosa East Unsorted Points PON_EAST_SUPPLY_HPRWT_BTU_TL_AV,"","","",@p:ubcv:r:23d120cc-1e6ba3b7 PondE PON_EAST_MECHANICAL_RM1017A (720100),TL617,✓,PON_EAST_SUPPLY_HPRWT_BTU_TL_AV,"","","","","",@p:ubcv:r:23d120cc-1e6ba3b7 PondE PON_EAST_MECHANICAL_RM1017A (720100),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d12e3b-a975e4fc Ponderosa East Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d12e3b-a4d3984b Ponderosa East Unsorted Points,"","",✓,"","","",2020-05-12T15:53:27-07:00 Los_Angeles,"",27448,2019-07-31T12:33:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:55:19.633-07:00 Los_Angeles,"","",PON_EAST_SUPPLY_HPRWT_BTU_TL_AV,✓,AV617,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","",MV_PON_EAST_SUPPLY_HPRWT_BTU_W08_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:37.219Z UTC
@p:ubcv:r:23d12e3c-8db7e38b Ponderosa East Unsorted Points BTU_E_DHW_TOTAL_LITRES_MUX,"","","",@p:ubcv:r:23d1205b-faea93de PondE 903.0 PONDEROSA EAST SPRUCE (720000),TL44,✓,BTU_E_DHW_TOTAL_LITRES_MUX,"","","","","",@p:ubcv:r:23d1205b-faea93de PondE 903.0 PONDEROSA EAST SPRUCE (720000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d12e3b-a975e4fc Ponderosa East Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d12e3b-a4d3984b Ponderosa East Unsorted Points,"","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"",46527,2019-01-13T14:00:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:51:44.512-07:00 Los_Angeles,"","",BTU_E_DHW_TOTAL_LITRES_MUX,✓,AV1050,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","",MV_Pond-East_WM-E03-Water,Los_Angeles,L,"","","","","",2020-04-09T19:02:37.144Z UTC
@p:ubcv:r:23d4d6f9-00410c7f Ponderosa East FC-406 PON_EAST_FC406_RT_SP,✓,"","",@p:ubcv:r:23d12dc1-74ab5708 PondE PON_EAST_FC406_CP720206 (720206),TL6,✓,PON_EAST_FC406_RT_SP,"","","","","",@p:ubcv:r:23d12dc1-74ab5708 PondE PON_EAST_FC406_CP720206 (720206),"","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","",@p:ubcv:r:25b10949-28d49cb2 Ponderosa East FC-406,✓,"","","","","","",@p:ubcv:r:25b1090f-b5ad2446 Ponderosa East Floor 4,"","",✓,"","","",2020-05-12T15:44:58-07:00 Los_Angeles,"",339528,2019-01-18T05:37:06-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:46:25.156-07:00 Los_Angeles,2019-01-23T16:52:53.429-08:00 Los_Angeles,"",Zone Temp Effective Sp,"",AV7,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"",✓,"","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,✓,PON_EAST_FC406_RT_SP_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:37.574Z UTC
@p:ubcv:r:263b76df-aaa828b4 Ponderosa East Elec Main Meter Energy,"","","","","","","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"","",✓,ok,6997386.5kWh,"","","",$equipRef $navName,"","",✓,"",✓,"","","",@p:ubcv:r:20a65d1f-4e392c48 Ponderosa East Elec Main Meter,"","","","","","","",@p:ubcv:r:21697fca-6485a1a8 Ponderosa East Utilities,"","",✓,"",15min,"",2020-05-12T15:45:00-07:00 Los_Angeles,consumption,184927,2015-02-02T15:45:00-08:00 Los_Angeles,ok,✓,"","",Number,"","","",Energy,"","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Ponderosa_East_903.Elec_Energy,✓,"",✓,"","","","",10393,"","",✓,@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,331,"","",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,kWh,✓,"","","","",2020-05-04T19:39:55.555Z UTC
@p:ubcv:r:263b76df-9dafce66 Ponderosa East Water Main Meter Consumption,"","","","","","","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"","",✓,ok,37655.00390625m³,"","","",$equipRef $navName,"","","","","","","","",@p:ubcv:r:20a65d1f-a2f534fc Ponderosa East Water Main Meter,"","","","","","","",@p:ubcv:r:21697fca-6485a1a8 Ponderosa East Utilities,"","",✓,"",15min,"",2020-05-12T15:45:00-07:00 Los_Angeles,consumption,184767,2015-02-02T15:45:00-08:00 Los_Angeles,ok,✓,"","",Number,"","","",Consumption,"","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Ponderosa_East_903.Water_Volume,✓,"",✓,"","","","",10394,"","",✓,@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,331,"","",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,m³,✓,"",✓,✓,"",2020-05-04T19:39:55.556Z UTC
@p:ubcv:r:23d4d6ba-e7375993 Ponderosa East HRV-2 PON_EAST_HRV2_SF_SPD_C,"","","",@p:ubcv:r:23d120cc-f789c9b5 PondE POND_EAST_HRV2_MUA1_MUA2 (720200),TL32,✓,PON_EAST_HRV2_SF_SPD_C,"","","","","",@p:ubcv:r:23d120cc-f789c9b5 PondE POND_EAST_HRV2_MUA1_MUA2 (720200),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25b0fc77-97fbfc96 Ponderosa East HRV-2,✓,"","","","","","",@p:ubcv:r:2203b248-7242dcea Ponderosa East Air Systems,"","",✓,"","","",2020-05-12T15:53:15-07:00 Los_Angeles,"",39924,2019-01-15T21:48:28-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:56:40.421-07:00 Los_Angeles,"","",PON_EAST_HRV2_SF_SPD_C,✓,AO14,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","","",Los_Angeles,_,"","","","","",2020-04-09T19:15:27.184Z UTC
