id,air,alarm,avg,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,boiler,bypass,chilled,cmd,co2,connRef,cool,cooling,cur,curStatus,curVal,damper,delta,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,flow,gas,gasMeterLoad,groupRef,heatWheel,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,pressure,pump,quantityID,return,run,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:23d4d6ce-3faaddde Ponderosa East FC-402 PON_EAST_FC402_SAT_SP,✓,"","",@p:ubcv:r:23d12dc1-98d9d1a4 PondE PON_EAST_FC402_CP720202 (720202),TL7,✓,PON_EAST_FC402_SAT_SP,"","","","","",@p:ubcv:r:23d12dc1-98d9d1a4 PondE PON_EAST_FC402_CP720202 (720202),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25b10945-42658caa Ponderosa East FC-402,✓,"","","","","","",@p:ubcv:r:25b1090f-b5ad2446 Ponderosa East Floor 4,"","",✓,"","","",2020-05-12T15:52:58-07:00 Los_Angeles,"",339490,2019-01-18T05:37:43-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:53:28.767-07:00 Los_Angeles,2019-01-23T16:53:24.891-08:00 Los_Angeles,"",Discharge Air Temp Sp,"",AV5,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"",✓,"","","",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,PON_EAST_FC402_SAT_SP_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:37.552Z UTC
@p:ubcv:r:23d4d6ba-4b39de35 Ponderosa East Unsorted Points PON_EAST_SA_DMP_LVL3_BV,"","","",@p:ubcv:r:23d120cc-f789c9b5 PondE POND_EAST_HRV2_MUA1_MUA2 (720200),TL2,✓,PON_EAST_SA_DMP_LVL3_BV,"","","","","",@p:ubcv:r:23d120cc-f789c9b5 PondE POND_EAST_HRV2_MUA1_MUA2 (720200),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d12e3b-a975e4fc Ponderosa East Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d12e3b-a4d3984b Ponderosa East Unsorted Points,"","",✓,"","","",2020-05-12T14:30:01-07:00 Los_Angeles,"",920,2019-01-03T05:01:22-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:56:38.735-07:00 Los_Angeles,"","",PON_EAST_SA_DMP_LVL3_BV,✓,BV258,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","","",Los_Angeles,"","","","","","",2020-04-08T18:51:24.018Z UTC
@p:ubcv:r:23d4d46b-acb52129 Ponderosa East Unsorted Points PON_EAST_DC_LAG_PMP_BV,"","","",@p:ubcv:r:23d120cc-1e6ba3b7 PondE PON_EAST_MECHANICAL_RM1017A (720100),TL59,✓,PON_EAST_DC_LAG_PMP_BV,"","","","","",@p:ubcv:r:23d120cc-1e6ba3b7 PondE PON_EAST_MECHANICAL_RM1017A (720100),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d12e3b-a975e4fc Ponderosa East Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d12e3b-a4d3984b Ponderosa East Unsorted Points,"","",✓,"","","",2020-05-11T09:02:06-07:00 Los_Angeles,"",28,2019-07-23T12:57:35-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:55:18.948-07:00 Los_Angeles,"","",PON_EAST_DC_LAG_PMP_BV,✓,BV79,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","",PON_EAST_DC_LAG_PMP_BV_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:54:29.305Z UTC
@p:ubcv:r:23d4d6ba-3f15f2d1 Ponderosa East MAU-1 PON_EAST_MUA1_HC_SWT,"","","",@p:ubcv:r:23d120cc-f789c9b5 PondE POND_EAST_HRV2_MUA1_MUA2 (720200),TL36,✓,PON_EAST_MUA1_HC_SWT,"","","","","",@p:ubcv:r:23d120cc-f789c9b5 PondE POND_EAST_HRV2_MUA1_MUA2 (720200),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25b0fc86-a84230fc Ponderosa East MAU-1,✓,"","","","","","",@p:ubcv:r:2203b248-7242dcea Ponderosa East Air Systems,"","",✓,"","","",2020-05-12T15:53:15-07:00 Los_Angeles,"",39763,2019-01-16T10:18:41-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:56:38.838-07:00 Los_Angeles,2019-01-23T16:53:07.684-08:00 Los_Angeles,"",PON_EAST_MUA1_HC_SWT,✓,AI103,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","","",Los_Angeles,_,"","","","","",2020-04-09T19:15:27.172Z UTC
@p:ubcv:r:23d4d47d-9274f5d9 Ponderosa East FC-101 PON_EAST_FC101_FS_BV,"","","",@p:ubcv:r:23d12cc2-b6e0c6c8 PondE PON_EAST_FC101_CP720101 (720101),TL13,✓,PON_EAST_FC101_FS_BV,"","","","","",@p:ubcv:r:23d12cc2-b6e0c6c8 PondE PON_EAST_FC101_CP720101 (720101),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25b0ff1f-566072b2 Ponderosa East FC-101,✓,"","","","","","",@p:ubcv:r:25b0ff04-bca0e2b7 Ponderosa East Floor 1,"","",✓,"","","",2020-05-12T11:00:02-07:00 Los_Angeles,"",23193,2019-01-14T01:04:44-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:46:22.466-07:00 Los_Angeles,"","",PON_EAST_FC101_FS_BV,✓,BV4,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","",PON_EAST_FS_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:40.348Z UTC
@p:ubcv:r:23d4d6ce-468d5a1f Ponderosa East FC-402 PON_EAST_FC402_HCV,"","","",@p:ubcv:r:23d12dc1-98d9d1a4 PondE PON_EAST_FC402_CP720202 (720202),TL3,✓,PON_EAST_FC402_HCV,"","","",✓,"",@p:ubcv:r:23d12dc1-98d9d1a4 PondE PON_EAST_FC402_CP720202 (720202),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25b10945-42658caa Ponderosa East FC-402,✓,"","","","","","",@p:ubcv:r:25b1090f-b5ad2446 Ponderosa East Floor 4,"",✓,✓,"","","",2020-05-12T15:52:58-07:00 Los_Angeles,"",339490,2019-01-18T05:37:43-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:53:29.609-07:00 Los_Angeles,2019-01-23T16:53:15.541-08:00 Los_Angeles,"",Heating Valve Cmd,"",AO4,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",PON_EAST_FC402_HCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:37.553Z UTC
@p:ubcv:r:23d4d46a-3287537a Ponderosa East Unsorted Points PON_EAST_DHW_TANK_SP_AV,"","","",@p:ubcv:r:23d120cc-1e6ba3b7 PondE PON_EAST_MECHANICAL_RM1017A (720100),TL11,✓,PON_EAST_DHW_TANK_SP_AV,"","","","","",@p:ubcv:r:23d120cc-1e6ba3b7 PondE PON_EAST_MECHANICAL_RM1017A (720100),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d12e3b-a975e4fc Ponderosa East Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d12e3b-a4d3984b Ponderosa East Unsorted Points,"","",✓,"","","",2020-05-12T15:38:17-07:00 Los_Angeles,"",6843,2019-07-31T23:02:37-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:55:18.956-07:00 Los_Angeles,"","",PON_EAST_DHW_TANK_SP_AV,✓,AV2,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","",PON_EAST_DHW_TANK_SP_AV_COV_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:37.168Z UTC
@p:ubcv:r:23d4d673-a866c3fb Ponderosa East MAU-2 PON_EAST_MUA2_RM3008_PB,"","","",@p:ubcv:r:23d12cc2-353c667b PondE PON_EAST_FC309_CP720128 (720128),TL14,✓,PON_EAST_MUA2_RM3008_PB,"","","","","",@p:ubcv:r:23d12cc2-353c667b PondE PON_EAST_FC309_CP720128 (720128),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25b0fc92-bde03350 Ponderosa East MAU-2,✓,"","","","","","",@p:ubcv:r:2203b248-7242dcea Ponderosa East Air Systems,"","",✓,"","","",2020-04-27T21:36:26-07:00 Los_Angeles,"",91,2019-02-22T13:27:49-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:46:22.38-07:00 Los_Angeles,"","",PON_EAST_MUA2_RM3008_PB,✓,BI6,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","",PON_EAST_MUA2_PB_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:36.462Z UTC
@p:ubcv:r:23d4d4c1-113924ef Ponderosa East FC-105 PON_EAST_FC105_CO2,✓,"","",@p:ubcv:r:23d12cc2-358d8a46 PondE PON_EAST_FC105_CP720105 (720105),TL12,✓,PON_EAST_FC105_CO2,"","","","",✓,@p:ubcv:r:23d12cc2-358d8a46 PondE PON_EAST_FC105_CP720105 (720105),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25b10064-3393ec93 Ponderosa East FC-105,✓,"","","","","","",@p:ubcv:r:25b0ff04-bca0e2b7 Ponderosa East Floor 1,"","",✓,"","","",2020-05-12T15:34:48-07:00 Los_Angeles,"",23224,2019-01-14T08:11:09-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:54:19.399-07:00 Los_Angeles,2019-01-23T16:53:10.915-08:00 Los_Angeles,"",Zone Co2,"",AI5,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","",@p:ubcv:r:23e65d0f-a2d8d959 .+_CO2(\(RM\d+[A-Z]\))?(-\d)?(_TL)?,"",PON_EAST_FC105_CO2_TL,Los_Angeles,ppm,"","","","",✓,2020-04-09T19:02:37.346Z UTC
@p:ubcv:r:263b76df-72b6f206 Ponderosa East Gas Main Meter Gas,"","","","","","","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"","",✓,ok,399890m³,"","","",$equipRef $navName,"","","","","","","","",@p:ubcv:r:20a65d1f-c3c59955 Ponderosa East Gas Main Meter,"","","","","",✓,"",@p:ubcv:r:21697fca-6485a1a8 Ponderosa East Utilities,"","",✓,"",15min,"",2020-05-12T15:45:00-07:00 Los_Angeles,consumption,184703,2015-02-03T07:45:00-08:00 Los_Angeles,ok,✓,"","",Number,"","","",Gas,"","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Ponderosa_East_903.Gas_Volume,✓,"",✓,"","","","",10371,"","",✓,@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,331,"","",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,m³,✓,"",✓,"","",2020-05-04T19:39:55.554Z UTC
@p:ubcv:r:23d4d646-f6767bcc Ponderosa East FC-307 PON_EAST_FC307_SAT_SP,✓,"","",@p:ubcv:r:23d12cc2-8bcdd71c PondE *PON_EAST_FC307_CP720126 (720126),TL7,✓,PON_EAST_FC307_SAT_SP,"","","","","",@p:ubcv:r:23d12cc2-8bcdd71c PondE *PON_EAST_FC307_CP720126 (720126),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25b104f3-e1c61512 Ponderosa East FC-307,✓,"","","","","","",@p:ubcv:r:25b104cc-a6b9bb85 Ponderosa East Floor 3,"","",✓,"","","",2020-05-12T15:56:49-07:00 Los_Angeles,"",337769,2019-01-18T05:28:04-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:56:43.795-07:00 Los_Angeles,2019-01-23T16:53:01.268-08:00 Los_Angeles,"",Discharge Air Temp Sp,"",AV5,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"",✓,"","","",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,PON_EAST_FC307_SAT_SP_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:37.468Z UTC
@p:ubcv:r:23d4d5c9-56447cea Ponderosa East FC-301 PON_EAST_FC301_SAT_SP,✓,"","",@p:ubcv:r:23d12cc2-f82ebbbf PondE PON_EAST_FC301_CP720120 (720120),TL7,✓,PON_EAST_FC301_SAT_SP,"","","","","",@p:ubcv:r:23d12cc2-f82ebbbf PondE PON_EAST_FC301_CP720120 (720120),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25b104d9-462999fc Ponderosa East FC-301,✓,"","","","","","",@p:ubcv:r:25b104cc-a6b9bb85 Ponderosa East Floor 3,"","",✓,"","","",2020-05-12T15:46:56-07:00 Los_Angeles,"",308998,2019-01-18T05:31:02-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:48:06.844-07:00 Los_Angeles,2019-01-23T16:53:25.174-08:00 Los_Angeles,"",Discharge Air Temp Sp,"",AV5,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"",✓,"","","",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,PON_EAST_FC301_SAT_SP_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:37.432Z UTC
@p:ubcv:r:23d4d4f5-d68cbebb Ponderosa East FC-108 PON_EAST_FC108_SAT,✓,"","",@p:ubcv:r:23d12cc2-d80be9a2 PondE PON_EAST_FC108_CP720108 (720108),TL4,✓,PON_EAST_FC108_SAT,"","","","","",@p:ubcv:r:23d12cc2-d80be9a2 PondE PON_EAST_FC108_CP720108 (720108),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25b10064-cbfc98be Ponderosa East FC-108,✓,"","","","","","",@p:ubcv:r:25b0ff04-bca0e2b7 Ponderosa East Floor 1,"","",✓,"","","",2020-05-12T15:44:57-07:00 Los_Angeles,"",136366,2019-01-17T19:28:50-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:48:06.931-07:00 Los_Angeles,2019-01-23T16:52:52.107-08:00 Los_Angeles,"",Discharge Air Temp,"",AI3,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,✓,PON_EAST_FC108_SAT_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:37.366Z UTC
@p:ubcv:r:23d4d547-081ae58b Ponderosa East FC-204 PON_EAST_FC204_MODE,"","","",@p:ubcv:r:23d12cc2-170f7886 PondE PON_EAST_FC204_CP720113 (720113),TL9,✓,PON_EAST_FC204_MODE,"","","","","",@p:ubcv:r:23d12cc2-170f7886 PondE PON_EAST_FC204_CP720113 (720113),"","","","","","","","",$equipRef $bmsName,"","","","","","","OCCUPIED,OS,NSB_HTG,OVR,DAYSB_ON,DAYSB_OFF,UNOCCUPIED,PURGE","",@p:ubcv:r:25b10389-ac5802a2 Ponderosa East FC-204,✓,"","","","","","",@p:ubcv:r:25b102db-179a8a2d Ponderosa East Floor 2,"","",✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T11:00:00-07:00 Los_Angeles,"",26677,2019-01-15T13:03:47-08:00 Los_Angeles,ok,"","","",Str,2020-05-12T15:56:39.834-07:00 Los_Angeles,"","",PON_EAST_FC204_MODE,✓,MSV1,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","","",Los_Angeles,"","","","","","",2020-04-08T18:52:19.755Z UTC
@p:ubcv:r:23d4d704-e9c3bde7 Ponderosa East FC-407 PON_EAST_FC407_HCV,"","","",@p:ubcv:r:23d12dc1-7013557a PondE PON_EAST_FC407_CP720207 (720207),TL3,✓,PON_EAST_FC407_HCV,"","","",✓,"",@p:ubcv:r:23d12dc1-7013557a PondE PON_EAST_FC407_CP720207 (720207),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25b1095f-aacf4a10 Ponderosa East FC-407,✓,"","","","","","",@p:ubcv:r:25b1090f-b5ad2446 Ponderosa East Floor 4,"",✓,✓,"","","",2020-05-12T15:50:55-07:00 Los_Angeles,"",339524,2019-01-18T05:35:04-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:51:08.896-07:00 Los_Angeles,2019-01-23T16:52:53.518-08:00 Los_Angeles,"",Heating Valve Cmd,"",AO4,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",PON_EAST_FC407_HCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:37.579Z UTC
@p:ubcv:r:23d4d726-f786a306 Ponderosa East FC-410 PON_EAST_FC410_HCV,"","","",@p:ubcv:r:23d12dc1-82647cc4 PondE PON_EAST_FC410_CP720210 (720210),TL3,✓,PON_EAST_FC410_HCV,"","","",✓,"",@p:ubcv:r:23d12dc1-82647cc4 PondE PON_EAST_FC410_CP720210 (720210),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25b10949-c369ed25 Ponderosa East FC-410,✓,"","","","","","",@p:ubcv:r:25b1090f-b5ad2446 Ponderosa East Floor 4,"",✓,✓,"","","",2020-05-12T15:46:58-07:00 Los_Angeles,"",339668,2019-01-18T05:36:20-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:46:52.298-07:00 Los_Angeles,2019-01-23T16:52:53.044-08:00 Los_Angeles,"",Heating Valve Cmd,"",AO4,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",PON_EAST_FC410_HCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:37.598Z UTC
@p:ubcv:r:23d4d46b-fb966134 Ponderosa East Unsorted Points PON_EAST_EF10_EFC,✓,"","",@p:ubcv:r:23d120cc-1e6ba3b7 PondE PON_EAST_MECHANICAL_RM1017A (720100),TL24,✓,PON_EAST_EF10_EFC,"","","",✓,"",@p:ubcv:r:23d120cc-1e6ba3b7 PondE PON_EAST_MECHANICAL_RM1017A (720100),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d12e3b-a975e4fc Ponderosa East Unsorted Points,✓,✓,✓,"","","","",@p:ubcv:r:23d12e3b-a4d3984b Ponderosa East Unsorted Points,"","",✓,"","","",2020-05-11T16:44:45-07:00 Los_Angeles,"",42,2019-08-12T15:06:19-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:55:19.113-07:00 Los_Angeles,"","",Exhaust Fan Run Cmd,"",BO4104,"","","","",✓,"","","","","","",✓,"",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","",@p:ubcv:r:245cddb1-fc491e66 .+_EFC(_\d+)?(_TL)?,"",PON_EAST_EF10_EFC_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:13.691Z UTC
@p:ubcv:r:23d4d49f-a0614033 Ponderosa East FC-103 PON_EAST_FC103_CCV,"","","",@p:ubcv:r:23d12cc2-7a9a298a PondE PON_EAST_FC103_CP720103 (720103),TL1,✓,PON_EAST_FC103_CCV,"","",✓,✓,"",@p:ubcv:r:23d12cc2-7a9a298a PondE PON_EAST_FC103_CP720103 (720103),"",✓,"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25b0ff77-576df2d0 Ponderosa East FC-103,✓,"","","","","","",@p:ubcv:r:25b0ff04-bca0e2b7 Ponderosa East Floor 1,"","",✓,"","","",2020-05-12T15:52:56-07:00 Los_Angeles,"",337725,2019-01-18T05:25:43-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:53:33.082-07:00 Los_Angeles,2019-01-23T16:53:03.854-08:00 Los_Angeles,"",Cooling Valve Cmd,"",AO5,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","",@p:ubcv:r:23e65d0e-46fa10b2 .+_(\d+)?CCV(_TL)?,"",PON_EAST_FC103_CCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:37.335Z UTC
@p:ubcv:r:23d4d730-357282b2 Ponderosa East FC-411 PON_EAST_FC411_RT_SP,✓,"","",@p:ubcv:r:23d12dc1-37aa38be PondE PON_EAST_FC411_CP720211 (720211),TL6,✓,PON_EAST_FC411_RT_SP,"","","","","",@p:ubcv:r:23d12dc1-37aa38be PondE PON_EAST_FC411_CP720211 (720211),"","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","",@p:ubcv:r:25b1095f-cdd70bbd Ponderosa East FC-411,✓,"","","","","","",@p:ubcv:r:25b1090f-b5ad2446 Ponderosa East Floor 4,"","",✓,"","","",2020-05-12T15:46:58-07:00 Los_Angeles,"",339645,2019-01-18T05:38:19-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:46:52.021-07:00 Los_Angeles,2019-01-23T16:53:08.17-08:00 Los_Angeles,"",Zone Temp Effective Sp,"",AV7,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"",✓,"","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,✓,PON_EAST_FC411_RT_SP_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:37.606Z UTC
@p:ubcv:r:23d4d6f9-a0d71fdd Ponderosa East FC-406 PON_EAST_FC406_HCV,"","","",@p:ubcv:r:23d12dc1-74ab5708 PondE PON_EAST_FC406_CP720206 (720206),TL3,✓,PON_EAST_FC406_HCV,"","","",✓,"",@p:ubcv:r:23d12dc1-74ab5708 PondE PON_EAST_FC406_CP720206 (720206),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25b10949-28d49cb2 Ponderosa East FC-406,✓,"","","","","","",@p:ubcv:r:25b1090f-b5ad2446 Ponderosa East Floor 4,"",✓,✓,"","","",2020-05-12T15:44:58-07:00 Los_Angeles,"",339527,2019-01-18T05:37:06-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:46:24.963-07:00 Los_Angeles,2019-01-23T16:53:20.4-08:00 Los_Angeles,"",Heating Valve Cmd,"",AO4,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",PON_EAST_FC406_HCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:37.573Z UTC
@p:ubcv:r:23d4d4c1-0f9cd6e8 Ponderosa East FC-105 PON_EAST_FC105_CCV,"","","",@p:ubcv:r:23d12cc2-358d8a46 PondE PON_EAST_FC105_CP720105 (720105),TL1,✓,PON_EAST_FC105_CCV,"","",✓,✓,"",@p:ubcv:r:23d12cc2-358d8a46 PondE PON_EAST_FC105_CP720105 (720105),"",✓,"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25b10064-3393ec93 Ponderosa East FC-105,✓,"","","","","","",@p:ubcv:r:25b0ff04-bca0e2b7 Ponderosa East Floor 1,"","",✓,"","","",2020-05-12T15:52:48-07:00 Los_Angeles,"",338063,2019-01-18T05:26:31-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:54:21.236-07:00 Los_Angeles,2019-01-23T16:53:10.469-08:00 Los_Angeles,"",Cooling Valve Cmd,"",AO5,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","",@p:ubcv:r:23e65d0e-46fa10b2 .+_(\d+)?CCV(_TL)?,"",PON_EAST_FC105_CCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:37.347Z UTC
@p:ubcv:r:23d4d6ee-1cbbb4da Ponderosa East FC-405 PON_EAST_FC405_MODE,"","","",@p:ubcv:r:23d12dc1-c4d7bcd8 PondE PON_EAST_FC405_CP720205 (720205),TL9,✓,PON_EAST_FC405_MODE,"","","","","",@p:ubcv:r:23d12dc1-c4d7bcd8 PondE PON_EAST_FC405_CP720205 (720205),"","","","","","","","",$equipRef $bmsName,"","","","","","","OCCUPIED,OS,NSB_HTG,OVR,DAYSB_ON,DAYSB_OFF,UNOCCUPIED,PURGE","",@p:ubcv:r:25b1095f-2c755366 Ponderosa East FC-405,✓,"","","","","","",@p:ubcv:r:25b1090f-b5ad2446 Ponderosa East Floor 4,"","",✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T11:00:01-07:00 Los_Angeles,"",27569,2019-01-13T22:01:34-08:00 Los_Angeles,ok,"","","",Str,2020-05-12T15:56:43.377-07:00 Los_Angeles,"","",PON_EAST_FC405_MODE,✓,MSV1,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","",PON_EAST_FC405_MODE_TL,Los_Angeles,"","","","","","",2020-04-08T18:52:19.843Z UTC
@p:ubcv:r:23d4d5ef-7349de9c Ponderosa East FC-303 PON_EAST_FC303_FS_BV,"","","",@p:ubcv:r:23d12cc2-45ae0963 PondE PON_EAST_FC303_CP720122 (720122),TL13,✓,PON_EAST_FC303_FS_BV,"","","","","",@p:ubcv:r:23d12cc2-45ae0963 PondE PON_EAST_FC303_CP720122 (720122),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25b104f0-12b0f053 Ponderosa East FC-303,✓,"","","","","","",@p:ubcv:r:25b104cc-a6b9bb85 Ponderosa East Floor 3,"","",✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"",12566,2019-01-13T21:59:34-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:51:39.31-07:00 Los_Angeles,"","",PON_EAST_FC303_FS_BV,✓,BV4,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","",PON_EAST_FS_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:40.463Z UTC
