id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,leaving,low,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,preheat,pressure,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,water,zone,mod
@p:ubcv:r:23d51440-31b141b1 Brock Hall Unsorted Points P2 JCL-NAE11/FC-A.FEC-11A-07.P2-A,"",✓,@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004522,✓,JCL-NAE11/FC-A.FEC-11A-07.P2-A,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","Normal,Alarm",P2,@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","-1 enumNumberToStr(self, false)",2020-04-09T13:04:40-07:00 Los_Angeles,"","",207,2018-07-15T15:48:24-07:00 Los_Angeles,ok,"","","",✓,Str,2020-05-12T14:14:16.43-07:00 Los_Angeles,"","","",Alarm,"",MSV3003835,"","","","",✓,"","","","",✓,"","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:25869175-c32c663b .+(\.|-| |_)(CH?|MH)?P(\d+)?(-\d+)?[A-Z]?-A(LM)?,"","",JCL-NAE11/FC-A.FEC-11A-07.P2-A.Trend1,Los_Angeles,"","","","","",2020-05-12T11:03:27.59Z UTC
@p:ubcv:r:23d51440-3710ef8d Brock Hall Unsorted Points JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.Accumulator-0.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007285,✓,JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.Accumulator-0.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",27116,2019-08-01T04:30:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:18.281-07:00 Los_Angeles,"","","",JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.Accumulator-0.Trend1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","",✓,"","",Los_Angeles,_,"","","","",2020-04-09T19:15:03.614Z UTC
@p:ubcv:r:23d5143f-f70e0dcb Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-16.DA-VP,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004154,✓,JCL-NAE11/FC-A.VMA-11A-16.DA-VP,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.139-07:00 Los_Angeles,"","","",Discharge Air Pressure Cmd,"",AI3003224,"","","","",✓,"","","",✓,"","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-7f24f88c .+(\.|-| )(SA|DA)-VP,"","",JCL-NAE11/FC-A.VMA-11A-16.DA-VP.Trend1,Los_Angeles,Pa,"","","","",2020-04-09T19:01:58.869Z UTC
@p:ubcv:r:23d5143f-95fb0015 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-33.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004403,✓,JCL-NAE11/FC-A.VND-11A-33.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-11T20:42:12-07:00 Los_Angeles,"","",532,2019-01-25T11:58:14-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.727-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-33.BO-1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-33.BO-1.Trend1,Los_Angeles,"","","","","",2020-04-08T18:50:20.85Z UTC
@p:ubcv:r:23d51440-e44cea71 Brock Hall Unsorted Points P1 JCL-NAE11/FC-A.FEC-11A-07.P1-S,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004514,✓,JCL-NAE11/FC-A.FEC-11A-07.P1-S,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","Off,On",P1,@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-11T19:43:46-07:00 Los_Angeles,"","",304,2019-01-25T11:58:17-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.444-07:00 Los_Angeles,"","","",Run Status,"",BI3003829,"","","","",✓,"","","","",✓,"","",✓,"",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"","",JCL-NAE11/FC-A.FEC-11A-07.P1-S.Trend1,Los_Angeles,"","","","","",2020-05-12T11:03:27.896Z UTC
@p:ubcv:r:23d5143f-1322bf43 Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-10.ZN-Q,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3003947,✓,JCL-NAE11/FC-A.VMA-11A-10.ZN-Q,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.171-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VMA-11A-10.ZN-Q,✓,AI3003156,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VMA-11A-10.ZN-Q.Trend1,Los_Angeles,ppm,"","","","",2020-04-09T19:01:58.875Z UTC
@p:ubcv:r:23d5143f-b3565a53 Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-17.HTG-O,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004191,✓,JCL-NAE11/FC-A.VMA-11A-17.HTG-O,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,✓,✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:14:17.186-07:00 Los_Angeles,"","","",Heating Valve Cmd,"",AO3003237,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE11/FC-A.VMA-11A-17.HTG-O.Trend1,Los_Angeles,%,"",✓,✓,"",2020-04-14T16:50:00.564Z UTC
@p:ubcv:r:23d51440-02aa9efb Brock Hall Unsorted Points JCL-NAE11/FC-A.FEC-11A-08.EF-1 EF1-S,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004541,✓,JCL-NAE11/FC-A.FEC-11A-08.EF-1 EF1-S,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,✓,✓,"",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T07:00:09-07:00 Los_Angeles,"","",1157,2019-01-14T00:00:10-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.97-07:00 Los_Angeles,"","","",Exhaust Fan Run Status,"",BI3003845,"","","","",✓,"","","","","","","",✓,"",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.FEC-11A-08.EF-1 EF1-S.Trend1,Los_Angeles,"","","","","",2020-04-08T18:55:50.609Z UTC
@p:ubcv:r:24edab69-37e0ff07 Brock Hall Unsorted Points JCL-NAE11/Schedule.EF-7 Schedule,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),SCH3002977,"",✓,JCL-NAE11/Schedule.EF-7 Schedule,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","",unknown,"","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2019-08-21T08:45:00-07:00 Los_Angeles,"","",198,2019-08-19T12:10:00-07:00 Los_Angeles,"","","","",✓,Number,"","","","",Scheduled Occupancy,"","","","","","",✓,"","","","","","","","",✓,"",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","","",Los_Angeles,W,"","","","",2020-03-12T18:49:31.384Z UTC
@p:ubcv:r:23d51441-5c7929a5 Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-23.SA-F,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3009860,✓,JCL-NAE11/FC-A.VMA-11A-23.SA-F,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","",✓,@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.202-07:00 Los_Angeles,"","","",Discharge Air Flow,"",AV3009859,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","",JCL-NAE11/FC-A.VMA-11A-23.SA-F.Trend1,Los_Angeles,L/s,"","","","",2020-04-09T19:01:58.881Z UTC
