id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,leaving,low,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,preheat,pressure,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,water,zone,mod
@p:ubcv:r:23d51440-3c05de16 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-44.AI-4,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004422,✓,JCL-NAE11/FC-A.VND-11A-44.AI-4,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22917,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.742-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-44.AI-4,✓,AI3003471,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-44.AI-4.Trend1,Los_Angeles,°C,"","","","",2020-04-09T19:01:59.013Z UTC
@p:ubcv:r:23d51440-1adcd688 Brock Hall Unsorted Points JCL-NAE11/FC-A.FEC-11A-06.DA-T,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004479,✓,JCL-NAE11/FC-A.FEC-11A-06.DA-T,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",68624,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:32.824-07:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3003797,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE11/FC-A.FEC-11A-06.DA-T.Trend1,Los_Angeles,°C,"","","","",2020-04-09T19:01:59.014Z UTC
@p:ubcv:r:23d51440-bf8f681d Brock Hall Unsorted Points JCL-NAE11/FC-A.FEC-11A-07.Parameters.P2-MA,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004647,✓,JCL-NAE11/FC-A.FEC-11A-07.Parameters.P2-MA,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","Normal,Alarm","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","-1 enumNumberToStr(self, false)",2020-04-09T13:04:36-07:00 Los_Angeles,"","",204,2018-07-15T15:48:21-07:00 Los_Angeles,ok,"","","",✓,Str,2020-05-12T14:14:16.417-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.FEC-11A-07.Parameters.P2-MA,✓,MSV3004533,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.FEC-11A-07.Parameters.P2-MA.Trend1,Los_Angeles,"","","","","",2020-04-08T18:55:13.177Z UTC
@p:ubcv:r:23d5143f-df9f7bc5 Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-13.ZN-T,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004051,✓,JCL-NAE11/FC-A.VMA-11A-13.ZN-T,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.77-07:00 Los_Angeles,"","","",Zone Temp,"",AI3003188,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE11/FC-A.VMA-11A-13.ZN-T.Trend1,Los_Angeles,°C,"","","",✓,2020-04-09T19:01:59.017Z UTC
@p:ubcv:r:23d51440-77f8c667 Brock Hall Unsorted Points JCL-NAE11/FC-A.FEC-11A-06.Air Blower-S,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004499,✓,JCL-NAE11/FC-A.FEC-11A-06.Air Blower-S,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T12:30:09-07:00 Los_Angeles,"","",5596,2019-01-12T00:30:09-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:17.029-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.FEC-11A-06.Air Blower-S,✓,BI3003814,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.FEC-11A-06.Air Blower-S.Trend1,Los_Angeles,"","","","","",2020-04-08T18:55:09.907Z UTC
@p:ubcv:r:23d51441-46b35f9e Brock Hall Unsorted Points JCL-NAE11/FC-A.HRV-1 Integration.AI-16,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3010330,✓,JCL-NAE11/FC-A.HRV-1 Integration.AI-16,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",34559,2019-01-16T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:32.833-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.HRV-1 Integration.AI-16,✓,AI3006136,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.HRV-1 Integration.AI-16.Trend1,Los_Angeles,/min,"","","","",2020-04-09T19:01:59.02Z UTC
@p:ubcv:r:23d51441-21ae1333 Brock Hall Unsorted Points JCL-NAE11/Programming.M&V.HRV-1 OA PH_Energy_KW,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3009306,✓,JCL-NAE11/Programming.M&V.HRV-1 OA PH_Energy_KW,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45857,2019-01-17T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:25.618-07:00 Los_Angeles,"","","",JCL-NAE11/Programming.M&V.HRV-1 OA PH_Energy_KW,✓,AV3009305,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/Programming.M&V.HRV-1 OA PH_Energy_KW.Trend1,Los_Angeles,kW,"","","","",2020-04-09T19:01:59.021Z UTC
@p:ubcv:r:23d5143f-86b40c33 Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-20.HTG-O,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004296,✓,JCL-NAE11/FC-A.VMA-11A-20.HTG-O,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,✓,✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:14:17.786-07:00 Los_Angeles,"","","",Heating Valve Cmd,"",AO3003270,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE11/FC-A.VMA-11A-20.HTG-O.Trend1,Los_Angeles,%,"",✓,✓,"",2020-04-14T16:50:02.535Z UTC
@p:ubcv:r:23d51440-ea4454f0 Brock Hall Unsorted Points JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 1.Accumulator-2.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007280,✓,JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 1.Accumulator-2.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",27117,2019-08-01T04:15:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:25.631-07:00 Los_Angeles,"","","",JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 1.Accumulator-2.Trend1,✓,"","","","","",✓,✓,"","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","",✓,"","",Los_Angeles,_,"","","","",2020-04-09T19:15:03.675Z UTC
@p:ubcv:r:23d5143f-1795598a Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-18.DA-VP,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004224,✓,JCL-NAE11/FC-A.VMA-11A-18.DA-VP,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.798-07:00 Los_Angeles,"","","",Discharge Air Pressure Cmd,"",AI3003246,"","","","",✓,"","","",✓,"","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-7f24f88c .+(\.|-| )(SA|DA)-VP,"","",JCL-NAE11/FC-A.VMA-11A-18.DA-VP.Trend1,Los_Angeles,Pa,"","","","",2020-04-09T19:01:59.024Z UTC
@p:ubcv:r:23d51440-367e7e93 Brock Hall Unsorted Points JCL-NAE11/FC-A.FEC-11A-07.HW-DP-SP,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004511,✓,JCL-NAE11/FC-A.FEC-11A-07.HW-DP-SP,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",68635,2019-01-17T14:50:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:32.842-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.FEC-11A-07.HW-DP-SP,✓,AV3003826,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.FEC-11A-07.HW-DP-SP.Trend1,Los_Angeles,kPa,"","","","",2020-04-09T19:01:59.025Z UTC
@p:ubcv:r:23d51440-9415a362 Brock Hall Unsorted Points JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.Accumulator-1.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007286,✓,JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.Accumulator-1.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",27116,2019-08-01T04:30:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:25.649-07:00 Los_Angeles,"","","",JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.Accumulator-1.Trend1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","",✓,"","",Los_Angeles,_,"","","","",2020-04-09T19:15:03.677Z UTC
@p:ubcv:r:23d51440-b7c5d468 Brock Hall Unsorted Points P7 JCL-NAE11/FC-A.FEC-11A-04.P7-S,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004451,✓,JCL-NAE11/FC-A.FEC-11A-04.P7-S,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","Off,On",P7,@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T12:05:01-07:00 Los_Angeles,"","",2746,2019-02-08T10:01:28-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:33.184-07:00 Los_Angeles,"","","",Run Status,"",BI3003773,"","","","",✓,"","","","",✓,"","",✓,"",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"","",JCL-NAE11/FC-A.FEC-11A-04.P7-S.Trend1,Los_Angeles,"","","","","",2020-05-12T11:03:27.581Z UTC
@p:ubcv:r:2388a048-340d27d2 Brock Hall HW Main Meter Water Delta Temp,"","","","","","","","","","","","","","","","",✓,✓,$equipRef $navName,"","","","","","","","",@p:ubcv:r:209d153f-52d70fbe Brock Hall HW Main Meter,"","","",@p:ubcv:r:21697fca-8bc3f741 Brock Hall Utilities,"",✓,"","","","",deltaTemp,consumption,"","","","","","","",Number,"","","","",Water Delta Temp,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","",✓,"",Los_Angeles,°C,✓,"",✓,"",2020-04-28T00:03:35.046Z UTC
@p:ubcv:r:23d51440-53400068 Brock Hall Unsorted Points JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.AI-3,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3006085,✓,JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.AI-3,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45506,2019-01-18T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:25.657-07:00 Los_Angeles,"","","",JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.AI-3,✓,AI3006064,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.AI-3.Trend1,Los_Angeles,W,"","","","",2020-04-09T19:01:59.029Z UTC
@p:ubcv:r:23d51440-4f59e971 Brock Hall Unsorted Points JCL-NAE11/FC-A.FEC-11A-08.HX-5 DHR-T,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004551,✓,JCL-NAE11/FC-A.FEC-11A-08.HX-5 DHR-T,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",68633,2019-01-17T14:50:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:32.865-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.FEC-11A-08.HX-5 DHR-T,✓,AI3003857,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.FEC-11A-08.HX-5 DHR-T.Trend1,Los_Angeles,°C,"","","","",2020-04-09T19:01:59.03Z UTC
@p:ubcv:r:23d51440-29742a36 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-47.AI-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004437,✓,JCL-NAE11/FC-A.VND-11A-47.AI-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.847-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-47.AI-1,✓,AI3003486,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-47.AI-1.Trend1,Los_Angeles,kW,"","","","",2020-04-09T19:01:59.033Z UTC
@p:ubcv:r:23d51440-1454c89a Brock Hall Unsorted Points JCL-NAE11/Programming.Data Mapping.RTU-1 SA-T,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3006746,✓,JCL-NAE11/Programming.Data Mapping.RTU-1 SA-T,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",66908,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:32.885-07:00 Los_Angeles,"","","",Discharge Air Temp,"",AV3006744,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE11/Programming.Data Mapping.RTU-1 SA-T.Trend2,Los_Angeles,°C,"","","","",2020-04-09T19:01:59.035Z UTC
@p:ubcv:r:23d5143f-08237be5 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-43.AV-1003,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004412,✓,JCL-NAE11/FC-A.VND-11A-43.AV-1003,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22923,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.856-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-43.AV-1003,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-43.AV-1003.Trend1,Los_Angeles,°F,"","","","",2020-04-09T19:01:59.036Z UTC
@p:ubcv:r:23d51440-da6fac0e Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-22.SA-F,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004611,✓,JCL-NAE11/FC-A.VMA-11A-22.SA-F,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","",✓,@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",68666,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:32.914-07:00 Los_Angeles,"","","",Discharge Air Flow,"",AV3003896,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","",JCL-NAE11/FC-A.VMA-11A-22.SA-F.Trend1,Los_Angeles,L/s,"","","","",2020-04-09T19:01:59.039Z UTC
@p:ubcv:r:23d51440-2d74b9a7 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-47.AI-2,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004438,✓,JCL-NAE11/FC-A.VND-11A-47.AI-2,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.868-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-47.AI-2,✓,AI3003487,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-47.AI-2.Trend1,Los_Angeles,L/s,"","","","",2020-04-09T19:01:59.04Z UTC
@p:ubcv:r:23d51441-40739c0d Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-43.BV-19.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3010296,✓,JCL-NAE11/FC-A.VND-11A-43.BV-19.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-04-20T00:37:54-07:00 Los_Angeles,"","",359,2018-08-22T15:24:08-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.749-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-43.BV-19.Trend1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","","",Los_Angeles,"","","","","",2020-04-08T18:55:20.182Z UTC
@p:ubcv:r:23d5143f-bbef3139 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-26.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004396,✓,JCL-NAE11/FC-A.VND-11A-26.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-11T20:42:14-07:00 Los_Angeles,"","",769,2018-11-20T23:06:43-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.943-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-26.BO-1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-26.BO-1.Trend1,Los_Angeles,"","","","","",2020-04-08T18:50:21.616Z UTC
@p:ubcv:r:23d51440-998eff0c Brock Hall Unsorted Points JCL-NAE11/Programming.Data Mapping.CU5 Active SP,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3006597,✓,JCL-NAE11/Programming.Data Mapping.CU5 Active SP,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",68627,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:32.922-07:00 Los_Angeles,"","","",JCL-NAE11/Programming.Data Mapping.CU5 Active SP,✓,AV3006596,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/Programming.Data Mapping.CU5 Active SP.Trend1,Los_Angeles,°C,"","","","",2020-04-09T19:01:59.041Z UTC
