id,air,alarm,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,covTest,current,damper,delta,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,filter,flow,gas,groupRef,heating,highLim,his,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,lastTagged,leaving,lowLim,max,min,mode,navName,noTagMatch,objectId,occ,outside,point,pointType,power,pressure,ptTest,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,tagTableRef,tags,temp,testUnits,tlName,tz,unit,utilityPoint,volt,voltage,volume,water,zone,mod
@p:ubcv:r:23d11fd8-f278c69a NSDC Unsorted Points NSDC_VAV220_RM222_RT,✓,"",@p:ubcv:r:23d10ff4-01c905fa NSDC NSDC_VAV220_RM222 (780240),TL96,✓,NSDC_VAV220_RM222_RT,"","",@p:ubcv:r:23d10ff4-01c905fa NSDC NSDC_VAV220_RM222 (780240),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:43:13-07:00 Los_Angeles,"","",43624,2019-01-13T13:05:54-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:30.959-07:00 Los_Angeles,2019-01-23T16:53:10.837-08:00 Los_Angeles,"","","","","",Zone Temp,"",AI101,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"",NSDC_VAV220_RM222_RT_POLL_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:45.046Z UTC
@p:ubcv:r:245f5de2-dcf65537 NSDC Unsorted Points NSDC_VAV226_RM213_DMP_OP,"","",@p:ubcv:r:245f5c92-f0aa9f50 NSDC_VAV226_RM213 (780246),TL92,✓,NSDC_VAV226_RM213_DMP_OP,"","",@p:ubcv:r:245f5c92-f0aa9f50 NSDC_VAV226_RM213 (780246),"","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T06:41:54-07:00 Los_Angeles,"","",53963,2019-05-03T04:22:06-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:50:39.239-07:00 Los_Angeles,"","","","","","",NSDC_VAV226_RM213_DMP_OP,✓,BO6,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_VAV226_RM213_Dmp_Open_TL*,Los_Angeles,"","","","","","","",2020-04-08T18:54:49.182Z UTC
@p:ubcv:r:23d11a8f-b5de0a96 NSDC Unsorted Points NSDC_WM5_MTR_LAST_MAR,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL209,✓,NSDC_WM5_MTR_LAST_MAR,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),✓,"","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:49-07:00 Los_Angeles,"",cov,45347,2019-01-13T12:38:17-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:50.504-07:00 Los_Angeles,"","","","","","",NSDC_WM5_MTR_LAST_MAR,✓,AV153,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_WM5_MTR_LAST_MAR_POLL_TL,Los_Angeles,L,"","","","","","",2020-04-09T19:02:43.777Z UTC
@p:ubcv:r:23d11a8e-0fcbc0f6 NSDC Unsorted Points NSDC_WM2_MTR_LAST_JUN,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL129,✓,NSDC_WM2_MTR_LAST_JUN,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),✓,"","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:49-07:00 Los_Angeles,"",cov,45347,2019-01-13T12:38:17-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:49.307-07:00 Los_Angeles,"","","","","","",NSDC_WM2_MTR_LAST_JUN,✓,AV38,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_WM2_MTR_LAST_JUN_POLL_TL,Los_Angeles,L,"","","","","","",2020-04-09T19:02:43.78Z UTC
@p:ubcv:r:23d11a8e-6fe67506 NSDC Unsorted Points NSDC_2N1L_PWR_MTR_TOTAL_POWER_FACTOR,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL1418,✓,NSDC_2N1L_PWR_MTR_TOTAL_POWER_FACTOR,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:39-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:16-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:44.214-07:00 Los_Angeles,"","","","","","",NSDC_2N1L_PWR_MTR_TOTAL_POWER_FACTOR,✓,AV1382,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_2N1L_PWR_MTR_TOTAL_POWER_FACTOR_POLL_TL,Los_Angeles,pf,"","","","","","",2020-04-09T19:02:43.782Z UTC
@p:ubcv:r:23d11b5d-dc246b92 NSDC Unsorted Points NSDC_BLDG_CAL_BV,"","",@p:ubcv:r:23d10ea4-9ca186a7 NSDC NSDC_HRV7_Rm162 (780113),TL19,✓,NSDC_BLDG_CAL_BV,"","",@p:ubcv:r:23d10ea4-9ca186a7 NSDC NSDC_HRV7_Rm162 (780113),"","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-01-29T08:08:28-08:00 Los_Angeles,"","",1,2020-01-29T08:08:28-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:41:21.354-07:00 Los_Angeles,"","","","","","",NSDC_BLDG_CAL_BV,✓,BV1,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_BLDG_CAL_BV_COV_TL,Los_Angeles,"","","","","","","",2020-04-08T18:52:57.86Z UTC
@p:ubcv:r:23d11b9d-f79d7a4e NSDC Unsorted Points NSDC_GM3_MTR_LAST_AUG,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),TL532,✓,NSDC_GM3_MTR_LAST_AUG,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),✓,"","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:45:29-07:00 Los_Angeles,"",cov,44841,2019-01-13T12:37:29-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:53.627-07:00 Los_Angeles,"","","","","","",NSDC_GM3_MTR_LAST_AUG,✓,AV381,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_GM3_MTR_LAST_AUG_POLL_TL,Los_Angeles,m³,"","","","","","",2020-04-09T19:02:44.492Z UTC
@p:ubcv:r:23d11a8e-2c2c5592 NSDC Unsorted Points NSDC_2N1L_PWR_MTR_PHASE_C_CURRENT,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL1402,✓,NSDC_2N1L_PWR_MTR_PHASE_C_CURRENT,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:38-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:16-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:42.122-07:00 Los_Angeles,"","","","","","",NSDC_2N1L_PWR_MTR_PHASE_C_CURRENT,✓,AV1366,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_2N1L_PWR_MTR_PHASE_C_CURRENT_POLL_TL,Los_Angeles,A,"","","","","","",2020-04-09T19:02:43.786Z UTC
@p:ubcv:r:23d11f17-bbf13795 NSDC Unsorted Points NSDC_VAV213_RM221_MO,"","",@p:ubcv:r:23d10ff4-e6610e2a NSDC NSDC_VAV213_RM221_221B (780233),TL97,✓,NSDC_VAV213_RM221_MO,"","",@p:ubcv:r:23d10ff4-e6610e2a NSDC NSDC_VAV213_RM221_221B (780233),"","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T14:55:58-07:00 Los_Angeles,"","",7551,2019-01-14T05:53:11-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:51:45.168-07:00 Los_Angeles,2019-01-23T16:53:09.078-08:00 Los_Angeles,"","","","","",Occupancy Sensor,"",BI2,✓,"",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:23e65d0e-5cfced55 .+_MO(_BV)?(_TL)?,"","","",NSDC_VAV213_RM221_MO_COV_TL,Los_Angeles,"","","","","","","",2020-04-08T18:54:43.676Z UTC
@p:ubcv:r:23d11a8e-457499dd NSDC Unsorted Points NSDC_2N1P_PWR_MTR_TOTAL_APPARENT_POWER,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL1346,✓,NSDC_2N1P_PWR_MTR_TOTAL_APPARENT_POWER,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","",✓,"","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,VA => kW,2020-05-12T15:32:42-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:12-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:45.388-07:00 Los_Angeles,2019-01-23T16:52:58.365-08:00 Los_Angeles,"","","","","",Power,"",AV1208,"","",✓,"",✓,"","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:23e65d0f-1a1d5719 .+_POWER(_TL)?,"","","",NSDC_2N1P_PWR_MTR_TOTAL_APPARENT_POWER_POLL_TL,Los_Angeles,kW,"","","","","","",2020-04-21T20:26:47.419Z UTC
@p:ubcv:r:23d11b3d-f8b01e3e NSDC Unsorted Points NSDC_HRV6_RM163_VAR,"","",@p:ubcv:r:23d10ea4-0b416085 NSDC NSDC_HRV6_Rm163 (780112),TL14,✓,NSDC_HRV6_RM163_VAR,"","",@p:ubcv:r:23d10ea4-0b416085 NSDC NSDC_HRV6_Rm163 (780112),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:37:46-07:00 Los_Angeles,"","",44389,2019-01-13T12:46:31-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:41:23.41-07:00 Los_Angeles,"","","","","","",NSDC_HRV6_RM163_VAR,✓,AV22,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_HRV6_RM163_VAR_POLL_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:44.457Z UTC
@p:ubcv:r:23d11fb4-ffb499ed NSDC Unsorted Points NSDC_VAV217_RM230_DMP,✓,"",@p:ubcv:r:23d10ff4-511b097f NSDC NSDC_VAV217_RM230_AHU3_DH (780237),TL6,✓,NSDC_VAV217_RM230_DMP,✓,"",@p:ubcv:r:23d10ff4-511b097f NSDC NSDC_VAV217_RM230_AHU3_DH (780237),"","",✓,"","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:43:38-07:00 Los_Angeles,"","",42957,2019-01-13T13:06:08-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:48:04.135-07:00 Los_Angeles,2019-01-23T16:52:58.534-08:00 Los_Angeles,"","","","","",Discharge Air Damper Cmd,"",AV16,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:23e65d0e-f295c554 (.+_)?VAV.+_DMP(_TL)?,"","","",NSDC_VAV217_RM230_DMP_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:45.03Z UTC
@p:ubcv:r:23d11b09-fcec3839 NSDC Unsorted Points NSDC_HRV2_RM154_MO,"","",@p:ubcv:r:23d10ea4-d8686a06 NSDC NSDC_HRV2_Rms153_154 (780108),TL9,✓,NSDC_HRV2_RM154_MO,"","",@p:ubcv:r:23d10ea4-d8686a06 NSDC NSDC_HRV2_Rms153_154 (780108),"","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-04-25T10:59:03-07:00 Los_Angeles,"","",52843,2019-01-14T00:47:46-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:41:22.58-07:00 Los_Angeles,2019-01-23T16:52:56.498-08:00 Los_Angeles,"","","","","",Occupancy Sensor,"",BI205,✓,"",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:23e65d0e-5cfced55 .+_MO(_BV)?(_TL)?,"","","",NSDC_HRV2_RM154_MO_COV_TL,Los_Angeles,"","","","","","","",2020-04-08T18:52:19.829Z UTC
@p:ubcv:r:23d11a90-fed16169 NSDC Unsorted Points NSDC_BLR_MIN_OAT_SP,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL70,✓,NSDC_BLR_MIN_OAT_SP,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:46-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:07-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:48.559-07:00 Los_Angeles,"","","","","","",NSDC_BLR_MIN_OAT_SP,✓,AV9,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_BLR_MIN_OAT_SP_POLL_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:43.794Z UTC
@p:ubcv:r:23d11a8f-2fe7cbca NSDC Unsorted Points NSDC_WM5_MTR_THIS_FEB,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL222,✓,NSDC_WM5_MTR_THIS_FEB,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:49-07:00 Los_Angeles,"","",45346,2019-01-13T12:38:16-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:50.514-07:00 Los_Angeles,"","","","","","",NSDC_WM5_MTR_THIS_FEB,✓,AV166,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_WM5_MTR_THIS_FEB_POLL_TL,Los_Angeles,L,"","","","","","",2020-04-09T19:02:43.795Z UTC
@p:ubcv:r:23d11e72-ebcc3e40 NSDC Unsorted Points NSDC_VAV206_RM212NE_DMP_OP,"","",@p:ubcv:r:23d10ff4-b6526695 NSDC NSDC_VAV206_RM212NE (780226),TL92,✓,NSDC_VAV206_RM212NE_DMP_OP,"","",@p:ubcv:r:23d10ff4-b6526695 NSDC NSDC_VAV206_RM212NE (780226),"","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:35:17-07:00 Los_Angeles,"","",71508,2019-01-14T17:56:52-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:46:22.246-07:00 Los_Angeles,"","","","","","",NSDC_VAV206_RM212NE_DMP_OP,✓,BO6,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_VAV206_RM212NE_Dmp_Open_TL*,Los_Angeles,"","","","","","","",2020-04-08T18:54:49.255Z UTC
@p:ubcv:r:23d11a90-61c7cd85 NSDC Unsorted Points NSDC_HWS_LEAD_PUMP_VFD_ENAB_BV,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL96,✓,NSDC_HWS_LEAD_PUMP_VFD_ENAB_BV,✓,"",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","",✓,"","","OFF,ON","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T05:01:04-07:00 Los_Angeles,"","",766,2019-01-10T22:10:12-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:42:41.038-07:00 Los_Angeles,2019-01-23T16:52:49.203-08:00 Los_Angeles,"","","","","",Enable Cmd,"",BV29,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:25f55206-e97a42dc .+_ENAB_BV(_TL)?,"","","",NSDC_HWS_LEAD_PUMP_VFD_ENAB_BV_COV_TL,Los_Angeles,"","","","","","","",2020-04-08T18:54:44.229Z UTC
@p:ubcv:r:23d11e09-7f0a97a8 NSDC Unsorted Points NSDC_VAV203_RM202_SAT,✓,"",@p:ubcv:r:23d10ff4-1c552592 NSDC NSDC_VAV203_RM202 (780223),TL97,✓,NSDC_VAV203_RM202_SAT,"","",@p:ubcv:r:23d10ff4-1c552592 NSDC NSDC_VAV203_RM202 (780223),"","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:43:15-07:00 Los_Angeles,"","",44611,2019-01-13T13:05:59-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:15.087-07:00 Los_Angeles,2019-01-23T16:52:53.151-08:00 Los_Angeles,"","","","","",Discharge Air Temp,"",AI1,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,"",✓,"",NSDC_VAV203_RM202_SAT_POLL_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:44.891Z UTC
@p:ubcv:r:23d11a8f-1c24fd73 NSDC Unsorted Points NSDC_WM5_MTR_THIS_OCT,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL230,✓,NSDC_WM5_MTR_THIS_OCT,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:49-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:16-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:49.327-07:00 Los_Angeles,"","","","","","",NSDC_WM5_MTR_THIS_OCT,✓,AV174,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_WM5_MTR_THIS_OCT_POLL_TL,Los_Angeles,L,"","","","","","",2020-04-09T19:02:43.801Z UTC
@p:ubcv:r:23d11b08-cb2ee247 NSDC Unsorted Points NSDC_HRV2_RM153_VAR,"","",@p:ubcv:r:23d10ea4-d8686a06 NSDC NSDC_HRV2_Rms153_154 (780108),TL16,✓,NSDC_HRV2_RM153_VAR,"","",@p:ubcv:r:23d10ea4-d8686a06 NSDC NSDC_HRV2_Rms153_154 (780108),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:40:25-07:00 Los_Angeles,"","",45337,2019-01-13T12:33:25-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:41:25.754-07:00 Los_Angeles,"","","","","","",NSDC_HRV2_RM153_VAR,✓,AV22,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_HRV2_RM153_VAR_POLL_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:44.437Z UTC
@p:ubcv:r:23d11a8f-a811f51f NSDC Unsorted Points NSDC_2N3K_PWR_MTR_THIS_AUG_PEAK_DEMAND,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL1507,✓,NSDC_2N3K_PWR_MTR_THIS_AUG_PEAK_DEMAND,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:48-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:16-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:48.568-07:00 Los_Angeles,"","","","","","",NSDC_2N3K_PWR_MTR_THIS_AUG_PEAK_DEMAND,✓,AV1476,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_2N3K_PWR_MTR_THIS_AUG_PEAK_DEMAND_POLL_TL,Los_Angeles,Wh,"","","","","","",2020-04-09T19:02:43.806Z UTC
@p:ubcv:r:23d11b9d-e30e50f3 NSDC Unsorted Points NSDC_AHU2_SAT_RESET,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),TL24,✓,NSDC_AHU2_SAT_RESET,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:45:29-07:00 Los_Angeles,"","",44841,2019-01-13T12:37:27-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:53.733-07:00 Los_Angeles,"","","","","","",NSDC_AHU2_SAT_RESET,✓,AO1502,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_AHU2_SAT_RESET_POLL_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:44.506Z UTC
@p:ubcv:r:23d11c2d-75eee94d NSDC Unsorted Points NSDC_VAV305_RM314_DMP_OP,"","",@p:ubcv:r:23d10ff4-078d654c NSDC NSDC_VAV305_RM314 (780205),TL92,✓,NSDC_VAV305_RM314_DMP_OP,"","",@p:ubcv:r:23d10ff4-078d654c NSDC NSDC_VAV305_RM314 (780205),"","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T14:40:22-07:00 Los_Angeles,"","",30451,2019-01-14T16:54:46-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:45:52.561-07:00 Los_Angeles,"","","","","","",NSDC_VAV305_RM314_DMP_OP,✓,BO6,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_VAV305_RM314_Dmp_Open_TL*,Los_Angeles,"","","","","","","",2020-04-08T18:54:49.286Z UTC
