id,air,alarm,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,covTest,current,damper,delta,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,filter,flow,gas,groupRef,heating,highLim,his,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,lastTagged,leaving,lowLim,max,min,mode,navName,noTagMatch,objectId,occ,outside,point,pointType,power,pressure,ptTest,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,tagTableRef,tags,temp,testUnits,tlName,tz,unit,utilityPoint,volt,voltage,volume,water,zone,mod
@p:ubcv:r:23d11f38-8aaf2b66 NSDC Unsorted Points NSDC_VAV214_RM214_RT_SP,✓,"",@p:ubcv:r:23d10ff4-dba67c8c NSDC NSDC_VAV214_RM214 (780234),TL2,✓,NSDC_VAV214_RM214_RT_SP,"","",@p:ubcv:r:23d10ff4-dba67c8c NSDC NSDC_VAV214_RM214 (780234),"","","","","",$equipRef $bmsName,"",✓,"","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:44:14-07:00 Los_Angeles,"","",43625,2019-01-13T12:51:32-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:30.587-07:00 Los_Angeles,2019-01-23T16:53:07.946-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"",AV6,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"",✓,"","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"",✓,"",NSDC_VAV214_RM214_RT_SP_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:45.003Z UTC
@p:ubcv:r:23d11b9e-80d9f094 NSDC Unsorted Points NSDC_AHU3_HUMIDITY_SP_MUXED_CP780200,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),TL617,✓,NSDC_AHU3_HUMIDITY_SP_MUXED_CP780200,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:45:30-07:00 Los_Angeles,"","",44841,2019-01-13T12:37:25-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:55.761-07:00 Los_Angeles,"","","","","","",NSDC_AHU3_HUMIDITY_SP_MUXED_CP780200,✓,AV470,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_AHU3_HUMIDITY_SP_MUXED_CP780200_POLL_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:44.667Z UTC
@p:ubcv:r:23d11d9f-d38fc65c NSDC Unsorted Points NSDC_VAV201_RM201_SAT,✓,"",@p:ubcv:r:23d10ff4-ef666b87 NSDC NSDC_VAV201_RM201 (780221),TL97,✓,NSDC_VAV201_RM201_SAT,"","",@p:ubcv:r:23d10ff4-ef666b87 NSDC NSDC_VAV201_RM201 (780221),"","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:28:54-07:00 Los_Angeles,"","",42673,2019-01-13T13:06:17-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:41:23.708-07:00 Los_Angeles,2019-01-23T16:52:59.161-08:00 Los_Angeles,"","","","","",Discharge Air Temp,"",AI1,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,"",✓,"",NSDC_VAV201_RM201_SAT_POLL_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:44.876Z UTC
@p:ubcv:r:23d11a8e-22d365db NSDC Unsorted Points NSDC_2N1P_PWR_MTR_TODAY,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL1436,✓,NSDC_2N1P_PWR_MTR_TODAY,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:42-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:13-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:46.895-07:00 Los_Angeles,"","","","","","",NSDC_2N1P_PWR_MTR_TODAY,✓,AV1161,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_2N1P_PWR_MTR_TODAY_POLL_TL,Los_Angeles,Wh,"","","","","","",2020-04-09T19:02:44.3Z UTC
@p:ubcv:r:23d11a8f-8ad91c50 NSDC Unsorted Points P4 NSDC_DHW_WC_P4_S_BV,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL425,✓,NSDC_DHW_WC_P4_S_BV,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $equipName $bmsName,"","","","","","","OFF,ON",P4,@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:40:26-07:00 Los_Angeles,"","",73947,2019-01-15T11:10:14-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:42:50.77-07:00 Los_Angeles,2019-01-23T16:53:04.695-08:00 Los_Angeles,"","","","","",NSDC_DHW_WC_P4_S_BV,✓,BV155,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_DHW_WC_P4_S_BV_COV_TL,Los_Angeles,"","","","","","","",2020-04-08T18:49:52.585Z UTC
@p:ubcv:r:23d11b9e-e2a42512 NSDC Unsorted Points NSDC_GM3_MTR_THIS_MAY,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),TL557,✓,NSDC_GM3_MTR_THIS_MAY,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:45:30-07:00 Los_Angeles,"","",44841,2019-01-13T12:37:27-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:55.874-07:00 Los_Angeles,"","","","","","",NSDC_GM3_MTR_THIS_MAY,✓,AV406,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_GM3_MTR_THIS_MAY_POLL_TL,Los_Angeles,m³,"","","","","","",2020-04-09T19:02:44.676Z UTC
@p:ubcv:r:23d11a8e-51737e45 NSDC Unsorted Points NSDC_TXN_13_2N1H_PWR_MTR_THIS_JAN_PEAK_DEMAND,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL1452,✓,NSDC_TXN_13_2N1H_PWR_MTR_THIS_JAN_PEAK_DEMAND,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:41-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:13-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:46.924-07:00 Los_Angeles,"","","","","","",NSDC_TXN_13_2N1H_PWR_MTR_THIS_JAN_PEAK_DEMAND,✓,AV1421,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_TXN_13_2N1H_PWR_MTR_THIS_JAN_PEAK_DEMAND_POLL_TL,Los_Angeles,Wh,"","","","","","",2020-04-09T19:02:44.311Z UTC
@p:ubcv:r:23d12011-ad9f0a9f NSDC Unsorted Points NSDC_VAV221_RM212SW_FLW,✓,"",@p:ubcv:r:23d10ff4-7ef7d2f9 NSDC NSDC_VAV221_RM212SW (780241),TL3,✓,NSDC_VAV221_RM212SW_FLW,"","",@p:ubcv:r:23d10ff4-7ef7d2f9 NSDC NSDC_VAV221_RM212SW (780241),"","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","",✓,"",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:43:25-07:00 Los_Angeles,"","",43625,2019-01-13T13:06:01-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:53.608-07:00 Los_Angeles,2019-01-23T16:52:52.739-08:00 Los_Angeles,"","","","","",Discharge Air Flow,"",AV18,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_VAV221_RM212SW_FLW_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:45.064Z UTC
@p:ubcv:r:23d11ec8-2a21eccf NSDC Unsorted Points NSDC_VAV210_RM222_RT_AV,✓,"",@p:ubcv:r:23d10ff4-b1af6622 NSDC NSDC_VAV210_RM222 (780230),TL1,✓,NSDC_VAV210_RM222_RT_AV,"","",@p:ubcv:r:23d10ff4-b1af6622 NSDC NSDC_VAV210_RM222 (780230),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:42:54-07:00 Los_Angeles,"","",43624,2019-01-13T13:05:35-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:44:34.484-07:00 Los_Angeles,2019-01-23T16:53:27.803-08:00 Los_Angeles,"","","","","",Zone Temp,"",AV24,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"",NSDC_VAV210_RM222_RT_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:44.963Z UTC
@p:ubcv:r:23d11a8e-1090b268 NSDC Unsorted Points NSDC_6N1M_PWR_MTR_PHASE_C_VOLTAGE,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL1143,✓,NSDC_6N1M_PWR_MTR_PHASE_C_VOLTAGE,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:40-07:00 Los_Angeles,"","",45346,2019-01-13T12:38:15-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:45.291-07:00 Los_Angeles,"","","","","","",NSDC_6N1M_PWR_MTR_PHASE_C_VOLTAGE,✓,AV1086,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_6N1M_PWR_MTR_PHASE_C_VOLTAGE_POLL_TL,Los_Angeles,V,"","","","","","",2020-04-09T19:02:44.315Z UTC
