id,air,average,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,cur,curConvert,curErr,curStatus,damper,delta,deltaTempPoint,demand,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pressure,pump,quantityID,return,run,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:25a35716-c1a85e8f Cunningham Unsorted Points F04_SAT_SP,✓,"",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL24,"",F04_SAT_SP,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9584,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Discharge Air Temp Sp,"",AV13,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"",✓,"","","","",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,F04_SAT_SP_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.153Z UTC
@p:ubcv:r:25a3574e-2e0c6476 Cunningham Unsorted Points CUNNINGHAM_HE_04_ENABLE_BV,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL9,"",CUNNINGHAM_HE_04_ENABLE_BV,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-06T19:03:46-07:00 Los_Angeles,conn fault,"","",2,2020-04-06T18:13:24-07:00 Los_Angeles,fault,"","",Bool,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",CUNNINGHAM_HE_04_ENABLE_BV,✓,BV24,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_HE_04_ENABLE_BV_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:52:19.87Z UTC
@p:ubcv:r:25a35719-1fd85901 Cunningham Unsorted Points 625_AHU_01_EF_C,✓,"",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL65,"",625_AHU_01_EF_C,✓,"",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,✓,✓,"",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9665,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Bool,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",Exhaust Fan Run Cmd,"",BO1102,"","","","",✓,"","","","","",✓,"",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:23e65d0f-fd222d43 (.+_)?EF_?(\d+)?(_A_\d+)?_F?C(_TL)?,"",625_AHU_01_EF_C_POLL_TL,Los_Angeles,"","","","","","",2020-04-08T18:54:20.14Z UTC
@p:ubcv:r:25a3574e-7a0a214e Cunningham Unsorted Points CUNNINGHAM_HE_04_TEMP_DEMAND,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL49,"",CUNNINGHAM_HE_04_TEMP_DEMAND,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",CUNNINGHAM_HE_04_TEMP_DEMAND,✓,AV257,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_HE_04_TEMP_DEMAND_POLL_TL,Los_Angeles,%,"","","","","",2020-04-09T19:02:45.113Z UTC
@p:ubcv:r:25a35718-9ac75074 Cunningham Unsorted Points P03 625_AHU_02_P03_PS,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL45,"",625_AHU_02_P03_PS,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","",P03,@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9665,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",Run Status,"",AI2201,"","","","",✓,"","",✓,"","",✓,✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:2401fc01-30caa756 .+_PC?H?\d+[A-Z]?_P?S(_\d+)?(_TL)?,"",625_AHU_02_P03_PS_POLL_TL,Los_Angeles,A,"","","",✓,"",2020-05-12T11:03:27.006Z UTC
@p:ubcv:r:25a35718-4d6f3032 Cunningham Unsorted Points CUNNINGHAM_KAM_SWT_MUX,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL20,"",CUNNINGHAM_KAM_SWT_MUX,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",CUNNINGHAM_KAM_SWT_MUX,✓,AV231,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_KAM_SWT_MUX_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.179Z UTC
@p:ubcv:r:25a35718-869d1108 Cunningham Unsorted Points 625_AHU1_RM367_RT,✓,"",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL41,"",625_AHU1_RM367_RT,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9665,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",Zone Temp,"",AI1705,"","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,625_AHU1_RM367_RT_POLL_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:45.18Z UTC
@p:ubcv:r:25a3574d-c28b9fda Cunningham Unsorted Points CUNNINGHAM_AHU_03_AVG_RT_SP_MUX,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL48,"",CUNNINGHAM_AHU_03_AVG_RT_SP_MUX,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",CUNNINGHAM_AHU_03_AVG_RT_SP_MUX,✓,AV13,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_AHU_03_AVG_RT_SP_MUX_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.114Z UTC
@p:ubcv:r:25a35716-cf9fa74b Cunningham Unsorted Points F03_HC08_HCV,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL13,"",F03_HC08_HCV,✓,"",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,✓,✓,"","",2020-04-08T23:09:01-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:07:27-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO1201,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",F03_HC08_HCV_POLL_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:45.154Z UTC
@p:ubcv:r:25a35718-7b777e6d Cunningham Unsorted Points 625_AHU_02_OAD,✓,"",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL50,"",625_AHU_02_OAD,✓,"",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","",✓,"","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9665,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",Outside Air Damper Cmd,"",AO1401,"","","",✓,✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:23e65d0f-65ca6cdf .+_OAD(_\d+)?(_TL)?,"",625_AHU_02_OAD_POLL_TL,Los_Angeles,%,"","","","","",2020-04-09T19:02:45.181Z UTC
@p:ubcv:r:25a35716-54b4afe0 Cunningham Unsorted Points CUNNINGHAM_FC_RM76_UNIT_STATUS,"","",@p:ubcv:r:25a26127-8b359ceb CUNN FC Rm 76 (790012),"",TL1,"",CUNNINGHAM_FC_RM76_UNIT_STATUS,"","",@p:ubcv:r:25a26127-8b359ceb CUNN FC Rm 76 (790012),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T07:02:35-07:00 Los_Angeles,conn fault,"","",769,2019-12-30T07:18:12-08:00 Los_Angeles,fault,"","",Bool,2020-05-05T16:02:25.426-07:00 Los_Angeles,"","",CUNNINGHAM_FC_RM76_UNIT_STATUS,✓,BI1,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_FC_RM76_UNIT_STATUS_TL,Los_Angeles,"","","","","","",2020-04-08T18:50:51.707Z UTC
@p:ubcv:r:25a35719-ff962b3e Cunningham HX-1 CUNNINGHAM_HX1_ENABLE,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL82,"",CUNNINGHAM_HX1_ENABLE,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:2634be7d-99da72ee Cunningham HX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-06T06:22:26-07:00 Los_Angeles,conn fault,"","",98,2020-01-08T08:04:07-08:00 Los_Angeles,fault,"","",Bool,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",CUNNINGHAM_HX1_ENABLE,✓,BV15,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_HX1_ENABLE_COV_TL,Los_Angeles,"","","","","","",2020-04-23T21:02:30.797Z UTC
@p:ubcv:r:25a3574d-24528baa Cunningham Unsorted Points CUNNINGHAM_AHU03_S,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL13,"",CUNNINGHAM_AHU03_S,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:08:41-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:07:22-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",CUNNINGHAM_AHU03_S,✓,AI1101,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_AHU03_S_POLL_TL,Los_Angeles,A,"","","","","",2020-04-09T19:02:45.115Z UTC
@p:ubcv:r:25a35716-b25dfffa Cunningham Unsorted Points P6 F03_01_HC12_P6_PC,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL1,"",F03_01_HC12_P6_PC,✓,"",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","OFF,ON",P6,@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T15:04:16-07:00 Los_Angeles,conn fault,"","",2613,2020-01-08T08:03:15-08:00 Los_Angeles,fault,"",✓,Bool,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Run Cmd,"",BO1101,"","","","",✓,"","",✓,"","",✓,"",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:244ba6df-17358a53 .+_PC?H?\d+[A-Z]?_P?C(_\d+)?(_TL)?,"",F03_01_HC12_P6_PC_COV_TL,Los_Angeles,"","","","",✓,"",2020-05-12T11:03:27.118Z UTC
@p:ubcv:r:25a35718-c30b0c34 Cunningham DHX-1 CUNNINGHAM_DHX1_DHW_SWT_SP,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL8,"",CUNNINGHAM_DHX1_DHW_SWT_SP,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2634bf37-c0127d78 Cunningham DHX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:57:31.995-07:00 Los_Angeles,✓,"",Leaving Hot Water Temp Sp,"",AV15,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"",✓,"","","","",@p:ubcv:r:23e65d0e-8ea199af .+_(L|S)WT_SP(_TL)?,✓,CUNNINGHAM_DHX1_DHW_SWT_SP_TL,Los_Angeles,°C,"","","",✓,"",2020-04-23T21:04:52.852Z UTC
@p:ubcv:r:25a35718-1186d084 Cunningham HX-1 P1 625_HX1_HWS_625_P1_VFD_SPD,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL53,"",625_HX1_HWS_625_P1_VFD_SPD,✓,"",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","",P1,@p:ubcv:r:2634be7d-99da72ee Cunningham HX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9665,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",Speed Cmd,"",AO1502,"","","","",✓,"","",✓,"","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","",✓,"","","",@p:ubcv:r:23e65d0f-375a5dca .+_P(HX)?\d+[A-Z]?(_VFD)?_SPD(_AV)?(_TL)?,"",625_HX1_HWS_625_P1_VFD_SPD_POLL_TL,Los_Angeles,%,"","","","","",2020-05-12T11:03:27.276Z UTC
@p:ubcv:r:25a35716-1364d6a6 Cunningham Unsorted Points P8 F03_02_HC11_P8_PS,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL7,"",F03_02_HC11_P8_PS,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","",P8,@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:09:01-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:07:27-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Run Status,"",AI1102,"","","","",✓,"","",✓,"","",✓,✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:2401fc01-30caa756 .+_PC?H?\d+[A-Z]?_P?S(_\d+)?(_TL)?,"",F03_02_HC11_P8_PS_POLL_TL,Los_Angeles,A,"","","",✓,"",2020-05-12T11:03:26.965Z UTC
@p:ubcv:r:25a35719-f13a8cf7 Cunningham Unsorted Points 625_AHU_02_DX,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL66,"",625_AHU_02_DX,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9665,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Bool,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",625_AHU_02_DX,✓,BO1103,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",625_AHU_02_DX_POLL_TL,Los_Angeles,"","","","","","",2020-04-08T18:54:25.224Z UTC
@p:ubcv:r:25a3574e-35563d55 Cunningham Unsorted Points CUNNINGHAM_HC06_SAT_SP,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL42,"",CUNNINGHAM_HC06_SAT_SP,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",Discharge Air Temp Sp,"",AV254,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"",✓,"","","","",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,CUNNINGHAM_HC06_SAT_SP_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.116Z UTC
@p:ubcv:r:25a35718-906732c4 Cunningham DHX-1 625_DHX1_SRC_VLV,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL3,"",625_DHX1_SRC_VLV,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2634bf37-c0127d78 Cunningham DHX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",625_DHX1_SRC_VLV,✓,AO1404,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",625_DHX1_SRC_VLV_TL,Los_Angeles,%,"","","","","",2020-04-23T21:04:52.852Z UTC
@p:ubcv:r:25a35718-b323d2b9 Cunningham Unsorted Points 625_AHU_01_MAD,✓,"",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL48,"",625_AHU_01_MAD,✓,"",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","",✓,"","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9665,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.995-07:00 Los_Angeles,"",✓,Mixed Air Damper Cmd,"",AO1301,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:245cb36b-079a5e5e .+_MAD(_AV)?(_TL)?,"",625_AHU_01_MAD_POLL_TL,Los_Angeles,%,"","","","","",2020-04-09T19:02:45.185Z UTC
@p:ubcv:r:25a35718-d8247978 Cunningham Unsorted Points CUNNINGHAM_KAM_POWER_MUX,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL23,"",CUNNINGHAM_KAM_POWER_MUX,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",CUNNINGHAM_KAM_POWER_MUX,✓,AV234,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_KAM_POWER_MUX_TL,Los_Angeles,kW,"","","","","",2020-04-09T19:02:45.186Z UTC
@p:ubcv:r:21dffdad-79401637 Cunningham HW Main Meter Flow,"","",@p:ubcv:r:21cacade-81dcf7f7 CUNN DES Meter,AI4,"",✓,"","","",@p:ubcv:r:21cacade-81dcf7f7 CUNN DES Meter,✓,L/h => L/s,conn fault,fault,"","","","",$equipRef $navName,"","","","","","","","",@p:ubcv:r:215fd39e-2437f29b Cunningham HW Main Meter,"","","",✓,@p:ubcv:r:21697fca-2b8e529c Cunningham Utilities,"",✓,0.25L/s,10min,2020-04-09T03:30:00-07:00 Los_Angeles,"","",consumption,188877,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,"","","",Flow,"","","","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","","",Los_Angeles,L/s,✓,"","",✓,"",2020-04-28T00:03:35.223Z UTC
@p:ubcv:r:25a3574d-36a200c0 Cunningham Unsorted Points CUNNINGHAM_SF04_S,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL18,"",CUNNINGHAM_SF04_S,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"",✓,"",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",Discharge Fan Run Status,"",AI1203,"","","","",✓,"","","","","",✓,✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:23e65d0f-5568e722 .+_SF(\d+)?(_(S|N)\d_\d+)?_F?S(_BV)?(_TL)?,"",CUNNINGHAM_SF04_S_POLL_TL,Los_Angeles,A,"","","","","",2020-04-09T19:02:45.117Z UTC
@p:ubcv:r:21dffdad-aff8ccf6 Cunningham HW Main Meter Leaving Water Temp,"","",@p:ubcv:r:21cacade-81dcf7f7 CUNN DES Meter,AI10,"",✓,"","","",@p:ubcv:r:21cacade-81dcf7f7 CUNN DES Meter,✓,"",conn fault,fault,"","","","",$equipRef $navName,"","","","","","","","",@p:ubcv:r:215fd39e-2437f29b Cunningham HW Main Meter,"","","","",@p:ubcv:r:21697fca-2b8e529c Cunningham Utilities,"",✓,0.5°C,10min,2020-04-09T03:30:00-07:00 Los_Angeles,"","",consumption,593064,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,"",✓,"",Leaving Water Temp,"","","","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","",✓,"",Los_Angeles,°C,✓,"","",✓,"",2020-04-28T00:03:35.224Z UTC
