id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,point,pointType,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,water,mod
@p:ubcv:r:21e14971-401196f3 West Mall Annex HW Main Meter Entering Water Temp,@p:ubcv:r:21cad7a0-6871103c WMAX DES Meter,AI9,✓,@p:ubcv:r:21cad7a0-6871103c WMAX DES Meter,✓,"",ok,81.48999786376953°C,"","",$equipRef $navName,"",✓,@p:ubcv:r:21e14971-1eea40f0 West Mall Annex HW Main Meter,"",@p:ubcv:r:21e14971-91aa3ab0 West Mall Annex Utilities,✓,0.5°C,10min,2020-05-13T09:10:00-07:00 Los_Angeles,"",consumption,228740,2018-01-04T12:30:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,✓,"","","",✓,@p:ubcv:r:21e14971-2d13225e West Mall Annex,"","","",✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.395Z UTC
@p:ubcv:r:21e14971-ae0f6d1b West Mall Annex HW Main Meter Energy,@p:ubcv:r:21cad7a0-6871103c WMAX DES Meter,AI1,✓,@p:ubcv:r:21cad7a0-6871103c WMAX DES Meter,✓,MWh => kWh,ok,1914363.037109375kWh,"","",$equipRef $navName,✓,"",@p:ubcv:r:21e14971-1eea40f0 West Mall Annex HW Main Meter,"",@p:ubcv:r:21e14971-91aa3ab0 West Mall Annex Utilities,✓,"",15min,2020-05-13T09:00:00-07:00 Los_Angeles,"",consumption,139519,2016-05-05T11:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,✓,✓,"",10364,✓,@p:ubcv:r:21e14971-2d13225e West Mall Annex,516,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,✓,2020-04-28T00:03:35.396Z UTC
@p:ubcv:r:21e14971-19222834 West Mall Annex HW Main Meter Power,@p:ubcv:r:21cad7a0-6871103c WMAX DES Meter,AI5,✓,@p:ubcv:r:21cad7a0-6871103c WMAX DES Meter,✓,"",ok,25.700000762939453kW,"","",$equipRef $navName,"","",@p:ubcv:r:21e14971-1eea40f0 West Mall Annex HW Main Meter,"",@p:ubcv:r:21e14971-91aa3ab0 West Mall Annex Utilities,✓,2.298611111111111kW,15min,2020-05-13T09:11:44-07:00 Los_Angeles,"","",402788,2016-05-10T15:45:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,✓,"",✓,"",✓,@p:ubcv:r:21e14971-2d13225e West Mall Annex,"","","","",Los_Angeles,kW,✓,✓,2020-05-13T08:00:08.539Z UTC
@p:ubcv:r:21e14971-9dfaeaf5 West Mall Annex HW Main Meter Leaving Water Temp,@p:ubcv:r:21cad7a0-6871103c WMAX DES Meter,AI10,✓,@p:ubcv:r:21cad7a0-6871103c WMAX DES Meter,✓,"",ok,48.13999938964844°C,"","",$equipRef $navName,"","",@p:ubcv:r:21e14971-1eea40f0 West Mall Annex HW Main Meter,"",@p:ubcv:r:21e14971-91aa3ab0 West Mall Annex Utilities,✓,0.5°C,10min,2020-05-13T09:10:00-07:00 Los_Angeles,"",consumption,166174,2018-01-04T12:30:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,✓,"","","",✓,@p:ubcv:r:21e14971-2d13225e West Mall Annex,"","","",✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.398Z UTC
@p:ubcv:r:21e14971-1e90beae West Mall Annex HW Main Meter Flow,@p:ubcv:r:21cad7a0-6871103c WMAX DES Meter,AI4,✓,@p:ubcv:r:21cad7a0-6871103c WMAX DES Meter,✓,L/h => L/s,ok,0.18666666666666665L/s,"","",$equipRef $navName,"","",@p:ubcv:r:21e14971-1eea40f0 West Mall Annex HW Main Meter,✓,@p:ubcv:r:21e14971-91aa3ab0 West Mall Annex Utilities,✓,0.25L/s,10min,2020-05-13T09:10:00-07:00 Los_Angeles,"",consumption,156571,2018-01-04T12:30:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,✓,"","","",✓,@p:ubcv:r:21e14971-2d13225e West Mall Annex,"","","","",Los_Angeles,L/s,✓,✓,2020-04-28T00:03:35.399Z UTC
@p:ubcv:r:2388a048-bff44f3b West Mall Annex HW Main Meter Water Delta Temp,"","","","","","","","",✓,✓,$equipRef $navName,"","",@p:ubcv:r:21e14971-1eea40f0 West Mall Annex HW Main Meter,"",@p:ubcv:r:21e14971-91aa3ab0 West Mall Annex Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,✓,"","","","",@p:ubcv:r:21e14971-2d13225e West Mall Annex,"","","",✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.4Z UTC
