id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,point,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,water,mod
@p:ubcv:r:225ff180-7bb98157 BC Binning HW Main Meter Flow,@p:ubcv:r:225ff11d-4b460eeb BC Binning DES Meter,AI4,✓,@p:ubcv:r:225ff11d-4b460eeb BC Binning DES Meter,✓,L/h => L/s,ok,0L/s,"","",$equipRef $navName,"","",@p:ubcv:r:225ff180-7eae75b5 BC Binning HW Main Meter,✓,@p:ubcv:r:225ff180-3beb3031 BC Binning Utilities,✓,0.25L/s,10min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,114418,2018-04-10T15:10:00-07:00 Los_Angeles,ok,"",✓,Number,"",Flow,✓,"","",✓,@p:ubcv:r:225ff180-9c08ff94 BC Binning,"","","","",Los_Angeles,L/s,✓,✓,2020-04-28T00:03:35.993Z UTC
@p:ubcv:r:2388a048-b239e0cc BC Binning HW Main Meter Water Delta Temp,"","","","","","","","",✓,✓,$equipRef $navName,"","",@p:ubcv:r:225ff180-7eae75b5 BC Binning HW Main Meter,"",@p:ubcv:r:225ff180-3beb3031 BC Binning Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,✓,"","","",@p:ubcv:r:225ff180-9c08ff94 BC Binning,"","","",✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.994Z UTC
@p:ubcv:r:225ff180-08805029 BC Binning HW Main Meter Leaving Water Temp,@p:ubcv:r:225ff11d-4b460eeb BC Binning DES Meter,AI10,✓,@p:ubcv:r:225ff11d-4b460eeb BC Binning DES Meter,✓,"",ok,40.939998626708984°C,"","",$equipRef $navName,"","",@p:ubcv:r:225ff180-7eae75b5 BC Binning HW Main Meter,"",@p:ubcv:r:225ff180-3beb3031 BC Binning Utilities,✓,0.5°C,10min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,150265,2018-04-10T15:10:00-07:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,✓,"","",✓,@p:ubcv:r:225ff180-9c08ff94 BC Binning,"","","",✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.995Z UTC
@p:ubcv:r:225ff180-58ccff8d BC Binning HW Main Meter Energy,@p:ubcv:r:225ff11d-4b460eeb BC Binning DES Meter,AI1,✓,@p:ubcv:r:225ff11d-4b460eeb BC Binning DES Meter,✓,MWh => kWh,ok,1378217.041015625kWh,"","",$equipRef $navName,✓,"",@p:ubcv:r:225ff180-7eae75b5 BC Binning HW Main Meter,"",@p:ubcv:r:225ff180-3beb3031 BC Binning Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,82213,2017-12-01T00:00:00-08:00 Los_Angeles,ok,✓,✓,Number,"",Energy,✓,"",10364,✓,@p:ubcv:r:225ff180-9c08ff94 BC Binning,68,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,✓,2020-04-28T00:03:35.996Z UTC
@p:ubcv:r:225ff180-b6ec0777 BC Binning HW Main Meter Entering Water Temp,@p:ubcv:r:225ff11d-4b460eeb BC Binning DES Meter,AI9,✓,@p:ubcv:r:225ff11d-4b460eeb BC Binning DES Meter,✓,"",ok,59.869998931884766°C,"","",$equipRef $navName,"",✓,@p:ubcv:r:225ff180-7eae75b5 BC Binning HW Main Meter,"",@p:ubcv:r:225ff180-3beb3031 BC Binning Utilities,✓,0.5°C,10min,2020-05-12T14:04:30-07:00 Los_Angeles,"",consumption,166540,2018-04-10T15:10:00-07:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,✓,"","",✓,@p:ubcv:r:225ff180-9c08ff94 BC Binning,"","","",✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.997Z UTC
@p:ubcv:r:225ff180-6a8c4a99 BC Binning HW Main Meter Power,@p:ubcv:r:225ff11d-4b460eeb BC Binning DES Meter,AI5,✓,@p:ubcv:r:225ff11d-4b460eeb BC Binning DES Meter,✓,"",ok,0kW,"","",$equipRef $navName,"","",@p:ubcv:r:225ff180-7eae75b5 BC Binning HW Main Meter,"",@p:ubcv:r:225ff180-3beb3031 BC Binning Utilities,✓,5kW,15min,2020-05-12T14:00:00-07:00 Los_Angeles,"","",167668,2018-04-10T15:15:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,✓,✓,"",✓,@p:ubcv:r:225ff180-9c08ff94 BC Binning,"","","","",Los_Angeles,kW,✓,✓,2020-05-12T08:00:09.723Z UTC
