id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,opcConnRef,opcCur,opcPoint,point,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:209d26d2-64a5d50d Longhouse HW Main Meter Energy,@p:ubcv:r:21f160ab-de009bee FNLH DES Meter,AI1,✓,@p:ubcv:r:21f160ab-de009bee FNLH DES Meter,✓,MWh => kWh,ok,2530760.009765625kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:209d26d2-118a708d Longhouse HW Main Meter,"",@p:ubcv:r:21697fca-1aa92ab8 Longhouse Utilities,✓,"",15min,2020-05-12T15:30:00-07:00 Los_Angeles,"",consumption,146175,2016-02-24T10:45:00-08:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","",✓,"",10364,✓,@p:ubcv:r:209d26d2-1709d2e1 Longhouse,94,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:36.105Z UTC
@p:ubcv:r:2388a048-0530bc88 Longhouse HW Main Meter Water Delta Temp,"","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:209d26d2-118a708d Longhouse HW Main Meter,"",@p:ubcv:r:21697fca-1aa92ab8 Longhouse Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","",✓,"","","",@p:ubcv:r:209d26d2-1709d2e1 Longhouse,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:36.106Z UTC
@p:ubcv:r:21dffdad-868b8ba0 Longhouse HW Main Meter Entering Water Temp,@p:ubcv:r:21f160ab-de009bee FNLH DES Meter,AI9,✓,@p:ubcv:r:21f160ab-de009bee FNLH DES Meter,✓,"",ok,76.02999877929688°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:209d26d2-118a708d Longhouse HW Main Meter,"",@p:ubcv:r:21697fca-1aa92ab8 Longhouse Utilities,✓,0.5°C,10min,2020-05-12T15:42:48-07:00 Los_Angeles,"",consumption,217953,2018-01-16T17:20:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","",✓,@p:ubcv:r:209d26d2-1709d2e1 Longhouse,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:36.107Z UTC
@p:ubcv:r:21dffdad-9f1729cd Longhouse HW Main Meter Leaving Water Temp,@p:ubcv:r:21f160ab-de009bee FNLH DES Meter,AI10,✓,@p:ubcv:r:21f160ab-de009bee FNLH DES Meter,✓,"",ok,48°C,"","",$equipRef $navName,"","","",@p:ubcv:r:209d26d2-118a708d Longhouse HW Main Meter,"",@p:ubcv:r:21697fca-1aa92ab8 Longhouse Utilities,✓,0.5°C,10min,2020-05-12T15:40:00-07:00 Los_Angeles,"",consumption,397083,2018-01-16T17:20:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","",✓,"","",✓,@p:ubcv:r:209d26d2-1709d2e1 Longhouse,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:36.108Z UTC
@p:ubcv:r:263b769b-721ca76a Longhouse Water Main Meter Consumption,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,117617.203125m³,"","",$equipRef $navName,"","","",@p:ubcv:r:209d26d2-0ec23750 Longhouse Water Main Meter,"",@p:ubcv:r:21697fca-1aa92ab8 Longhouse Utilities,✓,"",15min,2020-05-12T15:30:00-07:00 Los_Angeles,"",consumption,319750,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_First_Nations_337.Water_Volume,✓,✓,"",10394,✓,@p:ubcv:r:209d26d2-1709d2e1 Longhouse,94,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:55.09Z UTC
@p:ubcv:r:263b769a-b15ba435 Longhouse Elec Main Meter Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,2709426kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:209d26d2-7a0c0d41 Longhouse Elec Main Meter,"",@p:ubcv:r:21697fca-1aa92ab8 Longhouse Utilities,✓,"",15min,2020-05-12T15:30:00-07:00 Los_Angeles,"",consumption,319750,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_First_Nations_337.Elec_Energy,✓,✓,"",10393,✓,@p:ubcv:r:209d26d2-1709d2e1 Longhouse,94,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","",2020-05-04T19:39:55.088Z UTC
@p:ubcv:r:209d26d2-9e17d605 Longhouse HW Main Meter Power,@p:ubcv:r:21f160ab-de009bee FNLH DES Meter,AI5,✓,@p:ubcv:r:21f160ab-de009bee FNLH DES Meter,✓,"",ok,0kW,"","",$equipRef $navName,"","","",@p:ubcv:r:209d26d2-118a708d Longhouse HW Main Meter,"",@p:ubcv:r:21697fca-1aa92ab8 Longhouse Utilities,✓,5kW,15min,2020-05-12T15:31:02-07:00 Los_Angeles,"","",596468,2016-05-05T14:15:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","",✓,✓,"",✓,@p:ubcv:r:209d26d2-1709d2e1 Longhouse,"","","","",Los_Angeles,kW,✓,"",✓,2020-05-12T08:00:09.851Z UTC
@p:ubcv:r:21dffdad-fbdaad4a Longhouse HW Main Meter Flow,@p:ubcv:r:21f160ab-de009bee FNLH DES Meter,AI4,✓,@p:ubcv:r:21f160ab-de009bee FNLH DES Meter,✓,L/h => L/s,ok,0L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:209d26d2-118a708d Longhouse HW Main Meter,✓,@p:ubcv:r:21697fca-1aa92ab8 Longhouse Utilities,✓,0.25L/s,10min,2020-05-12T15:40:00-07:00 Los_Angeles,"",consumption,394863,2018-01-16T17:20:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","",✓,"","",✓,@p:ubcv:r:209d26d2-1709d2e1 Longhouse,"","","","",Los_Angeles,L/s,✓,"",✓,2020-04-28T00:03:36.11Z UTC
@p:ubcv:r:263b769a-02e4a03b Longhouse Elec Main Meter Power,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,14.2169828414917kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:209d26d2-7a0c0d41 Longhouse Elec Main Meter,"",@p:ubcv:r:21697fca-1aa92ab8 Longhouse Utilities,✓,5kW,15min,2020-05-12T15:30:00-07:00 Los_Angeles,"","",332582,2011-03-31T17:00:00-07:00 Los_Angeles,ok,"","",Number,"",Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_First_Nations_337.Elec_Power,✓,✓,✓,116,✓,@p:ubcv:r:209d26d2-1709d2e1 Longhouse,94,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"","",2020-05-12T08:00:09.852Z UTC
