id,ahu,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chemN_1809_FHOpt,chemN_CPP,chilled,chiller,cmd,co2,condenser,connRef,coolingTower,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,filter,flow,groupRef,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,johnson,kind,lastSynced,lastTagged,leaving,low,lowLim,mixed,mixing,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,preFilter,pressure,proj_1830_3W2W,pump,quantityID,rad,return,roomRef,run,runtime,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:238a0dc2-c9103eac Chem North AHU-2 SF JCL-NAE19/N2-A.19A126DX.AHU-E2-C,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000343,✓,JCL-NAE19/N2-A.19A126DX.AHU-E2-C,✓,"","","",✓,"","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:25d7526b-7b550f71 Chem North AHU-2 SF,"",✓,"","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",25667,2018-11-21T17:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.565-07:00 Los_Angeles,2018-11-25T13:45:23.846-08:00 Los_Angeles,"","","","","","",Discharge Fan Speed Cmd,"",AO3000342,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:248034ca-0a40699d Lab E413-E415,"","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","",✓,"","","",@p:ubcv:r:23e65d3d-58a13568 .+(\.|-| )AHU-[A-Z]?\d-C,"","",JCL-NAE19/N2-A.19A126DX.AHU-E2-C.Trend,Los_Angeles,%,"","","","","",2020-04-09T19:02:01.173Z UTC
@p:ubcv:r:238a0dc3-66a46a8f Chem North EF-1 JCL-NAE19/FCB-02.VND-007.POWER,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3009071,✓,JCL-NAE19/FCB-02.VND-007.POWER,"",✓,"","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24803646-0ebd3953 Chem North EF-1,"","","","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",51017,2018-11-22T05:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.736-07:00 Los_Angeles,2018-11-25T13:45:23.775-08:00 Los_Angeles,"","","","","","",Power,"",AV3009070,"","","","","","",✓,"",✓,"","","","","","","","","","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:2465eb72-f2244747 .+(\.|-| )POWER,"","",JCL-NAE19/FCB-02.VND-007.POWER.Trend1,Los_Angeles,kW,"","","","","",2020-04-09T19:02:01.176Z UTC
@p:ubcv:r:238a0dc3-dc196535 Chem North AHU-2 JCL-NAE19/FCB-02.FAC-005.PH-L,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3008994,✓,JCL-NAE19/FCB-02.FAC-005.PH-L,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24803646-eb7fbf79 Chem North AHU-2,"","","","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",51017,2018-11-22T05:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.738-07:00 Los_Angeles,2018-11-25T13:45:24.043-08:00 Los_Angeles,"","","","","","",JCL-NAE19/FCB-02.FAC-005.PH-L,✓,AI3008993,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/FCB-02.FAC-005.PH-L.Trend1,Los_Angeles,Pa,"","","","","",2020-04-09T19:02:01.177Z UTC
@p:ubcv:r:238a0dc2-304f97cb Chem North Heating Plant JCL-NAE19/N2-A.19A001DX.RHR-T,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000217,✓,JCL-NAE19/N2-A.19A001DX.RHR-T,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","",✓,"","",@p:ubcv:r:248034e6-ad88ae7b Chem North Heating Plant,"","","","",@p:ubcv:r:21dff50a-f2e59374 Chem North Hydronic Systems,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",25667,2018-11-21T17:30:00-08:00 Los_Angeles,ok,"",✓,✓,"",Number,2020-05-12T14:22:58.57-07:00 Los_Angeles,2018-11-25T13:45:24.026-08:00 Los_Angeles,"","","","","","",Entering Hot Water Temp,"",AI3000216,"","","","","","",✓,"","","","",✓,"","","","","","","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:24807a6c-91e3891a .+(\.|-|_)RHR-T,"",✓,JCL-NAE19/N2-A.19A001DX.RHR-T.Trend,Los_Angeles,°C,"","","",✓,"",2020-04-09T19:02:01.178Z UTC
@p:ubcv:r:238a0dc3-867fe9b0 Chem North AHU-1 P9 JCL-NAE19/N2-A.19A007DX.P9-S,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000531,✓,JCL-NAE19/N2-A.19A007DX.P9-S,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","Off,On",P9,@p:ubcv:r:248034e6-55f973a1 Chem North AHU-1,"","","","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-04-12T07:39:54-07:00 Los_Angeles,"","",282,2018-11-17T20:28:03-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.403-07:00 Los_Angeles,2018-12-07T09:45:31.555-08:00 Los_Angeles,"","","","","","",Run Status,"",BI3000530,"","","","","","",✓,"","","","","",✓,"","","","",✓,"","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"","",JCL-NAE19/N2-A.19A007DX.P9-S.Trend,Los_Angeles,"","","","","","",2020-05-12T11:03:27.633Z UTC
@p:ubcv:r:238a0dc2-61ce240f Chem North Heating Plant JCL-NAE19/N2-A.19A001DX.PE3-C,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000421,✓,JCL-NAE19/N2-A.19A001DX.PE3-C,"","","","",✓,"","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:248034e6-ad88ae7b Chem North Heating Plant,"","","","",@p:ubcv:r:21dff50a-f2e59374 Chem North Hydronic Systems,"","",✓,"","","",2020-05-12T09:31:14-07:00 Los_Angeles,"","",253,2018-12-20T12:41:09-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.578-07:00 Los_Angeles,2018-11-25T13:45:23.925-08:00 Los_Angeles,"","","","","","",Pump Run Cmd,"",BO3000420,"","","","","","",✓,"","","","",✓,✓,"","","","",✓,"","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3d-422be10e .+(\.|-|_)P(CHWP)?E?\d+-C,"","",JCL-NAE19/N2-A.19A001DX.PE3-C.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:39.225Z UTC
@p:ubcv:r:238a0dc2-fcb6acac Chem North AHU-1 JCL-NAE19/N2-A.19A007DX.RA-CO2,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000356,✓,JCL-NAE19/N2-A.19A007DX.RA-CO2,"","","","","",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:248034e6-55f973a1 Chem North AHU-1,"","","","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22590,2018-11-21T17:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.579-07:00 Los_Angeles,2018-12-07T09:45:31.742-08:00 Los_Angeles,"","","","","","",Return Air Co2,"",AI3000355,"","","","","","",✓,"","","","","","","","",✓,"","","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3d-df02d527 .+(\.|-| )RA-CO2,✓,"",JCL-NAE19/N2-A.19A007DX.RA-CO2.Trend,Los_Angeles,ppm,"","","","","",2020-04-09T19:02:01.183Z UTC
@p:ubcv:r:238a0dc3-f4ab4038 Chem North EF-2 JCL-NAE19/FCB-02.VND-008.KWH,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3009088,✓,JCL-NAE19/FCB-02.VND-008.KWH,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","",✓,"","","",@p:ubcv:r:24803646-5186507f Chem North EF-2,"","","","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",51017,2018-11-22T05:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.741-07:00 Los_Angeles,2018-11-25T13:45:23.769-08:00 Los_Angeles,"","","","","","",Energy,"",AV3009087,"","","","","","",✓,"","","","","","","","","","","","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3d-a1543fdf .+(\.|-| )KWH,"","",JCL-NAE19/FCB-02.VND-008.KWH.Trend1,Los_Angeles,kWh,"","","","","",2020-04-09T19:02:01.184Z UTC
@p:ubcv:r:238a0dc3-42458450 Chem North AHU-2 EF JCL-NAE19/FCB-02.FEC-006.EF1-O,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3009031,✓,JCL-NAE19/FCB-02.FEC-006.EF1-O,✓,✓,"","",✓,"","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:25d7526b-a4fd1375 Chem North AHU-2 EF,✓,✓,"","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",51017,2018-11-22T05:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.742-07:00 Los_Angeles,2018-11-25T13:45:23.778-08:00 Los_Angeles,"","","","","","",Exhaust Fan Speed Cmd,"",AO3009030,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","",✓,"","","",@p:ubcv:r:23e65d3d-b21f41f2 .+(\.|-| )EF\d?\w?-O,"","",JCL-NAE19/FCB-02.FEC-006.EF1-O.Trend1,Los_Angeles,%,"","","","","",2020-04-09T19:02:01.186Z UTC
@p:ubcv:r:238a0dc3-3576231f Chem North Lab E413 RAD-1 JCL-NAE19/N2-A.19A123VA.ZN1-T,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3002468,✓,JCL-NAE19/N2-A.19A123VA.ZN1-T,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2480660e-ae707a63 Chem North Lab E413 RAD-1,"","","","",@p:ubcv:r:248034ca-f0c31ae3 Chem North Floor 3,"","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",51467,2018-11-21T05:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.743-07:00 Los_Angeles,2019-05-28T11:17:04.078-07:00 Los_Angeles,"","","","","","",Zone Temp,"",AI3001756,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2480660e-625176ed Chem North Lab E413,"","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE19/N2-A.19A123VA.ZN1-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:01.188Z UTC
@p:ubcv:r:238a0dc3-35ffbe03 Chem North AHU-1 JCL-NAE19/N2-A.19A007DX.PFILT-S,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000533,✓,JCL-NAE19/N2-A.19A007DX.PFILT-S,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","",✓,$equipRef $bmsName,✓,"","","","","","","Normal,Alarm","",@p:ubcv:r:248034e6-55f973a1 Chem North AHU-1,"","",✓,"",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-01-08T08:07:21-08:00 Los_Angeles,"","",4,2018-12-20T12:41:09-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.357-07:00 Los_Angeles,2020-04-08T11:37:14.549-07:00 Los_Angeles,"","","","","","",Discharge Air Pre Filter DP,"",BI3000532,"","","","","","",✓,"","",✓,✓,"","","","","","","","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3d-9f622691 .+(\.|-| )PFILT-(DP|S),"","",JCL-NAE19/N2-A.19A007DX.PFILT-S.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:25.504Z UTC
@p:ubcv:r:238a0dc3-df30ded7 Chem North EF-1 JCL-NAE19/FCB-02.VND-007.DRIVE ALARM,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3009083,✓,JCL-NAE19/FCB-02.VND-007.DRIVE ALARM,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","OK,ALARM","",@p:ubcv:r:24803646-0ebd3953 Chem North EF-1,"","","","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-01-08T08:07:21-08:00 Los_Angeles,"","",4,2018-12-20T12:41:09-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.359-07:00 Los_Angeles,2018-11-25T13:45:23.771-08:00 Los_Angeles,"","","","","","",JCL-NAE19/FCB-02.VND-007.DRIVE ALARM,✓,BV3009082,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/FCB-02.VND-007.DRIVE ALARM.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:27.044Z UTC
@p:ubcv:r:22724d83-f4295d20 Chem North Unsorted Points JCL-NAE19/N2-A.19A003DX.TRACE-C,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000475,✓,JCL-NAE19/N2-A.19A003DX.TRACE-C,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-04-08T04:35:51-07:00 Los_Angeles,"","",292,2018-03-25T09:57:29-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.409-07:00 Los_Angeles,2018-07-30T13:54:04.215-07:00 Los_Angeles,"","","","","","",JCL-NAE19/N2-A.19A003DX.TRACE-C,✓,BO3000474,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/N2-A.19A003DX.TRACE-C.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:36.784Z UTC
@p:ubcv:r:2447c05e-a8455a2a Chem North Unsorted Points JCL-NAE19/BACnet1.ChemE_EMTR.AI-11,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3009929,✓,JCL-NAE19/BACnet1.ChemE_EMTR.AI-11,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",37273,2019-04-15T03:30:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.75-07:00 Los_Angeles,"","","","","","","",JCL-NAE19/BACnet1.ChemE_EMTR.AI-11,✓,AI3008111,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/BACnet1.ChemE_EMTR.AI-11.Trend1,Los_Angeles,K,"","","","","",2020-04-09T19:02:01.192Z UTC
@p:ubcv:r:238a0dc3-22a24cf6 Chem North Domestic Heating Plant JCL-NAE19/N2-A.19A001DX.DHW-ENB,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3003094,✓,JCL-NAE19/N2-A.19A001DX.DHW-ENB,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:24805dca-839a2f8f Chem North Domestic Heating Plant,"","","","",@p:ubcv:r:21dff50a-f2e59374 Chem North Hydronic Systems,"","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",77001,2018-11-21T17:30:00-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.754-07:00 Los_Angeles,2018-11-25T13:45:23.693-08:00 Los_Angeles,"","","","","","",JCL-NAE19/N2-A.19A001DX.DHW-ENB,✓,BO3000405,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/N2-A.19A001DX.DHW-ENB.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:50:21.323Z UTC
@p:ubcv:r:22724d83-db41164e Chem North Unsorted Points JCL-NAE19/N2-A.19A003DX.DEWPT2-A,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3001978,✓,JCL-NAE19/N2-A.19A003DX.DEWPT2-A,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Normal,Alarm","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-01-08T08:07:21-08:00 Los_Angeles,"","",2888,2017-08-01T11:14:15-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.41-07:00 Los_Angeles,2018-12-07T09:45:28.832-08:00 Los_Angeles,"","","","","","",JCL-NAE19/N2-A.19A003DX.DEWPT2-A,✓,BI3001977,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/N2-A.19A003DX.DEWPT2-A.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:28.939Z UTC
@p:ubcv:r:238a0dc3-17b67188 Chem North AHU-2 EF JCL-NAE19/FCB-02.FEC-006.EF2-S,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3009045,✓,JCL-NAE19/FCB-02.FEC-006.EF2-S,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:25d7526b-a4fd1375 Chem North AHU-2 EF,✓,✓,"","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-04-09T09:15:16-07:00 Los_Angeles,"","",8,2018-12-20T12:41:09-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.412-07:00 Los_Angeles,2018-12-07T09:45:31.646-08:00 Los_Angeles,"","","","","","",Exhaust Fan Run Status,"",BI3009043,"","","","","","",✓,"","","","","","","","","","",✓,"","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/FCB-02.FEC-006.EF2-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:50.509Z UTC
@p:ubcv:r:263b767b-01766586 Chem North Water Main Meter Consumption,"","","","","","","","","","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,36124.296875m³,"","","","",$equipRef $navName,"","","","","","","","","",@p:ubcv:r:2093b3b4-a1fbe286 Chem North Water Main Meter,"","","","",@p:ubcv:r:21697fca-e3964b84 Chem North Utilities,"","",✓,"",15min,"",2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,319751,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"","","",Number,"","","","","","","","",Consumption,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Chem_north_136.Water_Volume,✓,"","",✓,"","","","","","",10394,"","","","","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,167,"","",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","","","",Los_Angeles,m³,✓,"",✓,✓,"",2020-05-04T19:39:54.935Z UTC
@p:ubcv:r:238a0dc3-07b4a7ca Chem North Rm E318 VAV-E318 JCL-NAE19/N2-A.19A122VM.ZN-T,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3008048,✓,JCL-NAE19/N2-A.19A122VM.ZN-T,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:248034ca-b28c9fbf Chem North Rm E318 VAV-E318,"","","","",@p:ubcv:r:248034ca-f3b563ef Chem North Floor 2,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",25975,2018-11-17T17:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.59-07:00 Los_Angeles,2018-12-07T09:45:31.162-08:00 Los_Angeles,"","","","","","",Zone Temp,"",AI3001741,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:248034ca-bc43e76e Chem North Rm E318,"","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE19/N2-A.19A122VM.ZN-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:01.2Z UTC
@p:ubcv:r:22724d83-29ba5eba Chem North EF-6 JCL-NAE19/N2-A.19A003DX.EF06-S,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000507,✓,JCL-NAE19/N2-A.19A003DX.EF06-S,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:248050ae-fd9451c8 Chem North EF-6,✓,✓,"","",@p:ubcv:r:2203b248-8ad86041 Chem North Air Systems,"","",✓,"","","",2020-02-12T14:37:59-08:00 Los_Angeles,"","",21,2017-08-17T07:52:10-07:00 Los_Angeles,ok,"","",✓,✓,Bool,2020-05-12T14:22:58.418-07:00 Los_Angeles,2018-12-07T09:45:28.824-08:00 Los_Angeles,"","","","","","",Exhaust Fan Run Feedback,"",BI3000506,"","","","","","",✓,"","","","","","","","","","",✓,"","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/N2-A.19A003DX.EF06-S.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:25.823Z UTC
@p:ubcv:r:238a0dc3-cf431f87 Chem North AHU-2 JCL-NAE19/FCB-02.FEC-006.CPP.CPP Wind State Rqd,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3009225,✓,JCL-NAE19/FCB-02.FEC-006.CPP.CPP Wind State Rqd,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","State 0,State 1,State 2,State 3,State 4,State 5,State 6,State 7,State 8","",@p:ubcv:r:24803646-eb7fbf79 Chem North AHU-2,"","","","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T14:22:58-07:00 Los_Angeles,"","",544915,2018-11-22T17:25:39-08:00 Los_Angeles,ok,"","",✓,"",Str,2020-05-12T14:22:58.763-07:00 Los_Angeles,2018-11-25T13:45:23.677-08:00 Los_Angeles,"","","","","","",JCL-NAE19/FCB-02.FEC-006.CPP.CPP Wind State Rqd,✓,MSV3009224,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/FCB-02.FEC-006.CPP.CPP Wind State Rqd.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:20.85Z UTC
