id,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,connRef,delta,deltaTempPoint,disMacro,energy,entering,enum,equipRef,esc,flow,groupRef,his,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,lastTagged,leaving,navName,objectId,point,pointType,power,sensor,siteRef,temp,tlName,toTag,tz,unit,utilityPoint,water,mod
@p:ubcv:r:26349467-d26a5623 Central Unsorted Points CENTRAL_EM_1P_THIS_HOUR,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL81,"",CENTRAL_EM_1P_THIS_HOUR,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:27:00-07:00 Los_Angeles,"","","",27637,2020-04-23T09:02:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.519-07:00 Los_Angeles,"","",CENTRAL_EM_1P_THIS_HOUR,AV1167,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_THIS_HOUR_TL,✓,Los_Angeles,MWh,"","",2020-04-23T18:01:11.203Z UTC
@p:ubcv:r:2244656d-d247cbd4 Central HW Main Meter CENTRAL_EM_1P_RWT,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL84,✓,CENTRAL_EM_1P_RWT,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2244656d-ce804c1b Central HW Main Meter,✓,"",@p:ubcv:r:2244654e-d823051a Central Utilities,✓,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",consumption,75076,2018-03-17T15:00:00-07:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:27:07.524-07:00 Los_Angeles,2018-05-09T10:55:46.163-07:00 Los_Angeles,✓,Leaving Water Temp,AV1201,✓,"","",✓,@p:ubcv:r:224463e2-3fc52abd Central,✓,CENTRAL_EM_1P_RWT_TL,"",Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.09Z UTC
@p:ubcv:r:26349467-4ed5d5a7 Central HX-1 HEX_01_HWRT,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL4,"",HEX_01_HWRT,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2634b66b-709a95b2 Central HX-1,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:20:46-07:00 Los_Angeles,"","","",2138,2020-04-20T08:04:10-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.53-07:00 Los_Angeles,"","",HEX_01_HWRT,AI1104,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",HEX_01_HWRT_POLL_TL,✓,Los_Angeles,°C,"","",2020-04-23T20:27:08.183Z UTC
@p:ubcv:r:26349467-c3bb4abf Central Unsorted Points CENTRAL_EM_1P_COMM_FAIL,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL24,"",CENTRAL_EM_1P_COMM_FAIL,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","OFF,ON",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:26:15-07:00 Los_Angeles,"","","",6427,2020-04-21T00:22:13-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:27:07.535-07:00 Los_Angeles,"","",CENTRAL_EM_1P_COMM_FAIL,BV287,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM1P_COMM_FAIL_TL,✓,Los_Angeles,"","","",2020-04-23T18:01:11.264Z UTC
@p:ubcv:r:26349467-99309f47 Central HX-1 HEX_01_VLV,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL10,"",HEX_01_VLV,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2634b66b-709a95b2 Central HX-1,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:20:46-07:00 Los_Angeles,"","","",2138,2020-04-20T08:04:10-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.541-07:00 Los_Angeles,"","",HEX_01_VLV,AO1101,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",HEX_01_VLV_POLL_TL,✓,Los_Angeles,%,"","",2020-04-23T20:27:08.183Z UTC
@p:ubcv:r:26349467-9c427793 Central Unsorted Points CENTRAL_EM_1P_THIS_WEEK,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL72,"",CENTRAL_EM_1P_THIS_WEEK,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T00:00:00-07:00 Los_Angeles,"","","",25,2020-04-18T00:00:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.543-07:00 Los_Angeles,"","",CENTRAL_EM_1P_THIS_WEEK,AV1160,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_THIS_WEEK_TL,✓,Los_Angeles,MWh,"","",2020-04-23T18:01:11.212Z UTC
@p:ubcv:r:26349467-e4409af4 Central DES Connection DH_DIFF_PRES,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL8,"",DH_DIFF_PRES,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2634b5ed-fe309b28 Central DES Connection,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:20:46-07:00 Los_Angeles,"","","",2138,2020-04-20T08:04:10-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.563-07:00 Los_Angeles,"","",DH_DIFF_PRES,AI1204,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",DH_DIFF_PRES_POLL_TL,✓,Los_Angeles,psi,"","",2020-04-23T20:28:03.06Z UTC
@p:ubcv:r:26349467-588be822 Central HX-1 HEX_01_HWRT_CO_POLL_TL,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL16,"",HEX_01_HWRT_CO_POLL_TL,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2634b66b-709a95b2 Central HX-1,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"","","folio::HisConfigErr: Missing 'kind' tag [@p:ubcv:r:26349467-588be822 ""Central HX-1 HEX_01_HWRT_CO_POLL_TL""]","","","","",fault,"","","",2020-05-12T12:37:47.805-07:00 Los_Angeles,"","",HEX_01_HWRT_CO_POLL_TL,"",✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",HEX_01_HWRT_CO_POLL_TL,✓,Los_Angeles,"","","",2020-04-23T20:27:08.183Z UTC
@p:ubcv:r:26349467-8d8313b4 Central Unsorted Points CENTRAL_EM_1P_YESTERDAY,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL77,"",CENTRAL_EM_1P_YESTERDAY,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-11T00:00:00-07:00 Los_Angeles,"","","",164,2019-04-24T00:00:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.57-07:00 Los_Angeles,"","",CENTRAL_EM_1P_YESTERDAY,AV1169,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_YESTERDAY_TL,✓,Los_Angeles,MWh,"","",2020-04-23T18:01:11.227Z UTC
@p:ubcv:r:26349467-3ae6df21 Central Unsorted Points CENTRAL_EM_1P_DAY_PEAK_LO,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL88,"",CENTRAL_EM_1P_DAY_PEAK_LO,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T00:00:00-07:00 Los_Angeles,"","","",115,2020-01-18T00:00:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.573-07:00 Los_Angeles,"","",CENTRAL_EM_1P_DAY_PEAK_LO,AV1206,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_DAY_PEAK_LO_TL,✓,Los_Angeles,kW,"","",2020-04-23T18:01:11.081Z UTC
