id,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,connRef,delta,deltaTempPoint,disMacro,energy,entering,enum,equipRef,esc,flow,groupRef,his,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,lastTagged,leaving,navName,objectId,point,pointType,power,sensor,siteRef,temp,tlName,toTag,tz,unit,utilityPoint,water,mod
@p:ubcv:r:26349467-8e30acb1 Central Unsorted Points CENTRAL_EM_1P_LAST_YEAR,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL80,"",CENTRAL_EM_1P_LAST_YEAR,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-01-01T00:00:00-08:00 Los_Angeles,"","","",1,2020-01-01T00:00:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.575-07:00 Los_Angeles,"","",CENTRAL_EM_1P_LAST_YEAR,AV1172,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_LAST_YEAR_TL,✓,Los_Angeles,MWh,"","",2020-04-23T18:01:11.122Z UTC
@p:ubcv:r:2388a048-73cfe05a Central HW Main Meter Water Delta Temp,"","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:2244656d-ce804c1b Central HW Main Meter,"","",@p:ubcv:r:2244654e-d823051a Central Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"","","",Water Delta Temp,"",✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,✓,"","",Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.091Z UTC
@p:ubcv:r:26349467-56cab26e Central DES Connection DHW_SWT,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL6,"",DHW_SWT,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2634b5ed-fe309b28 Central DES Connection,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:20:46-07:00 Los_Angeles,"","","",2138,2020-04-20T08:04:10-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.583-07:00 Los_Angeles,"","",DHW_SWT,AI1202,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",DHW_SWT_POLL_TL,✓,Los_Angeles,°C,"","",2020-04-23T20:28:03.06Z UTC
@p:ubcv:r:26349467-46589c6c Central DES Connection OAT,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL3,"",OAT,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2634b5ed-fe309b28 Central DES Connection,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:20:46-07:00 Los_Angeles,"","","",2138,2020-04-20T08:04:10-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.593-07:00 Los_Angeles,"","",OAT,AI1103,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",OAT_POLL_TL,✓,Los_Angeles,°C,"","",2020-04-23T20:28:03.06Z UTC
@p:ubcv:r:26349467-2e306b54 Central Unsorted Points CENTRAL_EM_1P_LAST_WEEK,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL78,"",CENTRAL_EM_1P_LAST_WEEK,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-11T00:00:00-07:00 Los_Angeles,"","","",42,2019-06-03T00:00:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.596-07:00 Los_Angeles,"","",CENTRAL_EM_1P_LAST_WEEK,AV1170,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_LAST_WEEK_TL,✓,Los_Angeles,MWh,"","",2020-04-23T18:01:11.108Z UTC
@p:ubcv:r:26349467-1a1c17c8 Central Unsorted Points CENTRAL_EM_1P_YEAR_PEAK_HI,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL91,"",CENTRAL_EM_1P_YEAR_PEAK_HI,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-01-11T07:43:59-08:00 Los_Angeles,"","","",10,2019-11-04T08:35:13-08:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.598-07:00 Los_Angeles,"","",CENTRAL_EM_1P_YEAR_PEAK_HI,AV1205,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_YEAR_PEAK_HI_TL,✓,Los_Angeles,kW,"","",2020-04-23T18:01:11.221Z UTC
@p:ubcv:r:26349467-4949e695 Central Unsorted Points CENTRAL_EM_1P_MONTH_PEAK_LO,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL90,"",CENTRAL_EM_1P_MONTH_PEAK_LO,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-01T00:00:00-07:00 Los_Angeles,"","","",79,2019-06-01T00:00:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.602-07:00 Los_Angeles,"","",CENTRAL_EM_1P_MONTH_PEAK_LO,AV1207,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_MONTH_PEAK_LO_TL,✓,Los_Angeles,kW,"","",2020-04-23T18:01:11.15Z UTC
@p:ubcv:r:26349467-b560e79e Central HX-2 HEX_02_VLV,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL11,"",HEX_02_VLV,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2634b67c-fb24a76f Central HX-2,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:20:46-07:00 Los_Angeles,"","","",2138,2020-04-20T08:04:10-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.607-07:00 Los_Angeles,"","",HEX_02_VLV,AO1102,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",HEX_02_VLV_POLL_TL,✓,Los_Angeles,%,"","",2020-04-23T20:27:28.978Z UTC
@p:ubcv:r:26349467-59b4b6c2 Central Unsorted Points CENTRAL_EM_1P_THIS_MONTH,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL73,"",CENTRAL_EM_1P_THIS_MONTH,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T00:00:00-07:00 Los_Angeles,"","","",77,2020-02-26T00:00:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.611-07:00 Los_Angeles,"","",CENTRAL_EM_1P_THIS_MONTH,AV1162,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_THIS_MONTH_TL,✓,Los_Angeles,MWh,"","",2020-04-23T18:01:11.209Z UTC
@p:ubcv:r:2244656d-cf77b6ea Central HW Main Meter Central power meter 1P,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL22,✓,Central power meter 1P,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2244656d-ce804c1b Central HW Main Meter,✓,"",@p:ubcv:r:2244654e-d823051a Central Utilities,✓,"",2020-05-12T14:26:55-07:00 Los_Angeles,"","","",1167759,2018-03-20T14:44:59-07:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:27:07.623-07:00 Los_Angeles,2018-05-09T10:55:45.92-07:00 Los_Angeles,"",Power,AV5,✓,"",✓,✓,@p:ubcv:r:224463e2-3fc52abd Central,"",Central power meter 1P TL,"",Los_Angeles,kW,✓,✓,2020-05-06T19:21:27.365Z UTC
@p:ubcv:r:26349467-159193ff Central Unsorted Points CENTRAL_EM_1P_LAST_HOUR,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL76,"",CENTRAL_EM_1P_LAST_HOUR,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-04-12T10:00:00-07:00 Los_Angeles,"","","",14,2019-11-26T08:00:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.626-07:00 Los_Angeles,"","",CENTRAL_EM_1P_LAST_HOUR,AV1168,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_LAST_HOUR_TL,✓,Los_Angeles,MWh,"","",2020-04-23T18:01:11.091Z UTC
@p:ubcv:r:26349467-eb279f2c Central HX-1 HEX_01_VLV_AV,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL12,"",HEX_01_VLV_AV,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2634b66b-709a95b2 Central HX-1,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:20:46-07:00 Los_Angeles,"","","",2138,2020-04-20T08:04:10-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.637-07:00 Los_Angeles,"","",HEX_01_VLV_AV,AV1,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",HEX_01_VLV_AV_POLL_TL,✓,Los_Angeles,%,"","",2020-04-23T20:27:08.183Z UTC
@p:ubcv:r:26349467-08ef4649 Central Unsorted Points CENTRAL_EM_1P_DAY_PEAK_HI,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL87,"",CENTRAL_EM_1P_DAY_PEAK_HI,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T00:00:00-07:00 Los_Angeles,"","","",371,2019-05-06T00:00:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.642-07:00 Los_Angeles,"","",CENTRAL_EM_1P_DAY_PEAK_HI,AV1173,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_DAY_PEAK_HI_TL,✓,Los_Angeles,kW,"","",2020-04-23T18:01:11.077Z UTC
@p:ubcv:r:26349467-344f2028 Central HX-2 HEX_02_HWST,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL5,"",HEX_02_HWST,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2634b67c-fb24a76f Central HX-2,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:20:46-07:00 Los_Angeles,"","","",2138,2020-04-20T08:04:10-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.648-07:00 Los_Angeles,"","",HEX_02_HWST,AI1201,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",HEX_02_HWST_POLL_TL,✓,Los_Angeles,°C,"","",2020-04-23T20:27:28.978Z UTC
@p:ubcv:r:26349467-cf454d86 Central Unsorted Points CENTRAL_EM_1P_THIS_YEAR,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL74,"",CENTRAL_EM_1P_THIS_YEAR,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T00:00:00-07:00 Los_Angeles,"","","",371,2019-05-06T00:00:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.655-07:00 Los_Angeles,"","",CENTRAL_EM_1P_THIS_YEAR,AV1164,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_THIS_YEAR_TL,✓,Los_Angeles,MWh,"","",2020-04-23T18:01:11.214Z UTC
@p:ubcv:r:26349467-1e9a8017 Central Unsorted Points Unused Button,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL21,"",Unused Button,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","OFF,ON",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"","","","","","","",ok,"","",Bool,2020-05-12T14:27:07.657-07:00 Los_Angeles,"","",Unused Button,BI81,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",Unused Button_COV_TL,✓,Los_Angeles,"","","",2020-04-23T18:01:11.26Z UTC
