id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,bypass,chilled,cmd,co2,connRef,cooling,cur,curStatus,curVal,damper,delta,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,gas,groupRef,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,lowLim,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pressure,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:23d4f8bd-44c1ddd2 Ponderosa West Unsorted Points PON_WEST_FC202A_CCV,"","",@p:ubcv:r:23d4f5e4-dc2f2780 PONDW PON_WEST_FC202A_CP710108 (710108),"",TL1,✓,PON_WEST_FC202A_CCV,"","",✓,✓,"",@p:ubcv:r:23d4f5e4-dc2f2780 PONDW PON_WEST_FC202A_CP710108 (710108),✓,"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:00-07:00 Los_Angeles,"","",322395,2019-01-18T06:23:51-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:53:34.486-07:00 Los_Angeles,2019-01-23T16:52:54.746-08:00 Los_Angeles,"","",Cooling Valve Cmd,"",AO5,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:23e65d0e-46fa10b2 .+_(\d+)?CCV(_TL)?,"",PON_WEST_FC202A_CCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:36.804Z UTC
@p:ubcv:r:23d4f893-a70253d5 Ponderosa West Unsorted Points PON_WEST_FC201A_SAT,✓,"",@p:ubcv:r:23d4f5e4-41196776 PONDW PON_WEST_FC201A_CP710106 (710106),"",TL4,✓,PON_WEST_FC201A_SAT,"","","","","",@p:ubcv:r:23d4f5e4-41196776 PONDW PON_WEST_FC201A_CP710106 (710106),"","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:51:00-07:00 Los_Angeles,"","",322403,2019-01-18T06:28:19-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:51:40.934-07:00 Los_Angeles,2019-01-23T16:53:20.829-08:00 Los_Angeles,"","",Discharge Air Temp,"",AI3,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,✓,PON_WEST_FC201A_SAT_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:36.793Z UTC
@p:ubcv:r:23d4f9d4-857467e0 Ponderosa West Unsorted Points PON_WEST_FC216_MODE,"","",@p:ubcv:r:23d4f5e4-67871c4f PONDW PON_WEST_FC216_CP710122 (710122),"",TL9,✓,PON_WEST_FC216_MODE,"","","","","",@p:ubcv:r:23d4f5e4-67871c4f PONDW PON_WEST_FC216_CP710122 (710122),"","","","","","","",$equipRef $bmsName,"","","","","","","OCCUPIED,OS,NSB_HTG,OVR,DAYSB_ON,DAYSB_OFF,UNOCCUPIED,PURGE","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T15:00:01-07:00 Los_Angeles,"","",696,2019-01-14T05:00:01-08:00 Los_Angeles,ok,"","","",Str,2020-05-12T15:54:20.057-07:00 Los_Angeles,"","","",PON_WEST_FC216_MODE,✓,MSV1,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_FC216_MODE_TL,Los_Angeles,"","","","","","",2020-04-08T18:52:19.643Z UTC
@p:ubcv:r:23d4f831-d4d69f80 Ponderosa West Unsorted Points P14 PON_WEST_DHW_TANK_1_2_HWST_P14S,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL137,✓,PON_WEST_DHW_TANK_1_2_HWST_P14S,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $equipName $bmsName,"","","","","","","",P14,@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:28-07:00 Los_Angeles,"","",43049,2019-01-17T22:14:02-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:55:19.754-07:00 Los_Angeles,2019-01-23T16:53:00.334-08:00 Los_Angeles,"","","Run ","",AI3301,"","","","",✓,"","",✓,"","",✓,"",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:23e65d0f-1634db40 .+_P\d+S(_BV)?(_\d+)?(_TL)?,"",PON_WEST_DHW_TANK_1_2_HWST_P14S_POLL_TL,Los_Angeles,A,"","","",✓,"",2020-05-12T11:03:27.003Z UTC
@p:ubcv:r:23d4fa50-656573d3 Ponderosa West Unsorted Points PON_WEST_FC306_RT_AV,✓,"",@p:ubcv:r:23d4f5e4-1f7221a8 PONDW PON_WEST_FC306_CP710128 (710128),"",TL5,✓,PON_WEST_FC306_RT_AV,"","","","","",@p:ubcv:r:23d4f5e4-1f7221a8 PONDW PON_WEST_FC306_CP710128 (710128),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:55:00-07:00 Los_Angeles,"","",322501,2019-01-18T06:25:26-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:55:21.142-07:00 Los_Angeles,2019-01-23T16:52:49.113-08:00 Los_Angeles,"","",Zone Temp,"",AV10,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,PON_WEST_FC306_RT_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:36.921Z UTC
@p:ubcv:r:23d4f830-b1645b20 Ponderosa West Unsorted Points PON_WEST_BACKFLOW_CLOSE,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL10045,✓,PON_WEST_BACKFLOW_CLOSE,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-04-28T12:28:28-07:00 Los_Angeles,"","",3,2018-06-27T07:55:49-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:55:18.589-07:00 Los_Angeles,"","","",PON_WEST_BACKFLOW_CLOSE,✓,BO4402,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_BACKFLOW_CLOSE_TL,Los_Angeles,"","","","","","",2020-05-07T12:20:48.518Z UTC
@p:ubcv:r:23d4fb72-12e2a389 Ponderosa West Unsorted Points PON_WEST_FC404_CCV,"","",@p:ubcv:r:23d4f5e4-b3b47fdb PONDW PON_WEST_FC404_CP710138 (710138),"",TL1,✓,PON_WEST_FC404_CCV,"","",✓,✓,"",@p:ubcv:r:23d4f5e4-b3b47fdb PONDW PON_WEST_FC404_CP710138 (710138),✓,"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:49:01-07:00 Los_Angeles,"","",322434,2019-01-18T06:29:05-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:49:38.654-07:00 Los_Angeles,2019-01-23T16:53:00.149-08:00 Los_Angeles,"","",Cooling Valve Cmd,"",AO5,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:23e65d0e-46fa10b2 .+_(\d+)?CCV(_TL)?,"",PON_WEST_FC404_CCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:36.983Z UTC
@p:ubcv:r:23d4fca5-649df945 Ponderosa West Unsorted Points BTU_HRV_HTG_KW_MUX,"","",@p:ubcv:r:23d4ef8b-468d255d PONDW PON_WEST_HRV2_HRV3_MUA2_CP710200 (710200),"",TL9,✓,BTU_HRV_HTG_KW_MUX,"","","","","",@p:ubcv:r:23d4ef8b-468d255d PONDW PON_WEST_HRV2_HRV3_MUA2_CP710200 (710200),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:55:00-07:00 Los_Angeles,"","",129409,2019-01-17T03:55:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:57:19.923-07:00 Los_Angeles,"","","",BTU_HRV_HTG_KW_MUX,✓,AV1010,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",BTU_HRV_HTG_KW_MUX_TL,Los_Angeles,kW,"","","","","",2020-04-09T19:02:37.041Z UTC
@p:ubcv:r:23d4fcac-ff8c2026 Ponderosa West Unsorted Points PON_WEST_HRV1_COLD_START_BV,"","",@p:ubcv:r:23d4ef8b-d12e04e1 PONDW PON_WEST_HRV1_DC01_CP710300 (710300),"",TL18,✓,PON_WEST_HRV1_COLD_START_BV,"","","","","",@p:ubcv:r:23d4ef8b-d12e04e1 PONDW PON_WEST_HRV1_DC01_CP710300 (710300),"","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-03-01T03:07:35-08:00 Los_Angeles,"","",28,2018-02-28T09:49:12-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:57:58.507-07:00 Los_Angeles,"","","",PON_WEST_HRV1_COLD_START_BV,✓,BV3,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_HRV1_COLD_START_BV_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:24.744Z UTC
@p:ubcv:r:23d4f96f-17630306 Ponderosa West Unsorted Points PON_WEST_FC211_FS_BV,"","",@p:ubcv:r:23d4f5e4-716dc747 PONDW PON_WEST_FC211_CP710117 (710117),"",TL21,✓,PON_WEST_FC211_FS_BV,"","","","","",@p:ubcv:r:23d4f5e4-716dc747 PONDW PON_WEST_FC211_CP710117 (710117),"","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:00:02-07:00 Los_Angeles,"","",1070,2019-01-13T13:56:24-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:51:39.254-07:00 Los_Angeles,"","","",PON_WEST_FC211_FS_BV,✓,BV4,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_FC211_FS_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:52:59.987Z UTC
@p:ubcv:r:23d4fca5-4f56dffd Ponderosa West Unsorted Points PON_WEST_MUA2_AVG_VAR,"","",@p:ubcv:r:23d4ef8b-468d255d PONDW PON_WEST_HRV2_HRV3_MUA2_CP710200 (710200),"",TL112,✓,PON_WEST_MUA2_AVG_VAR,"","","","","",@p:ubcv:r:23d4ef8b-468d255d PONDW PON_WEST_HRV2_HRV3_MUA2_CP710200 (710200),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","",32756,2019-01-15T18:40:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:57:20.024-07:00 Los_Angeles,"","","",PON_WEST_MUA2_AVG_VAR,✓,AV209,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_MUA2_AVG_VAR_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:37.042Z UTC
@p:ubcv:r:23d4f947-0c682de3 Ponderosa West Unsorted Points PON_WEST_FC209_FC,"","",@p:ubcv:r:23d4f5e4-7b2a516a PONDW PON_WEST_FC209_CP710115 (710115),"",TL20,✓,PON_WEST_FC209_FC,"","","","","",@p:ubcv:r:23d4f5e4-7b2a516a PONDW PON_WEST_FC209_CP710115 (710115),"","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:00:01-07:00 Los_Angeles,"","",986,2019-01-13T15:02:19-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:55:19.226-07:00 Los_Angeles,"","","",PON_WEST_FC209_FC,✓,BO1,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_FC209_FC_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:02.943Z UTC
@p:ubcv:r:23d4f90c-281372b1 Ponderosa West Unsorted Points PON_WEST_FC205_CCV,"","",@p:ubcv:r:23d4f5e4-5ab5bb26 PONDW PON_WEST_FC205_CP710112 (710112),"",TL1,✓,PON_WEST_FC205_CCV,"","",✓,✓,"",@p:ubcv:r:23d4f5e4-5ab5bb26 PONDW PON_WEST_FC205_CP710112 (710112),✓,"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:52:59-07:00 Los_Angeles,"","",322500,2019-01-18T06:24:47-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:54:21.193-07:00 Los_Angeles,2019-01-23T16:53:19.82-08:00 Los_Angeles,"","",Cooling Valve Cmd,"",AO5,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:23e65d0e-46fa10b2 .+_(\d+)?CCV(_TL)?,"",PON_WEST_FC205_CCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:36.828Z UTC
@p:ubcv:r:23d4f81a-d3670348 Ponderosa West Unsorted Points BTU_W_DRY_COOLER_FLW_MUX,"","",@p:ubcv:r:23d4ee53-e3135191 PONDW 904.0 PONDEROSA WEST MAPLE (710000),"",TL64,✓,BTU_W_DRY_COOLER_FLW_MUX,"","","","","",@p:ubcv:r:23d4ee53-e3135191 PONDW 904.0 PONDEROSA WEST MAPLE (710000),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","",46251,2019-01-16T11:15:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:47:41.199-07:00 Los_Angeles,"","","",BTU_W_DRY_COOLER_FLW_MUX,✓,AV1002,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",MV_Pond-West_EM-W01-Flow,Los_Angeles,L/s,"","","","","",2020-04-09T19:02:36.57Z UTC
@p:ubcv:r:23d4fcae-02b00a3d Ponderosa West Unsorted Points PON_WEST_MUA1_SFS_BV,✓,"",@p:ubcv:r:23d4ef8b-e83e0daf PONDW PON_WEST_MUA1_CP710400 (710400),"",TL111,✓,PON_WEST_MUA1_SFS_BV,"","","","","",@p:ubcv:r:23d4ef8b-e83e0daf PONDW PON_WEST_MUA1_CP710400 (710400),"","","","","","","",$equipRef $bmsName,✓,"","","","","","OFF,ON","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"",✓,"","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:01:12-07:00 Los_Angeles,"","",773,2019-01-14T05:01:11-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:57:58.189-07:00 Los_Angeles,2019-01-23T16:53:20.003-08:00 Los_Angeles,"","",Discharge Fan Run Status,"",BV36,"","","","",✓,"","","","","",✓,"",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:241ae208-4afc4e5f .+_SF(\d?)S(_BV)?(_TL)?,"",PON_WEST_MUA1_SFS_BV_TL,Los_Angeles,"","","","","","",2020-04-08T18:49:13.54Z UTC
@p:ubcv:r:23d4fca5-fff55924 Ponderosa West Unsorted Points PON_WEST_HRV3_HWST,"","",@p:ubcv:r:23d4ef8b-468d255d PONDW PON_WEST_HRV2_HRV3_MUA2_CP710200 (710200),"",TL114,✓,PON_WEST_HRV3_HWST,"","","","","",@p:ubcv:r:23d4ef8b-468d255d PONDW PON_WEST_HRV2_HRV3_MUA2_CP710200 (710200),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:16-07:00 Los_Angeles,"","",44182,2019-01-14T01:20:03-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:57:20.319-07:00 Los_Angeles,2019-01-23T16:53:15.331-08:00 Los_Angeles,✓,"",Leaving Hot Water Temp,"",AI105,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:23e65d0e-90aebcb3 .+_HWST(_AV)?(_\d+)?(_TL)?,✓,MV_PON_WEST_HRV3_HWST_TL,Los_Angeles,°C,"","","",✓,"",2020-04-09T19:02:37.044Z UTC
@p:ubcv:r:23d4fcac-80036281 Ponderosa West Unsorted Points PON_WEST_HRV1_SAH,✓,"",@p:ubcv:r:23d4ef8b-d12e04e1 PONDW PON_WEST_HRV1_DC01_CP710300 (710300),"",TL24,✓,PON_WEST_HRV1_SAH,"","","","","",@p:ubcv:r:23d4ef8b-d12e04e1 PONDW PON_WEST_HRV1_DC01_CP710300 (710300),"","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","",% => %RH,2020-05-12T15:57:56-07:00 Los_Angeles,"","",32527,2019-01-15T18:47:50-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:57:58.87-07:00 Los_Angeles,2019-01-23T16:52:56.247-08:00 Los_Angeles,"","",Discharge Air Humidity,"",AI101,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:23e65d0e-57df341c .+_SAH(_\d+)?(_TL)?,"",PON_WEST_HRV1_SAH_TL,Los_Angeles,%RH,"","","","","",2020-04-21T20:26:43.624Z UTC
@p:ubcv:r:23d4f947-b526cfc7 Ponderosa West Unsorted Points PON_WEST_FC209_RT_AV,✓,"",@p:ubcv:r:23d4f5e4-7b2a516a PONDW PON_WEST_FC209_CP710115 (710115),"",TL5,✓,PON_WEST_FC209_RT_AV,"","","","","",@p:ubcv:r:23d4f5e4-7b2a516a PONDW PON_WEST_FC209_CP710115 (710115),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:54:59-07:00 Los_Angeles,"","",322425,2019-01-18T06:21:09-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:55:19.612-07:00 Los_Angeles,2019-01-23T16:53:21.315-08:00 Los_Angeles,"","",Zone Temp,"",AV10,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,PON_WEST_FC209_RT_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:36.844Z UTC
@p:ubcv:r:23d4f831-1b769b9a Ponderosa West Unsorted Points PON_WEST_DHW_TNK_3_4_HWST_P16C,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL16,✓,PON_WEST_DHW_TNK_3_4_HWST_P16C,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON",P16,@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:51:16-07:00 Los_Angeles,"","",38047,2019-01-15T05:59:42-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:55:19.109-07:00 Los_Angeles,2019-01-23T16:53:09.285-08:00 Los_Angeles,"","",PON_WEST_DHW_TNK_3_4_HWST_P16C,✓,BO3701,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_DHW_TNK_3_4_HWST_P16C_COV_TL,Los_Angeles,"","","","","","",2020-05-07T12:20:48.648Z UTC
@p:ubcv:r:23d4f831-41ba8481 Ponderosa West Unsorted Points P23 PON_WEST_DHW_TANK_1_2_P23S,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL126,✓,PON_WEST_DHW_TANK_1_2_P23S,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $equipName $bmsName,"","","","","","","",P23,@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:28-07:00 Los_Angeles,"","",43114,2019-01-17T22:14:04-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:55:19.934-07:00 Los_Angeles,2019-01-23T16:53:18.127-08:00 Los_Angeles,"","","Run ","",AI3701,"","","","",✓,"","",✓,"","",✓,"",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:23e65d0f-1634db40 .+_P\d+S(_BV)?(_\d+)?(_TL)?,"",PON_WEST_DHW_TANK_1_2_P23S_POLL_TL,Los_Angeles,A,"","","",✓,"",2020-05-12T11:03:27.098Z UTC
@p:ubcv:r:23d4f9e8-a426bea6 Ponderosa West Unsorted Points PON_WEST_FC301_RT_SP,✓,"",@p:ubcv:r:23d4f5e4-ca7234d5 PONDW PON_WEST_FC301_CP710123 (710123),"",TL6,✓,PON_WEST_FC301_RT_SP,"","","","","",@p:ubcv:r:23d4f5e4-ca7234d5 PONDW PON_WEST_FC301_CP710123 (710123),"","","","","","","",$equipRef $bmsName,"",✓,"","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:00-07:00 Los_Angeles,"","",322381,2019-01-18T06:28:10-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:54:20.059-07:00 Los_Angeles,2019-01-23T16:53:04.48-08:00 Los_Angeles,"","",Zone Temp Effective Sp,"",AV7,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"",✓,"","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,✓,PON_WEST_FC301_RT_SP_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:36.892Z UTC
@p:ubcv:r:23d4fa26-3e960cfc Ponderosa West Unsorted Points PON_WEST_FC304_RT_AV,✓,"",@p:ubcv:r:23d4f5e4-f3e045d0 PONDW PON_WEST_FC304_CP710126 (710126),"",TL5,✓,PON_WEST_FC304_RT_AV,"","","","","",@p:ubcv:r:23d4f5e4-f3e045d0 PONDW PON_WEST_FC304_CP710126 (710126),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:00-07:00 Los_Angeles,"","",322456,2019-01-18T06:23:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:54:19.549-07:00 Los_Angeles,2019-01-23T16:52:53.093-08:00 Los_Angeles,"","",Zone Temp,"",AV10,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,PON_WEST_FC304_RT_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:36.909Z UTC
