id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,bypass,chilled,cmd,co2,connRef,cooling,cur,curStatus,curVal,damper,delta,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,gas,groupRef,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,lowLim,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pressure,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:23d4fca5-b14a0aa8 Ponderosa West Unsorted Points PON_WEST_HRV2_WHEEL_ENAB,"","",@p:ubcv:r:23d4ef8b-468d255d PONDW PON_WEST_HRV2_HRV3_MUA2_CP710200 (710200),"",TL17,✓,PON_WEST_HRV2_WHEEL_ENAB,"","","","","",@p:ubcv:r:23d4ef8b-468d255d PONDW PON_WEST_HRV2_HRV3_MUA2_CP710200 (710200),"","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:56:33-07:00 Los_Angeles,"","",22387,2018-10-19T16:19:10-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:57:18.979-07:00 Los_Angeles,"","","",PON_WEST_HRV2_WHEEL_ENAB,✓,BO1,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_HRV2_WHL_ENAB_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:27.742Z UTC
@p:ubcv:r:23d4f933-d9233ab0 Ponderosa West Unsorted Points PON_WEST_FC207_SAT,✓,"",@p:ubcv:r:23d4f5e4-0bdd6156 PONDW PON_WEST_FC207_CP710114 (710114),"",TL4,✓,PON_WEST_FC207_SAT,"","","","","",@p:ubcv:r:23d4f5e4-0bdd6156 PONDW PON_WEST_FC207_CP710114 (710114),"","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:57:00-07:00 Los_Angeles,"","",322323,2019-01-18T06:29:18-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:56:43.893-07:00 Los_Angeles,2019-01-23T16:53:13.404-08:00 Los_Angeles,"","",Discharge Air Temp,"",AI3,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,✓,PON_WEST_FC207_SAT_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:36.84Z UTC
@p:ubcv:r:23d4f8e4-39512ae9 Ponderosa West Unsorted Points PON_WEST_FC203_HCV,"","",@p:ubcv:r:23d4f5e4-e661b8db PONDW PON_WEST_FC203_CP710110 (710110),"",TL3,✓,PON_WEST_FC203_HCV,"","","",✓,"",@p:ubcv:r:23d4f5e4-e661b8db PONDW PON_WEST_FC203_CP710110 (710110),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,✓,"",✓,"","","",2020-05-12T15:46:59-07:00 Los_Angeles,"","",322344,2019-01-18T06:28:59-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:46:53.649-07:00 Los_Angeles,2019-01-23T16:52:53.751-08:00 Los_Angeles,"","",Heating Valve Cmd,"",AO4,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",PON_WEST_FC203_HCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:36.817Z UTC
@p:ubcv:r:23d4f831-3ab07cd1 Ponderosa West Unsorted Points PON_WEST_WSUP_WM_METER_TOTAL_AV,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL7001,✓,PON_WEST_WSUP_WM_METER_TOTAL_AV,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:28-07:00 Los_Angeles,"","",43413,2019-01-17T12:14:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:55:20.299-07:00 Los_Angeles,"","","",PON_WEST_WSUP_WM_METER_TOTAL_AV,✓,AV7002,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",MV_PON_WEST_WSUP_WM_METER_TOTAL_AV_POLL_TL,Los_Angeles,L,"","","","","",2020-05-07T12:20:49.523Z UTC
@p:ubcv:r:23d4f997-2fe135f5 Ponderosa West Unsorted Points PON_WEST_FC213_FS_BV,"","",@p:ubcv:r:23d4f5e4-055b1434 PONDW PON_WEST_FC213_CP710119 (710119),"",TL21,✓,PON_WEST_FC213_FS_BV,"","","","","",@p:ubcv:r:23d4f5e4-055b1434 PONDW PON_WEST_FC213_CP710119 (710119),"","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:00:02-07:00 Los_Angeles,"","",1698,2019-01-13T17:19:44-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:54:21.671-07:00 Los_Angeles,"","","",PON_WEST_FC213_FS_BV,✓,BV4,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_FC213_FS_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:00.704Z UTC
@p:ubcv:r:23d4f831-ca224c21 Ponderosa West Unsorted Points PON_WEST_DHW_TANK_1_2_RCRC_PW4_S_BV,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL182,✓,PON_WEST_DHW_TANK_1_2_RCRC_PW4_S_BV,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-09T19:39:26-07:00 Los_Angeles,"","",73,2018-09-27T11:02:16-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:55:19.169-07:00 Los_Angeles,"","","",PON_WEST_DHW_TANK_1_2_RCRC_PW4_S_BV,✓,BV51,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_DHW_TANK_1_2_RCRC_PW4_S_BV_COV_TL,Los_Angeles,"","","","","","",2020-05-07T12:20:49.536Z UTC
@p:ubcv:r:23d4f819-6fb0ef6c Ponderosa West Unsorted Points BTU_W_STUD_DHW_KWH_ENERGY_TOTAL_MUX,"","",@p:ubcv:r:23d4ee53-e3135191 PONDW 904.0 PONDEROSA WEST MAPLE (710000),"",TL30,✓,BTU_W_STUD_DHW_KWH_ENERGY_TOTAL_MUX,"","","","","",@p:ubcv:r:23d4ee53-e3135191 PONDW 904.0 PONDEROSA WEST MAPLE (710000),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","",138150,2019-01-17T03:50:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:47:41.294-07:00 Los_Angeles,"","","",BTU_W_STUD_DHW_KWH_ENERGY_TOTAL_MUX,✓,AV1039,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",BTU_W_STUD_DHW_KWH_ENERGY_TOTAL_MUX_TL,Los_Angeles,kWh,"","","","","",2020-04-09T19:02:36.582Z UTC
@p:ubcv:r:23d4fa12-c9107d83 Ponderosa West Unsorted Points PON_WEST_FC303_HCV,"","",@p:ubcv:r:23d4f5e4-0977e14d PONDW PON_WEST_FC303_CP710125 (710125),"",TL3,✓,PON_WEST_FC303_HCV,"","","",✓,"",@p:ubcv:r:23d4f5e4-0977e14d PONDW PON_WEST_FC303_CP710125 (710125),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,✓,"",✓,"","","",2020-05-12T15:53:01-07:00 Los_Angeles,"","",319477,2019-01-18T06:24:33-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:54:21.336-07:00 Los_Angeles,2019-01-23T16:52:56.973-08:00 Los_Angeles,"","",Heating Valve Cmd,"",AO4,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",PON_WEST_FC303_HCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:36.904Z UTC
@p:ubcv:r:23d4f831-c274382d Ponderosa West Unsorted Points PON_WEST_SUPPLY_CHW_MU_USAGE_THIS_YEAR_AV,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL9000,✓,PON_WEST_SUPPLY_CHW_MU_USAGE_THIS_YEAR_AV,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-09T08:02:47-07:00 Los_Angeles,"","",733,2019-01-29T13:00:35-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:55:19.175-07:00 Los_Angeles,"","","",PON_WEST_SUPPLY_CHW_MU_USAGE_THIS_YEAR_AV,✓,AV9035,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_SUPPLY_CHW_MU_USAGE_THIS_YEAR_AV_COV_TL,Los_Angeles,L,"","","","","",2020-05-07T12:20:49.614Z UTC
@p:ubcv:r:23d4f983-0349d792 Ponderosa West Unsorted Points PON_WEST_FC212_SAT,✓,"",@p:ubcv:r:23d4f5e4-09187521 PONDW PON_WEST_FC212_CP710118 (710118),"",TL4,✓,PON_WEST_FC212_SAT,"","","","","",@p:ubcv:r:23d4f5e4-09187521 PONDW PON_WEST_FC212_CP710118 (710118),"","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:01-07:00 Los_Angeles,"","",322432,2019-01-18T06:27:46-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:54:22.608-07:00 Los_Angeles,2019-01-23T16:52:56.765-08:00 Los_Angeles,"","",Discharge Air Temp,"",AI3,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,✓,PON_WEST_FC212_SAT_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:36.865Z UTC
