id,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,connRef,consumption,cur,curConvert,curStatus,curVal,disMacro,disabled,elec,energy,entering,enum,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,point,pointType,power,primaryLoop,quantityID,sensor,siemens,siteRef,sourceID,sqlConnRef,sqlPoint,sqlSource,submeterAdd,temp,tlName,toTag,tz,unit,unknownConn,utilityPoint,volume,water,mod
@p:ubcv:r:25547744-fc7bb38b Osborne Unsorted Points OCA2TOD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL77,✓,OCA2TOD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-06T07:00:00-07:00 Los_Angeles,"","","",305,2019-11-04T07:59:17-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:49:33.142-07:00 Los_Angeles,"",OCA2TOD,✓,BV24,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",OCA2TOD_TL,"",Los_Angeles,"","","","","",2020-04-30T11:03:00.51Z UTC
@p:ubcv:r:25547744-c2642be3 Osborne Unsorted Points OCA1CDS,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL268,✓,OCA1CDS,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:21-07:00 Los_Angeles,"","","",221949,2019-11-05T08:09:38-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.871-07:00 Los_Angeles,"",OCA1CDS,✓,AV88,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_268,"",Los_Angeles,°C,"","","","",2020-04-30T11:03:00.115Z UTC
@p:ubcv:r:25547744-f682f41d Osborne Unsorted Points OCA2PE,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL278,✓,OCA2PE,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-06T14:00:06-07:00 Los_Angeles,"","","",2229,2019-10-31T11:45:06-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:49:33.892-07:00 Los_Angeles,"",OCA2PE,✓,BV22,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_278,"",Los_Angeles,"","","","","",2020-04-30T11:03:00.503Z UTC
@p:ubcv:r:25547744-cf2e9546 Osborne Unsorted Points OCA1LT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL31,✓,OCA1LT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-04-16T14:54:51-07:00 Los_Angeles,"","","",9,2019-10-25T11:19:39-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:49:33.154-07:00 Los_Angeles,"",OCA1LT,✓,BI1,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_31,"",Los_Angeles,"","","","","",2020-04-30T11:03:00.482Z UTC
@p:ubcv:r:25547744-649472a4 Osborne Unsorted Points OCVA2VRT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL205,✓,OCVA2VRT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:31-07:00 Los_Angeles,"","","",221948,2019-11-05T08:09:48-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.907-07:00 Los_Angeles,"",OCVA2VRT,✓,AV65,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_205,"",Los_Angeles,%,"","","","",2020-04-09T19:01:56.562Z UTC
@p:ubcv:r:25547744-2c418ed9 Osborne Unsorted Points OCA2BD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL93,✓,OCA2BD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T14:00:07-07:00 Los_Angeles,"","","",415,2019-11-04T19:03:01-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.923-07:00 Los_Angeles,"",OCA2BD,✓,AV32,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_93,"",Los_Angeles,_,"","","","",2020-04-30T11:03:00.222Z UTC
@p:ubcv:r:25547744-90e2f3a2 Osborne Unsorted Points OCA1TMX,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL90,✓,OCA1TMX,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T13:19:23-07:00 Los_Angeles,"","","",98,2019-10-25T11:19:42-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.17-07:00 Los_Angeles,"",OCA1TMX,✓,AV30,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_90,"",Los_Angeles,°C,"","","","",2020-04-30T11:03:00.217Z UTC
@p:ubcv:r:25547744-05dd9677 Osborne Unsorted Points OCA1RFF,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL60,✓,OCA1RFF,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-04-16T14:55:41-07:00 Los_Angeles,"","","",6,2019-10-25T11:19:41-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.181-07:00 Los_Angeles,"",OCA1RFF,✓,AV21,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_60,"",Los_Angeles,Hz,"","","","",2020-04-30T11:03:00.208Z UTC
@p:ubcv:r:25547744-9763ec4c Osborne Unsorted Points OCA2P05,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL136,✓,OCA2P05,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:27-07:00 Los_Angeles,"","","",221948,2019-11-05T08:09:44-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.939-07:00 Los_Angeles,"",OCA2P05,✓,AV50,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_136,"",Los_Angeles,_,"","","","",2020-04-09T19:15:01.766Z UTC
@p:ubcv:r:25547744-2eff8ac0 Osborne Unsorted Points OCA1SFF,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL73,✓,OCA1SFF,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2019-10-25T16:22:52-07:00 Los_Angeles,"","","",2,2019-10-25T11:19:41-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:32.877-07:00 Los_Angeles,"",OCA1SFF,✓,AV23,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_73,"",Los_Angeles,Hz,"","","","",2020-04-30T11:03:00.21Z UTC
@p:ubcv:r:25547744-d3bccc37 Osborne Unsorted Points OCA2SFA,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL153,✓,OCA2SFA,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2019-10-25T11:19:45-07:00 Los_Angeles,"","","",1,2019-10-25T11:19:45-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:49:32.779-07:00 Los_Angeles,"",OCA2SFA,✓,BV14,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_153,"",Los_Angeles,"","","","","",2020-04-30T11:03:00.508Z UTC
@p:ubcv:r:25547744-9b21ec46 Osborne Unsorted Points OCA1PK,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL271,✓,OCA1PK,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2019-10-25T16:22:52-07:00 Los_Angeles,"","","",2,2019-10-25T11:19:41-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:32.888-07:00 Los_Angeles,"",OCA1PK,✓,AV101,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_271,"",Los_Angeles,Pa,"","","","",2020-04-30T11:03:00.205Z UTC
@p:ubcv:r:25547744-0083e0bc Osborne Unsorted Points OCA1SFX,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL246,✓,OCA1SFX,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","HAND,AUTO",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-04-16T14:55:13-07:00 Los_Angeles,"","","",8,2019-10-25T11:19:42-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:49:33.192-07:00 Los_Angeles,"",OCA1SFX,✓,BI4,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_246,"",Los_Angeles,"","","","","",2020-04-30T11:03:00.484Z UTC
@p:ubcv:r:25547e6e-c649e854 Osborne Unsorted Points OCA1MRCT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL45,✓,OCA1MRCT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:23-07:00 Los_Angeles,"","","",221923,2019-11-05T08:39:40-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.955-07:00 Los_Angeles,"",OCA1MRCT,✓,AV16,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_45,"",Los_Angeles,%,"","","","",2020-04-09T19:01:56.569Z UTC
@p:ubcv:r:25547744-34b1ed46 Osborne Unsorted Points OCA2MP,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL126,✓,OCA2MP,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2019-10-25T16:37:46-07:00 Los_Angeles,"","","",3,2019-10-25T11:19:44-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:32.988-07:00 Los_Angeles,"",OCA2MP,✓,AV46,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_126,"",Los_Angeles,%,"","","","",2020-04-30T11:03:00.239Z UTC
@p:ubcv:r:25547744-25e250a1 Osborne Unsorted Points OCA1TOD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL175,✓,OCA1TOD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-04-27T14:10:22-07:00 Los_Angeles,"","","",292,2019-11-04T08:16:35-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:49:33.205-07:00 Los_Angeles,"",OCA1TOD,✓,BV23,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",OCA1TOD_tl,"",Los_Angeles,"","","","","",2020-04-30T11:03:00.5Z UTC
@p:ubcv:r:25547744-5568b6bb Osborne Unsorted Points OCA2SFO,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL158,✓,OCA2SFO,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:29-07:00 Los_Angeles,"","","",221948,2019-11-05T08:09:46-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.971-07:00 Los_Angeles,"",OCA2SFO,✓,AV55,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_158,"",Los_Angeles,Hz,"","","","",2020-04-09T19:01:56.571Z UTC
@p:ubcv:r:25547744-138529c1 Osborne Unsorted Points OCVA1CO2,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL183,✓,OCVA1CO2,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:30-07:00 Los_Angeles,"","","",221948,2019-11-05T08:09:47-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.987-07:00 Los_Angeles,"",OCVA1CO2,✓,AI5,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_183,"",Los_Angeles,ppm,"","","","",2020-04-09T19:01:56.572Z UTC
@p:ubcv:r:25547e6e-6d530d7f Osborne Unsorted Points OCA2BK,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL96,✓,OCA2BK,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:26-07:00 Los_Angeles,"","","",221922,2019-11-05T08:39:43-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:34.003-07:00 Los_Angeles,"",OCA2BK,✓,AV33,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_96,"",Los_Angeles,ppm,"","","","",2020-04-09T19:01:56.573Z UTC
@p:ubcv:r:25547744-461f58ae Osborne Unsorted Points OCR102,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL178,✓,OCR102,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2019-10-25T11:19:46-07:00 Los_Angeles,"","","",1,2019-10-25T11:19:46-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:32.8-07:00 Los_Angeles,"",OCR102,✓,AV63,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_178,"",Los_Angeles,m²,"","","","",2020-04-30T11:03:00.266Z UTC
@p:ubcv:r:25547e6e-d57efd19 Osborne Unsorted Points OCA1TMX,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL91,✓,OCA1TMX,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:25-07:00 Los_Angeles,"","","",221922,2019-11-05T08:39:42-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:34.019-07:00 Los_Angeles,"",OCA1TMX,✓,AV30,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_91,"",Los_Angeles,°C,"","","","",2020-04-09T19:01:56.575Z UTC
@p:ubcv:r:25547e6e-8e41173d Osborne Unsorted Points OCA1BN,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL5,✓,OCA1BN,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-04-17T15:23:32-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [27] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",191919,2019-11-05T08:39:38-08:00 Los_Angeles,fault,"","",Bool,2020-05-10T22:25:50.982-07:00 Los_Angeles,"",OCA1BN,✓,BV1,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_5,"",Los_Angeles,"","","","","",2020-02-12T22:12:24.849Z UTC
@p:ubcv:r:25547744-60e83bc7 Osborne Unsorted Points OCA2MP,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL127,✓,OCA2MP,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:27-07:00 Los_Angeles,"","","",221948,2019-11-05T08:09:44-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:34.035-07:00 Los_Angeles,"",OCA2MP,✓,AV46,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_127,"",Los_Angeles,%,"","","","",2020-04-09T19:01:56.576Z UTC
@p:ubcv:r:25547744-69a4e208 Osborne Unsorted Points OCVA1CO2,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL182,✓,OCVA1CO2,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-08T13:55:29-07:00 Los_Angeles,"","","",47935,2019-11-04T22:52:36-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:34.051-07:00 Los_Angeles,"",OCVA1CO2,✓,AI5,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_182,"",Los_Angeles,ppm,"","","","",2020-04-30T11:02:59.566Z UTC
@p:ubcv:r:25547744-8b74ca21 Osborne Unsorted Points OCA1VP,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL215,✓,OCA1VP,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:25-07:00 Los_Angeles,"","","",221948,2019-11-05T08:09:42-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:34.067-07:00 Los_Angeles,"",OCA1VP,✓,AV67,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_215,"",Los_Angeles,_,"","","","",2020-04-30T11:03:00.219Z UTC
@p:ubcv:r:25547e6e-813f8505 Osborne Unsorted Points OCA1P07,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL54,✓,OCA1P07,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:23-07:00 Los_Angeles,"","","",221923,2019-11-05T08:39:40-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:34.082-07:00 Los_Angeles,"",OCA1P07,✓,AV20,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_54,"",Los_Angeles,_,"","","","",2020-04-09T19:15:01.77Z UTC
@p:ubcv:r:25547744-a200025a Osborne Unsorted Points OCA1EF1,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL22,✓,OCA1EF1,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:22-07:00 Los_Angeles,"","","",221948,2019-11-05T08:09:39-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:49:34.099-07:00 Los_Angeles,"",OCA1EF1,✓,BO0,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_22,"",Los_Angeles,"","","","","",2020-02-12T22:07:13.092Z UTC
@p:ubcv:r:25547744-a34982d8 Osborne Unsorted Points OCA1MT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL48,✓,OCA1MT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T14:53:52-07:00 Los_Angeles,"","","",55462,2019-11-02T10:39:38-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:34.115-07:00 Los_Angeles,"",OCA1MT,✓,AI0,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_48,"",Los_Angeles,°C,"","","","",2020-04-30T11:02:59.559Z UTC
@p:ubcv:r:25547e6e-7959adcc Osborne Unsorted Points OCA1SFF,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL74,✓,OCA1SFF,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:25-07:00 Los_Angeles,"","","",221923,2019-11-05T08:39:42-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:34.13-07:00 Los_Angeles,"",OCA1SFF,✓,AV23,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_74,"",Los_Angeles,Hz,"","","","",2020-04-09T19:01:56.581Z UTC
@p:ubcv:r:25547744-92b93e78 Osborne Unsorted Points OCVA5HV,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL234,✓,OCVA5HV,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-04-16T14:55:10-07:00 Los_Angeles,"","","",163,2019-10-25T11:19:49-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.221-07:00 Los_Angeles,"",OCVA5HV,✓,AO16,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_234,"",Los_Angeles,%,"","","","",2020-04-30T11:02:59.575Z UTC
@p:ubcv:r:25547744-0b5eeb1f Osborne Unsorted Points OCA2DU,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL252,✓,OCA2DU,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","ON,AUTO,SPEC ON,SPEC OFF,? 5",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","-1 enumNumberToStr(self, false)",2020-04-27T09:55:16-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [34] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",10,2019-10-25T11:19:43-07:00 Los_Angeles,fault,"","",Str,2020-05-10T22:25:51.058-07:00 Los_Angeles,"",OCA2DU,✓,MSV0,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_252,"",Los_Angeles,"","","","","",2020-04-30T11:03:00.512Z UTC
