id,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,connRef,consumption,cur,curConvert,curStatus,curVal,disMacro,disabled,elec,energy,entering,enum,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,point,pointType,power,primaryLoop,quantityID,sensor,siemens,siteRef,sourceID,sqlConnRef,sqlPoint,sqlSource,submeterAdd,temp,tlName,toTag,tz,unit,unknownConn,utilityPoint,volume,water,mod
@p:ubcv:r:25547744-4899dd4a Osborne Unsorted Points OCA1RFV,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL64,✓,OCA1RFV,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T14:01:57-07:00 Los_Angeles,"","","",267710,2019-11-05T10:08:35-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.664-07:00 Los_Angeles,"",OCA1RFV,✓,AO1,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_64,"",Los_Angeles,_,"","","","",2020-04-30T11:02:59.57Z UTC
@p:ubcv:r:25547744-da3f8c6c Osborne Unsorted Points OCA1BN,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL4,✓,OCA1BN,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-03-14T13:10:01-07:00 Los_Angeles,"","","",352,2019-11-01T14:40:52-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:49:33.129-07:00 Los_Angeles,"",OCA1BN,✓,BV1,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_4,"",Los_Angeles,"","","","","",2020-04-30T11:03:00.491Z UTC
@p:ubcv:r:25547744-708a0cf0 Osborne Unsorted Points OCA2CD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL101,✓,OCA2CD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T14:00:06-07:00 Los_Angeles,"","","",1831,2019-11-01T14:24:08-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.68-07:00 Los_Angeles,"",OCA2CD,✓,AO2,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_101,"",Los_Angeles,%,"","","","",2020-04-30T11:02:59.571Z UTC
@p:ubcv:r:22e26680-8e2b4f82 Osborne Water Main Meter Consumption,"","","","","",✓,"","","","",$equipRef $navName,"","","","","",@p:ubcv:r:2124b7f0-17368744 Osborne Water Main Meter,"",@p:ubcv:r:21697fca-0e009e6f Osborne Utilities,✓,"","","","","",virtualMeter,consumption,"","","","","",Number,"","",Consumption,"","","","","",✓,"","","","",✓,"",@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","@p:ubcv:r:2124b7f0-e3a6342f, @p:ubcv:r:2124b93c-5a898c5b","","","",Los_Angeles,m³,"",✓,✓,✓,2020-04-28T00:03:35.257Z UTC
@p:ubcv:r:25547744-cd9e9111 Osborne Unsorted Points OCVA4CO2,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL221,✓,OCVA4CO2,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:31-07:00 Los_Angeles,"","","",221948,2019-11-05T08:09:48-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.696-07:00 Los_Angeles,"",OCVA4CO2,✓,AI9,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_221,"",Los_Angeles,ppm,"","","","",2020-04-09T19:01:56.549Z UTC
@p:ubcv:r:25547744-b16392ea Osborne Unsorted Points OCVA3HV,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL208,✓,OCVA3HV,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-04-24T10:49:38-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [37] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",828,2019-11-03T01:00:00-07:00 Los_Angeles,fault,"","",Number,2020-05-10T22:25:51.02-07:00 Los_Angeles,"",OCVA3HV,✓,AO10,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_208,"",Los_Angeles,%,"","","","",2020-04-09T19:01:56.55Z UTC
@p:ubcv:r:25547744-b26c3397 Osborne Unsorted Points OCA2RFA,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL142,✓,OCA2RFA,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2019-10-25T11:19:45-07:00 Los_Angeles,"","","",1,2019-10-25T11:19:45-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:49:32.768-07:00 Los_Angeles,"",OCA2RFA,✓,BV12,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_142,"",Los_Angeles,"","","","","",2020-04-30T11:03:00.505Z UTC
@p:ubcv:r:25547744-1f35d9c2 Osborne Unsorted Points OCA2BK,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL95,✓,OCA2BK,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2019-10-25T16:23:07-07:00 Los_Angeles,"","","",2,2019-10-25T11:19:42-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:32.866-07:00 Los_Angeles,"",OCA2BK,✓,AV33,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_95,"",Los_Angeles,ppm,"","","","",2020-04-30T11:03:00.224Z UTC
@p:ubcv:r:25547e6e-9efd45ec Osborne Unsorted Points OCA1SE,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL69,✓,OCA1SE,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:25-07:00 Los_Angeles,"","","",221923,2019-11-05T08:39:42-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:49:33.713-07:00 Los_Angeles,"",OCA1SE,✓,BV3,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_69,"",Los_Angeles,"","","","","",2020-02-12T22:12:22.63Z UTC
@p:ubcv:r:25547744-2dcff1d7 Osborne Unsorted Points OCA1BD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL6,✓,OCA1BD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T14:01:06-07:00 Los_Angeles,"","","",409,2019-11-04T19:01:02-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.729-07:00 Los_Angeles,"",OCA1BD,✓,AV1,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_6,"",Los_Angeles,_,"","","","",2020-04-30T11:02:59.576Z UTC
