id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,effective,energy,entering,enum,equipName,equipRef,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,leaving,low,mixed,mode,navName,noTagMatch,objectId,occ,outside,point,power,pump,quantityID,return,run,scheduled,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,water,zachName,zone,mod
@p:ubcv:r:25a64582-d1b41d52 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-27.RP022-T,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001935,"",JCL-NAE09/N2-A.DC-27.RP022-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.583-07:00 Los_Angeles,"","","","",JCL-NAE09/N2-A.DC-27.RP022-T,✓,AI3000934,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/N2-A.DC-27.RP022-T.Trend1,Los_Angeles,°C,"","",CS-GF.RP022-T,"",2020-04-09T19:01:58.502Z UTC
@p:ubcv:r:25a64582-2c48029a Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-004.HXS-T,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007776,"",JCL-NAE09/FC-2.FEC-004.HXS-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",18206,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.584-07:00 Los_Angeles,"","","","",JCL-NAE09/FC-2.FEC-004.HXS-T,✓,AI3007756,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/FC-2.FEC-004.HXS-T.Trend1,Los_Angeles,°C,"","",1600.DES.HXS-T,"",2020-04-09T19:01:58.503Z UTC
@p:ubcv:r:25a64582-84bce450 Continuing Studies Unsorted Points JCL-NAE09/BACnet IP connection.1600 DES Kamstrup meter.AI-3,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007690,"",JCL-NAE09/BACnet IP connection.1600 DES Kamstrup meter.AI-3,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",12106,2020-01-05T23:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.586-07:00 Los_Angeles,"","","","",JCL-NAE09/BACnet IP connection.1600 DES Kamstrup meter.AI-3,✓,AI3007684,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/BACnet IP connection.1600 DES Kamstrup meter.AI-3.Trend1,Los_Angeles,m³,"","",1600.Accumulated Volume,"",2020-04-09T19:01:58.504Z UTC
@p:ubcv:r:25a64582-fd472f62 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-25.RP017-T,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001931,"",JCL-NAE09/N2-A.DC-25.RP017-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.588-07:00 Los_Angeles,"","","","",JCL-NAE09/N2-A.DC-25.RP017-T,✓,AI3000932,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/N2-A.DC-25.RP017-T.Trend1,Los_Angeles,°C,"","",CS-GF.RP017-T,"",2020-04-09T19:01:58.505Z UTC
@p:ubcv:r:21693dee-b963adb6 Continuing Studies HW Main Meter Power,"","",@p:ubcv:r:21cacab2-84f5c2cf CSB DES Meter,AI5,"",✓,"","",@p:ubcv:r:21cacab2-84f5c2cf CSB DES Meter,"",✓,"",ok,0kW,"","","",$equipRef $navName,"","","","","","",@p:ubcv:r:21693dee-e0b76a42 Continuing Studies HW Main Meter,"",@p:ubcv:r:21697fca-a27b68c3 Continuing Studies Utilities,"",✓,5kW,15min,"",2020-05-12T14:30:00-07:00 Los_Angeles,"","",240597,2017-10-04T14:00:00-07:00 Los_Angeles,ok,"",✓,"",Number,"","","","","",Power,"","","","",✓,✓,"","","","","",✓,@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","","",Los_Angeles,kW,✓,✓,"","",2020-05-12T08:00:09.783Z UTC
@p:ubcv:r:25a64582-b8453885 Continuing Studies Unsorted Points JCL-NAE09/BACnet IP connection.1600 DES Kamstrup meter.AI-11,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3008179,"",JCL-NAE09/BACnet IP connection.1600 DES Kamstrup meter.AI-11,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",12106,2020-01-05T23:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.589-07:00 Los_Angeles,"","","","",JCL-NAE09/BACnet IP connection.1600 DES Kamstrup meter.AI-11,✓,AI3007689,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/BACnet IP connection.1600 DES Kamstrup meter.AI-11.Trend1,Los_Angeles,K,"","",1600.Differential Temperature,"",2020-04-09T19:01:58.506Z UTC
@p:ubcv:r:25a64582-c9b3c5da Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-26.ZN-T,✓,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001657,"",JCL-NAE09/N2-A.DC-26.ZN-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.591-07:00 Los_Angeles,"","","","",Zone Temp,"",AI3000706,"","",✓,"","","","","","",✓,@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE09/N2-A.DC-26.ZN-T.Trend1,Los_Angeles,°C,"","",VAV026.ZN-T,✓,2020-04-09T19:01:58.507Z UTC
@p:ubcv:r:25a64582-5cbcafdf Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-29.ZN-T,✓,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001724,"",JCL-NAE09/N2-A.DC-29.ZN-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.592-07:00 Los_Angeles,"","","","",Zone Temp,"",AI3000773,"","",✓,"","","","","","",✓,@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE09/N2-A.DC-29.ZN-T.Trend1,Los_Angeles,°C,"","",VAV029.ZN-T,✓,2020-04-09T19:01:58.508Z UTC
@p:ubcv:r:25a64582-65e22d22 Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-005.RA-T,✓,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007555,"",JCL-NAE09/FC-2.FEC-005.RA-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",18086,2020-01-06T03:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.594-07:00 Los_Angeles,"","","","",Return Air Temp,"",AI3007538,"","",✓,"","","",✓,"","",✓,@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","",@p:ubcv:r:23e65d3d-33dbc1b0 .+(\.|-| )RA-T,✓,JCL-NAE09/FC-2.FEC-005.RA-T.Trend1,Los_Angeles,°C,"","",AHU-01.RA-T,"",2020-04-09T19:01:58.509Z UTC
@p:ubcv:r:25a64582-dae39fd3 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-23.RP018-T,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001927,"",JCL-NAE09/N2-A.DC-23.RP018-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.596-07:00 Los_Angeles,"","","","",JCL-NAE09/N2-A.DC-23.RP018-T,✓,AI3000930,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/N2-A.DC-23.RP018-T.Trend1,Los_Angeles,°C,"","",CS-GF.RP018-T,"",2020-04-09T19:01:58.51Z UTC
