id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,effective,energy,entering,enum,equipName,equipRef,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,leaving,low,mixed,mode,navName,noTagMatch,objectId,occ,outside,point,power,pump,quantityID,return,run,scheduled,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,water,zachName,zone,mod
@p:ubcv:r:25a64582-4dd77e40 Continuing Studies Unsorted Points JCL-NAE09/BACnet IP connection.1600 DES Kamstrup meter.AI-4,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007691,"",JCL-NAE09/BACnet IP connection.1600 DES Kamstrup meter.AI-4,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",12106,2020-01-05T23:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.598-07:00 Los_Angeles,"","","","",JCL-NAE09/BACnet IP connection.1600 DES Kamstrup meter.AI-4,✓,AI3007685,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/BACnet IP connection.1600 DES Kamstrup meter.AI-4.Trend1,Los_Angeles,L/h,"","",1600.Actual Flow,"",2020-04-09T19:01:58.511Z UTC
@p:ubcv:r:25a64582-586e0554 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-102.RP010-T,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001043,"",JCL-NAE09/N2-A.DC-102.RP010-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.599-07:00 Los_Angeles,"","","","",JCL-NAE09/N2-A.DC-102.RP010-T,✓,AI3000213,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/N2-A.DC-102.RP010-T.Trend1,Los_Angeles,°C,"","",CS-LF.RP010-T,"",2020-04-09T19:01:58.512Z UTC
@p:ubcv:r:25a64582-f87d1d24 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-28.ZN-T,✓,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001701,"",JCL-NAE09/N2-A.DC-28.ZN-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.6-07:00 Los_Angeles,"","","","",Zone Temp,"",AI3000748,"","",✓,"","","","","","",✓,@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE09/N2-A.DC-28.ZN-T.Trend1,Los_Angeles,°C,"","",VAV028.ZN-T,✓,2020-04-09T19:01:58.513Z UTC
@p:ubcv:r:25a64582-69d7dd85 Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-005.Parameters.DADP-SP,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007622,"",JCL-NAE09/FC-2.FEC-005.Parameters.DADP-SP,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",18086,2020-01-06T03:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.602-07:00 Los_Angeles,"","","","",JCL-NAE09/FC-2.FEC-005.Parameters.DADP-SP,✓,AV3007577,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/FC-2.FEC-005.Parameters.DADP-SP.Trend2,Los_Angeles,Pa,"","",AHU-01.DADP-SP,"",2020-04-09T19:01:58.514Z UTC
@p:ubcv:r:25a64582-48db600f Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-005.Parameters.EFFCLG-SP,✓,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007626,"",JCL-NAE09/FC-2.FEC-005.Parameters.EFFCLG-SP,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),✓,"","","","","","","",$equipRef $bmsName,"",✓,"","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",18086,2020-01-06T03:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.603-07:00 Los_Angeles,"","","","",Zone Temp Effective Cooling Sp,"",AV3007603,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"",✓,"","","",@p:ubcv:r:240c1e06-1955c0a3 .+(\.|-| )(EFF|ACT)CLG-?SP,✓,JCL-NAE09/FC-2.FEC-005.Parameters.EFFCLG-SP.Trend2,Los_Angeles,°C,"","",AHU-01.DAT-EFFCLG-SP,✓,2020-04-09T19:01:58.515Z UTC
@p:ubcv:r:25a64582-e5f40b90 Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-004.P1-%,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007782,"",JCL-NAE09/FC-2.FEC-004.P1-%,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",18206,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.605-07:00 Los_Angeles,"","","","",JCL-NAE09/FC-2.FEC-004.P1-%,✓,AI3007762,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/FC-2.FEC-004.P1-%.Trend1,Los_Angeles,%,"","",1600.DES.P1-%,"",2020-04-09T19:01:58.516Z UTC
@p:ubcv:r:25a64582-fa2e708b Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-005.Parameters.EFF-OCC,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007628,"",JCL-NAE09/FC-2.FEC-005.Parameters.EFF-OCC,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"",✓,"","","Occupied,UnOccupied,Bypass,Standby","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T11:00:00-07:00 Los_Angeles,"","",156,2020-01-02T06:00:01-08:00 Los_Angeles,ok,"","",✓,Str,2020-05-12T14:23:34.606-07:00 Los_Angeles,"","","",✓,Occupancy Mode,"",MSV3007612,✓,"",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","",@p:ubcv:r:23e65d3d-e8475e93 .+(\.|-| )EFF-OCC,"",JCL-NAE09/FC-2.FEC-005.Parameters.EFF-OCC.Trend2,Los_Angeles,"","","",AHU-01.1600.AHU-01.EFF-OCC,"",2020-04-08T18:50:35.502Z UTC
@p:ubcv:r:25a64582-e4f41179 Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-005.HCP02a-S,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007568,"",JCL-NAE09/FC-2.FEC-005.HCP02a-S,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",1737,2020-01-03T14:06:06-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T14:23:34.607-07:00 Los_Angeles,"","","","",JCL-NAE09/FC-2.FEC-005.HCP02a-S,✓,BI3007548,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/FC-2.FEC-005.HCP02a-S.Trend1,Los_Angeles,"","","",AHU-01.HCP02a-S,"",2020-04-08T18:50:38.046Z UTC
@p:ubcv:r:25a64582-f77cf2f1 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-11.ZN-T,✓,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001311,"",JCL-NAE09/N2-A.DC-11.ZN-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.608-07:00 Los_Angeles,"","","","",Zone Temp,"",AI3000419,"","",✓,"","","","","","",✓,@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE09/N2-A.DC-11.ZN-T.Trend1,Los_Angeles,°C,"","",VAV011.ZN-T,✓,2020-04-09T19:01:58.517Z UTC
@p:ubcv:r:25a64582-78730c37 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-6.RA1-DPR,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001954,"",JCL-NAE09/N2-A.DC-6.RA1-DPR,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.609-07:00 Los_Angeles,"","","","",JCL-NAE09/N2-A.DC-6.RA1-DPR,✓,AO3000944,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/N2-A.DC-6.RA1-DPR.Trend1,Los_Angeles,_,"","",CS-AHU1.RA1-DPR,"",2020-04-09T19:15:03.601Z UTC
@p:ubcv:r:25a64582-87756aa2 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-25.ZN-T,✓,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001635,"",JCL-NAE09/N2-A.DC-25.ZN-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.611-07:00 Los_Angeles,"","","","",Zone Temp,"",AI3000689,"","",✓,"","","","","","",✓,@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE09/N2-A.DC-25.ZN-T.Trend1,Los_Angeles,°C,"","",VAV025.ZN-T,✓,2020-04-09T19:01:58.519Z UTC
@p:ubcv:r:25a64582-57f6970d Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-006.1600 AUH-01 ZN3AS-P,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3008129,"",JCL-NAE09/FC-2.FEC-006.1600 AUH-01 ZN3AS-P,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",18086,2020-01-06T03:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.612-07:00 Los_Angeles,"","","","",JCL-NAE09/FC-2.FEC-006.1600 AUH-01 ZN3AS-P,✓,AI3008117,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/FC-2.FEC-006.1600 AUH-01 ZN3AS-P.Trend1,Los_Angeles,Pa,"","",1600.AUH-01.ZN3AS-P,"",2020-04-09T19:01:58.52Z UTC
@p:ubcv:r:25a64582-65c2e394 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-3.ZN-T,✓,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001128,"",JCL-NAE09/N2-A.DC-3.ZN-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.614-07:00 Los_Angeles,"","","","",Zone Temp,"",AI3000271,"","",✓,"","","","","","",✓,@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE09/N2-A.DC-3.ZN-T.Trend1,Los_Angeles,°C,"","",VAV003.ZN-T,✓,2020-04-09T19:01:58.521Z UTC
@p:ubcv:r:25a64582-7cc39aa2 Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-006.1600 SHWS EHW-T,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3008127,"",JCL-NAE09/FC-2.FEC-006.1600 SHWS EHW-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",18086,2020-01-06T03:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.615-07:00 Los_Angeles,"","","","",JCL-NAE09/FC-2.FEC-006.1600 SHWS EHW-T,✓,AI3008115,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/FC-2.FEC-006.1600 SHWS EHW-T.Trend1,Los_Angeles,°C,"","",1600.SHWS.EHW-T,"",2020-04-09T19:01:58.522Z UTC
@p:ubcv:r:25a64582-2923edb2 Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-004.DESEWD-P,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007779,"",JCL-NAE09/FC-2.FEC-004.DESEWD-P,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",18206,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.617-07:00 Los_Angeles,"","","","",JCL-NAE09/FC-2.FEC-004.DESEWD-P,✓,AI3007759,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/FC-2.FEC-004.DESEWD-P.Trend1,Los_Angeles,kPa,"","",1600.DES.DESEWD-P,"",2020-04-09T19:01:58.523Z UTC
@p:ubcv:r:25a64582-cb40c2a4 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-103.EL-SF,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001056,"",JCL-NAE09/N2-A.DC-103.EL-SF,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-09T19:29:11-07:00 Los_Angeles,"","",11,2019-03-09T17:10:06-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T14:23:34.618-07:00 Los_Angeles,"","","","",JCL-NAE09/N2-A.DC-103.EL-SF,✓,BI3000226,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/N2-A.DC-103.EL-SF.Trend1,Los_Angeles,"","","",CS-ELEC.EL-SF,"",2020-04-08T18:52:43.665Z UTC
@p:ubcv:r:25a64582-81135b83 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-20.SP2-P,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001922,"",JCL-NAE09/N2-A.DC-20.SP2-P,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.619-07:00 Los_Angeles,"","","","",JCL-NAE09/N2-A.DC-20.SP2-P,✓,AI3000927,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/N2-A.DC-20.SP2-P.Trend1,Los_Angeles,Pa,"","",CS-AHU1.SP2-P,"",2020-04-09T19:01:58.524Z UTC
@p:ubcv:r:25a64582-4ecec0bb Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-101.RP029-T,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001023,"",JCL-NAE09/N2-A.DC-101.RP029-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.621-07:00 Los_Angeles,"","","","",JCL-NAE09/N2-A.DC-101.RP029-T,✓,AI3000194,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/N2-A.DC-101.RP029-T.Trend1,Los_Angeles,°C,"","",CS-UF.RP029-T,"",2020-04-09T19:01:58.525Z UTC
@p:ubcv:r:25a64582-2b62c800 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-17.ZN-T,✓,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001450,"",JCL-NAE09/N2-A.DC-17.ZN-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.622-07:00 Los_Angeles,"","","","",Zone Temp,"",AI3000540,"","",✓,"","","","","","",✓,@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE09/N2-A.DC-17.ZN-T.Trend1,Los_Angeles,°C,"","",VAV017.ZN-T,✓,2020-04-09T19:01:58.526Z UTC
@p:ubcv:r:25a64582-e2d621f7 Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-005.SAF01-S,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007559,"",JCL-NAE09/FC-2.FEC-005.SAF01-S,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T11:01:54-07:00 Los_Angeles,"","",174,2020-01-02T05:40:03-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T14:23:34.624-07:00 Los_Angeles,"","","","",JCL-NAE09/FC-2.FEC-005.SAF01-S,✓,BI3007542,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/FC-2.FEC-005.SAF01-S.Trend1,Los_Angeles,"","","",AHU-01.SAF01-S,"",2020-04-08T18:50:39.042Z UTC
@p:ubcv:r:25a64582-8d67680b Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-004.HWV1-O,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007777,"",JCL-NAE09/FC-2.FEC-004.HWV1-O,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",18206,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.625-07:00 Los_Angeles,"","","","",JCL-NAE09/FC-2.FEC-004.HWV1-O,✓,AO3007757,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/FC-2.FEC-004.HWV1-O.Trend1,Los_Angeles,_,"","",1600.DES.HWV1-O,"",2020-04-09T19:15:03.602Z UTC
@p:ubcv:r:25a64582-1dd34210 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-7.RP015-T,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001956,"",JCL-NAE09/N2-A.DC-7.RP015-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.626-07:00 Los_Angeles,"","","","",JCL-NAE09/N2-A.DC-7.RP015-T,✓,AI3000945,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/N2-A.DC-7.RP015-T.Trend1,Los_Angeles,°C,"","",CS-LF.RP015-T,"",2020-04-09T19:01:58.528Z UTC
@p:ubcv:r:25a64582-c06b7c7b Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-2.ZN-T,✓,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001105,"",JCL-NAE09/N2-A.DC-2.ZN-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.628-07:00 Los_Angeles,"","","","",Zone Temp,"",AI3000253,"","",✓,"","","","","","",✓,@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE09/N2-A.DC-2.ZN-T.Trend1,Los_Angeles,°C,"","",VAV002.ZN-T,✓,2020-04-09T19:01:58.529Z UTC
