id,ancillaryImport,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,gas,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,point,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,water,mod
@p:ubcv:r:2388a048-935864f2 Vanier - Gordon Shrum HW Main Meter Water Delta Temp,"","","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:215e9d62-c449cbe9 Vanier - Gordon Shrum HW Main Meter,"","",@p:ubcv:r:21697fca-016dbe18 Vanier - Gordon Shrum Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,✓,"","","",@p:ubcv:r:215e9d62-de51a38d Vanier - Gordon Shrum,"","","",✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.678Z UTC
@p:ubcv:r:215e9d62-b5be7af2 Vanier - Gordon Shrum HW Main Meter Energy,"",@p:ubcv:r:21f931e6-81bbd174 PV Gordon Shrum DES Meter,AI1,✓,@p:ubcv:r:21f931e6-81bbd174 PV Gordon Shrum DES Meter,✓,MWh => kWh,ok,7290810.05859375kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:215e9d62-c449cbe9 Vanier - Gordon Shrum HW Main Meter,"","",@p:ubcv:r:21697fca-016dbe18 Vanier - Gordon Shrum Utilities,✓,"",15min,2020-05-13T09:00:00-07:00 Los_Angeles,"",consumption,168695,2015-07-03T08:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,✓,"",10549,✓,@p:ubcv:r:215e9d62-de51a38d Vanier - Gordon Shrum,285,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,✓,2020-04-28T00:03:35.679Z UTC
@p:ubcv:r:21dffdae-ce385e59 Vanier - Gordon Shrum HW Main Meter Flow,"",@p:ubcv:r:21f931e6-81bbd174 PV Gordon Shrum DES Meter,AI4,✓,@p:ubcv:r:21f931e6-81bbd174 PV Gordon Shrum DES Meter,✓,L/h => L/s,ok,0.25L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:215e9d62-c449cbe9 Vanier - Gordon Shrum HW Main Meter,✓,"",@p:ubcv:r:21697fca-016dbe18 Vanier - Gordon Shrum Utilities,✓,0.25L/s,10min,2020-05-13T09:00:00-07:00 Los_Angeles,"",consumption,614149,2018-01-22T15:40:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,✓,"","",✓,@p:ubcv:r:215e9d62-de51a38d Vanier - Gordon Shrum,"","","","",Los_Angeles,L/s,✓,✓,2020-04-28T00:03:35.68Z UTC
@p:ubcv:r:250ecf07-1231e6f6 Vanier - Gordon Shrum Elec Main Meter Energy,✓,"","","","","","","","","","",$equipRef $navName,✓,✓,"",@p:ubcv:r:250ecf07-ffacaeb5 Vanier - Gordon Shrum Elec Main Meter,"","",@p:ubcv:r:21697fca-016dbe18 Vanier - Gordon Shrum Utilities,✓,"","",2020-01-01T00:00:00-08:00 Los_Angeles,"",consumption,201700,2014-04-01T00:00:00-07:00 Los_Angeles,"","","",Number,"",Energy,✓,"","",✓,@p:ubcv:r:215e9d62-de51a38d Vanier - Gordon Shrum,"","","","",Los_Angeles,kWh,"","",2020-04-28T00:03:36.094Z UTC
@p:ubcv:r:215e9d62-767f2de4 Vanier - Gordon Shrum HW Main Meter Power,"",@p:ubcv:r:21f931e6-81bbd174 PV Gordon Shrum DES Meter,AI5,✓,@p:ubcv:r:21f931e6-81bbd174 PV Gordon Shrum DES Meter,✓,"",ok,5.800000190734863kW,"","",$equipRef $navName,"","","",@p:ubcv:r:215e9d62-c449cbe9 Vanier - Gordon Shrum HW Main Meter,"","",@p:ubcv:r:21697fca-016dbe18 Vanier - Gordon Shrum Utilities,✓,15.845062974902374kW,15min,2020-05-13T09:00:00-07:00 Los_Angeles,"","",712495,2016-05-05T14:15:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,✓,✓,"",✓,@p:ubcv:r:215e9d62-de51a38d Vanier - Gordon Shrum,"","","","",Los_Angeles,kW,✓,✓,2020-05-13T08:00:08.527Z UTC
@p:ubcv:r:252a5dc2-c4350e64 Vanier - Gordon Shrum Gas Main Meter Energy,✓,"","","","","","","","","","",$equipRef $navName,"",✓,"",@p:ubcv:r:250ecf08-eccf1d74 Vanier - Gordon Shrum Gas Main Meter,"",✓,@p:ubcv:r:21697fca-016dbe18 Vanier - Gordon Shrum Utilities,✓,"","",2020-01-01T00:00:00-08:00 Los_Angeles,"",consumption,201700,2014-04-01T00:15:00-07:00 Los_Angeles,"","","",Number,"",Energy,✓,"","",✓,@p:ubcv:r:215e9d62-de51a38d Vanier - Gordon Shrum,"","","","",Los_Angeles,GJ,"","",2020-04-28T00:03:36.253Z UTC
@p:ubcv:r:21dffdae-b0d40d49 Vanier - Gordon Shrum HW Main Meter Leaving Water Temp,"",@p:ubcv:r:21f931e6-81bbd174 PV Gordon Shrum DES Meter,AI10,✓,@p:ubcv:r:21f931e6-81bbd174 PV Gordon Shrum DES Meter,✓,"",ok,77.00999450683594°C,"","",$equipRef $navName,"","","",@p:ubcv:r:215e9d62-c449cbe9 Vanier - Gordon Shrum HW Main Meter,"","",@p:ubcv:r:21697fca-016dbe18 Vanier - Gordon Shrum Utilities,✓,0.5°C,10min,2020-05-13T09:07:42-07:00 Los_Angeles,"",consumption,542603,2018-01-22T15:40:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,✓,"","",✓,@p:ubcv:r:215e9d62-de51a38d Vanier - Gordon Shrum,"","","",✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.682Z UTC
@p:ubcv:r:21dffdae-27104c60 Vanier - Gordon Shrum HW Main Meter Entering Water Temp,"",@p:ubcv:r:21f931e6-81bbd174 PV Gordon Shrum DES Meter,AI9,✓,@p:ubcv:r:21f931e6-81bbd174 PV Gordon Shrum DES Meter,✓,"",ok,82.77999877929688°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:215e9d62-c449cbe9 Vanier - Gordon Shrum HW Main Meter,"","",@p:ubcv:r:21697fca-016dbe18 Vanier - Gordon Shrum Utilities,✓,0.5°C,10min,2020-05-13T09:00:00-07:00 Los_Angeles,"",consumption,240954,2018-01-22T15:40:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,✓,"","",✓,@p:ubcv:r:215e9d62-de51a38d Vanier - Gordon Shrum,"","","",✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.683Z UTC
