id,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,bridgeName,chilled,chiller,cmd,co2,connRef,cooling,count,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,lastTagged,leaving,mixed,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,pressure,primaryLoop,pump,quantityID,return,run,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,wifi,wifiId,zone,mod
@p:ubcv:r:25a26ac7-05c75dc8 Wesbrook Building Heating Plant 864_AHU_03_RA_CO2,✓,@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"",TL68,"",864_AHU_03_RA_CO2,"","","","",✓,@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:21dffdae-c28b6c6b Wesbrook Building Heating Plant,✓,"","","",@p:ubcv:r:21dff50a-db7797e9 Wesbrook Building Hydronic Systems,"",✓,"","","",2020-05-13T09:00:00-07:00 Los_Angeles,"","","",12988,2019-12-29T13:15:00-08:00 Los_Angeles,ok,"","",Number,2020-05-13T09:12:52.355-07:00 Los_Angeles,"","","",Zone Co2,"",AI2304,"","","","","",✓,"","","","","","","","",✓,@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","","","",864_AHU_03_RA_CO2_POLL_TL,Los_Angeles,ppm,"","","","","","",✓,2020-04-09T19:02:09.823Z UTC
@p:ubcv:r:21e2d0ab-00d18632 Wesbrook Building HX-1 864_HX1_HWS_SRC_VLV,"",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"",TL78,✓,864_HX1_HWS_SRC_VLV,"","","","","",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2634b966-c64cc42e Wesbrook Building HX-1,✓,"","","",@p:ubcv:r:21dff50a-db7797e9 Wesbrook Building Hydronic Systems,"",✓,"","","",2020-05-13T09:10:00-07:00 Los_Angeles,"","","",244554,2018-01-03T22:45:00-08:00 Los_Angeles,ok,"","",Number,2020-05-13T09:12:50.391-07:00 Los_Angeles,2018-05-09T10:55:46.194-07:00 Los_Angeles,"","",864_HX1_HWS_SRC_VLV,✓,AO1303,"","","","","",✓,"","","",✓,"","","","","",@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","","","",864_HX1_HWS_SRC_VLV_POLL_TL,Los_Angeles,%,"","","","","","","",2020-04-23T20:50:35.608Z UTC
@p:ubcv:r:25a26b40-4a98e3e3 Wesbrook Building Heating Plant WB_AHU_04_AVG_RT_MUX,"",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"",TL135,"",WB_AHU_04_AVG_RT_MUX,"","","","","",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:21dffdae-c28b6c6b Wesbrook Building Heating Plant,✓,"","","",@p:ubcv:r:21dff50a-db7797e9 Wesbrook Building Hydronic Systems,"",✓,"","","",2020-05-13T09:00:00-07:00 Los_Angeles,"","","",12988,2019-12-29T13:15:00-08:00 Los_Angeles,ok,"","",Number,2020-05-13T09:12:50.405-07:00 Los_Angeles,"","","",WB_AHU_04_AVG_RT_MUX,✓,AV272,"","","","","",✓,"","","","","","","","","",@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","","","",WB_AHU_04_AVG_RT_MUX_TL,Los_Angeles,°C,"","","","","","","",2020-04-09T19:02:09.653Z UTC
@p:ubcv:r:25a26b40-a83eee6d Wesbrook Building Heating Plant 864_AHU_04_RHC_01_HCV,"",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"",TL172,"",864_AHU_04_RHC_01_HCV,"","","",✓,"",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:21dffdae-c28b6c6b Wesbrook Building Heating Plant,✓,"","","",@p:ubcv:r:21dff50a-db7797e9 Wesbrook Building Hydronic Systems,✓,✓,"","","",2020-05-13T09:00:00-07:00 Los_Angeles,"","","",12908,2019-12-30T09:15:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-13T09:12:50.422-07:00 Los_Angeles,"","","",Heating Valve Cmd,"",AO3202,"","","","","",✓,"","","","","","","","","",@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",864_AHU_04_RHC_01_HCV_TL,Los_Angeles,%,"",✓,"",✓,"","","",2020-04-09T19:02:09.655Z UTC
@p:ubcv:r:21e2d170-4fb65e65 Wesbrook Building Heating Plant 864_GHX1_GLS_SRC_VLV_FB,"",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"",TL32,✓,864_GHX1_GLS_SRC_VLV_FB,"","","","","",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:21dffdae-c28b6c6b Wesbrook Building Heating Plant,✓,"","","",@p:ubcv:r:21dff50a-db7797e9 Wesbrook Building Hydronic Systems,"",✓,"","","",2020-05-13T09:10:00-07:00 Los_Angeles,"","","",244559,2018-01-03T22:45:00-08:00 Los_Angeles,ok,"","",Number,2020-05-13T09:12:50.436-07:00 Los_Angeles,2018-05-09T10:55:46.049-07:00 Los_Angeles,"","",864_GHX1_GLS_SRC_VLV_FB,✓,AI1203,"","","","","",✓,"","","",✓,"","","","","",@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","","","",864_GHX1_GLS_SRC_VLV_FB_POLL_TL,Los_Angeles,%,"","","","","","","",2020-04-09T19:02:09.657Z UTC
@p:ubcv:r:25a26b40-79ef3c83 Wesbrook Building Heating Plant WB_AHU_03_AVG_RT_MUX,"",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"",TL133,"",WB_AHU_03_AVG_RT_MUX,"","","","","",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:21dffdae-c28b6c6b Wesbrook Building Heating Plant,✓,"","","",@p:ubcv:r:21dff50a-db7797e9 Wesbrook Building Hydronic Systems,"",✓,"","","",2020-05-13T09:00:00-07:00 Los_Angeles,"","","",12988,2019-12-29T13:15:00-08:00 Los_Angeles,ok,"","",Number,2020-05-13T09:12:50.447-07:00 Los_Angeles,"","","",WB_AHU_03_AVG_RT_MUX,✓,AV243,"","","","","",✓,"","","","","","","","","",@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","","","",WB_AHU_03_AVG_RT_MUX_TL,Los_Angeles,°C,"","","","","","","",2020-04-09T19:02:09.658Z UTC
@p:ubcv:r:25a26ac7-003374c4 Wesbrook Building Heating Plant 864_AHU_03_RM12_RT,✓,@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"",TL49,"",864_AHU_03_RM12_RT,"","","","","",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:21dffdae-c28b6c6b Wesbrook Building Heating Plant,✓,"","","",@p:ubcv:r:21dff50a-db7797e9 Wesbrook Building Hydronic Systems,"",✓,"","","",2020-05-13T09:00:00-07:00 Los_Angeles,"","","",12988,2019-12-29T13:15:00-08:00 Los_Angeles,ok,"","",Number,2020-05-13T09:12:50.46-07:00 Los_Angeles,"","","",Zone Temp,"",AI1608,"","","","","",✓,"","","","","","","","",✓,@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,864_AHU_03_RM12_RT_POLL_TL,Los_Angeles,°C,"","","","","","",✓,2020-04-09T19:02:09.659Z UTC
@p:ubcv:r:25a26824-6f6e8a7e Wesbrook Building Unsorted Points P3 WB_AC_02_HTG_P3_C,"",@p:ubcv:r:25a254b0-5302ded0 WESB WB_ROOF_MR412_CHILLER_OAT_CP540100 (540100),"",TL31,"",WB_AC_02_HTG_P3_C,"","","",✓,"",@p:ubcv:r:25a254b0-5302ded0 WESB WB_ROOF_MR412_CHILLER_OAT_CP540100 (540100),"","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","OFF,ON",P3,@p:ubcv:r:25a265c3-89b7c0d0 Wesbrook Building Unsorted Points,✓,"","","",@p:ubcv:r:25a265c3-5258cf28 Wesbrook Building Unsorted Points,"",✓,"","","",2020-05-04T06:17:42-07:00 Los_Angeles,"","","",1247,2020-01-02T07:34:25-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-13T09:06:43.946-07:00 Los_Angeles,"","","",Run Cmd,"",BO1104,"","","","","",✓,"","","","",✓,"","",✓,"",@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","",@p:ubcv:r:244ba6df-17358a53 .+_PC?H?\d+[A-Z]?_P?C(_\d+)?(_TL)?,"",WB_AC_02_HTG_P3_C_COV_TL,Los_Angeles,"","","","",✓,"","","",2020-05-13T11:00:59.009Z UTC
@p:ubcv:r:25a26824-9970096e Wesbrook Building Unsorted Points WB_AC_01_FREE_CLG_BV,"",@p:ubcv:r:25a254b0-5302ded0 WESB WB_ROOF_MR412_CHILLER_OAT_CP540100 (540100),"",TL38,"",WB_AC_01_FREE_CLG_BV,"","","","","",@p:ubcv:r:25a254b0-5302ded0 WESB WB_ROOF_MR412_CHILLER_OAT_CP540100 (540100),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a265c3-89b7c0d0 Wesbrook Building Unsorted Points,✓,"","","",@p:ubcv:r:25a265c3-5258cf28 Wesbrook Building Unsorted Points,"",✓,"","","",2020-05-10T18:49:23-07:00 Los_Angeles,"","","",26,2020-04-09T18:14:30-07:00 Los_Angeles,ok,"","",Bool,2020-05-13T09:06:44.032-07:00 Los_Angeles,"","","",WB_AC_01_FREE_CLG_BV,✓,BV16,"","","","","",✓,"","","","","","","","","",@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","","","",WB_AC_01_FREE_CLG_BV_COV_TL,Los_Angeles,"","","","","","","","",2020-05-07T11:09:51.573Z UTC
@p:ubcv:r:25a26b40-f83bf6cc Wesbrook Building Heating Plant 864_RAD_HE_07_HWST,"",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"",TL59,"",864_RAD_HE_07_HWST,"","","","","",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:21dffdae-c28b6c6b Wesbrook Building Heating Plant,✓,"","","",@p:ubcv:r:21dff50a-db7797e9 Wesbrook Building Hydronic Systems,"",✓,"","","",2020-05-13T09:10:00-07:00 Los_Angeles,"","","",38023,2020-01-01T19:35:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-13T09:12:50.476-07:00 Los_Angeles,"",✓,"",Leaving Hot Water Temp,"",AI1803,"","","","","",✓,"","","","","","","","",✓,@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","",@p:ubcv:r:23e65d0e-90aebcb3 .+_HWST(_AV)?(_\d+)?(_TL)?,✓,864_RAD_HE_07_HWST_POLL_TL,Los_Angeles,°C,"","","",✓,"","","",2020-04-09T19:02:09.661Z UTC
