id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,domestic,effective,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,lastTagged,leaving,low,mixed,navName,noTagMatch,objectId,outside,point,power,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,water,zachName,zone,mod
@p:ubcv:r:238b49f8-5d3fcf46 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC005.MAD-O,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000133,✓,JCL-NAE27/FCB.01A-FEC005.MAD-O,✓,@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","",✓,"","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25509,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.483-07:00 Los_Angeles,2018-12-07T09:45:31.961-08:00 Los_Angeles,"","",✓,Mixed Air Damper Cmd,"",AO3000132,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-7228537e .+(\.|-| )MAD-O,"",JCL-NAE27/FCB.01A-FEC005.MAD-O.Trend1,Los_Angeles,%,"","","",OldAud.AHU1.MAD-O,"",2020-04-30T11:06:00.332Z UTC
@p:ubcv:r:238b49f8-82575134 Old Auditorium Unsorted Points JCL-NAE27/FCB.Local Application.HWS2-DP,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000677,✓,JCL-NAE27/FCB.Local Application.HWS2-DP,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:50:00-07:00 Los_Angeles,"","","",75555,2018-11-23T07:40:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.692-07:00 Los_Angeles,2018-11-25T13:45:23.781-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.Local Application.HWS2-DP,✓,AI3000047,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.Local Application.HWS2-DP.Trend1,Los_Angeles,kPa,"","","",OldAud.HW.HWS2-DP,"",2020-04-30T11:06:00.455Z UTC
@p:ubcv:r:238b49f8-34e82337 Old Auditorium Unsorted Points JCL-NAE27/FCB.Local Application.DHW-T,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000044,✓,JCL-NAE27/FCB.Local Application.DHW-T,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25509,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.496-07:00 Los_Angeles,2018-11-25T13:45:23.299-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.Local Application.DHW-T,✓,AI3000042,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.Local Application.DHW-T.Trend1,Los_Angeles,°C,"","","",OldAud.DW.DHW-T,"",2020-04-30T11:06:00.618Z UTC
@p:ubcv:r:238b49f8-a6d7284b Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC009.COMP2-C,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000292,✓,JCL-NAE27/FCB.01A-FEC009.COMP2-C,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T16:38:13-07:00 Los_Angeles,"","","",1299,2018-11-27T08:15:08-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.093-07:00 Los_Angeles,2018-11-25T13:45:23.995-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.01A-FEC009.COMP2-C,✓,BO3000291,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.01A-FEC009.COMP2-C.Trend1,Los_Angeles,"","","","",OldAud.RTU1.COMP2-C,"",2020-04-30T11:06:00.74Z UTC
@p:ubcv:r:238b49f8-0a4fd0e7 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC006.SF-S,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000154,✓,JCL-NAE27/FCB.01A-FEC006.SF-S,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,✓,"","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"",✓,"","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T17:02:09-07:00 Los_Angeles,"","","",1037,2018-11-18T22:02:09-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.261-07:00 Los_Angeles,2018-12-07T09:45:31.943-08:00 Los_Angeles,"","","",Discharge Fan Run Status,"",BI3000152,"",✓,"","","","",✓,"",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"",JCL-NAE27/FCB.01A-FEC006.SF-S.Trend1,Los_Angeles,"","","","",OldAud.AHU2.SF-S,"",2020-04-30T11:06:00.858Z UTC
@p:ubcv:r:238b49f8-d7df0f89 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC007.PFILT-A,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000222,✓,JCL-NAE27/FCB.01A-FEC007.PFILT-A,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Normal,Alarm","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-04-09T04:29:32-07:00 Los_Angeles,"","","",290,2018-11-18T21:51:35-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:07.968-07:00 Los_Angeles,2018-12-07T09:45:32.115-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.01A-FEC007.PFILT-A,✓,BI3000220,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.01A-FEC007.PFILT-A.Trend1,Los_Angeles,"","","","",OldAud.AHU3.PFILT-A,"",2020-04-30T11:06:00.981Z UTC
@p:ubcv:r:24edab69-dda0c2c8 Old Auditorium Unsorted Points JCL-NAE27/Schedule.RTU1 Schedule,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),SCH3000362,"",✓,JCL-NAE27/Schedule.RTU1 Schedule,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","",unknown,"","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2019-08-21T08:45:00-07:00 Los_Angeles,"","","",198,2019-08-19T12:10:00-07:00 Los_Angeles,"","","",✓,Number,"","","","","",Scheduled Occupancy,"","","",✓,"","","","","",✓,"",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:24ede125-239d50ec .+(S|s)chedule(.+)?,"","",Los_Angeles,MWh,"","","","","",2020-04-30T11:06:01.128Z UTC
@p:ubcv:r:238b49f8-5d8b0974 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC008.EF11-C,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000274,✓,JCL-NAE27/FCB.01A-FEC008.EF11-C,✓,@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,✓,✓,"","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T17:00:02-07:00 Los_Angeles,"","","",726,2018-11-19T07:31:31-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.115-07:00 Los_Angeles,2018-12-07T09:45:32.057-08:00 Los_Angeles,"","","",Exhaust Fan Run Cmd,"",BO3000273,"",✓,"","","","",✓,"","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-b8710d90 .+(\.|-| |_)EF-?(\d+)?\w?-C,"",JCL-NAE27/FCB.01A-FEC008.EF11-C.Trend1,Los_Angeles,"","","","",OldAud.AHU4.EF11-C,"",2020-04-30T11:06:01.244Z UTC
@p:ubcv:r:238b49f8-5cb14cf6 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-13,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000562,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-13,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [152] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.484-07:00 Los_Angeles,2018-11-25T13:45:23.722-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-13,✓,AI3000549,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.361Z UTC
@p:ubcv:r:238b49f8-3c4e333b Old Auditorium Unsorted Points JCL-NAE27/FCB.Local Application.F2-C,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000028,✓,JCL-NAE27/FCB.Local Application.F2-C,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T17:01:36-07:00 Los_Angeles,"","","",1044,2018-11-18T21:51:35-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.202-07:00 Los_Angeles,2018-11-25T13:45:23.298-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.Local Application.F2-C,✓,BO3000027,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.Local Application.F2-C.Trend1,Los_Angeles,"","","","",OldAud.EF.F2-C,"",2020-04-30T11:06:01.589Z UTC
