id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,domestic,effective,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,lastTagged,leaving,low,mixed,navName,noTagMatch,objectId,outside,point,power,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,water,zachName,zone,mod
@p:ubcv:r:238b49f8-ca536fa1 Old Auditorium Unsorted Points JCL-NAE27/FCB.Local Application.P3&4-C,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000022,✓,JCL-NAE27/FCB.Local Application.P3&4-C,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T21:55:07-07:00 Los_Angeles,"","","",207,2018-12-20T12:39:17-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.063-07:00 Los_Angeles,2018-11-25T13:45:23.302-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.Local Application.P3&4-C,✓,BO3000021,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.Local Application.P3&4-C.Trend1,Los_Angeles,"","","","",OldAud.HW.P3&4-C,"",2020-04-30T11:06:01.593Z UTC
@p:ubcv:r:238b49f8-8005a751 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC007.ZN-T,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000235,✓,JCL-NAE27/FCB.01A-FEC007.ZN-T,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25509,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.511-07:00 Los_Angeles,2018-12-07T09:45:32.087-08:00 Los_Angeles,"","","",Zone Temp,"",AI3000233,"",✓,"","","","","","",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE27/FCB.01A-FEC007.ZN-T.Trend1,Los_Angeles,°C,"","","",OldAud.AHU3.ZN-T,✓,2020-04-30T11:06:01.598Z UTC
@p:ubcv:r:238b49f8-3cbf7b09 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC006.CLG1-C,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000194,✓,JCL-NAE27/FCB.01A-FEC006.CLG1-C,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T17:00:03-07:00 Los_Angeles,"","","",2323,2018-12-20T12:39:18-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:07.934-07:00 Los_Angeles,2018-11-25T13:45:23.949-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.01A-FEC006.CLG1-C,✓,BO3000193,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.01A-FEC006.CLG1-C.Trend1,Los_Angeles,"","","","",OldAud.AHU2.CLG1-C,"",2020-04-30T11:06:01.602Z UTC
@p:ubcv:r:238b49f8-a2407e59 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Freidman.AI-46,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000578,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Freidman.AI-46,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [153] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.49-07:00 Los_Angeles,2018-11-25T13:45:23.716-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Freidman.AI-46,✓,AI3000558,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.606Z UTC
@p:ubcv:r:2261059e-641f1bda Old Auditorium HW Main Meter Leaving Water Temp,"","",@p:ubcv:r:21cad3bc-bb87be1f Old Admin DES Meter,AI10,"",✓,"","",@p:ubcv:r:21cad3bc-bb87be1f Old Admin DES Meter,✓,"",ok,40.27000045776367°C,"","","",$equipRef $navName,"","","","","","","","",@p:ubcv:r:2261059e-f0b0b7d2 Old Auditorium HW Main Meter,"","","","",@p:ubcv:r:2261059e-7b27ba16 Old Auditorium Utilities,"",✓,0.5°C,10min,2020-05-12T15:50:00-07:00 Los_Angeles,"","",consumption,119565,2018-04-11T10:50:00-07:00 Los_Angeles,ok,"",✓,"",Number,"","",✓,"","",Leaving Water Temp,"","","",✓,"","","","","","",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","",✓,"",Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:35.824Z UTC
@p:ubcv:r:238b49f8-773bb925 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-20,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000568,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-20,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [154] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.496-07:00 Los_Angeles,2018-11-25T13:45:23.713-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-20,✓,AI3000556,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.61Z UTC
@p:ubcv:r:238b49f8-147034c9 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Freidman.AI-45,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000577,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Freidman.AI-45,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [155] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.501-07:00 Los_Angeles,2018-11-25T13:45:23.716-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Freidman.AI-45,✓,AI3000557,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.614Z UTC
@p:ubcv:r:238b49f8-f5ecc8eb Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-18,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000566,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-18,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [156] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.507-07:00 Los_Angeles,2018-11-25T13:45:23.714-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-18,✓,AI3000554,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.618Z UTC
@p:ubcv:r:238b49f8-fd1fad51 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-1,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000620,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-1,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [157] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.512-07:00 Los_Angeles,2018-11-25T13:45:23.805-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-1,✓,AI3000539,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.623Z UTC
@p:ubcv:r:238b49f8-639b6540 Old Auditorium Unsorted Points JCL-NAE27/Programming.Outdoor air temp (skysparks),"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000663,✓,JCL-NAE27/Programming.Outdoor air temp (skysparks),"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-04-09T04:29:30-07:00 Los_Angeles,"","","",947,2018-11-18T17:00:05-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:07.941-07:00 Los_Angeles,2018-11-25T13:45:23.787-08:00 Los_Angeles,"","","",JCL-NAE27/Programming.Outdoor air temp (skysparks),✓,AV3000661,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/Programming.Outdoor air temp (skysparks).Trend2,Los_Angeles,°C,"","","",Outdoor air temp (skysparks),"",2020-04-30T11:06:01.627Z UTC
@p:ubcv:r:238b49f8-aae67c00 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.AMS Nest.AI-25,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000614,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.AMS Nest.AI-25,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [158] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.517-07:00 Los_Angeles,2018-11-25T13:45:23.802-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.AMS Nest.AI-25,✓,AI3000612,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.631Z UTC
@p:ubcv:r:238b49f8-57dc3f36 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.OldAud_EMTR.Analog Inputs.AI-9,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000470,✓,JCL-NAE27/BACnet1.OldAud_EMTR.Analog Inputs.AI-9,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25729,2018-11-20T16:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.521-07:00 Los_Angeles,2018-11-25T13:45:23.893-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.OldAud_EMTR.Analog Inputs.AI-9,✓,AI3000459,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/BACnet1.OldAud_EMTR.Analog Inputs.AI-9.Trend1,Los_Angeles,°C,"","","",OldAud.Flow Temperature,"",2020-04-30T11:06:01.634Z UTC
@p:ubcv:r:2261059e-98f51834 Old Auditorium HW Main Meter Entering Water Temp,"","",@p:ubcv:r:21cad3bc-bb87be1f Old Admin DES Meter,AI9,"",✓,"","",@p:ubcv:r:21cad3bc-bb87be1f Old Admin DES Meter,✓,"",ok,53.52000045776367°C,"","","",$equipRef $navName,"","","","","",✓,"","",@p:ubcv:r:2261059e-f0b0b7d2 Old Auditorium HW Main Meter,"","","","",@p:ubcv:r:2261059e-7b27ba16 Old Auditorium Utilities,"",✓,0.5°C,10min,2020-05-12T15:50:00-07:00 Los_Angeles,"","",consumption,164049,2018-04-11T10:50:00-07:00 Los_Angeles,ok,"",✓,"",Number,"","","","","",Entering Water Temp,"","","",✓,"","","","","","",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","",✓,"",Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:35.825Z UTC
@p:ubcv:r:238b49f8-a454d2a0 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.AERL.AI-21,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000608,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.AERL.AI-21,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [159] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.522-07:00 Los_Angeles,2018-11-25T13:45:23.795-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.AERL.AI-21,✓,AI3000604,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.638Z UTC
@p:ubcv:r:238b49f8-116fc51f Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-14,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000563,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-14,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [160] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.528-07:00 Los_Angeles,2018-11-25T13:45:23.722-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-14,✓,AI3000550,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.642Z UTC
@p:ubcv:r:263d6d8f-1cf6e88a Old Auditorium Unsorted Points JCL-NAE27/BACnet1.OldAud_EMTR.Analog Inputs.AI-11,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000713,"",JCL-NAE27/BACnet1.OldAud_EMTR.Analog Inputs.AI-11,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",1247,2020-04-29T16:15:00-07:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.677-07:00 Los_Angeles,"","","","",JCL-NAE27/BACnet1.OldAud_EMTR.Analog Inputs.AI-11,✓,AI3000457,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/BACnet1.OldAud_EMTR.Analog Inputs.AI-11.Trend1,Los_Angeles,K,"","","",OldAud.Differential Temperature,"",2020-04-30T11:06:01.645Z UTC
@p:ubcv:r:238b49f8-ea809713 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC008.DA-T,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000276,✓,JCL-NAE27/FCB.01A-FEC008.DA-T,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25509,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.531-07:00 Los_Angeles,2018-12-07T09:45:32.06-08:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3000275,"",✓,"","","","","","",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,JCL-NAE27/FCB.01A-FEC008.DA-T.Trend1,Los_Angeles,°C,"","","",OldAud.AHU4.DA-T,"",2020-04-30T11:06:01.649Z UTC
@p:ubcv:r:238b49f8-bc8e2b90 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Freidman.AI-47,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000621,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Freidman.AI-47,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2019-02-01T15:35:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [137] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",19876,2018-11-23T11:35:00-08:00 Los_Angeles,fault,"","",✓,Number,2020-05-12T15:01:45.371-07:00 Los_Angeles,2018-11-25T13:45:23.791-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Freidman.AI-47,✓,AI3000601,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.653Z UTC
@p:ubcv:r:238b49f8-7ad3114e Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC006.RH-O,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000167,✓,JCL-NAE27/FCB.01A-FEC006.RH-O,✓,@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,✓,✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25509,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"",✓,✓,Number,2020-05-12T15:51:08.538-07:00 Los_Angeles,2018-11-25T13:45:23.954-08:00 Los_Angeles,"","","",Heating Valve Cmd,"",AO3000166,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-e0e662f6 .+(\.|-| )RH-O,"",JCL-NAE27/FCB.01A-FEC006.RH-O.Trend1,Los_Angeles,_,"",✓,✓,OldAud.AHU2.RH-O,"",2020-04-30T11:06:01.657Z UTC
@p:ubcv:r:263d6d8f-42a9ca30 Old Auditorium Unsorted Points JCL-NAE27/Memory Usage Trend Log,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000006,"",JCL-NAE27/Memory Usage Trend Log,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","folio::HisConfigErr: Missing 'kind' tag [@p:ubcv:r:263d6d8f-42a9ca30 ""Old Auditorium Unsorted Points JCL-NAE27/Memory Usage Trend Log""]","","","","",fault,"","",✓,"",2020-05-12T15:01:45.537-07:00 Los_Angeles,"","","","",JCL-NAE27/Memory Usage Trend Log,✓,"","",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/Memory Usage Trend Log,Los_Angeles,"","","","","","",2020-04-30T11:06:01.661Z UTC
@p:ubcv:r:2261059e-21393122 Old Auditorium HW Main Meter Power,"","",@p:ubcv:r:21cad3bc-bb87be1f Old Admin DES Meter,AI5,"",✓,"","",@p:ubcv:r:21cad3bc-bb87be1f Old Admin DES Meter,✓,"",ok,0kW,"","","",$equipRef $navName,"","","","","","","","",@p:ubcv:r:2261059e-f0b0b7d2 Old Auditorium HW Main Meter,"","","","",@p:ubcv:r:2261059e-7b27ba16 Old Auditorium Utilities,"",✓,5kW,15min,2020-05-12T15:45:00-07:00 Los_Angeles,"","","",95467,2018-04-11T10:45:00-07:00 Los_Angeles,ok,"",✓,"",Number,"","","","","",Power,"","","",✓,✓,"","","","","",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,kW,✓,"",✓,"","",2020-05-12T08:00:09.867Z UTC
@p:ubcv:r:238b49f8-b4375daf Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC006.SF-C,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000157,✓,JCL-NAE27/FCB.01A-FEC006.SF-C,✓,@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,✓,"","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"",✓,"","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T17:02:03-07:00 Los_Angeles,"","","",1035,2018-11-18T22:02:03-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.254-07:00 Los_Angeles,2018-12-07T09:45:36.106-08:00 Los_Angeles,"","","",Discharge Fan Run Cmd,"",BO3000156,"",✓,"","","","",✓,"","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-2b48d00a .+(\.|-| )SF(\d+)?-C,"",JCL-NAE27/FCB.01A-FEC006.SF-C.Trend1,Los_Angeles,"","","","",OldAud.AHU2.SF-C,"",2020-04-30T11:06:01.665Z UTC
@p:ubcv:r:238b49f8-1860805c Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-3,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000573,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-3,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [162] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.543-07:00 Los_Angeles,2018-11-25T13:45:23.715-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-3,✓,AI3000541,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.669Z UTC
@p:ubcv:r:238b49f8-be712120 Old Auditorium Unsorted Points JCL-NAE27/FCB.Local Application.F2-S,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000065,✓,JCL-NAE27/FCB.Local Application.F2-S,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-04-30T11:22:32-07:00 Los_Angeles,"","","",439,2018-11-18T21:51:42-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.028-07:00 Los_Angeles,2018-11-25T13:45:23.297-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.Local Application.F2-S,✓,BI3000063,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.Local Application.F2-S.Trend1,Los_Angeles,"","","","",OldAud.EF.F2-S,"",2020-04-30T11:06:01.672Z UTC
