id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chilled,cmd,connRef,cooling,coolingTower,cur,curStatus,curVal,damper,delta,differential,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,filter,flow,groupRef,heatRecovery,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,leaving,low,lowLim,mixed,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,preFilter,preheat,pressure,pump,quantityID,return,run,runtime,scheduleOcc,scheduled,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zachName,zone,mod
@p:ubcv:r:25547e48-b51069e3 Coal & Mineral Unsorted Points JCL-NAE33/FCB.33A-FEC007.RM151ZN-T,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"",TL3000272,✓,JCL-NAE33/FCB.33A-FEC007.RM151ZN-T,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",9164,2019-10-31T12:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.254-07:00 Los_Angeles,"","","","","",JCL-NAE33/FCB.33A-FEC007.RM151ZN-T,✓,AI3000270,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE33/FCB.33A-FEC007.RM151ZN-T.Trend1,Los_Angeles,_,"","","","","","",2020-04-09T19:15:13.837Z UTC
@p:ubcv:r:25a650e0-66c343d1 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.FAC-006.RF3A-C,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001795,"",JCL-NAE36/FCB-01.FAC-006.RF3A-C,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",17813,2020-01-05T12:20:00-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:29:00.54-07:00 Los_Angeles,"","","","","",JCL-NAE36/FCB-01.FAC-006.RF3A-C,✓,BO3000565,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE36/FCB-01.FAC-006.RF3A-C.Trend1,Los_Angeles,"","","","","",7320.AHU-03.RF03A-C,"",2020-04-08T18:55:37.82Z UTC
@p:ubcv:r:25a650df-987ddc68 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.VMA-031.EFFHTG-SP,✓,"",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3007039,"",JCL-NAE36/FCB-01.VMA-031.EFFHTG-SP,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"",✓,"",✓,"","","",2020-02-21T12:50:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [19] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",6334,2020-01-05T12:20:00-08:00 Los_Angeles,fault,"","","",✓,Number,2020-05-11T00:30:03.944-07:00 Los_Angeles,"","","","","",Zone Temp Effective Heating Sp,"",AV3005224,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"",✓,"","","",@p:ubcv:r:2538b55e-15822785 .+(\.|-| )(EFF|ACT)HTG-?SP,✓,JCL-NAE36/FCB-01.VMA-031.EFFHTG-SP.Trend1,Los_Angeles,°C,"","","","",7320.RM-2202 - VAV-2202.EFFHTG-SP,✓,2020-04-14T16:49:59.235Z UTC
@p:ubcv:r:25a64fc5-7ccd5bf2 Coal & Mineral Unsorted Points JCL-NAE35/FCB.Local Application.EAD-O,✓,"",@p:ubcv:r:25a64f7c-a26d1eba MINL (NAE-35),"",TL3000434,"",JCL-NAE35/FCB.Local Application.EAD-O,"",✓,@p:ubcv:r:25a64f7c-a26d1eba MINL (NAE-35),"","","","","",✓,"","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"",✓,"","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6037,2020-01-05T12:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:27.415-07:00 Los_Angeles,"","","","","",Exhaust Air Damper Cmd,"",AO3000433,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:2538b658-929a77d9 .+(\.|-| |_)EAD-O,"",JCL-NAE35/FCB.Local Application.EAD-O.Trend1,Los_Angeles,%,"","","","",1840.ZN108.EAD-O,"",2020-04-14T16:50:02.716Z UTC
@p:ubcv:r:25a650de-553a28f0 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.FAC-005.RA-H,✓,"",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3002008,"",JCL-NAE36/FCB-01.FAC-005.RA-H,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",17813,2020-01-05T12:20:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:29:00.571-07:00 Los_Angeles,"","","","","",Return Air Humidity,"",AI3000670,"","","","","","",✓,"","","","","","","",✓,"","","","",✓,@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:23e65d3d-550ae541 .+(\.|-| )RA-H,"",JCL-NAE36/FCB-01.FAC-005.RA-H.Trend1,Los_Angeles,%RH,"","","","",7320.AHU-02.RA-H,"",2020-04-09T19:02:08.002Z UTC
@p:ubcv:r:25a650df-a5ed92a3 Coal & Mineral Unsorted Points P4 JCL-NAE36/FCB-01.FAC-008.P4-O,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001598,"",JCL-NAE36/FCB-01.FAC-008.P4-O,"",✓,@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","",P4,@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",17813,2020-01-05T12:20:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:29:00.616-07:00 Los_Angeles,"","","","","",Speed Cmd,"",AO3000197,"","","","","","",✓,"","","","","",✓,"","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","",✓,"","",@p:ubcv:r:23e65d3d-baa94b58 .+(\.|-|_)(C|HE)?P\d+\w?-O,"",JCL-NAE36/FCB-01.FAC-008.P4-O.Trend1,Los_Angeles,%,"","","","",7320.SHW.P04-O,"",2020-05-12T11:03:27.65Z UTC
@p:ubcv:r:25547044-d7c9270f Coal & Mineral Unsorted Points JCL-NAE34/FCB-01.FAC-008.Parameters.1840 LEF-4-101a LOCKED-OUT,"","",@p:ubcv:r:2465e723-49c365bf MINL (NAE-34),"",TL3003589,✓,JCL-NAE34/FCB-01.FAC-008.Parameters.1840 LEF-4-101a LOCKED-OUT,"","",@p:ubcv:r:2465e723-49c365bf MINL (NAE-34),"","","","","","","","",$equipRef $bmsName,"","","","","","","","Normal,Lockout","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","-1 enumNumberToStr(self, false)",2020-04-09T04:31:56-07:00 Los_Angeles,"","",10,2019-09-18T10:46:49-07:00 Los_Angeles,ok,"","","",✓,Str,2020-05-12T14:27:07.381-07:00 Los_Angeles,"","","","","",JCL-NAE34/FCB-01.FAC-008.Parameters.1840 LEF-4-101a LOCKED-OUT,✓,MSV3003567,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE34/FCB-01.FAC-008.Parameters.1840 LEF-4-101a LOCKED-OUT.Trend1,Los_Angeles,"","","","","",1840.LEF-4-101a.LOCKED-OUT,"",2020-04-08T18:55:01.445Z UTC
@p:ubcv:r:24662664-101eca05 Coal & Mineral Unsorted Points JCL-NAE34/FCB-01.VMA-010.ZN-T,✓,"",@p:ubcv:r:2465e723-49c365bf MINL (NAE-34),"",TL3003094,✓,JCL-NAE34/FCB-01.VMA-010.ZN-T,"","",@p:ubcv:r:2465e723-49c365bf MINL (NAE-34),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",17418,2019-05-07T17:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:27:07.421-07:00 Los_Angeles,"","","","","",Zone Temp,"",AI3003093,"","","","","","",✓,"","","","","","","","","","","","",✓,@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE34/FCB-01.VMA-010.ZN-T.Trend1,Los_Angeles,°C,"","","","",1840.HRV-03.VAV-3-002.ZN-T,✓,2020-04-09T19:02:07.798Z UTC
@p:ubcv:r:25a650df-a96d2321 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.FAC-007.HEP02-O,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3007594,"",JCL-NAE36/FCB-01.FAC-007.HEP02-O,"",✓,@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",5955,2020-01-05T12:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:29:00.104-07:00 Los_Angeles,"","","","","",Pump Speed Cmd,"",AO3007593,"","","","","","",✓,"","","","","",✓,"","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","",✓,"","",@p:ubcv:r:23e65d3d-baa94b58 .+(\.|-|_)(C|HE)?P\d+\w?-O,"",JCL-NAE36/FCB-01.FAC-007.HEP02-O.Trend1,Los_Angeles,%,"","","","",7320.PHWS.HEP02-O,"",2020-04-09T19:02:08.007Z UTC
@p:ubcv:r:25a650df-6c55ffcb Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.VND-024.MWH,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001727,"",JCL-NAE36/FCB-01.VND-024.MWH,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,"","","","","",✓,"","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",11695,2020-01-06T00:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:29:00.636-07:00 Los_Angeles,"","","","","",Energy,"",AV3000450,"","","","","","",✓,"","","","","","","","","","","","",✓,@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:24818e7c-912c7dc9 .+(\.|-| )MWH,"",JCL-NAE36/FCB-01.VND-024.MWH.Trend1,Los_Angeles,MWh,"","","","",7320.SHWS\P06-VSD.MWH,"",2020-04-09T19:02:08.008Z UTC
@p:ubcv:r:25a64fc5-d1eedb7e Coal & Mineral Unsorted Points JCL-NAE35/FCB.Local Application.DUST_COLLECTOR01-S,"","",@p:ubcv:r:25a64f7c-a26d1eba MINL (NAE-35),"",TL3000436,"",JCL-NAE35/FCB.Local Application.DUST_COLLECTOR01-S,"","",@p:ubcv:r:25a64f7c-a26d1eba MINL (NAE-35),"","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-04-09T04:30:37-07:00 Los_Angeles,"","",87,2019-12-18T10:45:40-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:27.428-07:00 Los_Angeles,"","","","","",JCL-NAE35/FCB.Local Application.DUST_COLLECTOR01-S,✓,BI3000435,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE35/FCB.Local Application.DUST_COLLECTOR01-S.Trend1,Los_Angeles,"","","","","",1840.DUST_COLLECTOR01-S,"",2020-04-08T18:55:38.377Z UTC
@p:ubcv:r:25a650df-202e95bf Coal & Mineral Unsorted Points P3A JCL-NAE36/FCB-01.FAC-009.P3A-O,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001475,"",JCL-NAE36/FCB-01.FAC-009.P3A-O,"",✓,@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","",P3A,@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",17813,2020-01-05T12:20:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:29:00.645-07:00 Los_Angeles,"","","","","",Speed Cmd,"",AO3000114,"","","","","","",✓,"","","","","",✓,"","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","",✓,"","",@p:ubcv:r:23e65d3d-baa94b58 .+(\.|-|_)(C|HE)?P\d+\w?-O,"",JCL-NAE36/FCB-01.FAC-009.P3A-O.Trend1,Los_Angeles,%,"","","","",7320.PCW.P03A-O,"",2020-05-12T11:03:27.612Z UTC
@p:ubcv:r:25a650df-e726eb12 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.VND-019.POWER,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001699,"",JCL-NAE36/FCB-01.VND-019.POWER,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",11695,2020-01-06T00:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:29:00.657-07:00 Los_Angeles,"","","","","",Power,"",AV3000373,"","","","","","",✓,"",✓,"","","","","","","","","","",✓,@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:2465eb72-f2244747 .+(\.|-| )POWER,"",JCL-NAE36/FCB-01.VND-019.POWER.Trend1,Los_Angeles,kW,"","","","",7320.PCW\CWP03a-VSD.POWER,"",2020-04-09T19:02:08.01Z UTC
@p:ubcv:r:23f8c586-fa9d4249 Coal & Mineral DES Connection 184_HX2_OAT_EN_BV,"","",@p:ubcv:r:23f8c55b-13285d93 MINL 184.0 COAL & MINERAL (506000),"",TL40,✓,184_HX2_OAT_EN_BV,"","",@p:ubcv:r:23f8c55b-13285d93 MINL 184.0 COAL & MINERAL (506000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","OFF,ON","",@p:ubcv:r:23f8c62f-dfecd07f Coal & Mineral DES Connection,✓,"","","","",@p:ubcv:r:23f8c62f-0497b77c Coal & Mineral Hydronic Systems,"","","",✓,"","","",2019-05-28T20:10:32-07:00 Los_Angeles,conn fault,"",108,2019-03-21T12:42:10-07:00 Los_Angeles,fault,"","","","",Bool,2020-05-05T15:51:28.88-07:00 Los_Angeles,"","","","","",184_HX2_OAT_EN_BV,✓,BV17,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","","",Los_Angeles,"","","","","","","",2020-04-08T18:54:03.343Z UTC
@p:ubcv:r:25547e48-7f13f563 Coal & Mineral Unsorted Points JCL-NAE33/FCB.33A-FEC007.ACU2-A,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"",TL3000234,✓,JCL-NAE33/FCB.33A-FEC007.ACU2-A,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"","","","","","","","",$equipRef $bmsName,"","","","","","","","Normal,Alarm","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-10T21:55:31-07:00 Los_Angeles,"","",97,2019-11-02T01:14:53-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.326-07:00 Los_Angeles,"","","","","",JCL-NAE33/FCB.33A-FEC007.ACU2-A,✓,BI3000232,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE33/FCB.33A-FEC007.ACU2-A.Trend1,Los_Angeles,"","","","","","","",2020-04-08T18:55:46.54Z UTC
@p:ubcv:r:24662664-e6e469e2 Coal & Mineral Unsorted Points JCL-NAE34/FCB-01.FAC-005.RHP4-AMPS,"","",@p:ubcv:r:2465e723-49c365bf MINL (NAE-34),"",TL3002867,✓,JCL-NAE34/FCB-01.FAC-005.RHP4-AMPS,"","",@p:ubcv:r:2465e723-49c365bf MINL (NAE-34),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",17418,2019-05-07T17:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:27:07.427-07:00 Los_Angeles,"","","","","",JCL-NAE34/FCB-01.FAC-005.RHP4-AMPS,✓,AI3002866,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE34/FCB-01.FAC-005.RHP4-AMPS.Trend1,Los_Angeles,A,"","","","",1840.HV-01.RHP4-AMPS,"",2020-04-09T19:02:07.801Z UTC
@p:ubcv:r:25a650df-0f4f25e0 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.FAC-005.SF-S,✓,"",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001999,"",JCL-NAE36/FCB-01.FAC-005.SF-S,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","",✓,"","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",17813,2020-01-05T12:20:00-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:29:00.685-07:00 Los_Angeles,"","","","","",Discharge Fan Run Status,"",BI3000665,"","","","","","",✓,"","","","","","","","",✓,"","","",✓,@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"",JCL-NAE36/FCB-01.FAC-005.SF-S.Trend1,Los_Angeles,"","","","","",7320.AHU-02.SF-S,"",2020-04-08T18:55:28.065Z UTC
@p:ubcv:r:25a650df-525bb214 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.FAC-006.EAD3A-O,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001770,"",JCL-NAE36/FCB-01.FAC-006.EAD3A-O,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",17813,2020-01-05T12:20:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:29:00.694-07:00 Los_Angeles,"","","","","",JCL-NAE36/FCB-01.FAC-006.EAD3A-O,✓,AO3000544,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE36/FCB-01.FAC-006.EAD3A-O.Trend1,Los_Angeles,%,"","","","",7320.AHU-03.EAD3A-O,"",2020-04-09T19:02:08.011Z UTC
@p:ubcv:r:25a650df-c97176b6 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.VND-017.KWH,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001686,"",JCL-NAE36/FCB-01.VND-017.KWH,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,"","","","","",✓,"","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",11695,2020-01-06T00:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:29:00.709-07:00 Los_Angeles,"","","","","",Energy,"",AV3000339,"","","","","","",✓,"","","","","","","","","","","","",✓,@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:23e65d3d-a1543fdf .+(\.|-| )KWH,"",JCL-NAE36/FCB-01.VND-017.KWH.Trend1,Los_Angeles,kWh,"","","","",7320.PCHW\CHWP01a-VSD.KWH,"",2020-04-09T19:02:08.012Z UTC
@p:ubcv:r:23f8c586-82de344a Coal & Mineral DES Connection P-1 P1 184_HX2_P1_AL,"",✓,@p:ubcv:r:23f8c55b-13285d93 MINL 184.0 COAL & MINERAL (506000),"",TL20,✓,184_HX2_P1_AL,"","",@p:ubcv:r:23f8c55b-13285d93 MINL 184.0 COAL & MINERAL (506000),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","Off,On",P1,@p:ubcv:r:24ef2171-e87b81f7 Coal & Mineral DES Connection P-1,✓,"","","","",@p:ubcv:r:23f8c62f-0497b77c Coal & Mineral Hydronic Systems,"","","",✓,"","","","",conn fault,"","","",fault,"","","","",Bool,2020-05-05T15:51:28.88-07:00 Los_Angeles,"","","","","",Alarm,"",BI2,"","","","","","",✓,"","","","","",✓,"","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:25d5fac6-ec78183d .+_P(HX)?\d[A-Z]?_AL(_TL)?,"","",Los_Angeles,"","","","","","","",2020-04-08T18:53:02.956Z UTC
@p:ubcv:r:25a650e0-6ab99b99 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.FAC-005.CLG-SV-C,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001977,"",JCL-NAE36/FCB-01.FAC-005.CLG-SV-C,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,"","","","","","","","Close,Open","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T04:43:30-07:00 Los_Angeles,"","",847,2020-01-01T15:15:14-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:59.769-07:00 Los_Angeles,"","","","","",JCL-NAE36/FCB-01.FAC-005.CLG-SV-C,✓,BO3000650,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE36/FCB-01.FAC-005.CLG-SV-C.Trend1,Los_Angeles,"","","","","",7320.AHU-02.ECHWISO-C,"",2020-04-08T18:55:28.962Z UTC
@p:ubcv:r:23f8c586-15914d6f Coal & Mineral DES Connection 184_HX1_LOAD_DP,"","",@p:ubcv:r:23f8c55b-13285d93 MINL 184.0 COAL & MINERAL (506000),"",TL2,✓,184_HX1_LOAD_DP,"","",@p:ubcv:r:23f8c55b-13285d93 MINL 184.0 COAL & MINERAL (506000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:23f8c62f-dfecd07f Coal & Mineral DES Connection,✓,"","","","",@p:ubcv:r:23f8c62f-0497b77c Coal & Mineral Hydronic Systems,"","","",✓,"","","",2019-05-28T20:12:32-07:00 Los_Angeles,conn fault,"",721,2019-03-21T12:42:14-07:00 Los_Angeles,fault,"","","","",Number,2020-05-05T15:51:28.88-07:00 Los_Angeles,"","","","","",184_HX1_LOAD_DP,✓,AI5,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","","",Los_Angeles,_,"","","","","","",2020-04-09T19:15:03.517Z UTC
