id,connRef,cur,curStatus,curVal,disMacro,elec,energy,equipRef,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisMode,hisSize,hisStart,hisStatus,hisTotalized,kind,navName,opcConnRef,opcCur,opcPoint,point,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:263b766c-4b140e1c Centre for Brain Health Elec Main Meter Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,ok,725.405029296875kW,$equipRef $navName,✓,"",@p:ubcv:r:209d23e0-48d1597d Centre for Brain Health Elec Main Meter,@p:ubcv:r:21697fca-4326c85e Centre for Brain Health Utilities,✓,19.116897013209673kW,15min,2020-05-12T14:27:30-07:00 Los_Angeles,"",302979,2014-03-10T11:00:00-07:00 Los_Angeles,ok,"",Number,Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_CBH_465.Elec_Power,✓,✓,✓,116,✓,@p:ubcv:r:209d23e0-2a13282a Centre for Brain Health,278,@p:ubcv:r:23060489-d61f5459 ION DB,✓,Los_Angeles,kW,✓,"","",2020-05-12T08:00:09.765Z UTC
@p:ubcv:r:263b766c-c889a31c Centre for Brain Health Water Main Meter Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,ok,55521.3984375m³,$equipRef $navName,"","",@p:ubcv:r:209d23e0-c9450c6a Centre for Brain Health Water Main Meter,@p:ubcv:r:21697fca-4326c85e Centre for Brain Health Utilities,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,consumption,197198,2014-03-10T11:00:00-07:00 Los_Angeles,ok,✓,Number,Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_CBH_465.Water_Volume,✓,✓,"",10394,✓,@p:ubcv:r:209d23e0-2a13282a Centre for Brain Health,278,@p:ubcv:r:23060489-d61f5459 ION DB,✓,Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:54.881Z UTC
@p:ubcv:r:263b766d-04fcd4d3 Centre for Brain Health Elec Main Meter Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,ok,2455607.25kWh,$equipRef $navName,✓,✓,@p:ubcv:r:209d23e0-48d1597d Centre for Brain Health Elec Main Meter,@p:ubcv:r:21697fca-4326c85e Centre for Brain Health Utilities,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,consumption,216525,2014-03-10T11:00:00-07:00 Los_Angeles,ok,✓,Number,Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_CBH_465.Elec_Energy,✓,✓,"",10393,✓,@p:ubcv:r:209d23e0-2a13282a Centre for Brain Health,278,@p:ubcv:r:23060489-d61f5459 ION DB,✓,Los_Angeles,kWh,✓,"","",2020-05-04T19:39:54.879Z UTC
