id,connRef,cur,curStatus,curVal,disMacro,elec,energy,equipRef,gas,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisMode,hisSize,hisStart,hisStatus,hisTotalized,kind,navName,opcConnRef,opcCur,opcPoint,point,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:263b7665-9afcde70 Baseball Training Facility Elec Main Meter Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,ok,17.514415740966797kW,$equipRef $navName,✓,"",@p:ubcv:r:250152f7-1fb73467 Baseball Training Facility Elec Main Meter,"",@p:ubcv:r:250152f7-78081039 Baseball Training Facility Utilities,✓,5kW,15min,2020-05-12T14:05:34-07:00 Los_Angeles,"",76756,2018-11-21T10:15:00-08:00 Los_Angeles,ok,"",Number,Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Baseball_862.Elec_Power,✓,✓,✓,116,✓,@p:ubcv:r:24b8e8e3-2861fd5f Baseball Training Facility,643,@p:ubcv:r:23060489-d61f5459 ION DB,✓,Los_Angeles,kW,✓,"","",2020-05-12T08:00:09.724Z UTC
@p:ubcv:r:263b7665-b0a98132 Baseball Training Facility Water Main Meter Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,ok,3.1000003814697266m³,$equipRef $navName,"","",@p:ubcv:r:250152f7-a8b84c7f Baseball Training Facility Water Main Meter,"",@p:ubcv:r:250152f7-78081039 Baseball Training Facility Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,consumption,51683,2018-11-21T10:15:00-08:00 Los_Angeles,ok,✓,Number,Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Baseball_862.Water_Volume,✓,✓,"",10394,✓,@p:ubcv:r:24b8e8e3-2861fd5f Baseball Training Facility,643,@p:ubcv:r:23060489-d61f5459 ION DB,✓,Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:54.867Z UTC
@p:ubcv:r:263b7665-ddcc0da8 Baseball Training Facility Gas Main Meter Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,ok,1758ft³,$equipRef $navName,"","",@p:ubcv:r:250152f7-4e78f495 Baseball Training Facility Gas Main Meter,✓,@p:ubcv:r:250152f7-78081039 Baseball Training Facility Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,consumption,51683,2018-11-21T10:15:00-08:00 Los_Angeles,ok,✓,Number,Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Baseball_862.Gas_Volume,✓,✓,"",10371,✓,@p:ubcv:r:24b8e8e3-2861fd5f Baseball Training Facility,643,@p:ubcv:r:23060489-d61f5459 ION DB,✓,Los_Angeles,ft³,✓,✓,"",2020-05-04T19:39:54.869Z UTC
@p:ubcv:r:263b7665-9ffa89ff Baseball Training Facility Elec Main Meter Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,ok,214709.15625kWh,$equipRef $navName,✓,✓,@p:ubcv:r:250152f7-1fb73467 Baseball Training Facility Elec Main Meter,"",@p:ubcv:r:250152f7-78081039 Baseball Training Facility Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,consumption,51683,2018-11-21T10:15:00-08:00 Los_Angeles,ok,✓,Number,Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Baseball_862.Elec_Energy,✓,✓,"",10393,✓,@p:ubcv:r:24b8e8e3-2861fd5f Baseball Training Facility,643,@p:ubcv:r:23060489-d61f5459 ION DB,✓,Los_Angeles,kWh,✓,"","",2020-05-04T19:39:54.868Z UTC
