id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,beatyAHU2_VAV_DMP,beatyDSP_MV,beatyFH,beatyRTU1_VAV_DMP,beatyRTU2_VAV_DMP,beatyRTU3_VAV_DMP,beatyRTU4_VAV_DMP,beatyRTU5_VAV_DMP,beaty_MAD_MV,bmsName,bypass,close,cmd,co2,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,filter,final,flow,groupRef,heat,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,lastTagged,leaving,mixed,mixing,mode,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,open,outside,perimeterHeat,point,pointType,power,pressure,proj_1830_3W2W,pump,quantityID,return,roomRef,run,runtime,scheduleOcc,secondarySide,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,vavMode,volume,water,zone,mod
@p:ubcv:r:236ba74d-69aabdd6 Beaty Rm 007 VAV-L01 VAV_L01_NSB,"","","","",@p:ubcv:r:22ff9902-143557ad beatyBio VAV_L01_Room_007 (520801),"",TL10,✓,"","","","","","","","","",VAV_L01_NSB,"","","","",@p:ubcv:r:22ff9902-143557ad beatyBio VAV_L01_Room_007 (520801),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:2419953c-fb9093f8 Beaty Rm 007 VAV-L01,✓,"","","","","",@p:ubcv:r:241985f0-65cf6ecd Beaty Floor 0,"","",✓,"","","","","","","","","",ok,"","",Bool,2020-05-12T13:56:41.163-07:00 Los_Angeles,2018-11-28T16:32:53.115-08:00 Los_Angeles,"","","","",VAV_L01_NSB,✓,BV5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:2419953c-5cd063e6 Beaty Rm 007,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","",VAV_L01_NSB_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.684Z UTC
@p:ubcv:r:236baa2a-80df128b Beaty Rm 396 VAV-T27 VAV_T27_Dmp_Open,"",✓,"","",@p:ubcv:r:22ff8263-b003cec4 beatyBio VAV_T27_Lab_Sup_AH3_DX_396 (520119),"",TL92,✓,"","","","","","","","","",VAV_T27_Dmp_Open,"","",✓,"",@p:ubcv:r:22ff8263-b003cec4 beatyBio VAV_T27_Lab_Sup_AH3_DX_396 (520119),"","","","",✓,"","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:2419953c-a464bca7 Beaty Rm 396 VAV-T27,✓,"","","","","",@p:ubcv:r:241985f0-bf451612 Beaty Floor 3,"","",✓,"","","",2020-05-12T00:35:11-07:00 Los_Angeles,"","","",5588,2018-10-29T06:18:43-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T13:58:04.43-07:00 Los_Angeles,2019-01-23T16:53:04.244-08:00 Los_Angeles,"","","","",Discharge Air Damper Open Cmd,"",BO6,"","","",✓,"","",✓,"","","","","","","",@p:ubcv:r:2419953c-aebe3428 Beaty Rm 396,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:23e65d0e-77e156cc .+_Dmp_Open(_TL.)?,"","",VAV_T27_Dmp_Open_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.253Z UTC
@p:ubcv:r:235132e2-988d1657 Beaty Heating Plant P4B PRIM_HWS_P4B_C,"","","","",@p:ubcv:r:22ff7a10-ae5d98fc beatyBio 314.0 BioD_PRIM_HWS (520700),"",TL28,✓,"","","","","","","","","",PRIM_HWS_P4B_C,"","",✓,"",@p:ubcv:r:22ff7a10-ae5d98fc beatyBio 314.0 BioD_PRIM_HWS (520700),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","OFF,ON",P4B,@p:ubcv:r:2419ab1f-f2de4d6f Beaty Heating Plant,✓,"","","","","",@p:ubcv:r:21cb089a-0c38404b Beaty Hydronic Systems,"","",✓,"","","",2020-05-04T00:02:01-07:00 Los_Angeles,"","","",480,2018-10-08T00:00:16-07:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T13:56:03.829-07:00 Los_Angeles,2019-01-23T16:53:03.768-08:00 Los_Angeles,"","","","",Run Cmd,"",BO11,"","","","","","",✓,"","","",✓,✓,"","","",✓,"","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:244ba6df-17358a53 .+_PC?H?\d+[A-Z]?_P?C(_\d+)?(_TL)?,"","",PRIM_HWS_P4B_C_TL,Los_Angeles,"","","","","",✓,"",2020-05-12T11:03:27.243Z UTC
@p:ubcv:r:236baa88-2c0a46fc Beaty Lab 386 VAV-T20 VAV_T20_Dmp_Open,"",✓,"","",@p:ubcv:r:22ff8263-597091cf beatyBio VAV_T20_Lab_386_Module_20 (520112),"",TL92,✓,"","","","","","","","","",VAV_T20_Dmp_Open,"","",✓,"",@p:ubcv:r:22ff8263-597091cf beatyBio VAV_T20_Lab_386_Module_20 (520112),"","","","",✓,"","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:24199362-1d5ab0aa Beaty Lab 386 VAV-T20,✓,"","","","","",@p:ubcv:r:241985f0-bf451612 Beaty Floor 3,"","",✓,"","","",2020-05-12T13:18:57-07:00 Los_Angeles,"","","",27365,2018-11-22T14:23:09-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:00:46.211-07:00 Los_Angeles,2019-01-23T16:52:55.914-08:00 Los_Angeles,"","","","",Discharge Air Damper Open Cmd,"",BO6,"","","",✓,"","",✓,"","","","","","","",@p:ubcv:r:24199362-0d2a955d Beaty Lab 386,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:23e65d0e-77e156cc .+_Dmp_Open(_TL.)?,"","",VAV_T20_Dmp_Open_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.06Z UTC
@p:ubcv:r:236ba87a-c1501ae9 Beaty Lab 163 VAV-G07 VAV_G07_RTU_SAT_AV,"",✓,"","",@p:ubcv:r:22ff942a-a19cec5f beatyBio VAV_G07_Lab_163 (520402),"",TL7,✓,"","","","","","","","","",VAV_G07_RTU_SAT_AV,"","","","",@p:ubcv:r:22ff942a-a19cec5f beatyBio VAV_G07_Lab_163 (520402),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:241984b8-1f5e0699 Beaty Lab 163 VAV-G07,✓,"","","","","",@p:ubcv:r:241984b8-5376fdd0 Beaty Floor 1,"","",✓,"","","",2020-05-12T13:58:16-07:00 Los_Angeles,"","","",80556,2018-10-29T07:39:34-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:06:59.698-07:00 Los_Angeles,2019-04-11T16:04:13.554-07:00 Los_Angeles,"","","","",Discharge Air Temp,"",AV9,"","","","","","",✓,"","","","","","","",@p:ubcv:r:241984b8-e5e8691d Beaty Lab 163,"","","","",✓,@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:23e65d0e-b77c9dc0 .+_(\d+)?SAT(_\d+)?(_AV)?(_TL)?,"",✓,VAV_G07_RTU_SAT_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:02.241Z UTC
@p:ubcv:r:22ff9968-d7dd7a86 Beaty Unsorted Points EF34_Elec_Rm081_RT,"",✓,"","",@p:ubcv:r:22ff98b1-a54a01e2 beatyBio BioD_AHU3 (520701),"",TL27,✓,"","","","","","","","","",EF34_Elec_Rm081_RT,"","","","",@p:ubcv:r:22ff98b1-a54a01e2 beatyBio BioD_AHU3 (520701),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:22ff90eb-7efd2ec3 Beaty Unsorted Points,✓,"","","","","",@p:ubcv:r:22ff90eb-6a116659 Beaty Unsorted Points,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",91427,2018-08-08T08:30:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:08:45.907-07:00 Los_Angeles,2019-01-23T16:53:25.203-08:00 Los_Angeles,"","","","",Zone Temp,"",AI16,"","","","","","",✓,"","","","","","","","","","","","",✓,@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,Elec_Rm081_RT_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:02.644Z UTC
@p:ubcv:r:236ba293-83a29f20 Beaty HW Submeters Hot Water Meter  BioD_314_EM_1P_LAST_HOUR,"","","","",@p:ubcv:r:23635473-ce9db8c3 beaetyBio Main Router (520000),"",TL76,✓,"","","","","","","","","",BioD_314_EM_1P_LAST_HOUR,"","","","",@p:ubcv:r:23635473-ce9db8c3 beaetyBio Main Router (520000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","@p:ubcv:r:2419b17e-d8d33dda Beaty HW Submeters Hot Water Meter ",✓,"","","","","",@p:ubcv:r:21697fca-fd27e8b7 Beaty Utilities,"","",✓,"","","",2020-05-12T00:00:00-07:00 Los_Angeles,"","","",329,2018-12-20T13:00:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T13:59:53.299-07:00 Los_Angeles,2018-11-28T16:32:30.319-08:00 Los_Angeles,"","","","",BioD_314_EM_1P_LAST_HOUR,✓,AV1168,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","",BioD_314_EM_1P_LAST_HOUR_TL,Los_Angeles,MWh,"","","","","","",2020-04-09T19:02:01.415Z UTC
@p:ubcv:r:236baa96-66017f77 Beaty Lab 291 VAV-S28 VAV_S28_WS,"","","","",@p:ubcv:r:22ff8263-98e9ac64 beatyBio VAV_S28_Fumehood_Room_291 (520111),"",TL9,✓,"","","","","","","","","",VAV_S28_WS,"","","","",@p:ubcv:r:22ff8263-98e9ac64 beatyBio VAV_S28_Fumehood_Room_291 (520111),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:24199a7e-640bbfee Beaty Lab 291 VAV-S28,✓,"","","","","",@p:ubcv:r:24199a22-79c45e36 Beaty Floor 2,"","",✓,"","","",2020-01-08T08:02:47-08:00 Los_Angeles,"","","",1,2020-01-08T08:02:47-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:03:23.893-07:00 Los_Angeles,2018-11-28T16:32:33.597-08:00 Los_Angeles,"","","","",VAV_S28_WS,✓,BV1,"","","","","","",✓,"","","","","","","",@p:ubcv:r:24199a7e-15d255ee Beaty Lab 291,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","",VAV_S28_WS_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.691Z UTC
@p:ubcv:r:236ba7f2-e85fd8c3 Beaty Lab 361 VAV-T07 VAV_T07_NSB,"","","","",@p:ubcv:r:22ff942a-74724e0d beatyBio VAV_T07_Fumehood_Room_361 (520414),"",TL10,✓,"","","","","","","","","",VAV_T07_NSB,"","","","",@p:ubcv:r:22ff942a-74724e0d beatyBio VAV_T07_Fumehood_Room_361 (520414),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:2419929d-6b81a6b6 Beaty Lab 361 VAV-T07,✓,"","","","","",@p:ubcv:r:241985f0-bf451612 Beaty Floor 3,"","",✓,"","","","","","","","","",ok,"","",Bool,2020-05-12T14:04:33.744-07:00 Los_Angeles,2018-11-28T16:32:30.619-08:00 Los_Angeles,"","","","",VAV_T07_NSB,✓,BV5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:2419929d-fc14b26f Beaty Lab 361,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","",VAV_T07_NSB_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.692Z UTC
@p:ubcv:r:236ba917-f9343d94 Beaty Rm 071 VAV-L16 VAV_L16_FLW_SP,"",✓,"","",@p:ubcv:r:22ff9362-2d6d636f beatyBio VAV_L16_Lab_Support_071 (520309),"",TL4,✓,"","","","","","","","","",VAV_L16_FLW_SP,"","","","",@p:ubcv:r:22ff9362-2d6d636f beatyBio VAV_L16_Lab_Support_071 (520309),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:241993c9-16d2a3f0 Beaty Rm 071 VAV-L16,✓,"","","","",✓,@p:ubcv:r:241985f0-65cf6ecd Beaty Floor 0,"","",✓,"","","",2020-05-12T13:52:37-07:00 Los_Angeles,"","","",80561,2018-10-29T07:30:38-07:00 Los_Angeles,ok,"","",Number,2020-05-12T13:54:46.193-07:00 Los_Angeles,2019-04-11T16:04:13.773-07:00 Los_Angeles,"","","","",Discharge Air Flow Sp,"",AV5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:241993c9-59d0d4ed Beaty Rm 071,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"",✓,"","","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","",VAV_L16_FLW_SP_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:02.058Z UTC
@p:ubcv:r:236baa7b-51ab1bb3 Beaty Rm 384 VAV-T21 VAV_T21_DMP,"",✓,"","",@p:ubcv:r:22ff8263-8649c7f1 beatyBio VAV_T21_Lab_Support_384 (520113),"",TL6,✓,"","","",✓,"","","","","",VAV_T21_DMP,"","",✓,"",@p:ubcv:r:22ff8263-8649c7f1 beatyBio VAV_T21_Lab_Support_384 (520113),"","","","",✓,"","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:241993c9-96a6fd4d Beaty Rm 384 VAV-T21,✓,"","","","","",@p:ubcv:r:241985f0-bf451612 Beaty Floor 3,"","",✓,"","","",2020-05-12T14:04:54-07:00 Los_Angeles,"","","",80548,2018-10-29T07:48:45-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:06:56.814-07:00 Los_Angeles,2019-04-11T16:04:13.904-07:00 Los_Angeles,"","","","",Discharge Air Damper Cmd,"",AV16,"","","","","","",✓,"","","","","","","",@p:ubcv:r:241993c9-e772f66b Beaty Rm 384,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:23e65d0e-f295c554 (.+_)?VAV.+_DMP(_TL)?,"","",VAV_T21_DMP_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:01.625Z UTC
@p:ubcv:r:22ff9968-00640f57 Beaty AHU-01 AHU1_RZ5_RT,"",✓,"",✓,@p:ubcv:r:22ff98b1-a54a01e2 beatyBio BioD_AHU3 (520701),"",TL24,✓,"","","","","","","","","",AHU1_RZ5_RT,"","","","",@p:ubcv:r:22ff98b1-a54a01e2 beatyBio BioD_AHU3 (520701),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2419965d-a4c06c3a Beaty AHU-01,✓,"","","","","",@p:ubcv:r:21cb089a-0c38404b Beaty Hydronic Systems,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",61900,2018-08-04T17:45:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:08:46.188-07:00 Los_Angeles,2020-05-12T04:03:26.52-07:00 Los_Angeles,"","","","",Average Zone Temp,"",AI103,"","","","","","",✓,"","","","","","","","","","","","",✓,@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,AHU1_RZ5_RT_TL,Los_Angeles,°C,"","","","","",✓,2020-05-12T11:03:26.521Z UTC
@p:ubcv:r:236baad3-ebcce2b5 Beaty Rm 292 VAV-S23 VAV_S23_Dmp_Open,"",✓,"","",@p:ubcv:r:22ff8263-cb91befa beatyBio VAV_S23_Lab_Support_292 (520106),"",TL92,✓,"","","","","","","","","",VAV_S23_Dmp_Open,"","",✓,"",@p:ubcv:r:22ff8263-cb91befa beatyBio VAV_S23_Lab_Support_292 (520106),"","","","",✓,"","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:24199aea-9a6006bf Beaty Rm 292 VAV-S23,✓,"","","","","",@p:ubcv:r:24199a22-79c45e36 Beaty Floor 2,"","",✓,"","","",2020-05-12T00:39:17-07:00 Los_Angeles,"","","",4035,2018-10-29T06:16:20-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T13:56:04.5-07:00 Los_Angeles,2019-01-23T16:52:50.232-08:00 Los_Angeles,"","","","",Discharge Air Damper Open Cmd,"",BO6,"","","",✓,"","",✓,"","","","","","","",@p:ubcv:r:24199aea-a2b3f4d9 Beaty Rm 292,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:23e65d0e-77e156cc .+_Dmp_Open(_TL.)?,"","",VAV_S23_Dmp_Open_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.693Z UTC
@p:ubcv:r:236baaae-216bd83a Beaty Rm 295 VAV-S26 VAV_S26_RTU_SAT_AV,"",✓,"","",@p:ubcv:r:22ff8263-2bf9367c beatyBio VAV_S26_Lab_Support_295 (520109),"",TL7,✓,"","","","","","","","","",VAV_S26_RTU_SAT_AV,"","","","",@p:ubcv:r:22ff8263-2bf9367c beatyBio VAV_S26_Lab_Support_295 (520109),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:24199aea-c419b4e3 Beaty Rm 295 VAV-S26,✓,"","","","","",@p:ubcv:r:24199a22-79c45e36 Beaty Floor 2,"","",✓,"","","",2020-05-12T13:50:57-07:00 Los_Angeles,"","","",80547,2018-10-29T07:40:27-07:00 Los_Angeles,ok,"","",Number,2020-05-12T13:56:35.835-07:00 Los_Angeles,2019-04-11T16:04:13.507-07:00 Los_Angeles,"","","","",Discharge Air Temp,"",AV9,"","","","","","",✓,"","","","","","","",@p:ubcv:r:24199aea-5bb37a18 Beaty Rm 295,"","","","",✓,@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:23e65d0e-b77c9dc0 .+_(\d+)?SAT(_\d+)?(_AV)?(_TL)?,"",✓,VAV_S26_RTU_SAT_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:01.57Z UTC
@p:ubcv:r:236ba25d-c5283b7d Beaty Rm 273 VAV-S16 VAV_S16_DP,"",✓,"","",@p:ubcv:r:236ba157-63611549 beatyBio VAV_S16_Lab_Support_273 (520206),"",TL5,✓,"","","","","","","","","",VAV_S16_DP,"","","","",@p:ubcv:r:236ba157-63611549 beatyBio VAV_S16_Lab_Support_273 (520206),"","","","","",✓,"",✓,$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:24199aea-83826909 Beaty Rm 273 VAV-S16,✓,"","","","","",@p:ubcv:r:24199a22-79c45e36 Beaty Floor 2,"","",✓,"","","",2020-05-12T13:55:00-07:00 Los_Angeles,"","","",80586,2018-10-29T07:08:51-07:00 Los_Angeles,ok,"","",Number,2020-05-12T13:58:15.027-07:00 Los_Angeles,2019-04-11T16:04:13.463-07:00 Los_Angeles,"","","","",Discharge Air Differential Pressure,"",AI5,"","","","","","",✓,"","",✓,"","","","",@p:ubcv:r:24199aea-b098c9da Beaty Rm 273,"","","","",✓,@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:23e65d0e-247ed83f (.+_)?VAV(_)?\w?\d+\w?(_.+)?_DP(_TL)?,"","",VAV_S16_DP_TL,Los_Angeles,Pa,"","","","","","",2020-04-09T19:02:01.819Z UTC
@p:ubcv:r:236ba97e-067515c0 Beaty Unsorted Points EF5_ESP_SP,"","","","",@p:ubcv:r:22ff7a10-619f48f2 beatyBio 314.0 BioD_RTU3 (520300),"",TL22,✓,"","","","","","","","","",EF5_ESP_SP,"","","","",@p:ubcv:r:22ff7a10-619f48f2 beatyBio 314.0 BioD_RTU3 (520300),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:22ff90eb-7efd2ec3 Beaty Unsorted Points,✓,"","","","","",@p:ubcv:r:22ff90eb-6a116659 Beaty Unsorted Points,"","",✓,"","","",2020-05-12T13:56:00-07:00 Los_Angeles,"","","",393128,2018-10-30T10:16:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T13:56:04.912-07:00 Los_Angeles,2018-11-28T16:33:00.097-08:00 Los_Angeles,"","","","",EF5_ESP_SP,✓,AV16,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","",EF5_ESP_SP_TL,Los_Angeles,Pa,"","","","","","",2020-04-09T19:02:01.923Z UTC
@p:ubcv:r:236ba762-d3335db1 Beaty AHU-03 SF AHU3_SF_SPD,"","","","",@p:ubcv:r:22ff98b1-a54a01e2 beatyBio BioD_AHU3 (520701),"",TL11,✓,"","","","","","","","",✓,AHU3_SF_SPD,"","",✓,"",@p:ubcv:r:22ff98b1-a54a01e2 beatyBio BioD_AHU3 (520701),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:254e1acb-0694f349 Beaty AHU-03 SF,✓,"",✓,"","","",@p:ubcv:r:21cb089a-0c38404b Beaty Hydronic Systems,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",145067,2018-10-30T13:20:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:08:46.463-07:00 Los_Angeles,2019-01-23T16:53:16.945-08:00 Los_Angeles,"","","","",Discharge Fan Speed Cmd,"",AO3,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:209678da-364312db Beaty,"","",✓,"","","",@p:ubcv:r:25018dfc-0b606eb0 .+_SF(\d+)?(_VFD)?_SPD(_AV)?(_TL)?,"","",AHU3_SF_SPD_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:02.647Z UTC
@p:ubcv:r:236ba8cc-c336032a Beaty Lab 375 VAV-T09 VAV_T09_RTU_SAT_AV,"",✓,"","",@p:ubcv:r:22ff9362-323120ec beatyBio VAV_T09_Lab_375_Module_12 (520315),"",TL7,✓,"","","","","","","","","",VAV_T09_RTU_SAT_AV,"","","","",@p:ubcv:r:22ff9362-323120ec beatyBio VAV_T09_Lab_375_Module_12 (520315),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:24199362-ebb539e8 Beaty Lab 375 VAV-T09,✓,"","","","","",@p:ubcv:r:241985f0-bf451612 Beaty Floor 3,"","",✓,"","","",2020-05-12T13:51:16-07:00 Los_Angeles,"","","",80548,2018-10-29T07:38:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T13:58:45.677-07:00 Los_Angeles,2019-04-11T16:04:13.507-07:00 Los_Angeles,"","","","",Discharge Air Temp,"",AV9,"","","","","","",✓,"","","","","","","",@p:ubcv:r:24199361-ac80e8c7 Beaty Lab 375,"","","","",✓,@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:23e65d0e-b77c9dc0 .+_(\d+)?SAT(_\d+)?(_AV)?(_TL)?,"",✓,VAV_T09_RTU_SAT_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:02.137Z UTC
@p:ubcv:r:22ff945e-7d0f30ed Beaty Lab 064 VAV-L13 VAV_L13_RT_SP,"",✓,"","",@p:ubcv:r:22ff9362-65dd0205 beatyBio VAV_L13_Lab_064 (520306),"",TL2,✓,"","","","","","","","","",VAV_L13_RT_SP,"","","","",@p:ubcv:r:22ff9362-65dd0205 beatyBio VAV_L13_Lab_064 (520306),"","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","",@p:ubcv:r:241985f0-04edcb34 Beaty Lab 064 VAV-L13,✓,"","","","","",@p:ubcv:r:241985f0-65cf6ecd Beaty Floor 0,"","",✓,"","","",2020-05-12T13:57:42-07:00 Los_Angeles,"","","",91453,2018-08-08T07:57:01-07:00 Los_Angeles,ok,"","",Number,2020-05-12T13:58:06.005-07:00 Los_Angeles,2019-01-23T16:53:19.288-08:00 Los_Angeles,"","","","",Zone Temp Effective Sp,"",AV6,"","","","","","",✓,"","","","","","","",@p:ubcv:r:241985f0-d914ac8c Beaty Lab 064,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"",✓,"","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"",✓,VAV_L13_RT_SP_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:02.02Z UTC
@p:ubcv:r:236ba242-e465c3aa Beaty Rm 282 VAV-S20 VAV_S20_FLW_SP,"",✓,"","",@p:ubcv:r:236ba157-a8585018 beatyBio VAV_S20_Lab_Support_282 (520209),"",TL4,✓,"","","","","","","","","",VAV_S20_FLW_SP,"","","","",@p:ubcv:r:236ba157-a8585018 beatyBio VAV_S20_Lab_Support_282 (520209),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:24199aea-a18577b5 Beaty Rm 282 VAV-S20,✓,"","","","",✓,@p:ubcv:r:24199a22-79c45e36 Beaty Floor 2,"","",✓,"","","",2020-05-12T13:48:26-07:00 Los_Angeles,"","","",80584,2018-10-29T07:09:41-07:00 Los_Angeles,ok,"","",Number,2020-05-12T13:58:06.015-07:00 Los_Angeles,2019-04-11T16:04:13.555-07:00 Los_Angeles,"","","","",Discharge Air Flow Sp,"",AV5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:24199aea-c4d87100 Beaty Rm 282,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"",✓,"","","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","",VAV_S20_FLW_SP_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:01.845Z UTC
@p:ubcv:r:236baaa2-433df574 Beaty Rm 296 VAV-S27 VAV-S27_FLW_SP,"",✓,"","",@p:ubcv:r:22ff8263-4c22866b beatyBio VAV_S27_CONT_ENV_RM_296 (520110),"",TL4,✓,"","","","","","","","","",VAV-S27_FLW_SP,"","","","",@p:ubcv:r:22ff8263-4c22866b beatyBio VAV_S27_CONT_ENV_RM_296 (520110),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:24199db4-e091d6cf Beaty Rm 296 VAV-S27,✓,"","","","",✓,@p:ubcv:r:241985f0-65cf6ecd Beaty Floor 0,"","",✓,"","","",2020-05-12T13:58:38-07:00 Los_Angeles,"","","",80580,2018-10-29T07:46:43-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:02:14.829-07:00 Los_Angeles,2019-04-11T16:04:13.8-07:00 Los_Angeles,"","","","",Discharge Air Flow Sp,"",AV5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:24199db4-a1fa0100 Beaty Rm 296,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"",✓,"","","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","",VAV-S27_FLW_SP_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:01.584Z UTC
