id,connRef,cur,curStatus,curVal,disMacro,elec,energy,equipRef,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,navName,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,sqlSource,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:21541b59-3aa0ab83 Ritsumeikan-UBC House HW Main Meter Energy,@p:ubcv:r:23060489-d61f5459 ION DB,"","","",$equipRef $navName,"",✓,@p:ubcv:r:21541b59-e3671ef5 Ritsumeikan-UBC House HW Main Meter,@p:ubcv:r:21697fca-ccb5dd11 Ritsumeikan-UBC House Utilities,✓,"","",2020-05-12T03:15:00-07:00 Los_Angeles,consumption,285742,2012-02-27T14:45:00-08:00 Los_Angeles,ok,✓,✓,Number,Energy,"","","",✓,"","",10370,✓,@p:ubcv:r:21541b0d-5d287aca Ritsumeikan-UBC House,192,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:35.422Z UTC
@p:ubcv:r:263b76e7-681c21cf Ritsumeikan-UBC House Water Main Meter Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,ok,33779.3984375m³,$equipRef $navName,"","",@p:ubcv:r:21541b0d-4941314a Ritsumeikan-UBC House Water Main Meter,@p:ubcv:r:21697fca-ccb5dd11 Ritsumeikan-UBC House Utilities,✓,"",15min,2020-05-12T20:00:00-07:00 Los_Angeles,consumption,304220,2011-09-09T15:45:00-07:00 Los_Angeles,ok,✓,"",Number,Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Ritsumeikan_745_MECH.Water_Volume,✓,✓,"","",10394,✓,@p:ubcv:r:21541b0d-5d287aca Ritsumeikan-UBC House,192,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:55.595Z UTC
@p:ubcv:r:263b76e5-b2862744 Ritsumeikan-UBC House Elec Main Meter Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,ok,21.3354549407959kW,$equipRef $navName,✓,"",@p:ubcv:r:21541b0d-6ea7ce2d Ritsumeikan-UBC House Elec Main Meter,@p:ubcv:r:21697fca-ccb5dd11 Ritsumeikan-UBC House Utilities,✓,5kW,15min,2020-05-12T20:00:00-07:00 Los_Angeles,"",333303,2011-08-19T08:30:00-07:00 Los_Angeles,ok,"","",Number,Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Ritsumeikan_745.Elec_Power,✓,✓,"",✓,116,✓,@p:ubcv:r:21541b0d-5d287aca Ritsumeikan-UBC House,190,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"","",2020-05-12T08:00:09.88Z UTC
@p:ubcv:r:263b76e5-f503e7f7 Ritsumeikan-UBC House Elec Main Meter Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,ok,3456971.25kWh,$equipRef $navName,✓,✓,@p:ubcv:r:21541b0d-6ea7ce2d Ritsumeikan-UBC House Elec Main Meter,@p:ubcv:r:21697fca-ccb5dd11 Ritsumeikan-UBC House Utilities,✓,"",15min,2020-05-12T20:00:00-07:00 Los_Angeles,consumption,306228,2011-08-19T08:30:00-07:00 Los_Angeles,ok,✓,"",Number,Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Ritsumeikan_745.Elec_Energy,✓,✓,"","",10393,✓,@p:ubcv:r:21541b0d-5d287aca Ritsumeikan-UBC House,190,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","",2020-05-04T19:39:55.594Z UTC
