id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,opcConnRef,opcCur,opcPoint,point,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:20a66052-30ae0c6b Pulp & Paper HW Main Meter Power,@p:ubcv:r:21cad543-0d713c0c PULPR DES Meter,AI5,✓,@p:ubcv:r:21cad543-0d713c0c PULPR DES Meter,✓,"",ok,4.599999904632568kW,"","",$equipRef $navName,"","","",@p:ubcv:r:20a66052-91614f31 Pulp & Paper HW Main Meter,"",@p:ubcv:r:21697fca-7334ca64 Pulp & Paper Utilities,✓,6.197557327286448kW,15min,2020-05-12T15:56:19-07:00 Los_Angeles,"","",640433,2016-09-12T12:15:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","",✓,✓,"",✓,@p:ubcv:r:20a66052-6a2323a4 Pulp & Paper,"","","","",Los_Angeles,kW,✓,"",✓,2020-05-12T08:00:09.879Z UTC
@p:ubcv:r:20a66052-8ce9ebee Pulp & Paper HW Main Meter Energy,@p:ubcv:r:21cad543-0d713c0c PULPR DES Meter,AI1,✓,@p:ubcv:r:21cad543-0d713c0c PULPR DES Meter,✓,MWh => kWh,ok,3054179.931640625kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:20a66052-91614f31 Pulp & Paper HW Main Meter,"",@p:ubcv:r:21697fca-7334ca64 Pulp & Paper Utilities,✓,"",15min,2020-05-12T15:45:00-07:00 Los_Angeles,"",consumption,127327,2016-09-12T12:00:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","",✓,"",10364,✓,@p:ubcv:r:20a66052-6a2323a4 Pulp & Paper,90,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:35.889Z UTC
@p:ubcv:r:21dffdae-dafa3b1d Pulp & Paper HW Main Meter Entering Water Temp,@p:ubcv:r:21cad543-0d713c0c PULPR DES Meter,AI9,✓,@p:ubcv:r:21cad543-0d713c0c PULPR DES Meter,✓,"",ok,74.18999481201172°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:20a66052-91614f31 Pulp & Paper HW Main Meter,"",@p:ubcv:r:21697fca-7334ca64 Pulp & Paper Utilities,✓,0.5°C,10min,2020-05-12T15:50:00-07:00 Los_Angeles,"",consumption,177942,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","",✓,@p:ubcv:r:20a66052-6a2323a4 Pulp & Paper,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.89Z UTC
@p:ubcv:r:263b76e4-621ac55c Pulp & Paper Water Main Meter Consumption,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,16.100000381469727m³,"","",$equipRef $navName,"","","",@p:ubcv:r:20a66052-d1577d46 Pulp & Paper Water Main Meter,"",@p:ubcv:r:21697fca-7334ca64 Pulp & Paper Utilities,✓,"",15min,2020-05-12T15:45:00-07:00 Los_Angeles,"",consumption,283805,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Pulp_Paper_747.Water_Volume,✓,✓,"",10394,✓,@p:ubcv:r:20a66052-6a2323a4 Pulp & Paper,90,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:55.582Z UTC
@p:ubcv:r:2388a048-7226d8e2 Pulp & Paper HW Main Meter Water Delta Temp,"","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:20a66052-91614f31 Pulp & Paper HW Main Meter,"",@p:ubcv:r:21697fca-7334ca64 Pulp & Paper Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","",✓,"","","",@p:ubcv:r:20a66052-6a2323a4 Pulp & Paper,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.891Z UTC
@p:ubcv:r:263b76e3-690d3aae Pulp & Paper Elec Main Meter Power,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,29.228389739990234kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:20a66052-d503ef31 Pulp & Paper Elec Main Meter,"",@p:ubcv:r:21697fca-7334ca64 Pulp & Paper Utilities,✓,5kW,15min,2020-05-12T15:53:36-07:00 Los_Angeles,"","",338513,2011-03-31T17:00:00-07:00 Los_Angeles,ok,"","",Number,"",Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Pulp_Paper_747.Elec_Power,✓,✓,✓,107,✓,@p:ubcv:r:20a66052-6a2323a4 Pulp & Paper,90,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"","",2020-05-12T08:00:09.878Z UTC
@p:ubcv:r:21dffdae-3901902a Pulp & Paper HW Main Meter Leaving Water Temp,@p:ubcv:r:21cad543-0d713c0c PULPR DES Meter,AI10,✓,@p:ubcv:r:21cad543-0d713c0c PULPR DES Meter,✓,"",ok,51.63999938964844°C,"","",$equipRef $navName,"","","",@p:ubcv:r:20a66052-91614f31 Pulp & Paper HW Main Meter,"",@p:ubcv:r:21697fca-7334ca64 Pulp & Paper Utilities,✓,0.5°C,10min,2020-05-12T15:50:00-07:00 Los_Angeles,"",consumption,370047,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","",✓,"","",✓,@p:ubcv:r:20a66052-6a2323a4 Pulp & Paper,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.892Z UTC
@p:ubcv:r:21dffdae-4439520d Pulp & Paper HW Main Meter Flow,@p:ubcv:r:21cad543-0d713c0c PULPR DES Meter,AI4,✓,@p:ubcv:r:21cad543-0d713c0c PULPR DES Meter,✓,L/h => L/s,ok,0.049999999999999996L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:20a66052-91614f31 Pulp & Paper HW Main Meter,✓,@p:ubcv:r:21697fca-7334ca64 Pulp & Paper Utilities,✓,0.25L/s,10min,2020-05-12T15:50:00-07:00 Los_Angeles,"",consumption,288839,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","",✓,"","",✓,@p:ubcv:r:20a66052-6a2323a4 Pulp & Paper,"","","","",Los_Angeles,L/s,✓,"",✓,2020-04-28T00:03:35.893Z UTC
@p:ubcv:r:263b76e3-9bb210fb Pulp & Paper Elec Main Meter Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,219297.40625kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:20a66052-d503ef31 Pulp & Paper Elec Main Meter,"",@p:ubcv:r:21697fca-7334ca64 Pulp & Paper Utilities,✓,"",15min,2020-05-12T15:45:00-07:00 Los_Angeles,"",consumption,318804,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Pulp_Paper_747.Elec_Energy,✓,✓,"",135,✓,@p:ubcv:r:20a66052-6a2323a4 Pulp & Paper,90,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","",2020-05-04T19:39:55.583Z UTC
