id,air,alarm,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,chanGunnDeepDive,connRef,cur,curStatus,curVal,disMacro,disabled,discharge,elec,energy,enum,equipRef,frank,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,kind,lastSynced,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,shortName,siemens,siemensName,siteRef,sourceID,sqlConnRef,sqlPoint,tags,temp,tlName,tz,unit,utilityPoint,window,mod
@p:ubcv:r:24919005-cc8824c8 Chan Gunn Unsorted Points SMC_NATV-3-5_TOP_FAN_STS,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL215,✓,SMC_NATV-3-5_TOP_FAN_STS,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","OFF,ON",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31916,2019-06-08T15:00:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:09:07.706-07:00 Los_Angeles,"",SMC_NATV-3-5_TOP_FAN_STS,✓,BV22,"","","",✓,"","","","","",✓,SMC_NATV-3-5_TOP_FAN_STS,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_215,Los_Angeles,"","","",2020-02-12T22:11:41.469Z UTC
@p:ubcv:r:2426d2af-d096e717 Chan Gunn Unsorted Points SMC.301522:CTL TEMP,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL800,✓,SMC.301522:CTL TEMP,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"","",11316,2019-03-20T19:20:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:15.447-07:00 Los_Angeles,"",SMC.301522:CTL TEMP,✓,AO78,"","","",✓,"","","","","",✓,SMC.301522:CTL TEMP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.955Z UTC
@p:ubcv:r:2426d1fd-cd21aac1 Chan Gunn Unsorted Points SMC.301519:FAN AMPS,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL747,✓,SMC.301519:FAN AMPS,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"","",11316,2019-03-20T19:20:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:15.417-07:00 Los_Angeles,"",SMC.301519:FAN AMPS,✓,AO1012,"","","",✓,"","","","","",✓,SMC.301519:FAN AMPS,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.954Z UTC
@p:ubcv:r:25a29cb2-1030a68a Chan Gunn Unsorted Points SMC.MF2.DEWPT.ALM,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL967,"",SMC.MF2.DEWPT.ALM,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","NORMAL,ALARM",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-11T16:55:04-07:00 Los_Angeles,"","",154,2019-12-30T08:43:21-08:00 Los_Angeles,ok,"",Bool,2020-05-12T11:07:16.14-07:00 Los_Angeles,"",SMC.MF2.DEWPT.ALM,✓,BV2,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301500_TrendLog_967,Los_Angeles,"","","",2020-02-12T22:12:57.007Z UTC
@p:ubcv:r:2426d188-856d6804 Chan Gunn Unsorted Points SMC.301517:ROOM TEMP,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL723,✓,SMC.301517:ROOM TEMP,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [95] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",11329,2019-03-20T19:15:01-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:01.657-07:00 Los_Angeles,"",SMC.301517:ROOM TEMP,✓,AI4,"","","",✓,"","","","","",✓,SMC.301517:ROOM TEMP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.957Z UTC
@p:ubcv:r:2426d2af-95afa298 Chan Gunn Unsorted Points SMC.301522:DAY.NGT,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL802,✓,SMC.301522:DAY.NGT,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","DAY,NIGHT",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"","",11332,2019-03-20T19:20:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:07:15.464-07:00 Los_Angeles,"",SMC.301522:DAY.NGT,✓,BO29,"","","",✓,"","","","","",✓,SMC.301522:DAY.NGT,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,"","","",2019-12-03T18:23:07.668Z UTC
@p:ubcv:r:24919005-f76654dd Chan Gunn Unsorted Points SMC_RAIN_WEST,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL246,✓,SMC_RAIN_WEST,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","NORMAL,ALARM",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31914,2019-06-08T15:00:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:09:07.76-07:00 Los_Angeles,"",SMC_RAIN_WEST,✓,BV11,"","","",✓,"","","","","",✓,SMC_RAIN_WEST,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_246,Los_Angeles,"","","",2020-02-12T22:09:12.27Z UTC
@p:ubcv:r:25a29cb2-0d45bbb0 Chan Gunn Unsorted Points SMC.301544_H/C_PUMP_KWH,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1218,"",SMC.301544_H/C_PUMP_KWH,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12526,2020-01-02T16:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:17.142-07:00 Los_Angeles,"",SMC.301544_H/C_PUMP_KWH,✓,AV42,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301544_H/C_PMP_KWH_TL_15,Los_Angeles,kWh,"","",2020-04-09T19:01:55.946Z UTC
@p:ubcv:r:2422cc9f-b9645b0b Chan Gunn Unsorted Points SMC.301519:ROOM TEMP_TL_30,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL83,✓,SMC.301519:ROOM TEMP_TL_30,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:00-07:00 Los_Angeles,"","",19402,2019-03-15T15:30:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:17.163-07:00 Los_Angeles,"",SMC.301519:ROOM TEMP_TL_30,✓,"","","","",✓,"","","","","",✓,SMC.301519:ROOM TEMP_TL_30,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.959Z UTC
@p:ubcv:r:24194dbe-560ee73b Chan Gunn Unsorted Points SMC_PCHW_DP,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL108,✓,SMC_PCHW_DP,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:07:56-07:00 Los_Angeles,"","",373619,2019-03-13T11:21:47-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:11.333-07:00 Los_Angeles,"",SMC_PCHW_DP,✓,AI1,"","","",✓,"","","","","",✓,SMC_PCHW_DP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301615:Airflow_TL_COV,Los_Angeles,kPa,"","",2020-04-09T19:01:56.388Z UTC
@p:ubcv:r:25a29cb2-cd18fc4c Chan Gunn Unsorted Points SMC.301528_FAN_KWH,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1230,"",SMC.301528_FAN_KWH,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12526,2020-01-02T16:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:17.204-07:00 Los_Angeles,"",SMC.301528_FAN_KWH,✓,AV30,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301528_FAN_KWH_TL_15,Los_Angeles,kWh,"","",2020-04-09T19:01:55.948Z UTC
@p:ubcv:r:2426d1c2-c7c025f5 Chan Gunn Unsorted Points SMC.301518:WATTS,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL739,✓,SMC.301518:WATTS,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [106] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",11332,2019-03-20T19:20:00-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:01.665-07:00 Los_Angeles,"",SMC.301518:WATTS,✓,AO1001,"","","",✓,"","","","","",✓,SMC.301518:WATTS,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.966Z UTC
@p:ubcv:r:2426d151-dc6031c4 Chan Gunn Unsorted Points SMC.301516:FAN ALM,"",✓,@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL705,✓,SMC.301516:FAN ALM,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","NORMAL,ALARM",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [115] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",11318,2019-03-20T19:15:01-07:00 Los_Angeles,fault,"",Bool,2020-05-10T22:28:01.679-07:00 Los_Angeles,"",Alarm,"",BO1010,"","","",✓,"","","","","",✓,SMC.301516:FAN ALM,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,"","","",2019-11-07T23:48:39.867Z UTC
@p:ubcv:r:2426d1fd-cb8eb3e8 Chan Gunn Unsorted Points SMC.301519:LTG.OCC,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL751,✓,SMC.301519:LTG.OCC,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","UNOCC,OCC",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"","",11318,2019-03-20T19:20:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:07:15.479-07:00 Los_Angeles,"",SMC.301519:LTG.OCC,✓,BO1009,"","","",✓,"","","","","",✓,SMC.301519:LTG.OCC,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,"","","",2019-12-03T18:23:01.527Z UTC
@p:ubcv:r:25a29cb2-569c11b4 Chan Gunn Unsorted Points SMC.301518_FAN_KWH,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1240,"",SMC.301518_FAN_KWH,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12526,2020-01-02T16:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:17.237-07:00 Los_Angeles,"",SMC.301518_FAN_KWH,✓,AV20,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301518_FAN_KWH_TL_15,Los_Angeles,kWh,"","",2020-04-09T19:01:55.952Z UTC
@p:ubcv:r:2491879d-d5ce1fb9 Chan Gunn Unsorted Points SMC.301545:VLV_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL867,✓,SMC.301545:VLV_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-07-08T12:15:01-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [209] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",2879,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:02.718-07:00 Los_Angeles,"",SMC.301545:VLV_CMD,✓,AV14,"","","",✓,"","","","","",✓,SMC.301545:VLV_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.97Z UTC
@p:ubcv:r:24919005-784cbf8d Chan Gunn Unsorted Points SMC_PHWS_B-2_STPT,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL229,✓,SMC_PHWS_B-2_STPT,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31915,2019-06-08T15:00:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:07.893-07:00 Los_Angeles,"",SMC_PHWS_B-2_STPT,✓,AO5,"","","",✓,"","","","","",✓,SMC_PHWS_B-2_STPT,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_229,Los_Angeles,°C,"","",2020-04-09T19:01:56.389Z UTC
@p:ubcv:r:2491879a-f5143f38 Chan Gunn Unsorted Points SMC.301511:H/C_VLV_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL838,✓,SMC.301511:H/C_VLV_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-11-26T09:45:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [254] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",15040,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:02.938-07:00 Los_Angeles,"",SMC.301511:H/C_VLV_CMD,✓,AO0,"","","",✓,"","","","","",✓,SMC.301511:H/C_VLV_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.972Z UTC
@p:ubcv:r:249187a2-97f28970 Chan Gunn Unsorted Points SMC.301541:VALVE_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL916,✓,SMC.301541:VALVE_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","CLOSED,OPEN",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-07-08T12:15:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [169] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",2880,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Bool,2020-05-10T22:28:02.494-07:00 Los_Angeles,"",SMC.301541:VALVE_CMD,✓,BO1,"","","",✓,"","","","","",✓,SMC.301541:VALVE_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,"","","",2019-12-03T18:23:02.171Z UTC
@p:ubcv:r:25a29cb2-28f4c05c Chan Gunn Unsorted Points SMC.301670_21L1_PEAK_HR,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1171,"",SMC.301670_21L1_PEAK_HR,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12526,2020-01-02T16:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:17.275-07:00 Los_Angeles,"",SMC.301670_21L1_PEAK_HR,✓,AV129,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301670_21L1_PK_HR_TL_15,Los_Angeles,kW,"","",2020-04-09T19:01:55.958Z UTC
@p:ubcv:r:249187a6-de2feb18 Chan Gunn Unsorted Points SMC.301536:AIR_TEMP_SP,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL959,✓,SMC.301536:AIR_TEMP_SP,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-11-26T09:45:02-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [186] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",15037,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:03.427-07:00 Los_Angeles,"",SMC.301536:AIR_TEMP_SP,✓,AI1,"","","",✓,"","","","","",✓,SMC.301536:AIR_TEMP_SP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.975Z UTC
@p:ubcv:r:249187a7-718aeeeb Chan Gunn Unsorted Points SMC.301542:AIR_TEMP_SP,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL965,✓,SMC.301542:AIR_TEMP_SP,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-07-08T12:15:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [172] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",2878,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:02.501-07:00 Los_Angeles,"",SMC.301542:AIR_TEMP_SP,✓,AI1,"","","",✓,"","","","","",✓,SMC.301542:AIR_TEMP_SP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.976Z UTC
@p:ubcv:r:25a29cb2-d5127e7b Chan Gunn Unsorted Points SMC.301670_21L1_KW_H,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1267,"",SMC.301670_21L1_KW_H,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12598,2020-01-02T04:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:17.294-07:00 Los_Angeles,"",SMC.301670_21L1_KW_H,✓,AV144,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301670_21L1_KW_H_TL_15,Los_Angeles,kWh,"","",2020-04-09T19:01:55.961Z UTC
@p:ubcv:r:2491879b-ec83ba50 Chan Gunn Unsorted Points SMC.301526:VLV_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL848,✓,SMC.301526:VLV_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-11-26T09:45:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [233] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",15039,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:02.956-07:00 Los_Angeles,"",SMC.301526:VLV_CMD,✓,AV21,"","","",✓,"","","","","",✓,SMC.301526:VLV_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.977Z UTC
@p:ubcv:r:2426bdf3-cbdfca69 Chan Gunn Unsorted Points Energy Rate,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL158,✓,SMC_PCHW_DP,BTU1 arena energy rate,@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",39310,2019-03-18T16:15:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:09.513-07:00 Los_Angeles,"",Arena Energy Rate,✓,AI1,"","","",✓,✓,"","","","",✓,Energy Rate,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_158,Los_Angeles,kPa,"","",2020-04-09T19:01:56.394Z UTC
@p:ubcv:r:2426d274-c0064328 Chan Gunn Unsorted Points SMC.301521:HEARTBEAT,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL789,✓,SMC.301521:HEARTBEAT,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","OFF,ON",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"","",11314,2019-03-20T19:20:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:07:15.516-07:00 Los_Angeles,"",SMC.301521:HEARTBEAT,✓,BO1008,"","","",✓,"","","","","",✓,SMC.301521:HEARTBEAT,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,"","","",2019-12-03T18:23:07.675Z UTC
@p:ubcv:r:24194e17-f46c708d Chan Gunn Unsorted Points SMC.301629_FAN_KWH,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL135,✓,SMC.301629_FAN_KWH,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T10:57:48-07:00 Los_Angeles,"","",48977,2019-03-16T23:39:55-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:07.21-07:00 Los_Angeles,"",SMC.301629_FAN_KWH,✓,AV47,"","","",✓,"","","","","",✓,SMC.301629_FAN_KWH,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_135,Los_Angeles,kWh,"","",2020-04-09T19:01:56.395Z UTC
@p:ubcv:r:2426d117-a7dd967c Chan Gunn Unsorted Points SMC_ELEC_KWH_JUL,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL407,✓,SMC_ELEC_KWH_JUL,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:30:08-07:00 Los_Angeles,"","",3719,2019-03-21T03:45:01-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:15.258-07:00 Los_Angeles,"",SMC.301500:SMC_ELEC_KWH_JUL,✓,AV56,"","","",✓,"","","","","",✓,SMC.301500:SMC_ELEC_KWH_JUL,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301500_TrendLog_407,Los_Angeles,kWh,"","",2020-04-09T19:01:55.965Z UTC
