id,air,alarm,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,chanGunnDeepDive,connRef,cur,curStatus,curVal,disMacro,disabled,discharge,elec,energy,enum,equipRef,frank,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,kind,lastSynced,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,shortName,siemens,siemensName,siteRef,sourceID,sqlConnRef,sqlPoint,tags,temp,tlName,tz,unit,utilityPoint,window,mod
@p:ubcv:r:25a29cb2-436087dd Chan Gunn Unsorted Points SMC.MF5.DEWPT.ALM,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1116,"",SMC.MF5.DEWPT.ALM,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","NORMAL,ALARM",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12945,2019-12-29T17:00:01-08:00 Los_Angeles,ok,"",Bool,2020-05-12T11:07:19.42-07:00 Los_Angeles,"",SMC.MF5.DEWPT.ALM,✓,BV5,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301500_TrendLog_1116,Los_Angeles,"","","",2020-02-12T22:12:48.064Z UTC
@p:ubcv:r:25a29cb2-348d4ead Chan Gunn Unsorted Points SMC_NATV-1-1_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1034,"",SMC_NATV-1-1_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12659,2020-01-01T16:15:00-08:00 Los_Angeles,ok,"",Bool,2020-05-12T11:07:19.442-07:00 Los_Angeles,"",SMC_NATV-1-1_CMD,✓,BO0,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301539:FAN_CMD_TL_15,Los_Angeles,"","","",2020-02-12T22:08:32.457Z UTC
@p:ubcv:r:249187a4-0aa8d57a Chan Gunn Unsorted Points SMC.301538:AIR_TEMP,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL936,✓,SMC.301538:AIR_TEMP,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-11-26T09:45:02-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [150] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",15037,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:03.646-07:00 Los_Angeles,"",SMC.301538:AIR_TEMP,✓,AI2,"","","",✓,"","","","","",✓,SMC.301538:AIR_TEMP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.244Z UTC
@p:ubcv:r:24194e17-e41fd1b7 Chan Gunn Unsorted Points SMC_PHWS_P-2_KWH,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL141,✓,SMC_PHWS_P-2_KWH,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-04-22T10:58:16-07:00 Los_Angeles,"","",1244,2019-05-03T08:13:35-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:06.431-07:00 Los_Angeles,"",SMC_PHWS_P-2_KWH,✓,AV52,"","","",✓,"","","","","",✓,SMC_PHWS_P-2_KWH,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_141,Los_Angeles,kWh,"","",2020-04-09T19:01:56.537Z UTC
@p:ubcv:r:24919008-fafe874e Chan Gunn Unsorted Points 12_VLV_CMD,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL256,✓,SMC_ATR_EF-11_CMD,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","OFF,ON",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31952,2019-06-08T15:15:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:09:09.375-07:00 Los_Angeles,"",12_VLV_CMD,✓,BO3,"","","",✓,"","","","","",✓,12_VLV_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_256,Los_Angeles,"","","",2020-02-12T22:08:09.231Z UTC
@p:ubcv:r:25a29cb2-e86093b4 Chan Gunn Unsorted Points SMC.301538_FAN_KWH,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1220,"",SMC.301538_FAN_KWH,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12526,2020-01-02T16:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:19.476-07:00 Los_Angeles,"",SMC.301538_FAN_KWH,✓,AV40,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301538_FAN_KWH_TL_15,Los_Angeles,kWh,"","",2020-04-09T19:01:56.179Z UTC
@p:ubcv:r:25a29cb2-f32f1c7a Chan Gunn Unsorted Points SMC.301521_FAN_KWH,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1237,"",SMC.301521_FAN_KWH,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12526,2020-01-02T16:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:19.51-07:00 Los_Angeles,"",SMC.301521_FAN_KWH,✓,AV23,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301521_FAN_KWH_TL_15,Los_Angeles,kWh,"","",2020-04-09T19:01:56.181Z UTC
@p:ubcv:r:241431a6-42e43cc5 Chan Gunn Unsorted Points SMC_ELEC_KWH_OCT,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1620,✓,SMC_ELEC_KWH_OCT,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [13] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",12770,2019-03-06T15:15:00-08:00 Los_Angeles,fault,"",Number,2020-05-11T09:50:28.12-07:00 Los_Angeles,"",SMC_ELEC_KWH_OCT,✓,AV59,"","","",✓,"","","","",SMC_ELEC_KWH_OCT,✓,SMC_ELEC_KWH_OCT,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.246Z UTC
@p:ubcv:r:24194e17-9107cb26 Chan Gunn Unsorted Points SMC_PHWS_DIF_PRES_SP,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL78,✓,SMC_PHWS_DIF_PRES_SP,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-04-20T15:38:00-07:00 Los_Angeles,"","",21,2019-04-08T08:51:10-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:06.233-07:00 Los_Angeles,"",SMC_PHWS_DIF_PRES_SP,✓,AV14,"","","",✓,"","","","","",✓,SMC_PHWS_DIF_PRES_SP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC_PHWS_DIF_PRES_SP_TL_COV,Los_Angeles,kPa,"","",2020-04-09T19:01:56.384Z UTC
@p:ubcv:r:25a29cb2-bbd2708d Chan Gunn Unsorted Points SMC.301515_TF-1_KWH,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1243,"",SMC.301515_TF-1_KWH,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12526,2020-01-02T16:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:19.569-07:00 Los_Angeles,"",SMC.301515_TF-1_KWH,✓,AV17,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301515_TF-1_KWH_TL_15,Los_Angeles,kWh,"","",2020-04-09T19:01:56.183Z UTC
