id,ahu,air,average,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,bypass,chilled,chiller,close,cmd,co2,condenser,connRef,cool,cooling,coolingTower,covTest,cur,curConvert,curStatus,curVal,custom,damper,delta,deltaTempPoint,differential,disMacro,disabled,discharge,district,effective,efficiency,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,groupRef,heat,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidifier,humidity,kind,lastSynced,lastTagged,leaving,load,lowLim,max,min,mixed,moaAHU_CMD,moaAHU_SA,moaAHU_SP,moaSteam,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,open,outside,point,pointRef,pointType,power,preFilter,pressure,primaryLoop,ptTest,pump,quantityID,return,roomRef,run,runtime,secondaryLoop,sensor,setpointRef,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,tags,temp,testUnits,tlName,tz,unit,utilityPoint,valve,vavMode,water,zone,mod
@p:ubcv:r:236b8142-8506754a MOA AHU-03 AHU03S_RVN_RT,"",✓,"",✓,@p:ubcv:r:236b6da0-e08e245c MOA 570.0 MOA_AHU3 (510300),"",TL36,✓,AHU03S_RVN_RT,"","","","","","","","",@p:ubcv:r:236b6da0-e08e245c MOA 570.0 MOA_AHU3 (510300),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:23777bc2-206f0665 MOA AHU-03,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",81346,2018-10-25T16:10:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:45:52.586-07:00 Los_Angeles,2020-04-08T11:37:14.546-07:00 Los_Angeles,"","","","","","","","","","","",Zone Temp,"",AI301,"","","","","","",✓,"","","","","","","","","","","","","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"",AHU03S_RVN_RT_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:58.719Z UTC
@p:ubcv:r:236b8118-0551dcf5 MOA Rm 160 VAV-20-02 VAV_20_02_RT_RM160_Test_TL,"","","","",@p:ubcv:r:236b7695-2f58e445 MOA MOA_VAV_20_02_RM160 (512002),"",TL16,✓,VAV_20_02_RT_RM160_Test_TL,"","","","","","","","",@p:ubcv:r:236b7695-2f58e445 MOA MOA_VAV_20_02_RM160 (512002),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:237794a4-86ac91dc MOA Rm 160 VAV-20-02,✓,"","","","","",@p:ubcv:r:237794a4-65cdf3e9 MOA Floor 1,"","","",✓,"","","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",27095,2018-10-25T16:30:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:41:23.46-07:00 Los_Angeles,2018-11-28T16:32:31.86-08:00 Los_Angeles,"","","","","","","","","","","",VAV_20_02_RT_RM160_Test_TL,✓,"","","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:237794a4-79a685eb MOA Rm 160,"","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","","",Los_Angeles,_,"","","","","",2020-04-09T19:15:04.079Z UTC
@p:ubcv:r:236b7fd8-40a1890c MOA Rm 221B VAV-221B VAV221B_RT_SP,"",✓,"","",@p:ubcv:r:236b774d-0bb2b9e2 MOA MOA_VAV221B_RM221B (512209),"",TL2,✓,VAV221B_RT_SP,"","","","","","","","",@p:ubcv:r:236b774d-0bb2b9e2 MOA MOA_VAV221B_RM221B (512209),"","","","","","","","","","","","","",$equipRef $bmsName,"","","",✓,"","","","","","","","",@p:ubcv:r:23778c9a-9b0706fc MOA Rm 221B VAV-221B,✓,"","","","","",@p:ubcv:r:23778c9a-08edf20c MOA Floor 2,"","","",✓,"","","",2020-05-12T15:43:32-07:00 Los_Angeles,"","","",80550,2018-10-29T06:30:06-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:50:42.771-07:00 Los_Angeles,2019-01-23T16:53:10.611-08:00 Los_Angeles,"","","","","","","","","","","",Zone Temp Effective Sp,"",AV6,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:23778c9a-6fc656cd MOA Rm 221B,"","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"",✓,"","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"",✓,"",VAV221B_RT_SP_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:59.755Z UTC
@p:ubcv:r:236b7e4e-5c79fb46 MOA Rm 223A FC-05 FC05_RM223A_RT,"",✓,"","",@p:ubcv:r:236b7bdf-fce148f6 MOA MOA_FC05_RM223A (512285),"",TL91,✓,FC05_RM223A_RT,"","","","","","","","",@p:ubcv:r:236b7bdf-fce148f6 MOA MOA_FC05_RM223A (512285),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:2378725b-fd28db5a MOA Rm 223A FC-05,✓,"","","","","",@p:ubcv:r:23778c9a-08edf20c MOA Floor 2,"","","",✓,"","","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",27102,2018-10-25T16:00:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:48:06.046-07:00 Los_Angeles,2018-11-28T16:33:02.439-08:00 Los_Angeles,"","","","","","","","","","","",Zone Temp,"",AI101,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:2378725b-837e673f MOA Rm 223A,"","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"",FC05_RT_Test_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:59.942Z UTC
@p:ubcv:r:236b813f-720f2ace MOA AHU-04 AHU04_DSP,"",✓,"","",@p:ubcv:r:236b6da0-c1c0b380 MOA 570.0 MOA_AHU4 (510400),"",TL29,✓,AHU04_DSP,"","","","","","","","",@p:ubcv:r:236b6da0-c1c0b380 MOA 570.0 MOA_AHU4 (510400),"","","","","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","","","","","",@p:ubcv:r:23777bc2-58680381 MOA AHU-04,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",81345,2018-10-25T16:00:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:45:13.957-07:00 Los_Angeles,2019-01-23T16:53:22.129-08:00 Los_Angeles,"","","","","","","","","","","",Discharge Air Static Pressure,"",AI101,"","","","","","",✓,"","","","",✓,"","","","","","","","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","",✓,@p:ubcv:r:2413228e-d67903e1 (.+_)?AHU_?\d+\w?(_\d+\w?)?_DSP(_AV)?(_TL)?,"","","",AHU04_DSP_TL,Los_Angeles,Pa,"","","","","",2020-04-09T19:01:58.761Z UTC
@p:ubcv:r:236b80d2-704d6aff MOA AHU-21B AHU21B_RAT_SP,"","","","",@p:ubcv:r:236b6da0-8ac80add MOA 570.0 MOA_AHU21A_AHU21B (512100),"",TL56,✓,AHU21B_RAT_SP,"","","","","","","","",@p:ubcv:r:236b6da0-8ac80add MOA 570.0 MOA_AHU21A_AHU21B (512100),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:23777bc2-6e9e0523 MOA AHU-21B,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:42:40-07:00 Los_Angeles,"","","",80596,2018-10-29T06:56:11-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:45:17.161-07:00 Los_Angeles,2019-01-23T16:53:02.183-08:00 Los_Angeles,"","","","","","","","","","","",AHU21B_RAT_SP,✓,AV42,"","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","",AHU21B_RAT_SP_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:01:59.503Z UTC
@p:ubcv:r:236b8146-721ff822 MOA AHU-02 AHU02_RH2_SP,"","","","",@p:ubcv:r:236b6b91-6388f04f MOA 570.0 MOA_AHU2 (510200),"",TL39,✓,AHU02_RH2_SP,"","","","","","","","",@p:ubcv:r:236b6b91-6388f04f MOA 570.0 MOA_AHU2 (510200),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:23777bc2-6fa16081 MOA AHU-02,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",54941,2018-10-25T16:10:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:45:52.057-07:00 Los_Angeles,2018-11-28T16:32:52.574-08:00 Los_Angeles,"","","","","","","","","","","",AHU02_RH2_SP,✓,AV46,"","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","",AHU02_RH2_SP_TL,Los_Angeles,%,"","","","","",2020-04-09T19:01:58.683Z UTC
@p:ubcv:r:236b8bda-0737bd53 MOA AHU-10 AHU10_AVG_ZONE_RT,"",✓,"",✓,@p:ubcv:r:21c2dd6d-f2181485 MOA AHU-10 (510900),"",TL5,✓,AHU10_AVG_ZONE_RT,"","","","","","","","",@p:ubcv:r:21c2dd6d-f2181485 MOA AHU-10 (510900),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:23777bc2-d94ebc40 MOA AHU-10,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:34:02-07:00 Los_Angeles,"","","",81000,2018-10-27T21:09:56-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:38:52.517-07:00 Los_Angeles,2020-05-07T05:20:51.762-07:00 Los_Angeles,"","","","","","","","","","","",Average Zone Temp,"",AV22,"","","","","","",✓,"","","","","","","","","","","","","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"",AHU10_RT_TL,Los_Angeles,°C,"","","","",✓,2020-05-07T12:20:51.764Z UTC
@p:ubcv:r:236b7e7a-24d730ae MOA Rm 225 FC-03 FC03_RH_SP,"",✓,"","",@p:ubcv:r:236b7bdf-ac3fefc3 MOA MOA_FC03_RM225 (512283),"",TL4,✓,FC03_RH_SP,"","","","","","","","",@p:ubcv:r:236b7bdf-ac3fefc3 MOA MOA_FC03_RM225 (512283),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:2378725b-e7781f12 MOA Rm 225 FC-03,✓,"","","","","",@p:ubcv:r:23778c9a-08edf20c MOA Floor 2,"","","",✓,"","","",2020-05-12T15:50:00-07:00 Los_Angeles,"","","",80985,2018-10-27T20:50:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:50:40.516-07:00 Los_Angeles,2019-01-23T16:52:49.247-08:00 Los_Angeles,"","","","","","","","","","","",Zone Relative Humidity Sp,"",AV14,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:2378725b-ddca7757 MOA Rm 225,"","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"",✓,"","","","",@p:ubcv:r:23e65d0f-21ed9a49 .+_RH_SP(_TL)?,"","",✓,FC03_RH_SP_TL,Los_Angeles,%,"","","","",✓,2020-04-21T20:16:02.021Z UTC
@p:ubcv:r:236b8063-107f8081 MOA Rm 219 VAV-219 VAV219_RT_SP,"",✓,"","",@p:ubcv:r:236b774d-b0c4e8cd MOA MOA_VAV219_RM219 (512203),"",TL2,✓,VAV219_RT_SP,"","","","","","","","",@p:ubcv:r:236b774d-b0c4e8cd MOA MOA_VAV219_RM219 (512203),"","","","","","","","","","","","","",$equipRef $bmsName,"","","",✓,"","","","","","","","",@p:ubcv:r:23778fc3-4fee2065 MOA Rm 219 VAV-219,✓,"","","","","",@p:ubcv:r:23778c9a-08edf20c MOA Floor 2,"","","",✓,"","","",2020-05-12T15:32:43-07:00 Los_Angeles,"","","",80539,2018-10-29T06:29:17-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:38:59.464-07:00 Los_Angeles,2019-01-23T16:52:59.578-08:00 Los_Angeles,"","","","","","","","","","","",Zone Temp Effective Sp,"",AV6,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:23778fc3-1b411fde MOA Rm 219,"","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"",✓,"","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"",✓,"",VAV219_RT_SP_TL,Los_Angeles,°C,"","","","",✓,2020-05-12T11:03:25.379Z UTC
@p:ubcv:r:226ba096-206a0c21 MOA Unsorted Points CT_AIRBAG_S,"","","","",@p:ubcv:r:209295c0-f122b38e MOA Cooling Tower (513100),"",TL27,✓,CT_AIRBAG_S,"","","","","","","","",@p:ubcv:r:209295c0-f122b38e MOA Cooling Tower (513100),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:22ad7d9a-944f05af MOA Unsorted Points,✓,"","","","","",@p:ubcv:r:22ad7d9a-af0c2b15 MOA Unsorted Points,"","","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",108987,2018-04-16T17:20:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:46:22.942-07:00 Los_Angeles,2018-11-28T16:32:38.026-08:00 Los_Angeles,"","","","","","","","","","","",CT_AIRBAG_S,✓,AI7,"","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","",CT_AIRBAG_S_TL,Los_Angeles,psi,"","","","","",2020-04-09T19:02:00.292Z UTC
@p:ubcv:r:236bab19-cc589268 MOA Cooling Plant HRC HRC_CW_DP,"","","","",@p:ubcv:r:22ad79dc-291f7880 MOA 570.0 MOA_B1_B2_B3_HRC (511100),"",TL115,✓,HRC_CW_DP,"","",✓,"","","","","",@p:ubcv:r:22ad79dc-291f7880 MOA 570.0 MOA_B1_B2_B3_HRC (511100),"","","",✓,"","","","","","",✓,"",✓,$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:237892eb-b9bdf3f9 MOA Cooling Plant HRC,✓,"","","","","",@p:ubcv:r:216983cb-5b526e52 MOA Hydronic Systems,"","","",✓,"","","",2020-05-12T12:54:29-07:00 Los_Angeles,"","",cov,350008,2018-10-30T12:08:39-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:45:54.542-07:00 Los_Angeles,2019-01-23T16:53:25.54-08:00 Los_Angeles,"","","","","","","","","","","",Chilled Water Differential Pressure,"",AI104,"","","","","","",✓,"","","","",✓,"","","","","","","","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:23e65d0e-49d0a83e .+_CW_DP(_TL)?,"","","",HRC_CW_DP_COV_TL,Los_Angeles,psi,"","","",✓,"",2020-04-09T19:01:59.189Z UTC
@p:ubcv:r:236b7e5e-20278b25 MOA Rm 230 FC-04 FC04_Dehumification,"","","","",@p:ubcv:r:236b7bdf-574c80bb MOA MOA_FC04_RM230 (512284),"",TL10,✓,FC04_Dehumification,"","","","","","","","",@p:ubcv:r:236b7bdf-574c80bb MOA MOA_FC04_RM230 (512284),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","OFF,ON","",@p:ubcv:r:2378725b-6b356313 MOA Rm 230 FC-04,✓,"","","","","",@p:ubcv:r:23778c9a-08edf20c MOA Floor 2,"","","",✓,"","","","","","","","","",ok,"","","","",Bool,2020-05-12T15:48:04.513-07:00 Los_Angeles,2018-11-28T16:32:33.791-08:00 Los_Angeles,"","","","","","","","","","","",FC04_Dehumification,✓,BV12,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:2378725b-d619c698 MOA Rm 230,"","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","",FC04_Dehumification_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:19.289Z UTC
@p:ubcv:r:236bab26-54fd219e MOA Unsorted Points OAT_4H_Avg_TL,"","","","",@p:ubcv:r:21c2d23f-8b6d9816 MOA DES HEX (511000),"",TL6,✓,OAT_4H_Avg_TL,"","","","","","","","",@p:ubcv:r:21c2d23f-8b6d9816 MOA DES HEX (511000),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:22ad7d9a-944f05af MOA Unsorted Points,✓,"","","","","",@p:ubcv:r:22ad7d9a-af0c2b15 MOA Unsorted Points,"","","",✓,"","","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",27114,2018-10-25T17:00:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:38:52.642-07:00 Los_Angeles,2018-11-28T16:32:45.763-08:00 Los_Angeles,"","","","","","","","","","","",OAT_4H_Avg_TL,✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","","",Los_Angeles,_,"","","","","",2020-04-09T19:15:03.935Z UTC
@p:ubcv:r:21c334a2-4e198e1f MOA DES Connection 570_HEX_VLV_FB,"","","","",@p:ubcv:r:21c2d23f-8b6d9816 MOA DES HEX (511000),"",TL34,✓,570_HEX_VLV_FB,"","","","","","","","",@p:ubcv:r:21c2d23f-8b6d9816 MOA DES HEX (511000),"","","","","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","","","","",@p:ubcv:r:2634cb0c-4ba26cc7 MOA DES Connection,✓,"","","","","",@p:ubcv:r:216983cb-5b526e52 MOA Hydronic Systems,"","","",✓,"","","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",84856,2017-12-09T15:30:00-08:00 Los_Angeles,ok,"",✓,"","",Number,2020-05-12T15:38:54.741-07:00 Los_Angeles,2018-11-28T16:32:51.056-08:00 Los_Angeles,"","","","","","","","","","","",Valve Feedback,"",AI11,"","","","","","",✓,"","","","","",✓,"","","","","","","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:24009805-25d314c9 .+_HE?X?(_\d+[A-Z]?)?_VLV_FB(_TL)?,"","","",570_HEX_VLV_FB_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-23T21:56:11.229Z UTC
@p:ubcv:r:236b80d2-b1375384 MOA AHU-21A AHU21A_RAT,"",✓,"","",@p:ubcv:r:236b6da0-8ac80add MOA 570.0 MOA_AHU21A_AHU21B (512100),"",TL4,✓,AHU21A_RAT,"","","","","","","","",@p:ubcv:r:236b6da0-8ac80add MOA 570.0 MOA_AHU21A_AHU21B (512100),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:23777bc2-a8210de3 MOA AHU-21A,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:41:51-07:00 Los_Angeles,"","","",80599,2018-10-29T06:36:09-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:45:13.552-07:00 Los_Angeles,2019-01-23T16:53:12.338-08:00 Los_Angeles,"","","","","","","","","","","",Return Air Temp,"",AI101,"","","","","","",✓,"","","","","","","","","",✓,"","","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:23e65d0f-3b2d274c .+_RAT(_TL)?,"",✓,"",AHU21A_RAT_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:01:59.506Z UTC
@p:ubcv:r:236b7ef8-66b31b7f MOA Rm 245F VAV-245F VAV245F_DP,"",✓,"","",@p:ubcv:r:236b774e-5037ea57 MOA MOA_VAV245F_RM245F (512219),"",TL5,✓,VAV245F_DP,"","","","","","","","",@p:ubcv:r:236b774e-5037ea57 MOA MOA_VAV245F_RM245F (512219),"","","","","","","","","","",✓,"",✓,$equipRef $bmsName,"",✓,"","","","","","","","","","",@p:ubcv:r:23778c9a-81283003 MOA Rm 245F VAV-245F,✓,"","","","","",@p:ubcv:r:23778c9a-08edf20c MOA Floor 2,"","","",✓,"","","",2020-05-12T15:42:08-07:00 Los_Angeles,"","","",80544,2018-10-29T06:08:54-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:47:01.803-07:00 Los_Angeles,2019-04-11T16:04:14.024-07:00 Los_Angeles,"","","","","","","","","","","",Discharge Air Differential Pressure,"",AI5,"","","","","","",✓,"","","","",✓,"","","","","",@p:ubcv:r:23778c9a-cb04899d MOA Rm 245F,"","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:23e65d0e-247ed83f (.+_)?VAV(_)?\w?\d+\w?(_.+)?_DP(_TL)?,"","","",VAV245F_DP_TL,Los_Angeles,Pa,"","","","","",2020-04-09T19:01:59.864Z UTC
@p:ubcv:r:26173149-cea02120 MOA Unsorted Points VAV221C_RT_CO_TL,"","","","",@p:ubcv:r:236b774d-6c8422b0 MOA MOA_VAV221C_RM221C (512210),"",TL11,"",VAV221C_RT_CO_TL,"","","","","","","","",@p:ubcv:r:236b774d-6c8422b0 MOA MOA_VAV221C_RM221C (512210),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:22ad7d9a-944f05af MOA Unsorted Points,✓,"","","","","",@p:ubcv:r:22ad7d9a-af0c2b15 MOA Unsorted Points,"","","",✓,"","","","","folio::HisConfigErr: Missing 'kind' tag [@p:ubcv:r:26173149-cea02120 ""MOA Unsorted Points VAV221C_RT_CO_TL""]","","","","",fault,"","","","","",2020-05-12T15:03:34.062-07:00 Los_Angeles,"","","","","","","","","","","","",VAV221C_RT_CO_TL,✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","",VAV221C_RT_CO_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:56.304Z UTC
@p:ubcv:r:236b7f77-9ec18e16 MOA Rm 233 VAV-233 VAV233_DMP,"",✓,"","",@p:ubcv:r:236b774e-4baaec05 MOA MOA_VAV233_RM233 (512213),"",TL6,✓,VAV233_DMP,"","","","","",✓,"","",@p:ubcv:r:236b774e-4baaec05 MOA MOA_VAV233_RM233 (512213),"","","","","","","","","",✓,"","","",$equipRef $bmsName,"",✓,"","","","","","","","","","",@p:ubcv:r:23778c9a-aae82f24 MOA Rm 233 VAV-233,✓,"","","","","",@p:ubcv:r:23778c9a-08edf20c MOA Floor 2,"","","",✓,"","","",2020-05-12T15:44:02-07:00 Los_Angeles,"","","",78702,2018-10-29T06:38:29-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:49:32.16-07:00 Los_Angeles,2019-04-11T16:04:14.072-07:00 Los_Angeles,"","","","","","","","","","","",Discharge Air Damper Cmd,"",AV16,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:23778c9a-0f615edb MOA Rm 233,"","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:23e65d0e-f295c554 (.+_)?VAV.+_DMP(_TL)?,"","","",VAV233_DMP_TL,Los_Angeles,%,"","","","","",2020-04-30T11:04:26.508Z UTC
@p:ubcv:r:236b8bda-552499c0 MOA Rm 250B RCU ZONE3_RH_SP,"",✓,"","",@p:ubcv:r:21c2dd6d-f2181485 MOA AHU-10 (510900),"",TL68,✓,ZONE3_RH_SP,"","","","","","","","",@p:ubcv:r:21c2dd6d-f2181485 MOA AHU-10 (510900),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:23787d95-4ab2823f MOA Rm 250B RCU,✓,"","","","","",@p:ubcv:r:23778c9a-08edf20c MOA Floor 2,"","","",✓,"","","",2020-05-12T15:35:33-07:00 Los_Angeles,"","","",80999,2018-10-27T21:30:16-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:39:00.072-07:00 Los_Angeles,2019-01-23T16:53:10.52-08:00 Los_Angeles,"","","","","","","","","","","",Zone Relative Humidity Sp,"",AV65,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:23787d95-b8473053 MOA Rm 250B,"","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"",✓,"","","","",@p:ubcv:r:23e65d0f-21ed9a49 .+_RH_SP(_TL)?,"","","",ZONE3_RH_SP_TL,Los_Angeles,%RH,"","","","",✓,2020-04-09T19:01:58.797Z UTC
@p:ubcv:r:26173177-89b4bb15 MOA Rm 245F VAV-245F VAV245F_MO_OCC,"","","","",@p:ubcv:r:236b774e-5037ea57 MOA MOA_VAV245F_RM245F (512219),"",TL14,"",VAV245F_MO_OCC,"","","","","","","","",@p:ubcv:r:236b774e-5037ea57 MOA MOA_VAV245F_RM245F (512219),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","OFF,ON","",@p:ubcv:r:23778c9a-81283003 MOA Rm 245F VAV-245F,✓,"","","","","",@p:ubcv:r:23778c9a-08edf20c MOA Floor 2,"","","",✓,"","","",2020-04-28T10:03:44-07:00 Los_Angeles,"","","",4,2020-04-19T14:33:34-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T15:46:59.456-07:00 Los_Angeles,"","","","","","","","","","","","",Occupancy Sensor,"",BV2,✓,"","","","","",✓,"","","","","","","","","","","","","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:23e65d0e-88249056 .+_OCC(_BV)?(_TL)?,"","","",VAV245F_MO_OCC_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:36.621Z UTC
@p:ubcv:r:236b8129-340a9324 MOA AHU-20A AHU20A_RADFB,"",✓,"","",@p:ubcv:r:236b6da0-781aec0f MOA 570.0 MOA_AHU20A_AHU20B (512000),"",TL7,✓,AHU20A_RADFB,"","","","","","","","",@p:ubcv:r:236b6da0-781aec0f MOA 570.0 MOA_AHU20A_AHU20B (512000),"","","","","","","","","",✓,"","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:23777bc2-e5140218 MOA AHU-20A,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:42:41-07:00 Los_Angeles,"","","",80553,2018-10-29T06:38:12-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:45:52.91-07:00 Los_Angeles,2019-01-23T16:52:48.954-08:00 Los_Angeles,"","","","","","","","","","","","Return Air Damper ","",AI7,"","","","","","",✓,"","","","","","","","","",✓,"","","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:254a29d7-4a60aca8 .+_RADFB(_TL)?,"","","",AHU20A_RADFB_TL,Los_Angeles,%,"","","","","",2020-04-09T19:01:59.352Z UTC
