id,ahu,air,average,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,bypass,chilled,chiller,close,cmd,co2,condenser,connRef,cool,cooling,coolingTower,covTest,cur,curConvert,curStatus,curVal,custom,damper,delta,deltaTempPoint,differential,disMacro,disabled,discharge,district,effective,efficiency,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,groupRef,heat,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidifier,humidity,kind,lastSynced,lastTagged,leaving,load,lowLim,max,min,mixed,moaAHU_CMD,moaAHU_SA,moaAHU_SP,moaSteam,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,open,outside,point,pointRef,pointType,power,preFilter,pressure,primaryLoop,ptTest,pump,quantityID,return,roomRef,run,runtime,secondaryLoop,sensor,setpointRef,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,tags,temp,testUnits,tlName,tz,unit,utilityPoint,valve,vavMode,water,zone,mod
@p:ubcv:r:236b80d2-930090fc MOA AHU-21B AHU21B_RAT,"",✓,"","",@p:ubcv:r:236b6da0-8ac80add MOA 570.0 MOA_AHU21A_AHU21B (512100),"",TL44,✓,AHU21B_RAT,"","","","","","","","",@p:ubcv:r:236b6da0-8ac80add MOA 570.0 MOA_AHU21A_AHU21B (512100),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:23777bc2-6e9e0523 MOA AHU-21B,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:42:40-07:00 Los_Angeles,"","","",80598,2018-10-29T06:56:23-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:45:17.584-07:00 Los_Angeles,2019-01-23T16:53:18.707-08:00 Los_Angeles,"","","","","","","","","","","",Return Air Temp,"",AI115,"","","","","","",✓,"","","","","","","","","",✓,"","","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:23e65d0f-3b2d274c .+_RAT(_TL)?,"",✓,"",AHU21B_RAT_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:01:59.555Z UTC
@p:ubcv:r:226ba096-249174b7 MOA Unsorted Points CT_ENABLE,"","","","",@p:ubcv:r:209295c0-f122b38e MOA Cooling Tower (513100),"",TL9,✓,CT_ENABLE,"","","","","","","","",@p:ubcv:r:209295c0-f122b38e MOA Cooling Tower (513100),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","OFF,ON","",@p:ubcv:r:22ad7d9a-944f05af MOA Unsorted Points,✓,"","","","","",@p:ubcv:r:22ad7d9a-af0c2b15 MOA Unsorted Points,"","","",✓,"","","",2020-04-20T07:53:47-07:00 Los_Angeles,"","","",166,2017-06-16T11:23:34-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T15:46:21.569-07:00 Los_Angeles,2018-11-28T16:32:30.151-08:00 Los_Angeles,"","","","","","","","","","","",CT_ENABLE,✓,BV11,"","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","",CT_ENABLE_TL,Los_Angeles,"","","","","","",2020-04-08T18:52:25.043Z UTC
@p:ubcv:r:236b800c-07f9393a MOA Rm 220 VAV-220 VAV220_DMP_OPEN,"",✓,"","",@p:ubcv:r:236b774d-371ada97 MOA MOA_VAV220_RM220 (512207),"",TL92,✓,VAV220_DMP_OPEN,"","","","","",✓,"","",@p:ubcv:r:236b774d-371ada97 MOA MOA_VAV220_RM220 (512207),"","","","","","","","","",✓,"","","",$equipRef $bmsName,"","","","","","","","","","","OFF,ON","",@p:ubcv:r:23778c9a-2a8bf13e MOA Rm 220 VAV-220,✓,"","","","","",@p:ubcv:r:23778c9a-08edf20c MOA Floor 2,"","","",✓,"","","",2020-05-12T15:22:57-07:00 Los_Angeles,"","","",27131,2018-10-29T09:42:13-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T15:50:41.174-07:00 Los_Angeles,2018-11-28T16:32:39.648-08:00 Los_Angeles,"","","","","","","","","","","",Discharge Air Damper Open Cmd,"",BO6,"","","","",✓,"",✓,"","","","","","","","","","",@p:ubcv:r:23778c9a-00b30ed7 MOA Rm 220,"","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:2412ca3a-8dd923d8 .+_DMP_OPEN(_TL)?,"","","",VAV220_Dmp_Open_TL*,Los_Angeles,"","","","","","",2020-04-08T18:54:52.525Z UTC
@p:ubcv:r:236b80f5-a6fdad12 MOA Rm 137 VAV-20-05 VAV_20_05_SA_RH,"","","","",@p:ubcv:r:236b7695-95f43b8b MOA MOA_VAV_20_05_RM137 (512005),"",TL13,✓,VAV_20_05_SA_RH,"","","","","","","","",@p:ubcv:r:236b7695-95f43b8b MOA MOA_VAV_20_05_RM137 (512005),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:237794a4-4479e270 MOA Rm 137 VAV-20-05,✓,"","","","","",@p:ubcv:r:237794a4-65cdf3e9 MOA Floor 1,"","","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",80971,2018-10-27T21:30:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:44:38.685-07:00 Los_Angeles,2019-04-11T16:04:13.528-07:00 Los_Angeles,"","","","","","","","","","","",VAV_20_05_SA_RH,✓,AI2,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:237794a4-f4354d5a MOA Rm 137,"","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","",VAV_20_05_SAH_TL,Los_Angeles,%RH,"","","","","",2020-04-09T19:01:59.473Z UTC
@p:ubcv:r:25d00e40-7be36b58 MOA AHU-20B AHU20B_MAD_MIN,"","","","",@p:ubcv:r:236b6da0-781aec0f MOA 570.0 MOA_AHU20A_AHU20B (512000),"",TL40,"",AHU20B_MAD_MIN,"","","","","","","","",@p:ubcv:r:236b6da0-781aec0f MOA 570.0 MOA_AHU20A_AHU20B (512000),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:23777bc2-7f0b4e45 MOA AHU-20B,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",9363,2020-02-05T02:15:00-08:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:45:52.173-07:00 Los_Angeles,"","","","","","","","","","","","",AHU20B_MAD_MIN,✓,AV49,"","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","",AHU20B_MAD_MIN_TL,Los_Angeles,%,"","","","","",2020-04-09T19:01:59.4Z UTC
@p:ubcv:r:22ad7bbb-22e32239 MOA Cooling Plant HRC HRC_PRI_LOOP_FLW_SAFETY,"","","","",@p:ubcv:r:22ad79dc-291f7880 MOA 570.0 MOA_B1_B2_B3_HRC (511100),"",TL103,✓,HRC_PRI_LOOP_FLW_SAFETY,"","","","","","","","",@p:ubcv:r:22ad79dc-291f7880 MOA 570.0 MOA_B1_B2_B3_HRC (511100),"","","",✓,"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","OFF,ON","",@p:ubcv:r:237892eb-b9bdf3f9 MOA Cooling Plant HRC,✓,"","","","","",@p:ubcv:r:216983cb-5b526e52 MOA Hydronic Systems,"","","",✓,"","","",2020-04-20T07:54:40-07:00 Los_Angeles,"","",cov,8556,2018-06-07T10:47:56-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T15:45:52.811-07:00 Los_Angeles,2018-11-28T16:32:36.961-08:00 Los_Angeles,"","","","","","","","","","","",HRC_PRI_LOOP_FLW_SAFETY,✓,BV51,"","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","",HRC_PRI_LOOP_FLW_SAFETY_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:49:22.283Z UTC
@p:ubcv:r:25c2e01a-167f3b17 MOA Unsorted Points AHU24B_STEAM_INTLK,"","","","",@p:ubcv:r:236b6da0-4ed4ef1e MOA 570.0 MOA_AHU24A_AHU24B (512400),"",TL58,"",AHU24B_STEAM_INTLK,"","","","","","","","",@p:ubcv:r:236b6da0-4ed4ef1e MOA 570.0 MOA_AHU24A_AHU24B (512400),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","OFF,ON","",@p:ubcv:r:22ad7d9a-944f05af MOA Unsorted Points,✓,"","","","","",@p:ubcv:r:22ad7d9a-af0c2b15 MOA Unsorted Points,"","","",✓,"","","",2020-05-11T22:39:08-07:00 Los_Angeles,"","","",155,2020-01-27T14:52:06-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T15:44:31.714-07:00 Los_Angeles,"","","","","","","","","","","","",AHU24B_STEAM_INTLK,✓,BI116,"","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","",AHU24B_STEAM_INTLK_TL,Los_Angeles,"","","","","","",2020-04-08T18:54:30.318Z UTC
@p:ubcv:r:236b80aa-b4e38764 MOA Rm 136A VAV-21-04 VAV_21_04_FLW,"",✓,"","",@p:ubcv:r:236b7b54-d18bc410 MOA MOA_VAV_21_04_RM136A (512104),"",TL3,✓,VAV_21_04_FLW,"","","","","","","","",@p:ubcv:r:236b7b54-d18bc410 MOA MOA_VAV_21_04_RM136A (512104),"","","","","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","","","","","",@p:ubcv:r:237794a4-312c7923 MOA Rm 136A VAV-21-04,✓,"","","","",✓,@p:ubcv:r:237794a4-65cdf3e9 MOA Floor 1,"","","",✓,"","","",2020-05-12T15:41:32-07:00 Los_Angeles,"","","",80967,2018-10-27T21:16:05-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:45:22.063-07:00 Los_Angeles,2019-04-11T16:04:13.551-07:00 Los_Angeles,"","","","","","","","","","","",Discharge Air Flow,"",AV18,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:237794a4-a4170f36 MOA Rm 136A,"","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:23e65d0e-9b79f931 (.+_)?VAV.+_FLW(_TL)?,"","","",VAV_21_04_FLW_TL,Los_Angeles,L/s,"","","","","",2020-04-09T19:01:59.615Z UTC
@p:ubcv:r:236b8c57-3537b2f1 MOA AHU-22 AHU22_CO2_SP,"",✓,"","",@p:ubcv:r:217bb524-39daded8 MOA AHU-22 (512200),"",TL19,✓,AHU22_CO2_SP,"","","","","","",✓,"",@p:ubcv:r:217bb524-39daded8 MOA AHU-22 (512200),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:23777bc2-c5fff587 MOA AHU-22,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:46:34-07:00 Los_Angeles,"","","",73638,2018-10-29T06:41:02-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:48:02.763-07:00 Los_Angeles,2019-01-23T16:52:51.973-08:00 Los_Angeles,"","","","","","","","","","","",Zone CO2 Sp,"",AV24,"","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"",✓,"","","","",@p:ubcv:r:23e65d0f-1ce11af9 (.+_)?AHU.+_CO2_SP(_TL)?,"","","",AHU22_CO2_SP_TL,Los_Angeles,ppm,"","","","",✓,2020-04-09T19:01:59.662Z UTC
@p:ubcv:r:236b7da5-3962edaa MOA Rm 147 VAV-23-12 VAV_23_12_SA_RH,"","","","",@p:ubcv:r:236b7c27-9468a702 MOA MOA_VAV_23_12_Documentation Lab_RM147 (512312),"",TL13,✓,VAV_23_12_SA_RH,"","","","","","","","",@p:ubcv:r:236b7c27-9468a702 MOA MOA_VAV_23_12_Documentation Lab_RM147 (512312),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:237794d9-94e22469 MOA Rm 147 VAV-23-12,✓,"","","","","",@p:ubcv:r:237794a4-65cdf3e9 MOA Floor 1,"","","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",80666,2018-10-27T21:00:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:48:07.733-07:00 Los_Angeles,2019-04-11T16:04:13.414-07:00 Los_Angeles,"","","","","","","","","","","",VAV_23_12_SA_RH,✓,AI2,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:237794d9-0f836b5c MOA Rm 147,"","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","",VAV_23_12_SAH_TL,Los_Angeles,%RH,"","","","","",2020-04-09T19:02:00.17Z UTC
