id,air,autoSorted,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bacnetWriteLevel,base,bmsName,bridgeName,chilled,chiller,cmd,condenser,connRef,cool,cooling,count,covTest,cur,curConvert,curErr,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,flow,gas,groupRef,heat,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,hrv,kind,lastSynced,lastTagged,leaving,lowLim,mode,navName,navname,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,pressure,primaryLoop,pump,quantityID,reliability,return,run,runtime,schedulable,scheduleOcc,scheduleRef,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,temp,testName,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,wifi,wifiId,writable,writeLevel,writeStatus,zone,mod
@p:ubcv:r:236c921d-28333dd4 Alumni Centre Unsorted Points VFD_P6B_KWH_MUX,"","","",@p:ubcv:r:21cadec0-ecd8e79a ALUM Main Router (670000),"",TL124,✓,"","",VFD_P6B_KWH_MUX,"","","","","",@p:ubcv:r:21cadec0-ecd8e79a ALUM Main Router (670000),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:227a4505-a944c966 Alumni Centre Unsorted Points,✓,"","","","",@p:ubcv:r:227a4505-b2ce3aaa Alumni Centre Unsorted Points,"","","",✓,"","","",2020-05-12T13:45:00-07:00 Los_Angeles,"","","",54150,2018-10-26T10:15:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T13:58:47.906-07:00 Los_Angeles,2018-11-28T16:32:56-08:00 Los_Angeles,"","","",VFD_P6B_KWH_MUX,"",✓,AV93,"","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","","","","","",VFD_P6B_KWH_MUX_TL,Los_Angeles,kWh,"","","","","","","","","","",2020-04-09T19:02:29.419Z UTC
@p:ubcv:r:236c92ae-942d7755 Alumni Centre FCU-11 FC11_CLG_MODE,"","","",@p:ubcv:r:236c8e4c-a0d3e4c7 ALUM FC11_RM_100 (670016),"",TL7,✓,"","",FC11_CLG_MODE,"","","",✓,"",@p:ubcv:r:236c8e4c-a0d3e4c7 ALUM FC11_RM_100 (670016),"",✓,"",✓,"","","","","","","","","",$equipRef $bmsName,"","","","","","","","OFF,ON","",@p:ubcv:r:24103b51-088d012a Alumni Centre FCU-11,✓,"","","","",@p:ubcv:r:24103e1f-a70591c9 Alumni Centre 1st Floor,"","","",✓,"","","",2020-03-16T19:00:12-07:00 Los_Angeles,"","",cov,698,2018-10-26T11:17:26-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T13:56:03.886-07:00 Los_Angeles,2018-11-28T16:32:48.849-08:00 Los_Angeles,"","",✓,Heating Mode,"","",BV2,"","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","",@p:ubcv:r:24c4e959-024a18e8 .+_CLG_MODE(_TL)?,"","","","",Los_Angeles,"","","","","","","","","","","",2020-04-08T18:52:02.571Z UTC
@p:ubcv:r:236c92e2-3d355757 Alumni Centre AHU-01 7970_AHU-01_MINZNT-SP,"","","",@p:ubcv:r:226d2efb-ef7180f7 ALUM UBC ALUMNI CP670300 (670300),"",TL128,✓,"","",7970_AHU-01_MINZNT-SP,"","","","","",@p:ubcv:r:226d2efb-ef7180f7 ALUM UBC ALUMNI CP670300 (670300),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24c3be0d-414d0cda Alumni Centre AHU-01,✓,"","","","",@p:ubcv:r:2203b248-28b6b255 Alumni Centre Air Systems,"","","",✓,"","","",2020-05-12T14:00:35-07:00 Los_Angeles,"","","",368676,2018-10-31T03:23:36-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T14:00:45.86-07:00 Los_Angeles,2019-01-23T16:53:27.965-08:00 Los_Angeles,"","","",7970_AHU-01_MINZNT-SP,"",✓,AV1022,"","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","","","","","",AHU1_MIN_RT_SP_POLL_TL,Los_Angeles,°C,"","","","","","","","","","",2020-04-30T12:06:19.998Z UTC
@p:ubcv:r:236c9297-fef6c965 Alumni Centre FCU-09 FC09_RT_COV_TL,✓,"","",@p:ubcv:r:236c8e4c-9af4a311 ALUM FC09_RM_103 (670014),"",TL10,✓,"","",FC09_RT_COV_TL,"","","","","",@p:ubcv:r:236c8e4c-9af4a311 ALUM FC09_RM_103 (670014),"","","",✓,"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24103b51-a3e30508 Alumni Centre FCU-09,✓,"","","","",@p:ubcv:r:24103e1f-a70591c9 Alumni Centre 1st Floor,"","","",✓,"","","",2020-05-12T01:09:02-07:00 Los_Angeles,"","",cov,1562,2018-10-29T01:26:30-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T13:56:09.497-07:00 Los_Angeles,2019-01-23T16:52:59.553-08:00 Los_Angeles,"","","",Zone Temp,"","","","","","","","",✓,"","","","","","","","","","","","","",✓,@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","",@p:ubcv:r:244285d9-c450215a .+_RT(_GV)?(_COV_TL)?,✓,"","","",Los_Angeles,°C,"","","","","","","","","",✓,2020-04-21T20:27:45.339Z UTC
@p:ubcv:r:236c928c-09dd9f38 Alumni Centre FCU-08 FC08_SAT_SP,✓,"","",@p:ubcv:r:236c8e4c-1e01d92c ALUM FC08_RM_105 (670013),"",TL8,✓,"","",FC08_SAT_SP,"","","","","",@p:ubcv:r:236c8e4c-1e01d92c ALUM FC08_RM_105 (670013),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:24103b51-babfa5e5 Alumni Centre FCU-08,✓,"","","","",@p:ubcv:r:24103e1f-a70591c9 Alumni Centre 1st Floor,"","","",✓,"","","",2020-05-12T13:52:53-07:00 Los_Angeles,"","","",54148,2018-10-26T10:57:27-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T13:56:08.025-07:00 Los_Angeles,2019-01-23T16:53:17.155-08:00 Los_Angeles,"","","",Discharge Air Temp Sp,"","",AV7,"","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"",✓,"","","","",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,"","","",Los_Angeles,°C,"","","","","","","","","","",2020-04-21T20:27:45.345Z UTC
@p:ubcv:r:236c92d4-52c3c48a Alumni Centre FCU-15 FC15_CLG_MODE,"","","",@p:ubcv:r:236c8e4c-8df0a7b2 ALUM FC15_CORRIDOR_110 (670020),"",TL1,✓,"","",FC15_CLG_MODE,"","","",✓,"",@p:ubcv:r:236c8e4c-8df0a7b2 ALUM FC15_CORRIDOR_110 (670020),"",✓,"",✓,"","","","","","","","","",$equipRef $bmsName,"","","","","","","","OFF,ON","",@p:ubcv:r:24103b51-08b0fa01 Alumni Centre FCU-15,✓,"","","","",@p:ubcv:r:24103e1f-a70591c9 Alumni Centre 1st Floor,"","","",✓,"","","",2020-03-16T16:44:44-07:00 Los_Angeles,"","",cov,3472,2018-10-26T15:07:26-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T13:56:09.618-07:00 Los_Angeles,2018-11-28T16:32:45.876-08:00 Los_Angeles,"","",✓,Heating Mode,"","",BV2,"","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","",@p:ubcv:r:24c4e959-024a18e8 .+_CLG_MODE(_TL)?,"","","","",Los_Angeles,"","","","","","","","","","","",2020-04-08T18:50:53.286Z UTC
@p:ubcv:r:236c92fb-817ec3c8 Alumni Centre FCU-17 FC17_HTG_MODE,"","","",@p:ubcv:r:236c9092-1de45c9b ALUM FC17_RM_222 (670321),"",TL2,✓,"","",FC17_HTG_MODE,"","","",✓,"",@p:ubcv:r:236c9092-1de45c9b ALUM FC17_RM_222 (670321),"","","",✓,"","","","","","","","","",$equipRef $bmsName,"","","","","","","","OFF,ON","",@p:ubcv:r:24103b51-7556e459 Alumni Centre FCU-17,✓,"","","","",@p:ubcv:r:24103e34-f6898d28 Alumni Centre 2nd Floor,"",✓,"",✓,"","","",2020-03-17T09:13:40-07:00 Los_Angeles,"","",cov,9283,2018-10-29T18:10:06-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T13:58:04.868-07:00 Los_Angeles,2018-11-28T16:32:49.586-08:00 Los_Angeles,"","",✓,Heating Mode,"","",BV3,"","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","",@p:ubcv:r:24c4e977-ebe714df .+_HTG_MODE(_TL)?,"","","",FC17_HTG_MODE_COV_TL,Los_Angeles,"","","","","","","","","","","",2020-04-08T18:51:28.683Z UTC
@p:ubcv:r:236c92d4-0edebcf9 Alumni Centre HW Submeters BTU-BLR BTU_BLR_CLG_KWH_MUX,"","","",@p:ubcv:r:236c9008-2ef24f71 ALUM UBC_ALUMNI_BTU_CP670100 (670100),"",TL4,✓,"","",BTU_BLR_CLG_KWH_MUX,"","","","","",@p:ubcv:r:236c9008-2ef24f71 ALUM UBC_ALUMNI_BTU_CP670100 (670100),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:25250410-ff7b6f08 Alumni Centre HW Submeters BTU-BLR,✓,"","","","",@p:ubcv:r:21697fca-7bb972f1 Alumni Centre Utilities,"","","",✓,"","","",2020-05-12T13:45:01-07:00 Los_Angeles,"","","",54118,2018-10-26T10:30:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T13:59:53.079-07:00 Los_Angeles,2018-11-28T16:32:37.697-08:00 Los_Angeles,"","","",BTU_BLR_CLG_KWH_MUX,"",✓,AV4,"","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","","","","","",BTU_BLR_CLG_KWH_MUX_TL,Los_Angeles,kWh,"","","","","","","","","","",2020-04-09T19:02:29.614Z UTC
@p:ubcv:r:21cadca5-8c056cef Alumni Centre HW Main Meter Entering Water Temp,"","","",@p:ubcv:r:21c7249b-ece22072 ALUM DES Meter,AI9,"",✓,"","","","","","","","",@p:ubcv:r:21c7249b-ece22072 ALUM DES Meter,"","","","",✓,"","",ok,83.04000091552734°C,"","","","",$equipRef $navName,"","","","","","",✓,"","",@p:ubcv:r:21691ecd-1ca19564 Alumni Centre HW Main Meter,"","","","","",@p:ubcv:r:21697fca-7bb972f1 Alumni Centre Utilities,"","","",✓,0.5°C,10min,"",2020-05-12T14:00:00-07:00 Los_Angeles,"","",consumption,324221,2017-12-18T14:20:00-08:00 Los_Angeles,ok,"",✓,"",Number,"","","","","",Entering Water Temp,"","","","","","","","",✓,"","","","","","","","","","","","","",✓,@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","","",✓,"","","",Los_Angeles,°C,✓,"","",✓,"","","","","","",2020-04-28T00:03:36.156Z UTC
@p:ubcv:r:236c92a3-a94a1447 Alumni Centre FCU-10 FC10_CV,"","","",@p:ubcv:r:236c8e4c-723071c4 ALUM FC10_RM_100 (670015),"",TL6,✓,"","",FC10_CV,"","","",✓,"",@p:ubcv:r:236c8e4c-723071c4 ALUM FC10_RM_100 (670015),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24103b51-793e06f9 Alumni Centre FCU-10,✓,"","","","",@p:ubcv:r:24103e1f-a70591c9 Alumni Centre 1st Floor,"",✓,"",✓,"","","",2020-05-12T13:53:09-07:00 Los_Angeles,"","","",53807,2018-10-26T10:46:02-07:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T13:56:06.118-07:00 Los_Angeles,2018-11-28T16:32:36.13-08:00 Los_Angeles,"","","",Heating Valve Cmd,"","",AO3,"","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","",@p:ubcv:r:23e65d0e-da0b9d25 .+_CV(_TL)?,"","","","",Los_Angeles,%,"",✓,"",✓,"","","","","","",2020-04-21T20:27:45.28Z UTC
