id,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,connRef,count,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,enum,equipRef,esc,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,reliability,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tlName,toTag,tz,unit,unknown,utilityPoint,volume,water,wifi,wifiId,mod
@p:ubcv:r:21dffdad-4febd347 CEME HW Main Meter Leaving Water Temp,@p:ubcv:r:21f25962-c039ef6e CEME DES Meter,AI6,"","",✓,"","",@p:ubcv:r:21f25962-c039ef6e CEME DES Meter,"",✓,"",ok,0°C,"","",$equipRef $navName,"","","","",@p:ubcv:r:20966ced-a489ba2f CEME HW Main Meter,"","",@p:ubcv:r:21697fca-cf4b94ab CEME Utilities,✓,0.5°C,10min,2020-05-12T14:20:00-07:00 Los_Angeles,"",consumption,162624,2018-01-17T16:00:00-08:00 Los_Angeles,ok,"",✓,Number,"",✓,Leaving Water Temp,"","","","","","",✓,"","","","",✓,@p:ubcv:r:20966ced-944d8cc5 CEME,"","","",✓,"","",Los_Angeles,°C,"",✓,"",✓,"","",2020-04-28T00:03:35.503Z UTC
@p:ubcv:r:261f61b3-4acf93ef Thunderbird Park Unsorted Points MDMHXDT,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL60,"","",MDMHXDT,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",3579,2020-04-05T07:45:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:21.637-07:00 Los_Angeles,"",MDMHXDT,✓,AV235,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",MDMHXDT.TL1,"",Los_Angeles,°C,✓,"","","","","",2020-05-06T18:51:21.389Z UTC
@p:ubcv:r:261f61b3-7a21b872 Thunderbird Park Unsorted Points MMWF_TIM,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL192,"","",MMWF_TIM,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:23:31-07:00 Los_Angeles,"","",51059,2020-04-07T04:17:53-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:21.655-07:00 Los_Angeles,"",MMWF_TIM,✓,AV382,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_192,"",Los_Angeles,_,✓,"","","","","",2020-05-06T18:51:21.399Z UTC
@p:ubcv:r:2645c32a-ce18b45c CEME Unsorted Points BACx_IHHX1HVS,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL284,"","",BACx_IHHX1HVS,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.112-07:00 Los_Angeles,"",BACx_IHHX1HVS,"",AV447,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_IHHX1HVS_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.241Z UTC
@p:ubcv:r:261f61b3-2010f0f4 Thunderbird Park Unsorted Points IRWF_AH01_LH6,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL126,"","",IRWF_AH01_LH6,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:15:06-07:00 Los_Angeles,"","",6357,2020-04-05T14:21:40-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:21.673-07:00 Los_Angeles,"",IRWF_AH01_LH6,✓,AV327,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_126,"",Los_Angeles,_,✓,"","","","","",2020-05-06T18:51:21.37Z UTC
@p:ubcv:r:2645c32a-40086bac CEME Unsorted Points BACx_MSHX2VS,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL305,"","",BACx_MSHX2VS,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.125-07:00 Los_Angeles,"",BACx_MSHX2VS,"",AV468,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_MSHX2VS_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.281Z UTC
@p:ubcv:r:2645c32a-b6aa4e22 CEME Unsorted Points BACx_GSHXV2S,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL328,"","",BACx_GSHXV2S,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.138-07:00 Los_Angeles,"",BACx_GSHXV2S,"",AV491,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_GSHXV2S_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.237Z UTC
@p:ubcv:r:261f61b3-f44ca1ea Thunderbird Park Unsorted Points FMHXHJ,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL47,"","",FMHXHJ,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",3579,2020-04-05T07:45:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:21.689-07:00 Los_Angeles,"",FMHXHJ,✓,AV212,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",FMHXHJ.TL1,"",Los_Angeles,MWh,✓,"","","","","",2020-05-06T18:51:21.324Z UTC
@p:ubcv:r:261f61b3-805abce6 Thunderbird Park Unsorted Points DLA4WFUOC,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL208,"","",DLA4WFUOC,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","OFF,ON",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-03-20T17:19:50-07:00 Los_Angeles,"","",285,2020-02-20T12:35:21-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:24:21.722-07:00 Los_Angeles,"",DLA4WFUOC,✓,BV19,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_208,"",Los_Angeles,"",✓,"","","","","",2020-05-06T18:51:21.413Z UTC
@p:ubcv:r:261f61b3-e9b286cd Thunderbird Park Unsorted Points IRA4WFUOC,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL161,"","",IRA4WFUOC,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","OFF,ON",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T10:03:06-07:00 Los_Angeles,"","",294,2020-01-10T08:52:23-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:24:21.706-07:00 Los_Angeles,"",IRA4WFUOC,✓,BV15,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_161,"",Los_Angeles,"",✓,"","","","","",2020-05-06T18:51:21.419Z UTC
@p:ubcv:r:261f61b3-3a642f99 Thunderbird Park Unsorted Points IBWF_AHU4_FLR3,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL110,"","",IBWF_AHU4_FLR3,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:15:06-07:00 Los_Angeles,"","",6509,2020-04-05T13:33:44-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:21.74-07:00 Los_Angeles,"",IBWF_AHU4_FLR3,✓,AV304,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_110,"",Los_Angeles,_,✓,"","","","","",2020-05-06T18:51:21.35Z UTC
@p:ubcv:r:2645c32a-4a38816e CEME Unsorted Points BACx_SRHX2VS,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL323,"","",BACx_SRHX2VS,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:21.199-07:00 Los_Angeles,"",BACx_SRHX2VS,"",AV486,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_SRHX2VS_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.289Z UTC
