id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:263b7682-5cfc6a35 Chem Phys Elec Main Meter Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,6682257kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:20816651-875f0ca0 Chem Phys Elec Main Meter,"",@p:ubcv:r:21697fca-35db656b Chem Phys Utilities,✓,"",15min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,196626,2014-10-03T16:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Chem_phys_447.Elec_Energy,✓,✓,"","",198,✓,@p:ubcv:r:2081656f-4476eb3b Chem Phys,305,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","",2020-05-04T19:39:54.96Z UTC
@p:ubcv:r:263b7684-14cf8fb4 Chem Phys Water Main Meter Consumption,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,311870.4375m³,"","",$equipRef $navName,"","","",@p:ubcv:r:2081668c-b4dc7920 Chem Phys Water Main Meter,"",@p:ubcv:r:21697fca-35db656b Chem Phys Utilities,✓,"",15min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,319719,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Chem_phys_447.Water_Volume,✓,✓,"","",10394,✓,@p:ubcv:r:2081656f-4476eb3b Chem Phys,96,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:54.961Z UTC
@p:ubcv:r:21dffdad-23fbdf43 Chem Phys HW Main Meter Entering Water Temp,@p:ubcv:r:21cac9a4-6b8f381e CHPH DES Meter,AI9,✓,@p:ubcv:r:21cac9a4-6b8f381e CHPH DES Meter,✓,"",ok,80.12999725341797°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:20816679-f60b02e7 Chem Phys HW Main Meter,"",@p:ubcv:r:21697fca-35db656b Chem Phys Utilities,✓,0.5°C,10min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,168637,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:2081656f-4476eb3b Chem Phys,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.358Z UTC
@p:ubcv:r:2081686b-fa2ee1ca Chem Phys HW Main Meter Power,@p:ubcv:r:21cac9a4-6b8f381e CHPH DES Meter,AI5,✓,@p:ubcv:r:21cac9a4-6b8f381e CHPH DES Meter,✓,MW => kW,ok,0kW,"","",$equipRef $navName,"","","",@p:ubcv:r:20816679-f60b02e7 Chem Phys HW Main Meter,"",@p:ubcv:r:21697fca-35db656b Chem Phys Utilities,✓,5kW,15min,2020-05-12T14:30:00-07:00 Los_Angeles,"","",527965,2016-08-08T16:30:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","",✓,"",✓,"",✓,@p:ubcv:r:2081656f-4476eb3b Chem Phys,"","","","",Los_Angeles,kW,✓,"",✓,2020-05-12T08:00:09.778Z UTC
@p:ubcv:r:20816835-34f286c3 Chem Phys HW Main Meter Energy,@p:ubcv:r:21cac9a4-6b8f381e CHPH DES Meter,AI1,✓,@p:ubcv:r:21cac9a4-6b8f381e CHPH DES Meter,✓,MWh => kWh,ok,18613500kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:20816679-f60b02e7 Chem Phys HW Main Meter,"",@p:ubcv:r:21697fca-35db656b Chem Phys Utilities,✓,"",15min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,130550,2016-08-08T16:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","",✓,✓,"",10364,✓,@p:ubcv:r:2081656f-4476eb3b Chem Phys,305,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:35.36Z UTC
@p:ubcv:r:21dffdad-710c39b0 Chem Phys HW Main Meter Flow,@p:ubcv:r:21cac9a4-6b8f381e CHPH DES Meter,AI4,✓,@p:ubcv:r:21cac9a4-6b8f381e CHPH DES Meter,✓,m³/h => L/s,ok,0L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:20816679-f60b02e7 Chem Phys HW Main Meter,✓,@p:ubcv:r:21697fca-35db656b Chem Phys Utilities,✓,0.25L/s,10min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,462137,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","",✓,"","","",✓,@p:ubcv:r:2081656f-4476eb3b Chem Phys,"","","","",Los_Angeles,L/s,✓,"",✓,2020-04-28T00:03:35.361Z UTC
@p:ubcv:r:21dffdad-a083a10a Chem Phys HW Main Meter Leaving Water Temp,@p:ubcv:r:21cac9a4-6b8f381e CHPH DES Meter,AI10,✓,@p:ubcv:r:21cac9a4-6b8f381e CHPH DES Meter,✓,"",ok,42.0099983215332°C,"","",$equipRef $navName,"","","",@p:ubcv:r:20816679-f60b02e7 Chem Phys HW Main Meter,"",@p:ubcv:r:21697fca-35db656b Chem Phys Utilities,✓,0.5°C,10min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,304401,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:2081656f-4476eb3b Chem Phys,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.362Z UTC
@p:ubcv:r:2388a048-2e3c4987 Chem Phys HW Main Meter Water Delta Temp,"","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:20816679-f60b02e7 Chem Phys HW Main Meter,"",@p:ubcv:r:21697fca-35db656b Chem Phys Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","",✓,"","","","",@p:ubcv:r:2081656f-4476eb3b Chem Phys,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.363Z UTC
@p:ubcv:r:263b7683-f5841ea6 Chem Phys Elec Main Meter Power,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,379.6840515136719kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:20816651-875f0ca0 Chem Phys Elec Main Meter,"",@p:ubcv:r:21697fca-35db656b Chem Phys Utilities,✓,11.856853248380986kW,15min,2020-05-12T14:30:00-07:00 Los_Angeles,"","",298864,2014-10-03T16:00:00-07:00 Los_Angeles,ok,"","",Number,"",Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Chem_phys_447.Elec_Power,✓,✓,"",✓,738,✓,@p:ubcv:r:2081656f-4476eb3b Chem Phys,305,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"","",2020-05-12T08:00:09.779Z UTC
