id,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,lastTagged,leaving,mode,navName,noTagMatch,objectId,point,pointType,power,pump,quantityID,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:23d5041c-e3112e06 Totem Cesnaem Unsorted Points HRV_01_AVG_ROOM_TEMP_VAR,"",@p:ubcv:r:23d50328-d9155fb3 Totem TOTEM_HRV1_CP792300 (530300),"",TL64,✓,HRV_01_AVG_ROOM_TEMP_VAR,"","",@p:ubcv:r:23d50328-d9155fb3 Totem TOTEM_HRV1_CP792300 (530300),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T20:15:00-07:00 Los_Angeles,"","",45638,2019-01-17T12:45:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T20:27:34.265-07:00 Los_Angeles,"","","",HRV_01_AVG_ROOM_TEMP_VAR,✓,AV2007,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",HRV_01_AVG_ROOM_TEMP_VAR_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:04.82Z UTC
@p:ubcv:r:23d5041c-31162b1f Totem Cesnaem Unsorted Points HRV_01_RETURN_AIR_CFM_SP,"",@p:ubcv:r:23d50328-d9155fb3 Totem TOTEM_HRV1_CP792300 (530300),"",TL41,✓,HRV_01_RETURN_AIR_CFM_SP,"","",@p:ubcv:r:23d50328-d9155fb3 Totem TOTEM_HRV1_CP792300 (530300),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T20:15:00-07:00 Los_Angeles,"","",46455,2019-01-14T09:45:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T20:27:34.452-07:00 Los_Angeles,"","","",HRV_01_RETURN_AIR_CFM_SP,✓,AV44,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",HRV_01_RETURN_AIR_CFM_SP_TL,Los_Angeles,cfm,"","","","","",2020-04-09T19:02:04.821Z UTC
@p:ubcv:r:23d50425-8bb0574c Totem Cesnaem Unsorted Points MV_BACNET_VFD_HRV3_SF_KWH,"",@p:ubcv:r:23d50328-3e1e256c Totem TOTEM_HRV2_HRV3_OAT_CP792400 (530400),"",TL77,✓,MV_BACNET_VFD_HRV3_SF_KWH,"","",@p:ubcv:r:23d50328-3e1e256c Totem TOTEM_HRV2_HRV3_OAT_CP792400 (530400),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T20:15:00-07:00 Los_Angeles,"","",46292,2019-01-15T10:45:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T20:27:32.52-07:00 Los_Angeles,"","","",MV_BACNET_VFD_HRV3_SF_KWH,✓,AV1075,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",MV_BACNET_VFD_HRV3_SF_KWH_POLL_TL,Los_Angeles,kWh,"","","","","",2020-04-09T19:02:04.865Z UTC
@p:ubcv:r:23d50403-1de06569 Totem Cesnaem Unsorted Points HRV_04_SAT,✓,@p:ubcv:r:23d5035b-7b870f94 Totem TOTEM_BSMNT_MECH_HRV4_HRV5_FC1_FC2AB_CP792100 (530100),"",TL57,✓,HRV_04_SAT,"","",@p:ubcv:r:23d5035b-7b870f94 Totem TOTEM_BSMNT_MECH_HRV4_HRV5_FC1_FC2AB_CP792100 (530100),"","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T20:15:00-07:00 Los_Angeles,"","",45721,2019-01-13T13:45:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T20:27:34.047-07:00 Los_Angeles,2019-01-23T16:53:00.009-08:00 Los_Angeles,"","",Discharge Air Temp,"",AI2104,✓,"","","","","","",✓,@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,✓,HRV_04_SAT_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:04.709Z UTC
@p:ubcv:r:23d5041c-6284cda4 Totem Cesnaem Unsorted Points HRV_01_DISCHARGE_AIR_TEMP_SP,"",@p:ubcv:r:23d50328-d9155fb3 Totem TOTEM_HRV1_CP792300 (530300),"",TL35,✓,HRV_01_DISCHARGE_AIR_TEMP_SP,"","",@p:ubcv:r:23d50328-d9155fb3 Totem TOTEM_HRV1_CP792300 (530300),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T20:15:00-07:00 Los_Angeles,"","",46455,2019-01-14T09:45:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T20:27:34.641-07:00 Los_Angeles,"","","",HRV_01_DISCHARGE_AIR_TEMP_SP,✓,AV19,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",HRV_01_DISCHARGE_AIR_TEMP_SP_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:04.822Z UTC
@p:ubcv:r:23d50425-4f942c6e Totem Cesnaem Unsorted Points HRV_03_RETURN_AIR_TEMP_SP,"",@p:ubcv:r:23d50328-3e1e256c Totem TOTEM_HRV2_HRV3_OAT_CP792400 (530400),"",TL57,✓,HRV_03_RETURN_AIR_TEMP_SP,"","",@p:ubcv:r:23d50328-3e1e256c Totem TOTEM_HRV2_HRV3_OAT_CP792400 (530400),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T20:15:00-07:00 Los_Angeles,"","",46455,2019-01-14T09:45:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T20:27:32.546-07:00 Los_Angeles,"","","",HRV_03_RETURN_AIR_TEMP_SP,✓,AV55,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",HRV_03_RETURN_AIR_TEMP_SP_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:04.866Z UTC
@p:ubcv:r:239068fb-47bdd7ab Totem Cesnaem Unsorted Points MV_ELEC_METER07_TXBE1_EM_KWH,"",@p:ubcv:r:23906676-498db761 Totem 541.0 Totem CSNM residence (530000),"",TL22,✓,MV_ELEC_METER07_TXBE1_EM_KWH,"","",@p:ubcv:r:23906676-498db761 Totem 541.0 Totem CSNM residence (530000),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T20:30:00-07:00 Los_Angeles,"","",51245,2018-11-24T11:00:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T20:33:25.133-07:00 Los_Angeles,2018-11-28T16:32:27.037-08:00 Los_Angeles,"","",MV_ELEC_METER07_TXBE1_EM_KWH,✓,AV1021,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",MV_ELEC_METER07_TXBE1_EM_KWH_TL,Los_Angeles,kWh,"","","","","",2020-04-09T19:02:04.621Z UTC
@p:ubcv:r:23d50403-b5ee8120 Totem Cesnaem Unsorted Points BACNET_KAM_RETURN_WATER_TEMP_MUX,"",@p:ubcv:r:23d5035b-7b870f94 Totem TOTEM_BSMNT_MECH_HRV4_HRV5_FC1_FC2AB_CP792100 (530100),"",TL75,✓,BACNET_KAM_RETURN_WATER_TEMP_MUX,"","",@p:ubcv:r:23d5035b-7b870f94 Totem TOTEM_BSMNT_MECH_HRV4_HRV5_FC1_FC2AB_CP792100 (530100),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T20:15:00-07:00 Los_Angeles,"","",45041,2019-01-14T09:45:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T20:27:34.058-07:00 Los_Angeles,"","","",BACNET_KAM_RETURN_WATER_TEMP_MUX,✓,AV3,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",BACNET_KAM_RETURN_WATER_TEMP_MUX_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:04.71Z UTC
@p:ubcv:r:23d50403-ca8cce50 Totem Cesnaem Unsorted Points BACNET_FC1_ROOM_TEMPERATURE_SP_MUX,"",@p:ubcv:r:23d5035b-7b870f94 Totem TOTEM_BSMNT_MECH_HRV4_HRV5_FC1_FC2AB_CP792100 (530100),"",TL172,✓,BACNET_FC1_ROOM_TEMPERATURE_SP_MUX,"","",@p:ubcv:r:23d5035b-7b870f94 Totem TOTEM_BSMNT_MECH_HRV4_HRV5_FC1_FC2AB_CP792100 (530100),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T20:15:00-07:00 Los_Angeles,"","",45042,2019-01-14T09:45:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T20:27:34.101-07:00 Los_Angeles,"","","",BACNET_FC1_ROOM_TEMPERATURE_SP_MUX,✓,AV2013,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",BACNET_FC1_ROOM_TEMPERATURE_SP_MUX_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:04.711Z UTC
@p:ubcv:r:23d5040d-23ac68fb Totem Cesnaem Unsorted Points HRV_06_EDH3_STATUS,"",@p:ubcv:r:23d50328-ed5eaf89 Totem TOTEM_FCU_HRV6_EF1_EF2_LAUNDRY_CP792200 (530200),"",TL39,✓,HRV_06_EDH3_STATUS,"","",@p:ubcv:r:23d50328-ed5eaf89 Totem TOTEM_FCU_HRV6_EF1_EF2_LAUNDRY_CP792200 (530200),"","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T10:31:01-07:00 Los_Angeles,"","",93603,2019-01-18T13:32:28-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T20:28:07.911-07:00 Los_Angeles,"","","",HRV_06_EDH3_STATUS,✓,BV46,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",HRV_06_EDH3_S_BV_TL,Los_Angeles,"","","","","","",2020-04-08T18:54:14.008Z UTC
