id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:21cb0dcb-347661db Biomed HW Main Meter Entering Water Temp,@p:ubcv:r:21cac52d-99cd857f BRC DES Meter,AI9,✓,@p:ubcv:r:21cac52d-99cd857f BRC DES Meter,✓,"",ok,84.63999938964844°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:2094f3ac-36df88a0 Biomed HW Main Meter,"",@p:ubcv:r:21697fca-24b84965 Biomed Utilities,✓,0.5°C,10min,2020-05-12T14:11:00-07:00 Los_Angeles,"",consumption,216765,2017-12-18T15:40:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:2094f3ac-2960f86a Biomed,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.545Z UTC
@p:ubcv:r:21cb0db7-fef35241 Biomed HW Main Meter Flow,@p:ubcv:r:21cac52d-99cd857f BRC DES Meter,AI4,✓,@p:ubcv:r:21cac52d-99cd857f BRC DES Meter,✓,L/h => L/s,ok,0.5513888888888888L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:2094f3ac-36df88a0 Biomed HW Main Meter,✓,@p:ubcv:r:21697fca-24b84965 Biomed Utilities,✓,0.25L/s,10min,2020-05-12T14:10:00-07:00 Los_Angeles,"",consumption,423722,2017-12-18T15:40:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","",✓,"","","",✓,@p:ubcv:r:2094f3ac-2960f86a Biomed,"","","","",Los_Angeles,L/s,✓,"",✓,2020-04-28T00:03:35.546Z UTC
@p:ubcv:r:263b7662-ad940ffc Biomed Elec Main Meter Power,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,222.35784912109375kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:2094f3ac-04fd2461 Biomed Elec Main Meter,"",@p:ubcv:r:21697fca-24b84965 Biomed Utilities,✓,41.73053312882259kW,15min,2020-05-12T14:11:16-07:00 Los_Angeles,"","",429300,2011-03-31T17:00:00-07:00 Los_Angeles,ok,"","",Number,"",Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_BRC_461.Elec_Power,✓,✓,"",✓,116,✓,@p:ubcv:r:2094f3ac-2960f86a Biomed,91,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"","",2020-05-12T08:00:09.733Z UTC
@p:ubcv:r:21cb0dfc-418fa825 Biomed HW Main Meter Leaving Water Temp,@p:ubcv:r:21cac52d-99cd857f BRC DES Meter,AI10,✓,@p:ubcv:r:21cac52d-99cd857f BRC DES Meter,✓,"",ok,53.61000061035156°C,"","",$equipRef $navName,"","","",@p:ubcv:r:2094f3ac-36df88a0 Biomed HW Main Meter,"",@p:ubcv:r:21697fca-24b84965 Biomed Utilities,✓,0.5°C,10min,2020-05-12T14:12:00-07:00 Los_Angeles,"",consumption,598958,2017-12-18T15:40:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:2094f3ac-2960f86a Biomed,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.547Z UTC
@p:ubcv:r:263b7661-6d905884 Biomed Elec Main Meter Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,9302415kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:2094f3ac-04fd2461 Biomed Elec Main Meter,"",@p:ubcv:r:21697fca-24b84965 Biomed Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,319738,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_BRC_461.Elec_Energy,✓,✓,"","",10393,✓,@p:ubcv:r:2094f3ac-2960f86a Biomed,91,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","",2020-05-04T19:39:54.857Z UTC
@p:ubcv:r:2094f3ac-4aa7fbd6 Biomed HW Main Meter Energy,@p:ubcv:r:21cac52d-99cd857f BRC DES Meter,AI1,✓,@p:ubcv:r:21cac52d-99cd857f BRC DES Meter,✓,MWh => kWh,ok,5601629.8828125kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:2094f3ac-36df88a0 Biomed HW Main Meter,"",@p:ubcv:r:21697fca-24b84965 Biomed Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,128402,2016-09-01T00:00:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","",✓,✓,"",10364,✓,@p:ubcv:r:2094f3ac-2960f86a Biomed,91,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:35.548Z UTC
@p:ubcv:r:263b7660-5b496cb9 Biomed Water Main Meter Consumption,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,156343.984375m³,"","",$equipRef $navName,"","","",@p:ubcv:r:2094f3ac-29d44cc6 Biomed Water Main Meter,"",@p:ubcv:r:21697fca-24b84965 Biomed Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,319738,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_BRC_461.Water_Volume,✓,✓,"","",10394,✓,@p:ubcv:r:2094f3ac-2960f86a Biomed,91,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:54.856Z UTC
@p:ubcv:r:2388a048-f1710472 Biomed HW Main Meter Water Delta Temp,"","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:2094f3ac-36df88a0 Biomed HW Main Meter,"",@p:ubcv:r:21697fca-24b84965 Biomed Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","",✓,"","","","",@p:ubcv:r:2094f3ac-2960f86a Biomed,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.549Z UTC
@p:ubcv:r:2094f3ac-e01c9da3 Biomed HW Main Meter Power,@p:ubcv:r:21cac52d-99cd857f BRC DES Meter,AI5,✓,@p:ubcv:r:21cac52d-99cd857f BRC DES Meter,✓,"",ok,70.5999984741211kW,"","",$equipRef $navName,"","","",@p:ubcv:r:2094f3ac-36df88a0 Biomed HW Main Meter,"",@p:ubcv:r:21697fca-24b84965 Biomed Utilities,✓,5.908061310740573kW,15min,2020-05-12T14:11:33-07:00 Los_Angeles,"","",691589,2016-05-05T15:30:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","",✓,"",✓,"",✓,@p:ubcv:r:2094f3ac-2960f86a Biomed,"","","","",Los_Angeles,kW,✓,"",✓,2020-05-12T08:00:09.732Z UTC
