id,ancillaryImport,disMacro,elec,energy,equipRef,gas,groupRef,his,hisEnd,hisMode,hisSize,hisStart,kind,navName,point,pointType,sensor,siteRef,tz,unit,mod
@p:ubcv:r:252a61ee-4fbdee89 UBC Tennis Centre (Old) Gas Main Meter Energy,✓,$equipRef $navName,"",✓,@p:ubcv:r:250ec696-c9196c18 UBC Tennis Centre (Old) Gas Main Meter,✓,@p:ubcv:r:250ec696-d855b4b9 UBC Tennis Centre (Old) Utilities,✓,2020-01-01T00:00:00-08:00 Los_Angeles,consumption,201700,2014-04-01T00:15:00-07:00 Los_Angeles,Number,Energy,✓,"",✓,@p:ubcv:r:20704c35-16e5ebad UBC Tennis Centre (Old),Los_Angeles,GJ,2020-04-28T00:03:36.218Z UTC
@p:ubcv:r:250ec696-04498e9e UBC Tennis Centre (Old) Elec Main Meter Energy,✓,$equipRef $navName,✓,✓,@p:ubcv:r:250ec696-669e182c UBC Tennis Centre (Old) Elec Main Meter,"",@p:ubcv:r:250ec696-d855b4b9 UBC Tennis Centre (Old) Utilities,✓,2020-01-01T00:00:00-08:00 Los_Angeles,consumption,201700,2014-04-01T00:00:00-07:00 Los_Angeles,Number,Energy,✓,"",✓,@p:ubcv:r:20704c35-16e5ebad UBC Tennis Centre (Old),Los_Angeles,kWh,2020-04-28T00:03:35.684Z UTC
