id,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,connRef,count,cur,curConvert,curErr,curStatus,curVal,delta,deltaTempPoint,disMacro,disabled,elec,energy,entering,enum,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,occupancy,point,pointType,power,quantityID,reliability,sensor,siemens,siteRef,sourceID,sqlConnRef,sqlPoint,sqlSource,temp,tlName,toTag,tz,unit,unknown,utilityPoint,volume,water,wifi,wifiId,zachName,mod
@p:ubcv:r:263d7c6a-745a8678 Hebb Unsorted Points 6560_METER2D_PWR_MTR-PHASE_B_CURRENT,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL730,"","",6560_METER2D_PWR_MTR-PHASE_B_CURRENT,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:57-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:03-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:51.236-07:00 Los_Angeles,"",6560_METER2D_PWR_MTR-PHASE_B_CURRENT,✓,AV1953,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2D_PWR_MTR-PHASE_B_CURRENT_POLL_TL,"",Los_Angeles,A,✓,"","","","","","",2020-04-30T12:14:30.734Z UTC
@p:ubcv:r:263d7c6c-7a285455 Hebb Unsorted Points 6560_SHW_PUMP_VFD-RAMP_SPEED,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL199,"","",6560_SHW_PUMP_VFD-RAMP_SPEED,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:46-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:01-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:40.201-07:00 Los_Angeles,"",6560_SHW_PUMP_VFD-RAMP_SPEED,✓,AV10,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_SHW_PUMP_VFD-RAMP_SPEED_POLL_TL,"",Los_Angeles,%,✓,"","","","","","",2020-04-30T12:14:30.736Z UTC
@p:ubcv:r:263d7c6c-f5d170d3 Hebb Unsorted Points 6560_SCHW_CWST-R,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL238,"","",6560_SCHW_CWST-R,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:52-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:43.147-07:00 Los_Angeles,"",6560_SCHW_CWST-R,✓,AV135,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_SCHW_CWST-R_POLL_TL,"",Los_Angeles,_,✓,"","","","","","",2020-04-30T12:14:30.735Z UTC
@p:ubcv:r:263d7c6a-cef38c36 Hebb Unsorted Points 6560_METER1D_PWR_MTR-PHASE_B_REAL_POWER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL641,"","",6560_METER1D_PWR_MTR-PHASE_B_REAL_POWER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:54-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:03-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:43.158-07:00 Los_Angeles,"",6560_METER1D_PWR_MTR-PHASE_B_REAL_POWER,✓,AV1676,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER1D_PWR_MTR-PHASE_B_REAL_POWER_POLL_TL,"",Los_Angeles,kW,✓,"","","","","","",2020-04-30T12:14:30.737Z UTC
@p:ubcv:r:263d7c6a-75804795 Hebb Unsorted Points 6560_HOSE_BIBBS_WM-CURRENT_DEMAND_L_PER_SEC,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL990,"","",6560_HOSE_BIBBS_WM-CURRENT_DEMAND_L_PER_SEC,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:46-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:01-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:38.585-07:00 Los_Angeles,"",6560_HOSE_BIBBS_WM-CURRENT_DEMAND_L_PER_SEC,✓,AV578,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_HOSE_BIBBS_WM-CURRENT_DEMAND_L_PER_SEC_POLL_TL,"",Los_Angeles,L/s,✓,"","","","","","",2020-04-30T12:14:30.738Z UTC
@p:ubcv:r:263d7c6d-ce86dcce Hebb Unsorted Points 6560_AHU-03-HTG_CLG_MODE,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1398,"","",6560_AHU-03-HTG_CLG_MODE,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","Heating,Cooling",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T14:31:53-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Str,2020-05-12T14:40:43.175-07:00 Los_Angeles,"",6560_AHU-03-HTG_CLG_MODE,✓,MSV20,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_AHU-03-HTG_CLG_MODE_POLL_TL,"",Los_Angeles,"",✓,"","","","","","",2020-04-30T12:14:30.739Z UTC
@p:ubcv:r:263d7c6b-0d19ac19 Hebb Unsorted Points 6560_METER3D_PWR_MTR-PHASE_C_REACTIVE_POWER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1081,"","",6560_METER3D_PWR_MTR-PHASE_C_REACTIVE_POWER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:45-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:01-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:40.222-07:00 Los_Angeles,"",6560_METER3D_PWR_MTR-PHASE_C_REACTIVE_POWER,✓,AV2520,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER3D_PWR_MTR-PHASE_C_REACTIVE_POWER_POLL_TL,"",Los_Angeles,VAR,✓,"","","","","","",2020-04-30T12:14:30.74Z UTC
@p:ubcv:r:263d7c6b-4896e467 Hebb Unsorted Points 6560_PCHW_PUMP-MAX_TIME,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL204,"","",6560_PCHW_PUMP-MAX_TIME,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:38-07:00 Los_Angeles,"","","",1389,2020-04-28T03:26:54-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:36.298-07:00 Los_Angeles,"",6560_PCHW_PUMP-MAX_TIME,✓,AV104,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_PCHW_PUMP-MAX_TIME_POLL_TL,"",Los_Angeles,h,✓,"","","","","","",2020-04-30T12:14:30.741Z UTC
@p:ubcv:r:263d7c6c-10699c82 Hebb Unsorted Points 6560_SCHW_DISTRIBUTION_LEAD_PUMP-SPD_FB,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL321,"","",6560_SCHW_DISTRIBUTION_LEAD_PUMP-SPD_FB,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:54-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:43.198-07:00 Los_Angeles,"",6560_SCHW_DISTRIBUTION_LEAD_PUMP-SPD_FB,✓,AV61,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_SCHW_DISTRIBUTION_LEAD_PUMP-SPD_FB_POLL_TL,"",Los_Angeles,%,✓,"","","","","","",2020-04-30T12:14:30.742Z UTC
@p:ubcv:r:263d7c6b-c717fa04 Hebb Unsorted Points 6560_METER3D_PWR_MTR-PHASE_C_APPARENT_POWER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1084,"","",6560_METER3D_PWR_MTR-PHASE_C_APPARENT_POWER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:45-07:00 Los_Angeles,"","","",1389,2020-04-28T03:26:58-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:37.798-07:00 Los_Angeles,"",6560_METER3D_PWR_MTR-PHASE_C_APPARENT_POWER,✓,AV2523,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER3D_PWR_MTR-PHASE_C_APPARENT_POWER_POLL_TL,"",Los_Angeles,VA,✓,"","","","","","",2020-04-30T12:14:30.743Z UTC
