id,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,connRef,count,cur,curConvert,curErr,curStatus,curVal,delta,deltaTempPoint,disMacro,disabled,elec,energy,entering,enum,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,occupancy,point,pointType,power,quantityID,reliability,sensor,siemens,siteRef,sourceID,sqlConnRef,sqlPoint,sqlSource,temp,tlName,toTag,tz,unit,unknown,utilityPoint,volume,water,wifi,wifiId,zachName,mod
@p:ubcv:r:263d7c6b-7b01e352 Hebb Unsorted Points 6560_METER3A_PWR_MTR-PHASE_C_VOLTAGE,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1003,"","",6560_METER3A_PWR_MTR-PHASE_C_VOLTAGE,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:56-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:02-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:47.13-07:00 Los_Angeles,"",6560_METER3A_PWR_MTR-PHASE_C_VOLTAGE,✓,AV2301,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER3A_PWR_MTR-PHASE_C_VOLTAGE_POLL_TL,"",Los_Angeles,V,✓,"","","","","","",2020-04-30T12:14:30.388Z UTC
@p:ubcv:r:263d7c6a-a3d378c9 Hebb Unsorted Points 6560_PHW_P07-O,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL109,"","",6560_PHW_P07-O,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:59-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:49.324-07:00 Los_Angeles,"",6560_PHW_P07-O,✓,AO1702,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_PHW_P07-O_POLL_TL,"",Los_Angeles,%,✓,"","","","","","",2020-04-30T12:14:30.389Z UTC
@p:ubcv:r:263d7c6b-22075510 Hebb Unsorted Points 6560_METER3E_PWR_MTR-PHASE_A_REACTIVE_POWER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1102,"","",6560_METER3E_PWR_MTR-PHASE_A_REACTIVE_POWER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:59-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:02-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:49.343-07:00 Los_Angeles,"",6560_METER3E_PWR_MTR-PHASE_A_REACTIVE_POWER,✓,AV2588,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER3E_PWR_MTR-PHASE_A_REACTIVE_POWER_POLL_TL,"",Los_Angeles,VAR,✓,"","","","","","",2020-04-30T12:14:30.39Z UTC
@p:ubcv:r:263d7c69-9206f42f Hebb Unsorted Points 6560_PHW_P08-FB,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL17,"","",6560_PHW_P08-FB,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:45-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:38.08-07:00 Los_Angeles,"",6560_PHW_P08-FB,✓,AI1503,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_PHW_P08-FB_POLL_TL,"",Los_Angeles,%,✓,"","","","","","",2020-04-30T12:14:30.391Z UTC
@p:ubcv:r:263d7c6c-7a1da11f Hebb Unsorted Points 6560_WWCH_REJV_CMD_TARGET,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL268,"","",6560_WWCH_REJV_CMD_TARGET,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:52-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:40.464-07:00 Los_Angeles,"",6560_WWCH_REJV_CMD_TARGET,✓,AV162,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_WWCH_REJV_CMD_TARGET_POLL_TL,"",Los_Angeles,%,✓,"","","","","","",2020-04-30T12:14:30.392Z UTC
@p:ubcv:r:263d7c6c-7afdda3d Hebb Unsorted Points 6560_PCHW_P03-EN,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL172,"","",6560_PCHW_P03-EN,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T10:31:33-07:00 Los_Angeles,"","","",87,2020-04-27T10:13:09-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:40:32.852-07:00 Los_Angeles,"",6560_PCHW_P03-EN,✓,BO1104,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_PCHW_P03-EN_COV_TL,"",Los_Angeles,"",✓,"","","","","","",2020-04-30T12:14:30.393Z UTC
@p:ubcv:r:263d7c6b-d741b2e8 Hebb Unsorted Points 6560_METER2G_PWR_MTR-PHASE_A_CURRENT,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL798,"","",6560_METER2G_PWR_MTR-PHASE_A_CURRENT,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:32:00-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:56.427-07:00 Los_Angeles,"",6560_METER2G_PWR_MTR-PHASE_A_CURRENT,✓,AV2162,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2G_PWR_MTR-PHASE_A_CURRENT_POLL_TL,"",Los_Angeles,A,✓,"","","","","","",2020-04-30T12:14:30.394Z UTC
@p:ubcv:r:263d7c6b-4b1b7e6b Hebb Unsorted Points 6560_METER2F_PWR_MTR-PHASE_B_POWER_FACTOR,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL788,"","",6560_METER2F_PWR_MTR-PHASE_B_POWER_FACTOR,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:45-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:01-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:39.278-07:00 Los_Angeles,"",6560_METER2F_PWR_MTR-PHASE_B_POWER_FACTOR,✓,AV2105,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2F_PWR_MTR-PHASE_B_POWER_FACTOR_POLL_TL,"",Los_Angeles,pf,✓,"","","","","","",2020-04-30T12:14:30.395Z UTC
@p:ubcv:r:263d7c6a-98c4779b Hebb Unsorted Points 6560_SHW_BYPV01-O,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL112,"","",6560_SHW_BYPV01-O,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:59-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:07-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:58.251-07:00 Los_Angeles,"",6560_SHW_BYPV01-O,✓,AO2101,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_SHW_BYPV01-O_POLL_TL,"",Los_Angeles,%,✓,"","","","","","",2020-04-30T12:14:30.396Z UTC
@p:ubcv:r:263d7c6a-23bf5dce Hebb Unsorted Points 6560_METER2A_PWR_MTR-PHASE_B_CURRENT,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL661,"","",6560_METER2A_PWR_MTR-PHASE_B_CURRENT,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:58-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:03-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:49.355-07:00 Los_Angeles,"",6560_METER2A_PWR_MTR-PHASE_B_CURRENT,✓,AV1743,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2A_PWR_MTR-PHASE_B_CURRENT_POLL_TL,"",Los_Angeles,A,✓,"","","","","","",2020-04-30T12:14:30.397Z UTC
@p:ubcv:r:263d7c6a-8ae7c67d Hebb Unsorted Points 6560_METER2C_PWR_MTR-PHASE_B_VOLTAGE,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL704,"","",6560_METER2C_PWR_MTR-PHASE_B_VOLTAGE,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:55-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:03-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:49.387-07:00 Los_Angeles,"",6560_METER2C_PWR_MTR-PHASE_B_VOLTAGE,✓,AV1880,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2C_PWR_MTR-PHASE_B_VOLTAGE_POLL_TL,"",Los_Angeles,V,✓,"","","","","","",2020-04-30T12:14:30.399Z UTC
@p:ubcv:r:263d7c6c-4de957ed Hebb Unsorted Points 6560_SCHW_DP-SP,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL329,"","",6560_SCHW_DP-SP,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:32:00-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:49.374-07:00 Los_Angeles,"",6560_SCHW_DP-SP,✓,AV69,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_SCHW_DP-SP_POLL_TL,"",Los_Angeles,kPa,✓,"","","","","","",2020-04-30T12:14:30.4Z UTC
@p:ubcv:r:263d7c6a-044e487e Hebb Unsorted Points 6560_METER2B_PWR_MTR-PHASE_A_APPARENT_POWER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL692,"","",6560_METER2B_PWR_MTR-PHASE_A_APPARENT_POWER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:43-07:00 Los_Angeles,"","","",1389,2020-04-28T03:26:57-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:38.101-07:00 Los_Angeles,"",6560_METER2B_PWR_MTR-PHASE_A_APPARENT_POWER,✓,AV1821,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2B_PWR_MTR-PHASE_A_APPARENT_POWER_POLL_TL,"",Los_Angeles,VA,✓,"","","","","","",2020-04-30T12:14:30.398Z UTC
@p:ubcv:r:263d7c6a-8ef3da5f Hebb Unsorted Points 6560_AHU-03_DAT-MIN_SP_BIAS,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL840,"","",6560_AHU-03_DAT-MIN_SP_BIAS,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:57-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:02-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:47.153-07:00 Los_Angeles,"",6560_AHU-03_DAT-MIN_SP_BIAS,✓,AV367,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_AHU-03_DAT-MIN_SP_BIAS_POLL_TL,"",Los_Angeles,°C,✓,"","","","","","",2020-04-30T12:14:30.401Z UTC
@p:ubcv:r:263d7c6c-4497ff29 Hebb Unsorted Points 6560_SP04S-ACTIVE,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1248,"","",6560_SP04S-ACTIVE,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:13:27-07:00 Los_Angeles,"","","",60,2020-04-25T14:00:29-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:40:36.069-07:00 Los_Angeles,"",6560_SP04S-ACTIVE,✓,BV139,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_SP04S-ACTIVE_COV_TL,"",Los_Angeles,"",✓,"","","","","","",2020-04-30T12:14:30.402Z UTC
@p:ubcv:r:263d7c6a-a0a19933 Hebb Unsorted Points 6560_WWCH-RESET,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL100,"","",6560_WWCH-RESET,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:59-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:49.399-07:00 Los_Angeles,"",6560_WWCH-RESET,✓,AO1201,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_WWCH-RESET_POLL_TL,"",Los_Angeles,%,✓,"","","","","","",2020-04-30T12:14:30.403Z UTC
@p:ubcv:r:263d7c6a-730f1d2f Hebb Unsorted Points 6560_METER1B_PWR_MTR-PHASE_B_REACTIVE_POWER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL598,"","",6560_METER1B_PWR_MTR-PHASE_B_REACTIVE_POWER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:58-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:07-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:49.415-07:00 Los_Angeles,"",6560_METER1B_PWR_MTR-PHASE_B_REACTIVE_POWER,✓,AV1539,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER1B_PWR_MTR-PHASE_B_REACTIVE_POWER_POLL_TL,"",Los_Angeles,VAR,✓,"","","","","","",2020-04-30T12:14:30.404Z UTC
@p:ubcv:r:263d7c6b-6988feda Hebb Unsorted Points 6560_METER2F_PWR_MTR-PHASE_C_VOLTAGE,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL774,"","",6560_METER2F_PWR_MTR-PHASE_C_VOLTAGE,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:56-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:49.431-07:00 Los_Angeles,"",6560_METER2F_PWR_MTR-PHASE_C_VOLTAGE,✓,AV2091,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2F_PWR_MTR-PHASE_C_VOLTAGE_POLL_TL,"",Los_Angeles,V,✓,"","","","","","",2020-04-30T12:14:30.405Z UTC
@p:ubcv:r:263d7c6c-6bffcb86 Hebb Unsorted Points 6560_SCHW_P04_VFD-MOTOR_VOLTAGE,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL934,"","",6560_SCHW_P04_VFD-MOTOR_VOLTAGE,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:58-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:02-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:56.437-07:00 Los_Angeles,"",6560_SCHW_P04_VFD-MOTOR_VOLTAGE,✓,AV464,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_SCHW_P04_VFD-MOTOR_VOLTAGE_POLL_TL,"",Los_Angeles,V,✓,"","","","","","",2020-04-30T12:14:30.406Z UTC
@p:ubcv:r:263d7c6c-55f9f3da Hebb Unsorted Points 6560_SHW_HWST-IR,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL289,"","",6560_SHW_HWST-IR,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:52-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:40.85-07:00 Los_Angeles,"",6560_SHW_HWST-IR,✓,AV32,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_SHW_HWST-IR_POLL_TL,"",Los_Angeles,_,✓,"","","","","","",2020-04-30T12:14:30.407Z UTC
@p:ubcv:r:263d7c6a-97882f66 Hebb Unsorted Points 6560_SHW_HWR-T,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL29,"","",6560_SHW_HWR-T,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:57-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:01-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:49.542-07:00 Los_Angeles,"",6560_SHW_HWR-T,✓,AI1802,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_SHW_HWR-T_POLL_TL,"",Los_Angeles,°C,✓,"","","","","","",2020-04-30T12:14:30.409Z UTC
@p:ubcv:r:263d7c6c-a53dad96 Hebb Unsorted Points 6560_WWCH_CH3-ALARM,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1457,"","",6560_WWCH_CH3-ALARM,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","","","","","","","",ok,"","",Bool,2020-05-12T14:40:33.078-07:00 Los_Angeles,"",6560_WWCH_CH3-ALARM,✓,BV191,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_WWCH_CH3-ALARM_COV_TL,"",Los_Angeles,"",✓,"","","","","","",2020-04-30T12:14:30.41Z UTC
@p:ubcv:r:263d7c6a-0e93a19e Hebb Unsorted Points 6560_METER1A_PWR_MTR-TOTAL_POWER_FACTOR,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL586,"","",6560_METER1A_PWR_MTR-TOTAL_POWER_FACTOR,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:54-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:02-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:41.951-07:00 Los_Angeles,"",6560_METER1A_PWR_MTR-TOTAL_POWER_FACTOR,✓,AV1108,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER1A_PWR_MTR-TOTAL_POWER_FACTOR_POLL_TL,"",Los_Angeles,pf,✓,"","","","","","",2020-04-30T12:14:30.408Z UTC
@p:ubcv:r:263d7c6c-1ff38f90 Hebb Unsorted Points 6560_WWCH_HWST_R-EN_SP,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL242,"","",6560_WWCH_HWST_R-EN_SP,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:52-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:41.964-07:00 Los_Angeles,"",6560_WWCH_HWST_R-EN_SP,✓,AV139,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_WWCH_HWST_R-EN_SP_POLL_TL,"",Los_Angeles,_,✓,"","","","","","",2020-04-30T12:14:30.411Z UTC
@p:ubcv:r:263d7c6a-4959c871 Hebb Unsorted Points 6560_SHW_HWS-T,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL27,"","",6560_SHW_HWS-T,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:57-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:01-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:49.582-07:00 Los_Angeles,"",6560_SHW_HWS-T,✓,AI1704,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_SHW_HWS-T_POLL_TL,"",Los_Angeles,°C,✓,"","","","","","",2020-04-30T12:14:30.412Z UTC
@p:ubcv:r:263d7c6b-65d50a8c Hebb Unsorted Points 6560_METER3H_PWR_MTR-PHASE_C_APPARENT_POWER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1176,"","",6560_METER3H_PWR_MTR-PHASE_C_APPARENT_POWER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:44-07:00 Los_Angeles,"","","",1389,2020-04-28T03:26:59-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:38.12-07:00 Los_Angeles,"",6560_METER3H_PWR_MTR-PHASE_C_APPARENT_POWER,✓,AV2803,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER3H_PWR_MTR-PHASE_C_APPARENT_POWER_POLL_TL,"",Los_Angeles,VA,✓,"","","","","","",2020-04-30T12:14:30.413Z UTC
@p:ubcv:r:263d7c6a-8d3fee51 Hebb Unsorted Points 6560_2N1T2_PWR_MTR-TOTAL_REAL_POWER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1019,"","",6560_2N1T2_PWR_MTR-TOTAL_REAL_POWER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:58-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:02-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:56.448-07:00 Los_Angeles,"",6560_2N1T2_PWR_MTR-TOTAL_REAL_POWER,✓,AV2317,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_2N1T2_PWR_MTR-TOTAL_REAL_POWER_POLL_TL,"",Los_Angeles,kW,✓,"","","","","","",2020-04-30T12:14:30.414Z UTC
