id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:21dffdae-e7841df9 MEDC HW Main Meter Entering Water Temp,@p:ubcv:r:21cad2bc-9082e9b4 MEDC DES Meter,AI9,✓,@p:ubcv:r:21cad2bc-9082e9b4 MEDC DES Meter,✓,"",ok,81.19999694824219°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:20a65704-5992225d MEDC HW Main Meter,"",@p:ubcv:r:21697fca-92293662 MEDC Utilities,✓,0.5°C,10min,2020-05-12T15:40:00-07:00 Los_Angeles,"",consumption,171981,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:20a65704-497f0f7c MEDC,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.483Z UTC
@p:ubcv:r:263b76cf-06211d0f MEDC Elec Main Meter Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,4946513.5kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:20a65704-e9836c93 MEDC Elec Main Meter,"",@p:ubcv:r:21697fca-92293662 MEDC Utilities,✓,"",15min,2020-05-12T15:45:00-07:00 Los_Angeles,"",consumption,319722,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Medical_C_523.Elec_Energy,✓,✓,"","",10393,✓,@p:ubcv:r:20a65704-497f0f7c MEDC,131,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","",2020-05-04T19:39:55.417Z UTC
@p:ubcv:r:21dffdae-6ca0181d MEDC HW Main Meter Flow,@p:ubcv:r:21cad2bc-9082e9b4 MEDC DES Meter,AI4,✓,@p:ubcv:r:21cad2bc-9082e9b4 MEDC DES Meter,✓,m³/h => L/s,ok,0.1388888888888889L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:20a65704-5992225d MEDC HW Main Meter,✓,@p:ubcv:r:21697fca-92293662 MEDC Utilities,✓,0.25L/s,10min,2020-05-12T15:40:00-07:00 Los_Angeles,"",consumption,269746,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","",✓,"","","",✓,@p:ubcv:r:20a65704-497f0f7c MEDC,"","","","",Los_Angeles,L/s,✓,"",✓,2020-04-28T00:03:35.484Z UTC
@p:ubcv:r:2388a048-71a7c954 MEDC HW Main Meter Water Delta Temp,"","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:20a65704-5992225d MEDC HW Main Meter,"",@p:ubcv:r:21697fca-92293662 MEDC Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","",✓,"","","","",@p:ubcv:r:20a65704-497f0f7c MEDC,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.485Z UTC
@p:ubcv:r:20a65704-0ff15058 MEDC HW Main Meter Power,@p:ubcv:r:21cad2bc-9082e9b4 MEDC DES Meter,AI5,✓,@p:ubcv:r:21cad2bc-9082e9b4 MEDC DES Meter,✓,"",ok,9kW,"","",$equipRef $navName,"","","",@p:ubcv:r:20a65704-5992225d MEDC HW Main Meter,"",@p:ubcv:r:21697fca-92293662 MEDC Utilities,✓,5kW,15min,2020-05-12T15:45:00-07:00 Los_Angeles,"","",530963,2016-05-05T15:45:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","",✓,"",✓,"",✓,@p:ubcv:r:20a65704-497f0f7c MEDC,"","","","",Los_Angeles,kW,✓,"",✓,2020-05-12T08:00:09.853Z UTC
@p:ubcv:r:263b76ce-fc260293 MEDC Elec Main Meter Power,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,39.69642639160156kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:20a65704-e9836c93 MEDC Elec Main Meter,"",@p:ubcv:r:21697fca-92293662 MEDC Utilities,✓,5kW,15min,2020-05-12T15:45:00-07:00 Los_Angeles,"","",324067,2011-03-31T17:00:00-07:00 Los_Angeles,ok,"","",Number,"",Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Medical_C_523.Elec_Power,✓,✓,"",✓,116,✓,@p:ubcv:r:20a65704-497f0f7c MEDC,131,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"","",2020-05-12T08:00:09.854Z UTC
@p:ubcv:r:21dffdae-513a0ae1 MEDC HW Main Meter Leaving Water Temp,@p:ubcv:r:21cad2bc-9082e9b4 MEDC DES Meter,AI10,✓,@p:ubcv:r:21cad2bc-9082e9b4 MEDC DES Meter,✓,"",ok,64.27999877929688°C,"","",$equipRef $navName,"","","",@p:ubcv:r:20a65704-5992225d MEDC HW Main Meter,"",@p:ubcv:r:21697fca-92293662 MEDC Utilities,✓,0.5°C,10min,2020-05-12T15:40:00-07:00 Los_Angeles,"",consumption,372153,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:20a65704-497f0f7c MEDC,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.487Z UTC
@p:ubcv:r:20a65704-61176835 MEDC HW Main Meter Energy,@p:ubcv:r:21cad2bc-9082e9b4 MEDC DES Meter,AI1,✓,@p:ubcv:r:21cad2bc-9082e9b4 MEDC DES Meter,✓,MWh => kWh,ok,4312899.90234375kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:20a65704-5992225d MEDC HW Main Meter,"",@p:ubcv:r:21697fca-92293662 MEDC Utilities,✓,"",15min,2020-05-12T15:45:00-07:00 Los_Angeles,"",consumption,139503,2016-05-05T11:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","",✓,✓,"",10364,✓,@p:ubcv:r:20a65704-497f0f7c MEDC,131,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:35.488Z UTC
@p:ubcv:r:263b76ce-fe9b6c6b MEDC Water Main Meter Consumption,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,0m³,"","",$equipRef $navName,"","","",@p:ubcv:r:20a65704-6060c6aa MEDC Water Main Meter,"",@p:ubcv:r:21697fca-92293662 MEDC Utilities,✓,"",15min,2020-05-12T15:45:00-07:00 Los_Angeles,"",consumption,318459,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Medical_C_523.Water_Volume,✓,✓,"","",10394,✓,@p:ubcv:r:20a65704-497f0f7c MEDC,131,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:55.418Z UTC
