id,air,ancillaryImport,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,chilled,cmd,connRef,cooling,cur,curConvert,curStatus,curVal,damper,disMacro,discharge,domestic,effective,elec,energy,entering,enum,equipName,equipRef,exhaust,fan,flow,gas,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,point,power,primaryLoop,pump,quantityID,run,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,unknownConn,utilityPoint,valve,water,zone,mod
@p:ubcv:r:247ec11a-3c3a9d54 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC021.RTU-1 S_ZN-CO2,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3001416,✓,JCL-NAE60/FC-A.01A-FEC021.RTU-1 S_ZN-CO2,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"",31979,2019-05-26T20:45:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.434-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC021.RTU-1 S_ZN-CO2,✓,AI3000433,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC021.RTU-1 S_ZN-CO2.Trend1,Los_Angeles,ppm,"","","","","",2020-04-09T19:02:17.734Z UTC
@p:ubcv:r:247ec11a-217aa1cb Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC020.EF-S,✓,"",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3001545,✓,JCL-NAE60/FC-A.01A-FEC020.EF-S,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,✓,✓,"","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-02-11T15:24:41-08:00 Los_Angeles,"",42,2019-05-25T08:00:54-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.21-07:00 Los_Angeles,"","",Exhaust Fan Run Feedback,"",BI3000983,"","","",✓,"","","","",✓,✓,@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC020.EF-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:47.655Z UTC
@p:ubcv:r:247ec11a-23c4dc60 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC030.CLG-O,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3002405,✓,JCL-NAE60/FC-A.01A-FEC030.CLG-O,✓,✓,@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),✓,"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"",8457,2019-05-22T09:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.312-07:00 Los_Angeles,"","",Cooling Valve Cmd,"",AV3002390,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","",@p:ubcv:r:23e65d3d-51bf01a3 .+(\.|-| )CLG-(O|VLV),"",JCL-NAE60/FC-A.01A-FEC030.CLG-O.Trend1,Los_Angeles,%,"","",✓,✓,"",2020-04-09T19:02:17.735Z UTC
@p:ubcv:r:247ec11a-4745a5ac Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC020.RTU-1 N_ZN-T,✓,"",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3001411,✓,JCL-NAE60/FC-A.01A-FEC020.RTU-1 N_ZN-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"",32022,2019-05-26T20:45:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.436-07:00 Los_Angeles,"","",Zone Temp,"",AI3000982,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE60/FC-A.01A-FEC020.RTU-1 N_ZN-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:17.736Z UTC
@p:ubcv:r:247ec11a-991b6348 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC020.EF-C,✓,"",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3001544,✓,JCL-NAE60/FC-A.01A-FEC020.EF-C,"",✓,@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,✓,✓,"","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-03-27T14:12:23-07:00 Los_Angeles,"",18,2019-05-25T08:00:54-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.248-07:00 Los_Angeles,"","",Exhaust Fan Run Cmd,"",BO3000985,"","","",✓,"","","","",✓,"",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","",@p:ubcv:r:23e65d3d-b8710d90 .+(\.|-| |_)EF-?(\d+)?\w?-C,"",JCL-NAE60/FC-A.01A-FEC020.EF-C.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:47.194Z UTC
@p:ubcv:r:247ec11a-6fa175ee Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.Heat Pump 10B.SF-C,✓,"",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3001552,✓,JCL-NAE60/FC-A.Heat Pump 10B.SF-C,"",✓,@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,✓,"","","","","","Off,On","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-03-20T08:04:32-07:00 Los_Angeles,"",14,2019-05-25T08:01:03-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.225-07:00 Los_Angeles,"","",Discharge Fan Run Cmd,"",BO3001043,"","","",✓,"","","","",✓,"",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","",@p:ubcv:r:23e65d3d-2b48d00a .+(\.|-| )SF(\d+)?-C,"",JCL-NAE60/FC-A.Heat Pump 10B.SF-C.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:47.773Z UTC
@p:ubcv:r:247ec11a-972a9159 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC020.RAD-C,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3001547,✓,JCL-NAE60/FC-A.01A-FEC020.RAD-C,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","Close,Open","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-04-25T15:40:00-07:00 Los_Angeles,"",54,2019-05-25T08:00:54-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.266-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC020.RAD-C,✓,BO3000986,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC020.RAD-C.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:47.557Z UTC
@p:ubcv:r:247ec11a-e05a3bb1 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC024.RH-O,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3001531,✓,JCL-NAE60/FC-A.01A-FEC024.RH-O,"",✓,@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,✓,✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"",32015,2019-05-26T20:45:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:28:57.438-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO3001033,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","",@p:ubcv:r:23e65d3d-e0e662f6 .+(\.|-| )RH-O,"",JCL-NAE60/FC-A.01A-FEC024.RH-O.Trend1,Los_Angeles,%,"","",✓,✓,"",2020-04-09T19:02:17.737Z UTC
@p:ubcv:r:247ec11a-22c6a80e Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC004.NPWR-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3000155,✓,JCL-NAE60/FC-A.01A-FEC004.NPWR-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"",33818,2019-05-22T08:45:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.44-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC004.NPWR-T,✓,AI3000035,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC004.NPWR-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.738Z UTC
@p:ubcv:r:247ec11a-408d9152 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC004.HWR-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3000157,✓,JCL-NAE60/FC-A.01A-FEC004.HWR-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","",✓,"","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"",32419,2019-05-26T08:45:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:28:57.441-07:00 Los_Angeles,"","",Entering Hot Water Temp,"",AI3000024,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","",@p:ubcv:r:23e65d3d-5ed87758 .+(\.|-| |_)HWR\d?-T,✓,JCL-NAE60/FC-A.01A-FEC004.HWR-T.Trend1,Los_Angeles,°C,"","","",✓,"",2020-04-09T19:02:17.739Z UTC
