id,air,ancillaryImport,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,chilled,cmd,connRef,cooling,cur,curConvert,curStatus,curVal,damper,disMacro,discharge,domestic,effective,elec,energy,entering,enum,equipName,equipRef,exhaust,fan,flow,gas,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,point,power,primaryLoop,pump,quantityID,run,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,unknownConn,utilityPoint,valve,water,zone,mod
@p:ubcv:r:247ec11a-1e9a1aaa Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC020.CLG1-C,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3001542,✓,JCL-NAE60/FC-A.01A-FEC020.CLG1-C,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-02-11T09:54:27-08:00 Los_Angeles,"",16,2019-05-25T08:00:54-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.202-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC020.CLG1-C,✓,BO3000946,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC020.CLG1-C.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:47.26Z UTC
@p:ubcv:r:247ec11a-5db37780 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC030.SF-S,✓,"",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3002520,✓,JCL-NAE60/FC-A.01A-FEC030.SF-S,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,✓,"","","","","","Off,On","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-04-16T07:46:23-07:00 Los_Angeles,"",48,2019-05-25T08:01:07-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.263-07:00 Los_Angeles,"","",Discharge Fan Run Status,"",BI3002370,"","","",✓,"","","","",✓,✓,@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"",JCL-NAE60/FC-A.01A-FEC030.SF-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:50:44.879Z UTC
@p:ubcv:r:247ec11a-5e054f3e Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC020.DRYERC-S,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3001560,✓,JCL-NAE60/FC-A.01A-FEC020.DRYERC-S,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-05T14:00:19-07:00 Los_Angeles,"",6240,2019-05-23T17:07:33-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.283-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC020.DRYERC-S,✓,BI3000932,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC020.DRYERC-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:46.638Z UTC
@p:ubcv:r:247ec11a-3c7deee6 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC005.BLR1-2R-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3000292,✓,JCL-NAE60/FC-A.01A-FEC005.BLR1-2R-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"",49787,2019-05-24T21:40:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.443-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC005.BLR1-2R-T,✓,AI3000074,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC005.BLR1-2R-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.74Z UTC
@p:ubcv:r:247ec11a-841fe44b Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC005.DHWR-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3000223,✓,JCL-NAE60/FC-A.01A-FEC005.DHWR-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"",✓,"","","",✓,"","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"",16731,2019-05-24T01:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:28:57.444-07:00 Los_Angeles,"","",Domestic Entering Hot Water Temp,"",AI3000071,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","",@p:ubcv:r:23e65d3d-98942545 .+(\.|-|_)DHWR\d?-T,✓,JCL-NAE60/FC-A.01A-FEC005.DHWR-T.Trend1,Los_Angeles,°C,"","","",✓,"",2020-04-09T19:02:17.741Z UTC
@p:ubcv:r:247ec11a-23651adf Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC020.DRYERA-S,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3001562,✓,JCL-NAE60/FC-A.01A-FEC020.DRYERA-S,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-03-31T15:10:50-07:00 Los_Angeles,"",3974,2019-05-25T08:00:54-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.258-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC020.DRYERA-S,✓,BI3000934,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC020.DRYERA-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:46.604Z UTC
@p:ubcv:r:247ec11a-8faae006 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC030.ZN-T,✓,"",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3002400,✓,JCL-NAE60/FC-A.01A-FEC030.ZN-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"",8477,2019-05-22T09:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.313-07:00 Los_Angeles,"","",Zone Temp,"",AI3002356,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE60/FC-A.01A-FEC030.ZN-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:17.742Z UTC
@p:ubcv:r:263b76f4-41f83324 Doug Mitchell Thunderbird Sports Centre Elec Main Meter Energy,"","","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,8226983.5kWh,"",$equipRef $navName,"","","",✓,✓,"","","",@p:ubcv:r:2124b6ee-0ecda906 Doug Mitchell Thunderbird Sports Centre Elec Main Meter,"","","","",@p:ubcv:r:21697fca-baada47a Doug Mitchell Thunderbird Sports Centre Utilities,"",✓,"",15min,"",2020-05-12T14:30:00-07:00 Los_Angeles,consumption,319712,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"","","",Number,"","","",Energy,"","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Doug_Mitchell_868.Elec_Energy,✓,✓,"","","",10393,"",✓,@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,179,"",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,kWh,"",✓,"","","",2020-05-04T19:39:55.686Z UTC
@p:ubcv:r:247ec11a-d453071c Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC024.HWS-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3002545,✓,JCL-NAE60/FC-A.01A-FEC024.HWS-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"",32023,2019-05-26T20:45:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:28:57.446-07:00 Los_Angeles,✓,"",Leaving Hot Water Temp,"",AI3001034,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","",@p:ubcv:r:23e65d3d-654bc1a2 .+(\.|-|_| )HWS\d?-T,✓,JCL-NAE60/FC-A.01A-FEC024.HWS-T.Trend1,Los_Angeles,°C,"","","",✓,"",2020-04-09T19:02:17.743Z UTC
@p:ubcv:r:247ec11a-7a8a4783 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC004.ICES-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3000264,✓,JCL-NAE60/FC-A.01A-FEC004.ICES-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"",48788,2019-05-26T08:40:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.448-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC004.ICES-T,✓,AI3000038,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC004.ICES-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.744Z UTC
@p:ubcv:r:247ec11a-2a027903 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC020.F12A-S,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3001564,✓,JCL-NAE60/FC-A.01A-FEC020.F12A-S,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-03-31T15:10:54-07:00 Los_Angeles,"",3944,2019-05-25T08:00:54-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.26-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC020.F12A-S,✓,BI3000936,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC020.F12A-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:46.57Z UTC
@p:ubcv:r:247ec11a-09a8a81e Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC022.CLG1-C,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3000284,✓,JCL-NAE60/FC-A.01A-FEC022.CLG1-C,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T02:39:45-07:00 Los_Angeles,"",723,2019-05-25T08:00:27-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.19-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC022.CLG1-C,✓,BO3000125,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC022.CLG1-C.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:45.548Z UTC
@p:ubcv:r:247ec11a-167a12d1 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC017.RINKB-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3000288,✓,JCL-NAE60/FC-A.01A-FEC017.RINKB-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"",16906,2019-05-22T09:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.449-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC017.RINKB-T,✓,AI3000285,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC017.RINKB-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.745Z UTC
