id,connRef,cur,curStatus,curVal,disMacro,elec,energy,equipRef,gas,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisMode,hisSize,hisStart,hisStatus,hisTotalized,kind,navName,opcConnRef,opcCur,opcPoint,point,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:263b768f-809f956b EDC Elec Main Meter Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,ok,34.00233459472656kW,$equipRef $navName,✓,"",@p:ubcv:r:20a669e1-5170aa85 EDC Elec Main Meter,"",@p:ubcv:r:21697fca-793a05ca EDC Utilities,✓,5kW,15min,2020-05-12T14:33:20-07:00 Los_Angeles,"",345609,2012-08-16T15:45:00-07:00 Los_Angeles,ok,"",Number,Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_EDC_WWW_301.Elec_Power,✓,✓,✓,116,✓,@p:ubcv:r:20a669e1-360e4c33 EDC,213,@p:ubcv:r:23060489-d61f5459 ION DB,✓,Los_Angeles,kW,✓,"","",2020-05-12T08:00:09.789Z UTC
@p:ubcv:r:263b768e-eac974f8 EDC Elec Main Meter Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,ok,1914069.5kWh,$equipRef $navName,✓,✓,@p:ubcv:r:20a669e1-5170aa85 EDC Elec Main Meter,"",@p:ubcv:r:21697fca-793a05ca EDC Utilities,✓,"",15min,2020-05-12T14:30:00-07:00 Los_Angeles,consumption,271330,2012-08-16T15:45:00-07:00 Los_Angeles,ok,✓,Number,Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_EDC_WWW_301.Elec_Energy,✓,✓,"",10393,✓,@p:ubcv:r:20a669e1-360e4c33 EDC,213,@p:ubcv:r:23060489-d61f5459 ION DB,✓,Los_Angeles,kWh,✓,"","",2020-05-04T19:39:55.026Z UTC
@p:ubcv:r:263b7691-90fc2daa EDC Water Main Meter Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,ok,0.800000011920929m³,$equipRef $navName,"","",@p:ubcv:r:20a669e1-638d681f EDC Water Main Meter,"",@p:ubcv:r:21697fca-793a05ca EDC Utilities,✓,"",15min,2020-05-12T14:30:00-07:00 Los_Angeles,consumption,270677,2012-08-16T15:45:00-07:00 Los_Angeles,ok,✓,Number,Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_EDC_WWW_301.Water_Volume,✓,✓,"",10394,✓,@p:ubcv:r:20a669e1-360e4c33 EDC,213,@p:ubcv:r:23060489-d61f5459 ION DB,✓,Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:55.024Z UTC
@p:ubcv:r:263b7690-6f361045 EDC Gas Main Meter Gas,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,ok,5300817ft³,$equipRef $navName,"","",@p:ubcv:r:20a66a83-7534e663 EDC Gas Main Meter,✓,@p:ubcv:r:21697fca-793a05ca EDC Utilities,✓,"",15min,2020-05-12T14:30:00-07:00 Los_Angeles,consumption,270677,2012-08-16T15:45:00-07:00 Los_Angeles,ok,✓,Number,Gas,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_EDC_WWW_301.Gas_Volume,✓,✓,"",10371,✓,@p:ubcv:r:20a669e1-360e4c33 EDC,213,@p:ubcv:r:23060489-d61f5459 ION DB,✓,Los_Angeles,ft³,✓,✓,"",2020-05-04T19:39:55.023Z UTC
