id,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bacnetWriteLevel,bmsName,cmd,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,effective,elec,energy,entering,enum,equipRef,exhaust,fan,feedback,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,lastTagged,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,primaryLoop,pump,quantityID,return,roomRef,run,secondaryLoop,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,writable,writeLevel,writeStatus,zone,mod
@p:ubcv:r:238b41b7-a9107585 Liu Rm 120 Zone JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM120-ASP,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000283,✓,"",JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM120-ASP,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"",✓,"","","","",@p:ubcv:r:24f089bf-49046a74 Liu Rm 120 Zone,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.876-07:00 Los_Angeles,2018-11-25T13:45:24.001-08:00 Los_Angeles,"","",Zone Temp Effective Sp,"",AI3000128,"","","","",✓,"","","","","",@p:ubcv:r:24f089bf-44dbac63 Liu Rm 120,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"",✓,"","",@p:ubcv:r:2512c7c7-c930434f .+(\.|-| |_)RM\d+-ASP,✓,JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM120-ASP.Trend1,Los_Angeles,°C,"","","","","","","",✓,2020-04-09T19:02:17.576Z UTC
@p:ubcv:r:263b76ba-99a6b9ff Liu Elec Main Meter Energy,"","","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,1920849.125kWh,"","","",$equipRef $navName,"","",✓,✓,"","",@p:ubcv:r:20a65214-e99407fd Liu Elec Main Meter,"","","","",@p:ubcv:r:21697fca-84383cbb Liu Utilities,"",✓,"",15min,2020-05-12T15:30:00-07:00 Los_Angeles,"","",consumption,319695,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"","",Number,"","","","",Energy,"","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Liu_496.Elec_Energy,✓,"",✓,"","","",10393,"","","","",✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,108,"",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,kWh,✓,"","","","","","","",2020-05-04T19:39:55.28Z UTC
@p:ubcv:r:238b41b7-9cc5e1e6 Liu Rm 130 Zone JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-OR,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000290,✓,"",JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-OR,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f089bf-d672c911 Liu Rm 130 Zone,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-04-09T04:29:04-07:00 Los_Angeles,"","","",78,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.751-07:00 Los_Angeles,2018-11-25T13:45:23.996-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-OR,✓,BI3000135,"","","","",✓,"","","","","",@p:ubcv:r:24f089bf-6635fd98 Liu Rm 130,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-OR.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:45.052Z UTC
@p:ubcv:r:238b41b7-9886ce99 Liu EF JCL-NAE57/N2-1.LC-DC-11.LC-EF_EF3-C,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000224,✓,"",JCL-NAE57/N2-1.LC-DC-11.LC-EF_EF3-C,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f08887-1f5c3886 Liu EF,✓,✓,"","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-04-09T04:29:04-07:00 Los_Angeles,"","","",735,2018-11-19T07:00:04-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.753-07:00 Los_Angeles,2018-11-25T13:45:24.027-08:00 Los_Angeles,"","",Exhaust Fan Run Cmd,"",BO3000077,"","","","",✓,"","","","","","",✓,"","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:23e65d3d-b8710d90 .+(\.|-| |_)EF-?(\d+)?\w?-C,"",JCL-NAE57/N2-1.LC-DC-11.LC-EF_EF3-C.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:47.659Z UTC
@p:ubcv:r:238b41b7-2d0d7869 Liu Rm 120A Zone JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM120A-V,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000305,✓,"",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM120A-V,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24f089bf-b267760e Liu Rm 120A Zone,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.878-07:00 Los_Angeles,2018-11-25T13:45:23.848-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM120A-V,✓,AO3000147,"","","","",✓,"","","","","",@p:ubcv:r:24f089bf-b4138b3d Liu Rm 120A,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM120A-V.Trend1,Los_Angeles,%,"","","","","","","","",2020-04-09T19:02:17.577Z UTC
@p:ubcv:r:238b41b7-1ec38504 Liu EF JCL-NAE57/N2-1.LC-DC-10.LC-VENT_RAH2-C,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000221,✓,"",JCL-NAE57/N2-1.LC-DC-10.LC-VENT_RAH2-C,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Close,Open",@p:ubcv:r:24f08887-1f5c3886 Liu EF,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-11T22:42:27-07:00 Los_Angeles,"","","",210,2018-11-27T17:10:02-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.88-07:00 Los_Angeles,2018-11-25T13:45:24.028-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-10.LC-VENT_RAH2-C,✓,BO3000075,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-10.LC-VENT_RAH2-C.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:47.761Z UTC
@p:ubcv:r:21c5a806-f341e98c Liu Heating Plant JCL-NAE57/N2-1.LC-DC-1.LC-HW_HWS-T,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000188,✓,"",JCL-NAE57/N2-1.LC-DC-1.LC-HW_HWS-T,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:21c5a449-a495fb42 Liu Heating Plant,"","","","",@p:ubcv:r:21c5a420-95882591 Liu Hydronic Systems,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",81097,2017-12-14T01:45:00-08:00 Los_Angeles,ok,"",✓,✓,Number,2020-05-12T15:35:27.882-07:00 Los_Angeles,2018-12-07T09:45:28.648-08:00 Los_Angeles,✓,"",Leaving Hot Water Temp,"",AI3000045,"","","","",✓,"","","","","","","",✓,✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:23e65d3d-654bc1a2 .+(\.|-|_| )HWS\d?-T,✓,JCL-NAE57/N2-1.LC-DC-1.LC-HW_HWS-T.Trend1,Los_Angeles,°C,"","","",✓,"","","","",2020-04-09T19:02:17.578Z UTC
@p:ubcv:r:21c5a75c-2cf35aea Liu HW Main Meter Leaving Water Temp,"",@p:ubcv:r:21c5a615-61e0f4fe LIU DES Meter,AI10,"",✓,"","","",@p:ubcv:r:21c5a615-61e0f4fe LIU DES Meter,✓,"",ok,19.31999969482422°C,"","","",$equipRef $navName,"","","","","","",@p:ubcv:r:20a65214-3e328e52 Liu HW Main Meter,"","","","",@p:ubcv:r:21697fca-84383cbb Liu Utilities,"",✓,0.5°C,10min,2020-05-12T15:40:00-07:00 Los_Angeles,"","",consumption,165877,2017-12-18T14:20:00-08:00 Los_Angeles,ok,"",✓,"",Number,"","",✓,"",Leaving Water Temp,"","","","","","",✓,"","","","","","","","",✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","",✓,"",Los_Angeles,°C,✓,"","",✓,"","","","",2020-04-28T00:03:35.14Z UTC
@p:ubcv:r:238b41b7-5017afa6 Liu HR-2 JCL-NAE57/N2-1.LC-DC-6.LC-HRU2_OCCPD,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000279,✓,"",JCL-NAE57/N2-1.LC-DC-6.LC-HRU2_OCCPD,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f08887-1c9ca78e Liu HR-2,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-04-17T17:41:09-07:00 Los_Angeles,"","","",1171,2018-11-19T11:26:42-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.77-07:00 Los_Angeles,2018-11-25T13:45:23.996-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-6.LC-HRU2_OCCPD,✓,BI3000124,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-6.LC-HRU2_OCCPD.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:45.147Z UTC
@p:ubcv:r:238b41b7-d2ccb585 Liu Unsorted Points JCL-NAE57/Programming.Energy.Energy Meter Peak and Usage Calc.Current Hourly Consumption,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3001343,✓,"",JCL-NAE57/Programming.Energy.Energy Meter Peak and Usage Calc.Current Hourly Consumption,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:238b41b4-6b8a3644 Liu Unsorted Points,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-01-11T16:00:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [253] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",10041,2018-11-18T15:00:00-08:00 Los_Angeles,fault,"","",✓,Number,2020-05-11T17:48:52.095-07:00 Los_Angeles,2018-11-25T13:45:23.301-08:00 Los_Angeles,"","",JCL-NAE57/Programming.Energy.Energy Meter Peak and Usage Calc.Current Hourly Consumption,✓,AV3000607,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/Programming.Energy.Energy Meter Peak and Usage Calc.Current Hourly Consumption.Trend1,Los_Angeles,MWh,"","","","","","","","",2020-04-09T19:02:17.579Z UTC
@p:ubcv:r:238b41b7-bd1b5e33 Liu Rm132 FC-2 JCL-NAE57/N2-1.LC-DC-4.LC-FC2_FC-S,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000256,✓,"",JCL-NAE57/N2-1.LC-DC-4.LC-FC2_FC-S,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,✓,"","","","","Off,On",@p:ubcv:r:24f08886-81d8e396 Liu Rm132 FC-2,"",✓,"","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T14:40:06-07:00 Los_Angeles,"","","",1710,2018-11-19T19:00:09-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.883-07:00 Los_Angeles,2018-11-25T13:45:24.003-08:00 Los_Angeles,"","",Discharge Fan Run Status,"",BI3000104,"","","","",✓,"","","","","",@p:ubcv:r:24f08886-56c17f75 Liu Rm132,✓,"",✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:23e65d3d-38c9065b .+(\.|-| |_)FC?(x+)?-S,"",JCL-NAE57/N2-1.LC-DC-4.LC-FC2_FC-S.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:45.731Z UTC
@p:ubcv:r:238b41b7-063cd5e4 Liu Rm 112 Zone JCL-NAE57/N2-1.LC-DC-9.LC-GRND_RM112-WC,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000315,✓,"",JCL-NAE57/N2-1.LC-DC-9.LC-GRND_RM112-WC,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24f089bf-60c55eea Liu Rm 112 Zone,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.885-07:00 Los_Angeles,2018-11-25T13:45:23.849-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-9.LC-GRND_RM112-WC,✓,AI3000156,"","","","",✓,"","","","","",@p:ubcv:r:24f089bf-7b6fa7dc Liu Rm 112,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-9.LC-GRND_RM112-WC.Trend1,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:17.58Z UTC
@p:ubcv:r:238b41b7-e5d5261e Liu Rm 120 Zone JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM120-OR,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000284,✓,"",JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM120-OR,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f089bf-49046a74 Liu Rm 120 Zone,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-04-09T04:29:04-07:00 Los_Angeles,"","","",22,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.755-07:00 Los_Angeles,2018-11-25T13:45:24-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM120-OR,✓,BI3000129,"","","","",✓,"","","","","",@p:ubcv:r:24f089bf-44dbac63 Liu Rm 120,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM120-OR.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:45.542Z UTC
@p:ubcv:r:238b41b7-566b376b Liu Heating Plant JCL-NAE57/N2-1.LC-DC-1.LC-MISC_F-ALM,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000201,✓,"",JCL-NAE57/N2-1.LC-DC-1.LC-MISC_F-ALM,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Normal,Alarm",@p:ubcv:r:21c5a449-a495fb42 Liu Heating Plant,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-04-09T04:29:04-07:00 Los_Angeles,"","","",22,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.756-07:00 Los_Angeles,2018-11-25T13:45:24.029-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-1.LC-MISC_F-ALM,✓,BI3000063,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-1.LC-MISC_F-ALM.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:48.182Z UTC
@p:ubcv:r:238b41b7-30d41735 Liu Heating Plant JCL-NAE57/N2-1.LC-DC-1.LC-HW_Occd,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3001604,✓,"",JCL-NAE57/N2-1.LC-DC-1.LC-HW_Occd,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:21c5a449-a495fb42 Liu Heating Plant,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.887-07:00 Los_Angeles,2018-11-25T13:45:23.852-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-1.LC-HW_Occd,✓,BO3000048,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-1.LC-HW_Occd.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:35.872Z UTC
@p:ubcv:r:238b41b7-cb65461f Liu Heating Plant JCL-NAE57/N2-1.LC-DC-1.LC-MISC_S-ALM,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000205,✓,"",JCL-NAE57/N2-1.LC-DC-1.LC-MISC_S-ALM,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Normal,Alarm",@p:ubcv:r:21c5a449-a495fb42 Liu Heating Plant,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-04-09T04:29:04-07:00 Los_Angeles,"","","",14,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.758-07:00 Los_Angeles,2018-11-25T13:45:24.023-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-1.LC-MISC_S-ALM,✓,BI3000065,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-1.LC-MISC_S-ALM.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:47.089Z UTC
@p:ubcv:r:20a65214-28c05a78 Liu HW Main Meter Energy,"",@p:ubcv:r:21c5a615-61e0f4fe LIU DES Meter,AI1,"",✓,"","","",@p:ubcv:r:21c5a615-61e0f4fe LIU DES Meter,✓,MWh => kWh,ok,1089020.99609375kWh,"","","",$equipRef $navName,"","","",✓,"","",@p:ubcv:r:20a65214-3e328e52 Liu HW Main Meter,"","","","",@p:ubcv:r:21697fca-84383cbb Liu Utilities,"",✓,"",15min,2020-05-12T15:30:00-07:00 Los_Angeles,"","",consumption,139108,2016-05-05T11:15:00-07:00 Los_Angeles,ok,✓,✓,"",Number,"","","","",Energy,"","","","","","",✓,"","","",10364,"","","","",✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,108,"",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,kWh,✓,"","",✓,"","","","",2020-04-28T00:03:35.141Z UTC
@p:ubcv:r:238b41b7-c009c73d Liu Rm132 FC-1 JCL-NAE57/N2-1.LC-DC-3.LC-FC1_SA-T,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000252,✓,"",JCL-NAE57/N2-1.LC-DC-3.LC-FC1_SA-T,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24f08886-b266d2a8 Liu Rm132 FC-1,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.889-07:00 Los_Angeles,2018-11-25T13:45:24.011-08:00 Los_Angeles,"","",Discharge Air Temp,"",AI3000098,"","","","",✓,"","","","","",@p:ubcv:r:24f08886-56c17f75 Liu Rm132,"","",✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,JCL-NAE57/N2-1.LC-DC-3.LC-FC1_SA-T.Trend1,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:17.581Z UTC
@p:ubcv:r:238b41b7-3eabd5c4 Liu Unsorted Points JCL-NAE57/Programming.Energy.Energy Meter Peak and Usage Calc.This Hours Peak,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3001318,✓,"",JCL-NAE57/Programming.Energy.Energy Meter Peak and Usage Calc.This Hours Peak,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:238b41b4-6b8a3644 Liu Unsorted Points,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-01-11T16:00:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [254] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",10041,2018-11-18T15:00:00-08:00 Los_Angeles,fault,"","",✓,Number,2020-05-11T17:48:52.097-07:00 Los_Angeles,2018-11-25T13:45:23.302-08:00 Los_Angeles,"","",JCL-NAE57/Programming.Energy.Energy Meter Peak and Usage Calc.This Hours Peak,✓,AV3000601,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/Programming.Energy.Energy Meter Peak and Usage Calc.This Hours Peak.Trend2,Los_Angeles,kW,"","","","","","","","",2020-04-09T19:02:17.582Z UTC
@p:ubcv:r:238b41b7-e86810cc Liu Rm 130 Zone JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-WC,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000294,✓,"",JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-WC,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24f089bf-d672c911 Liu Rm 130 Zone,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.89-07:00 Los_Angeles,2018-11-25T13:45:23.995-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-WC,✓,AI3000138,"","","","",✓,"","","","","",@p:ubcv:r:24f089bf-6635fd98 Liu Rm 130,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-WC.Trend1,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:17.583Z UTC
@p:ubcv:r:238b41b7-5a93e3fb Liu EF JCL-NAE57/N2-1.LC-DC-11.LC-VENT_RM200-T,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000238,✓,"",JCL-NAE57/N2-1.LC-DC-11.LC-VENT_RM200-T,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24f08887-1f5c3886 Liu EF,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.892-07:00 Los_Angeles,2018-11-25T13:45:24.02-08:00 Los_Angeles,"","",Zone Temp,"",AI3000086,"","","","",✓,"","","","","","","","",✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:2538d9da-1aedb8c9 .+(\.|-| |_)RM(\d+\w?)?-Z?T,✓,JCL-NAE57/N2-1.LC-DC-11.LC-VENT_RM200-T.Trend1,Los_Angeles,°C,"","","","","","","",✓,2020-04-09T19:02:17.584Z UTC
@p:ubcv:r:238b41b7-4be001df Liu Rm 120A Zone JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM120A-WC,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000306,✓,"",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM120A-WC,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24f089bf-b267760e Liu Rm 120A Zone,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.893-07:00 Los_Angeles,2018-11-25T13:45:23.847-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM120A-WC,✓,AI3000148,"","","","",✓,"","","","","",@p:ubcv:r:24f089bf-b4138b3d Liu Rm 120A,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM120A-WC.Trend1,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:17.585Z UTC
