id,ahu,ahuMode,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chilled,cmd,co2,connRef,cool,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,final,flow,groupRef,heat,heating,heatingMode,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,lifeBAHU1_VAV,lifeBAHU2_VAV,lifePHAHU1_VAV,life_B_AHU2,life_PHAHU2_VAV,lowLim,mixed,mode,motion,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,pressure,ptTest,pump,quantityID,return,run,scheduleOcc,sensor,shortName,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,tags,temp,testUnits,tlName,transfer,tz,unit,utilityPoint,valve,vav,vavMode,volume,water,zone,mod
@p:ubcv:r:236e3e98-6ec17a0a Life Building Unsorted Points L2_VAV09_RM2602_MO_OCC,"","","",@p:ubcv:r:236caa97-968509be LIFE L2_VAV09_RM2602 AHU2 CP560140,"",TL14,✓,L2_VAV09_RM2602_MO_OCC,"","","",@p:ubcv:r:236caa97-968509be LIFE L2_VAV09_RM2602 AHU2 CP560140,"","","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T14:34:45-07:00 Los_Angeles,"","","",2130,2018-10-29T07:55:46-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:38:28.698-07:00 Los_Angeles,2018-11-28T16:32:59.198-08:00 Los_Angeles,"","","","","","","","","","",Occupancy Sensor,"",BV2,✓,"","","","",✓,"","","","","","","","","",✓,"",@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","",@p:ubcv:r:23e65d0e-88249056 .+_OCC(_BV)?(_TL)?,"","","",L2_VAV09_RM2602_MO_OCC_TL,"",Los_Angeles,"","","","","","","","",2020-04-08T23:17:37.007Z UTC
@p:ubcv:r:236e40b9-ee8092a6 Life Building Unsorted Points AMS_B_VAV24_RM0031_FLW,"","",✓,@p:ubcv:r:236cb140-20b49829 LIFE AMS_B_VAV24_RM0031 B_AHU2,"",TL3,✓,AMS_B_VAV24_RM0031_FLW,"","","",@p:ubcv:r:236cb140-20b49829 LIFE AMS_B_VAV24_RM0031 B_AHU2,"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","",✓,@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:37:54-07:00 Los_Angeles,"","","",80259,2018-10-31T07:18:02-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:38:54.56-07:00 Los_Angeles,2019-01-23T16:53:02.433-08:00 Los_Angeles,"","","","","","","","","","",Discharge Air Flow,"",AV18,"","","","","",✓,"","","","","","","","","",✓,"",@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","","","","","",AMS_B_VAV24_RM0031_FLW_TL,"",Los_Angeles,L/s,"","","","","","","",2020-04-09T19:02:18.808Z UTC
@p:ubcv:r:236e3c8b-14a8b168 Life Building Unsorted Points G_VAV12_RM1031_1030A_B_RT_AV,"","",✓,@p:ubcv:r:236ca423-6e1aba50 LIFE G_VAV12_RM1031_1030A_B AHU2 CP560049,"",TL1,✓,G_VAV12_RM1031_1030A_B_RT_AV,"","","",@p:ubcv:r:236ca423-6e1aba50 LIFE G_VAV12_RM1031_1030A_B AHU2 CP560049,"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:30:48-07:00 Los_Angeles,"","","",80730,2018-10-29T21:59:12-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:40:40.639-07:00 Los_Angeles,2019-01-23T16:53:17.802-08:00 Los_Angeles,"","","","","","","","","","",Zone Temp,"",AV24,"","","","","",✓,"","","","","","","","","",✓,"",@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"",G_VAV12_RM1031_1030A_B_RT_TL,"",Los_Angeles,°C,"","","","","","",✓,2020-04-09T19:02:18.086Z UTC
@p:ubcv:r:236e3f71-9e56e7f3 Life Building Unsorted Points L2_VAV22_RM2400_2500_CO2_SP,"","","",@p:ubcv:r:236cab0b-c7dcf2d4 LIFE L2_VAV22_RM2400_2500 AHU1 CP560152,"",TL12,✓,L2_VAV22_RM2400_2500_CO2_SP,"","","",@p:ubcv:r:236cab0b-c7dcf2d4 LIFE L2_VAV22_RM2400_2500 AHU1 CP560152,"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:28:59-07:00 Los_Angeles,"","","",80274,2018-10-31T07:55:49-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:38:55.629-07:00 Los_Angeles,2018-11-28T16:32:26.75-08:00 Los_Angeles,"","","","","","","","","","",L2_VAV22_RM2400_2500_CO2_SP,✓,AV42,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","","","","","",L2_VAV22_RM2400_2500_CO2_SP_TL,"",Los_Angeles,ppm,"","","","","","","",2020-04-09T19:02:18.511Z UTC
@p:ubcv:r:236e3b1f-0991594f Life Building Unsorted Points G_VAV02_RM1311_FLW,"","",✓,@p:ubcv:r:236ca423-6f11f827 LIFE G_VAV02_RM1311 AHU1 CP560035,"",TL3,✓,G_VAV02_RM1311_FLW,"","","",@p:ubcv:r:236ca423-6f11f827 LIFE G_VAV02_RM1311 AHU1 CP560035,"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","",✓,@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:39:32-07:00 Los_Angeles,"","","",80734,2018-10-29T21:58:42-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:40:42.292-07:00 Los_Angeles,2019-01-23T16:53:04.463-08:00 Los_Angeles,"","","","","","","","","","",Discharge Air Flow,"",AV18,"","","","","",✓,"","","","","","","","","",✓,"",@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","","","","","",G_VAV02_RM1311_FLW_TL,"",Los_Angeles,L/s,"","","","","","","",2020-04-09T19:02:17.942Z UTC
@p:ubcv:r:236e4040-759ed213 Life Building Unsorted Points AMS_B_VAV15_RM0009A_DMP_OP,"","","",@p:ubcv:r:236cb140-7f495de4 LIFE AMS_B_VAV15_RM0009A B_AHU2,"",TL92,✓,AMS_B_VAV15_RM0009A_DMP_OP,"","","",@p:ubcv:r:236cb140-7f495de4 LIFE AMS_B_VAV15_RM0009A B_AHU2,"","","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:18:19-07:00 Los_Angeles,"","","",62167,2018-10-31T20:01:16-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:38:28.578-07:00 Los_Angeles,2018-11-28T16:32:54.25-08:00 Los_Angeles,"","","","","","","","","","",AMS_B_VAV15_RM0009A_DMP_OP,✓,BO6,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","","","","","",AMS_B_VAV15_RM0009A_Dmp_Open_TL*,"",Los_Angeles,"","","","","","","","",2020-04-08T23:17:37.136Z UTC
@p:ubcv:r:236e3eb9-d1fde2ef Life Building Unsorted Points L2_VAV17_RM2001_FLW_SP,"","",✓,@p:ubcv:r:236caa97-bac7d7eb LIFE L2_VAV17_RM2001 AHU2 CP560143,"",TL4,✓,L2_VAV17_RM2001_FLW_SP,"","","",@p:ubcv:r:236caa97-bac7d7eb LIFE L2_VAV17_RM2001 AHU2 CP560143,"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","",✓,@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:29:24-07:00 Los_Angeles,"","","",80723,2018-10-29T22:16:30-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:38:55.359-07:00 Los_Angeles,2019-01-23T16:52:58.86-08:00 Los_Angeles,"","","","","","","","","","",Discharge Air Flow Sp,"",AV5,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:233e8755-001dd5ba Life Building,"",✓,"","","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","","",L2_VAV17_RM2001_FLW_SP_TL,"",Los_Angeles,L/s,"","","","","","","",2020-04-09T19:02:18.416Z UTC
@p:ubcv:r:236cb218-bb3617cf Life Building Unsorted Points ATHLETICS_B_VAV02_RM0061_FLW,"","",✓,@p:ubcv:r:236ca3c3-6bf50111 LIFE ATHLETICS_B_VAV02_RM0061 B_AHU_1 CP560005,"",TL3,✓,ATHLETICS_B_VAV02_RM0061_FLW,"","","",@p:ubcv:r:236ca3c3-6bf50111 LIFE ATHLETICS_B_VAV02_RM0061 B_AHU_1 CP560005,"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","",✓,@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:40:07-07:00 Los_Angeles,"","","",80904,2018-10-28T17:08:54-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:40:41.591-07:00 Los_Angeles,2019-01-23T16:52:58.052-08:00 Los_Angeles,"","","","","","","","","","",Discharge Air Flow,"",AV18,"","","","","",✓,"","","","","","","","","",✓,"",@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","","","","","",ATHLETICS_B_VAV02_RM0061_FLW_TL,"",Los_Angeles,L/s,"","","","","","","",2020-04-09T19:02:17.811Z UTC
@p:ubcv:r:245f3bf8-9acb1cc0 Life Building Unsorted Points L2_VAV07_RM2108_RT_SP,"","",✓,@p:ubcv:r:245f3a4b-eabc739e LIFE L2_VAV07_RM2108 AHU2 CP560145,"",TL2,✓,L2_VAV07_RM2108_RT_SP,"","","",@p:ubcv:r:245f3a4b-eabc739e LIFE L2_VAV07_RM2108 AHU2 CP560145,"","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:33:24-07:00 Los_Angeles,"","","",54420,2019-04-30T16:15:31-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:38:55.875-07:00 Los_Angeles,"","","","","","","","","","","",Zone Temp Effective Sp,"",AV6,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:233e8755-001dd5ba Life Building,"",✓,"","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"",✓,"",L2_VAV07_RM2108_RT_SP_TL,"",Los_Angeles,°C,"","","","","","",✓,2020-04-09T19:02:18.436Z UTC
@p:ubcv:r:236e3fb4-6317ee29 Life Building Unsorted Points THX_TS_TC2,"","","",@p:ubcv:r:236ca830-bc70345b LIFE LIFE_THERMENEX_560200,"",TL9,✓,THX_TS_TC2,"","","",@p:ubcv:r:236ca830-bc70345b LIFE LIFE_THERMENEX_560200,"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:35:00-07:00 Los_Angeles,"","","",161660,2018-10-29T05:55:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:38:25.186-07:00 Los_Angeles,2018-11-28T16:32:29.926-08:00 Los_Angeles,"","","","","","","","","","",THX_TS_TC2,✓,AI1102,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","","","","","",THX_TS_TC2_TL,"",Los_Angeles,°C,"","","","","","","",2020-04-09T19:02:18.55Z UTC
