id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,opcConnRef,opcCur,opcPoint,point,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,water,mod
@p:ubcv:r:263b76f0-3c0d7002 Student Recreation Centre Elec Main Meter Power,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,16.84258460998535kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:2124b442-3de0221f Student Recreation Centre Elec Main Meter,"",@p:ubcv:r:21697fca-ffe51a2c Student Recreation Centre Utilities,✓,5kW,15min,2020-05-12T20:15:00-07:00 Los_Angeles,"","",293085,2012-02-29T15:45:00-08:00 Los_Angeles,ok,"","",Number,"",Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_SRC_774.Elec_Power,✓,✓,✓,116,✓,@p:ubcv:r:2124b442-542dc471 Student Recreation Centre,203,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"",2020-05-12T08:00:09.883Z UTC
@p:ubcv:r:2388a048-96962307 Student Recreation Centre HW Main Meter Water Delta Temp,"","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:2124b442-d2bd96aa Student Recreation Centre HW Main Meter,"",@p:ubcv:r:21697fca-ffe51a2c Student Recreation Centre Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","",✓,"","","",@p:ubcv:r:2124b442-542dc471 Student Recreation Centre,"","","",✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.472Z UTC
@p:ubcv:r:2124b442-dda8c3e9 Student Recreation Centre HW Main Meter Power,@p:ubcv:r:21cad5ee-88bb32a2 SRC DES Meter,AI5,✓,@p:ubcv:r:21cad5ee-88bb32a2 SRC DES Meter,✓,"",ok,0kW,"","",$equipRef $navName,"","","",@p:ubcv:r:2124b442-d2bd96aa Student Recreation Centre HW Main Meter,"",@p:ubcv:r:21697fca-ffe51a2c Student Recreation Centre Utilities,✓,5kW,15min,2020-05-12T20:15:00-07:00 Los_Angeles,"","",469595,2016-05-10T15:30:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","",✓,✓,"",✓,@p:ubcv:r:2124b442-542dc471 Student Recreation Centre,"","","","",Los_Angeles,kW,✓,✓,2020-05-12T08:00:09.884Z UTC
@p:ubcv:r:2124b442-64fb0ac4 Student Recreation Centre HW Main Meter Energy,@p:ubcv:r:21cad5ee-88bb32a2 SRC DES Meter,AI1,✓,@p:ubcv:r:21cad5ee-88bb32a2 SRC DES Meter,✓,MWh => kWh,ok,2991159.912109375kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:2124b442-d2bd96aa Student Recreation Centre HW Main Meter,"",@p:ubcv:r:21697fca-ffe51a2c Student Recreation Centre Utilities,✓,"",15min,2020-05-12T20:15:00-07:00 Los_Angeles,"",consumption,139477,2016-05-05T11:00:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","",✓,"",10364,✓,@p:ubcv:r:2124b442-542dc471 Student Recreation Centre,203,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,✓,2020-04-28T00:03:35.474Z UTC
@p:ubcv:r:21dffdae-bafbc0ae Student Recreation Centre HW Main Meter Flow,@p:ubcv:r:21cad5ee-88bb32a2 SRC DES Meter,AI4,✓,@p:ubcv:r:21cad5ee-88bb32a2 SRC DES Meter,✓,L/h => L/s,ok,0L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:2124b442-d2bd96aa Student Recreation Centre HW Main Meter,✓,@p:ubcv:r:21697fca-ffe51a2c Student Recreation Centre Utilities,✓,0.25L/s,10min,2020-05-12T20:20:00-07:00 Los_Angeles,"",consumption,213521,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","",✓,"","",✓,@p:ubcv:r:2124b442-542dc471 Student Recreation Centre,"","","","",Los_Angeles,L/s,✓,✓,2020-04-28T00:03:35.475Z UTC
@p:ubcv:r:21dffdae-e09b0133 Student Recreation Centre HW Main Meter Entering Water Temp,@p:ubcv:r:21cad5ee-88bb32a2 SRC DES Meter,AI9,✓,@p:ubcv:r:21cad5ee-88bb32a2 SRC DES Meter,✓,"",ok,72.97000122070312°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:2124b442-d2bd96aa Student Recreation Centre HW Main Meter,"",@p:ubcv:r:21697fca-ffe51a2c Student Recreation Centre Utilities,✓,0.5°C,10min,2020-05-12T20:21:21-07:00 Los_Angeles,"",consumption,218796,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","",✓,@p:ubcv:r:2124b442-542dc471 Student Recreation Centre,"","","",✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.476Z UTC
@p:ubcv:r:21dffdae-54982593 Student Recreation Centre HW Main Meter Leaving Water Temp,@p:ubcv:r:21cad5ee-88bb32a2 SRC DES Meter,AI10,✓,@p:ubcv:r:21cad5ee-88bb32a2 SRC DES Meter,✓,"",ok,62.21999740600586°C,"","",$equipRef $navName,"","","",@p:ubcv:r:2124b442-d2bd96aa Student Recreation Centre HW Main Meter,"",@p:ubcv:r:21697fca-ffe51a2c Student Recreation Centre Utilities,✓,0.5°C,10min,2020-05-12T20:21:21-07:00 Los_Angeles,"",consumption,301726,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","",✓,"","",✓,@p:ubcv:r:2124b442-542dc471 Student Recreation Centre,"","","",✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.477Z UTC
@p:ubcv:r:263b76f1-0acb0925 Student Recreation Centre Elec Main Meter Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,6561572.5kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:2124b442-3de0221f Student Recreation Centre Elec Main Meter,"",@p:ubcv:r:21697fca-ffe51a2c Student Recreation Centre Utilities,✓,"",15min,2020-05-12T20:15:00-07:00 Los_Angeles,"",consumption,287615,2012-02-29T15:45:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_SRC_774.Elec_Energy,✓,✓,"",10393,✓,@p:ubcv:r:2124b442-542dc471 Student Recreation Centre,203,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",2020-05-04T19:39:55.651Z UTC
