id,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,elec,energy,entering,enum,equipRef,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,lastTagged,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:238b4247-22c0e61c Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC003-WC,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000284,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC003-WC,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.957-07:00 Los_Angeles,2018-11-25T13:45:24-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC003-WC,✓,AI3000077,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC003-WC.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.465Z UTC
@p:ubcv:r:238b4247-08a65e53 Sing Tao Unsorted Points JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Supply Flow,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001025,✓,JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Supply Flow,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25766,2018-11-20T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.959-07:00 Los_Angeles,2018-11-25T13:45:23.379-08:00 Los_Angeles,"","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Supply Flow,✓,AV3000451,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Supply Flow.Trend1,Los_Angeles,L/s,"","","","","",2020-04-09T19:02:17.466Z UTC
@p:ubcv:r:238b4247-8c28ccaa Sing Tao Unsorted Points JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-1,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001099,✓,JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-1,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T00:00:00-07:00 Los_Angeles,"","",541,2018-11-19T00:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.938-07:00 Los_Angeles,2018-11-25T13:45:23.317-08:00 Los_Angeles,"","",JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-1,✓,AI3001093,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-1.Trend1,Los_Angeles,MWh,"","","","","",2020-04-09T19:02:17.467Z UTC
@p:ubcv:r:238b4247-1f5f11df Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF6-DPR,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000195,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF6-DPR,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.962-07:00 Los_Angeles,2018-11-25T13:45:23.949-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF6-DPR,✓,AO3000030,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF6-DPR.Trend1,Los_Angeles,_,"","","","","",2020-04-09T19:15:20.428Z UTC
@p:ubcv:r:238b4247-138b6479 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_ZNT-SP,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001920,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_ZNT-SP,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-04-09T04:29:06-07:00 Los_Angeles,"","",23,2018-12-20T12:32:55-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.926-07:00 Los_Angeles,2018-11-25T13:45:23.811-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_ZNT-SP,✓,AO3000046,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_ZNT-SP.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.469Z UTC
@p:ubcv:r:238b4247-2a746bdb Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SF-C,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000272,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SF-C,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T12:30:03-07:00 Los_Angeles,"","",764,2018-11-19T06:00:05-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.946-07:00 Los_Angeles,2018-11-25T13:45:23.998-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SF-C,✓,BO3000067,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SF-C.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:45.272Z UTC
@p:ubcv:r:238b4247-b8d61082 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_MA-DPR,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000200,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_MA-DPR,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","",✓,"","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.964-07:00 Los_Angeles,2018-11-25T13:45:24.029-08:00 Los_Angeles,"",✓,Mixed Air Damper Cmd,"",AO3000035,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-c8536712 .+(\.|-| |_)MA-DPR,"",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_MA-DPR.Trend1,Los_Angeles,%,"","","","","",2020-04-09T19:02:17.47Z UTC
@p:ubcv:r:238b4247-ec461be0 Sing Tao Unsorted Points JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Current Hourly Consumption,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000995,✓,JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Current Hourly Consumption,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",12980,2018-11-18T16:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.966-07:00 Los_Angeles,2018-11-25T13:45:23.583-08:00 Los_Angeles,"","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Current Hourly Consumption,✓,AV3000447,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Current Hourly Consumption.Trend1,Los_Angeles,MWh,"","","","","",2020-04-09T19:02:17.471Z UTC
@p:ubcv:r:238b4247-39593f2e Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-DHW_P5-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000355,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-DHW_P5-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-04-09T04:29:01-07:00 Los_Angeles,"","",16,2018-12-20T12:32:54-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.896-07:00 Los_Angeles,2018-12-07T09:45:31.743-08:00 Los_Angeles,"","",Pump Run Status,"",BI3000126,"","","","",✓,"",✓,"","",✓,"",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"",JCL-NAE56/N2-1.SJ-DC-3.SJ-DHW_P5-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:33.153Z UTC
@p:ubcv:r:238b4247-4c1fa265 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-EF_EF1-S,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000281,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-EF_EF1-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,✓,✓,"",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-04-09T04:29:01-07:00 Los_Angeles,"","",18,2018-12-20T12:32:56-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.9-07:00 Los_Angeles,2018-11-25T13:45:24.001-08:00 Los_Angeles,"","",Exhaust Fan Run Feedback,"",BI3000074,"","","","",✓,"","","","",✓,"",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-9d7111b8 .+(\.|-| |_)EF-?(\d+)?\w?-S,"",JCL-NAE56/N2-1.SJ-DC-2.SJ-EF_EF1-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:45.575Z UTC
@p:ubcv:r:238b4247-50a95074 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.HE1-VLV-FB,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001561,✓,JCL-NAE56/N2-1.SJ-DC-3.HE1-VLV-FB,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25766,2018-11-20T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.967-07:00 Los_Angeles,2018-11-25T13:45:24.02-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-3.HE1-VLV-FB,✓,AI3001560,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-3.HE1-VLV-FB.Trend1,Los_Angeles,_,"","","","","",2020-04-09T19:15:20.429Z UTC
@p:ubcv:r:263b76ea-fdabc00b Sing Tao Elec Main Meter Power,"","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,9.473447799682617kW,"","","",$equipRef $navName,"",✓,"","","",@p:ubcv:r:20a661de-da647181 Sing Tao Elec Main Meter,"","","",@p:ubcv:r:21697fca-7b42701e Sing Tao Utilities,"",✓,5kW,15min,"",2020-05-12T20:15:00-07:00 Los_Angeles,"","",323248,2011-03-31T17:00:00-07:00 Los_Angeles,ok,"","","",Number,"","","","",Power,"","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Sing_Tao_212.Elec_Power,✓,"",✓,✓,"",116,"","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,68,"",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,kW,✓,"","","","",2020-05-12T08:00:09.885Z UTC
@p:ubcv:r:238b4247-d59c4631 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.RHC7.SJ-FLR3_RHC007-WC,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001177,✓,JCL-NAE56/N2-1.SJ-DC-3.RHC7.SJ-FLR3_RHC007-WC,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.969-07:00 Los_Angeles,2018-11-25T13:45:23.43-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-3.RHC7.SJ-FLR3_RHC007-WC,✓,AI3001176,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-3.RHC7.SJ-FLR3_RHC007-WC.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.473Z UTC
@p:ubcv:r:238b4247-4be09831 Sing Tao Unsorted Points JCL-NAE56/Programming.Central Plant.SJ-HW.HWS-LL,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001833,✓,JCL-NAE56/Programming.Central Plant.SJ-HW.HWS-LL,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",50494,2018-11-23T03:15:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.074-07:00 Los_Angeles,2018-11-25T13:45:23.731-08:00 Los_Angeles,"","",JCL-NAE56/Programming.Central Plant.SJ-HW.HWS-LL,✓,AV3001592,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/Programming.Central Plant.SJ-HW.HWS-LL.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.474Z UTC
@p:ubcv:r:238b4247-c3d18b53 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_TLL-ALM,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000213,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_TLL-ALM,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Normal,Alarm",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-04-09T04:29:01-07:00 Los_Angeles,"","",17,2018-12-20T12:32:55-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.901-07:00 Los_Angeles,2018-11-25T13:45:24.024-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_TLL-ALM,✓,BI3000044,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_TLL-ALM.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:47.202Z UTC
@p:ubcv:r:238b4247-b1e7a203 Sing Tao Unsorted Points JCL-NAE56/Programming.HVAC.SJ-AHU1.Optimum Start.Zone Warm Cool Mode,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001047,✓,JCL-NAE56/Programming.HVAC.SJ-AHU1.Optimum Start.Zone Warm Cool Mode,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Normal,Warmup,Cooldown,Coast",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","-1 enumNumberToStr(self, false)",2020-04-09T04:29:01-07:00 Los_Angeles,"","",41,2018-12-20T12:37:34-08:00 Los_Angeles,ok,"","",✓,Str,2020-05-12T20:08:38.903-07:00 Los_Angeles,2018-11-25T13:45:23.32-08:00 Los_Angeles,"","",JCL-NAE56/Programming.HVAC.SJ-AHU1.Optimum Start.Zone Warm Cool Mode,✓,MSV3000454,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/Programming.HVAC.SJ-AHU1.Optimum Start.Zone Warm Cool Mode.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:52:43.396Z UTC
@p:ubcv:r:238b4247-f4caa4c3 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_P2-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000352,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_P2-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-04-09T04:29:01-07:00 Los_Angeles,"","",68,2018-11-21T07:28:03-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.905-07:00 Los_Angeles,2018-12-07T09:45:31.744-08:00 Los_Angeles,"","",Pump Run Status,"",BI3000124,"","","","",✓,"",✓,"","",✓,"",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"",JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_P2-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:33.203Z UTC
@p:ubcv:r:238b4247-4a896d98 Sing Tao Unsorted Points JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-4,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001098,✓,JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-4,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25766,2018-11-20T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.97-07:00 Los_Angeles,2018-11-25T13:45:23.317-08:00 Los_Angeles,"","",JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-4,✓,AI3001090,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-4.Trend1,Los_Angeles,L/h,"","","","","",2020-04-09T19:02:17.475Z UTC
@p:ubcv:r:238b4247-f5b14ff2 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-EF_EF1-C,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000279,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-EF_EF1-C,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,✓,✓,"",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-04-09T04:29:01-07:00 Los_Angeles,"","",700,2018-11-19T06:00:05-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.907-07:00 Los_Angeles,2018-11-25T13:45:23.996-08:00 Los_Angeles,"","",Exhaust Fan Run Cmd,"",BO3000073,"","","","",✓,"","","","",✓,"","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-b8710d90 .+(\.|-| |_)EF-?(\d+)?\w?-C,"",JCL-NAE56/N2-1.SJ-DC-2.SJ-EF_EF1-C.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:45.137Z UTC
@p:ubcv:r:238b4247-47000dec Sing Tao Unsorted Points JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-9,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001096,✓,JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-9,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25766,2018-11-20T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.972-07:00 Los_Angeles,2018-11-25T13:45:23.317-08:00 Los_Angeles,"","",JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-9,✓,AI3001085,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-9.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.476Z UTC
@p:ubcv:r:238b4247-3de03d00 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SF-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000274,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SF-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T12:30:07-07:00 Los_Angeles,"","",774,2018-11-19T06:00:07-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.949-07:00 Los_Angeles,2018-11-25T13:45:23.997-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SF-S,✓,BI3000068,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SF-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:45.246Z UTC
@p:ubcv:r:238b4247-2b551f4a Sing Tao Unsorted Points JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Weeks Peak,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000927,✓,JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Weeks Peak,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T13:01:48-07:00 Los_Angeles,"","",20161,2018-11-20T00:30:23-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.95-07:00 Los_Angeles,2018-11-25T13:45:23.592-08:00 Los_Angeles,"","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Weeks Peak,✓,AV3000427,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Weeks Peak.Trend1,Los_Angeles,kW,"","","","","",2020-04-09T19:02:17.477Z UTC
