id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,discharge,elec,energy,entering,enum,equipName,equipRef,exhaust,fan,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,leaving,low,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,point,power,pressure,pump,quantityID,run,scheduled,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zachName,zone,mod
@p:ubcv:r:25a64868-1acc94a8 FNH Unsorted Points JCL-NAE20/N2-A.20A009UN.RHC-V2,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000158,"",JCL-NAE20/N2-A.20A009UN.RHC-V2,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.398-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A009UN.RHC-V2,✓,AO3000157,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A009UN.RHC-V2.Trend1,Los_Angeles,%,"","","","",FNH.RH3.RHC-V2,"",2020-04-09T19:02:01.33Z UTC
@p:ubcv:r:25a64868-cf4a4905 FNH Unsorted Points JCL-NAE20/N2-A.20A014UN.PID-OP,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000591,"",JCL-NAE20/N2-A.20A014UN.PID-OP,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T13:12:15-07:00 Los_Angeles,"","",7641,2020-01-01T13:44:11-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:17.926-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A014UN.PID-OP,✓,AO3000590,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A014UN.PID-OP.Trend1,Los_Angeles,%,"","","","",FNH.HVAC1.PID-OP,"",2020-04-09T19:02:01.331Z UTC
@p:ubcv:r:25a64868-9f628acf FNH Unsorted Points JCL-NAE20/N2-A.20A009UN.ZN-SP2,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000290,"",JCL-NAE20/N2-A.20A009UN.ZN-SP2,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.405-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A009UN.ZN-SP2,✓,AO3000289,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A009UN.ZN-SP2.Trend1,Los_Angeles,°C,"","","","",FNH.RH3.ZN-SP2,"",2020-04-09T19:02:01.332Z UTC
@p:ubcv:r:263b7697-9ebb6a92 FNH Elec Main Meter Energy,"","","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,4313442kWh,"","",$equipRef $navName,"",✓,✓,"","","",@p:ubcv:r:20a64546-8544b88b FNH Elec Main Meter,"","","",@p:ubcv:r:21697fca-d8ee0da0 FNH Utilities,✓,"",15min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,319750,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"","",Number,"","","",Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_FNH_449.Elec_Energy,✓,"",✓,"","","",10393,"","",✓,@p:ubcv:r:20a64546-f3ae027f FNH,62,"",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,kWh,✓,"","","","","",2020-05-04T19:39:55.077Z UTC
@p:ubcv:r:25a64868-3ba4bbc5 FNH Unsorted Points JCL-NAE20/N2-A.20A003UN.COOL2-T,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000067,"",JCL-NAE20/N2-A.20A003UN.COOL2-T,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:33:00-07:00 Los_Angeles,"","",31219,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.985-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A003UN.COOL2-T,✓,AI3000065,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A003UN.COOL2-T.Trend1,Los_Angeles,°C,"","","","",FNH.MISC.COOL2-T,"",2020-04-09T19:02:01.333Z UTC
@p:ubcv:r:25a64868-1e3cc93b FNH Unsorted Points JCL-NAE20/N2-A.20A015UN.LT-A,"",✓,@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000339,"",JCL-NAE20/N2-A.20A015UN.LT-A,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","Normal,Alarm","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-04-07T16:20:23-07:00 Los_Angeles,"","",23,2020-01-08T08:06:46-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T14:33:17.793-07:00 Los_Angeles,"",✓,Low Temp Alarm,"",BI3000337,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","",@p:ubcv:r:24f02881-3b6e10f7 .+(\.|-| |_)LT-A(LM)?,✓,JCL-NAE20/N2-A.20A015UN.LT-A.Trend1,Los_Angeles,"","","","","",FNH.HVAC1.LT-A,"",2020-04-08T18:55:34.037Z UTC
@p:ubcv:r:25a64868-48524369 FNH Unsorted Points JCL-NAE20/N2-A.20A008UN.RHC-D2,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000136,"",JCL-NAE20/N2-A.20A008UN.RHC-D2,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.412-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A008UN.RHC-D2,✓,AO3000135,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A008UN.RHC-D2.Trend1,Los_Angeles,_,"","","","",FNH.DMP2.RHC-D2,"",2020-04-09T19:15:04.405Z UTC
@p:ubcv:r:21dffdad-968031b8 FNH HW Main Meter Entering Water Temp,"","",@p:ubcv:r:21caccc0-e723dab3 FNH DES Meter,AI9,"",✓,"","",@p:ubcv:r:21caccc0-e723dab3 FNH DES Meter,✓,"",ok,84.90999603271484°C,"","",$equipRef $navName,"","","",✓,"","",@p:ubcv:r:20a64546-dcb2ab24 FNH HW Main Meter,"","","",@p:ubcv:r:21697fca-d8ee0da0 FNH Utilities,✓,0.5°C,10min,2020-05-12T14:40:00-07:00 Los_Angeles,"",consumption,199162,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,"",Number,"","","",Entering Water Temp,"","","","","","","",✓,"","","","","","",✓,@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","",✓,"",Los_Angeles,°C,✓,"","",✓,"","",2020-04-28T00:03:35.727Z UTC
@p:ubcv:r:25a64868-c263a0b2 FNH Unsorted Points P1 JCL-NAE20/N2-A.20A013UN.P1-C,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000741,"",JCL-NAE20/N2-A.20A013UN.P1-C,✓,@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $equipName $bmsName,"","","","","Off,On",P1,@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T12:00:00-07:00 Los_Angeles,"","",265,2020-01-01T12:00:00-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T14:33:17.844-07:00 Los_Angeles,"","",Run Cmd,"",BO3000208,"","","","","",✓,"","",✓,"",✓,"","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","",@p:ubcv:r:23e65d3d-604110c2 .+(\.|-|_)C?H?P\d+(-)?C,"",JCL-NAE20/N2-A.20A013UN.P1-C.Trend1,Los_Angeles,"","","","","",FNH.HX1.P1-C,"",2020-05-12T11:03:27.907Z UTC
@p:ubcv:r:25a64868-d2973ff8 FNH Unsorted Points JCL-NAE20/N2-A.20A010UN.ZN-T2,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000165,"",JCL-NAE20/N2-A.20A010UN.ZN-T2,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.42-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A010UN.ZN-T2,✓,AI3000163,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A010UN.ZN-T2.Trend1,Los_Angeles,°C,"","","","",FNH.RH3.ZN-T2,"",2020-04-09T19:02:01.335Z UTC
@p:ubcv:r:25a64868-a07e64a5 FNH Unsorted Points JCL-NAE20/N2-A.20A010UN.EA3-D,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000180,"",JCL-NAE20/N2-A.20A010UN.EA3-D,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.428-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A010UN.EA3-D,✓,AO3000179,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A010UN.EA3-D.Trend1,Los_Angeles,%,"","","","",FNH.HVAC1.EA3-D,"",2020-04-09T19:02:01.336Z UTC
@p:ubcv:r:25a64868-931ad9b0 FNH Unsorted Points JCL-NAE20/N2-A.20A013UN.HWS-T,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000199,"",JCL-NAE20/N2-A.20A013UN.HWS-T,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"",✓,✓,Number,2020-05-12T14:33:24.435-07:00 Los_Angeles,✓,"",Leaving Hot Water Temp,"",AI3000197,"","","","","",✓,"","","","","","",✓,@p:ubcv:r:20a64546-f3ae027f FNH,"","","","",@p:ubcv:r:23e65d3d-654bc1a2 .+(\.|-|_| )HWS\d?-T,✓,JCL-NAE20/N2-A.20A013UN.HWS-T.Trend1,Los_Angeles,°C,"","","",✓,FNH.HX1.HWS-T,"",2020-04-09T19:02:01.337Z UTC
@p:ubcv:r:25a64868-a42d25d4 FNH Unsorted Points JCL-NAE20/N2-A.20A014UN.EF-VSD,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000323,"",JCL-NAE20/N2-A.20A014UN.EF-VSD,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T12:00:00-07:00 Los_Angeles,"","",282,2019-12-24T00:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:17.851-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A014UN.EF-VSD,✓,AO3000322,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A014UN.EF-VSD.Trend1,Los_Angeles,%,"","","","",FNH.HVAC1.EF-VSD,"",2020-04-09T19:02:01.338Z UTC
@p:ubcv:r:25a64868-28b2245b FNH Unsorted Points JCL-NAE20/N2-A.20A014UN.Parameters.OCCSTS,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000716,"",JCL-NAE20/N2-A.20A014UN.Parameters.OCCSTS,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","Unoccupied,Occupied","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",18001,2020-01-05T11:40:00-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T14:33:24.951-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A014UN.Parameters.OCCSTS,✓,BI3000327,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A014UN.Parameters.OCCSTS.Trend1,Los_Angeles,"","","","","",FNH.HVAC1.OCCSTS,"",2020-04-08T18:55:19.932Z UTC
@p:ubcv:r:25a64868-dfe41c23 FNH Unsorted Points JCL-NAE20/N2-A.20A012UN.RHC-D4,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000194,"",JCL-NAE20/N2-A.20A012UN.RHC-D4,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.442-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A012UN.RHC-D4,✓,AO3000193,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A012UN.RHC-D4.Trend1,Los_Angeles,_,"","","","",FNH.DMP3.RHC-D4,"",2020-04-09T19:15:04.406Z UTC
@p:ubcv:r:25a64868-c61635fc FNH Unsorted Points JCL-NAE20/N2-A.20A007UN.RHC-D,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000128,"",JCL-NAE20/N2-A.20A007UN.RHC-D,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.449-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A007UN.RHC-D,✓,AO3000127,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A007UN.RHC-D.Trend1,Los_Angeles,_,"","","","",FNH.DMP2.RHC-D,"",2020-04-09T19:15:04.407Z UTC
@p:ubcv:r:25a64868-cc68face FNH Unsorted Points JCL-NAE20/N2-A.20A009UN.ZN-T4,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000154,"",JCL-NAE20/N2-A.20A009UN.ZN-T4,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.456-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A009UN.ZN-T4,✓,AI3000152,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A009UN.ZN-T4.Trend1,Los_Angeles,°C,"","","","",FNH.RH3.ZN-T4,"",2020-04-09T19:02:01.341Z UTC
@p:ubcv:r:25a64868-a136ff75 FNH Unsorted Points JCL-NAE20/N2-A.20A005UN.ZN-SP1,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000252,"",JCL-NAE20/N2-A.20A005UN.ZN-SP1,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.462-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A005UN.ZN-SP1,✓,AO3000251,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A005UN.ZN-SP1.Trend1,Los_Angeles,°C,"","","","",FNH.RH2.ZN-SP1,"",2020-04-09T19:02:01.342Z UTC
@p:ubcv:r:25a64868-fe369872 FNH Unsorted Points JCL-NAE20/N2-A.20A010UN.ZN-T,✓,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000168,"",JCL-NAE20/N2-A.20A010UN.ZN-T,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.469-07:00 Los_Angeles,"","",Zone Temp,"",AI3000166,"","","","","",✓,"","","","","","",✓,@p:ubcv:r:20a64546-f3ae027f FNH,"","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE20/N2-A.20A010UN.ZN-T.Trend1,Los_Angeles,°C,"","","","",FNH.RH3.ZN-T,✓,2020-04-09T19:02:01.343Z UTC
@p:ubcv:r:25a64868-57b4f9ab FNH Unsorted Points JCL-NAE20/N2-A.20A006UN.EA2-D,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000120,"",JCL-NAE20/N2-A.20A006UN.EA2-D,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.476-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A006UN.EA2-D,✓,AO3000119,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A006UN.EA2-D.Trend1,Los_Angeles,%,"","","","",FNH.HVAC1.EA2-D,"",2020-04-09T19:02:01.344Z UTC
@p:ubcv:r:25a64868-f060441e FNH Unsorted Points JCL-NAE20/N2-A.20A015UN.OA-T,✓,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000332,"",JCL-NAE20/N2-A.20A015UN.OA-T,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.483-07:00 Los_Angeles,"","",Outside Air Temp,"",AI3000331,"","","","",✓,✓,"","","","","","",✓,@p:ubcv:r:20a64546-f3ae027f FNH,"","","","",@p:ubcv:r:23e65d3d-5671e7b8 .+(\.|-| |_)OA(_|-)T,✓,JCL-NAE20/N2-A.20A015UN.OA-T.Trend1,Los_Angeles,°C,"","","","",FNH.HVAC1.OA-T,"",2020-04-09T19:02:01.345Z UTC
@p:ubcv:r:25a64868-d6161554 FNH Unsorted Points JCL-NAE20/N2-A.20A002UN.EA1-D2,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000061,"",JCL-NAE20/N2-A.20A002UN.EA1-D2,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.49-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A002UN.EA1-D2,✓,AO3000060,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A002UN.EA1-D2.Trend1,Los_Angeles,%,"","","","",FNH.HVAC1.EA1-D2,"",2020-04-09T19:02:01.346Z UTC
@p:ubcv:r:25a64868-6017b830 FNH Unsorted Points JCL-NAE20/N2-A.20A015UN.SF-S,✓,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000683,"",JCL-NAE20/N2-A.20A015UN.SF-S,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,✓,"","","","Off,On","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"",✓,"",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",3126,2020-01-01T12:00:00-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T14:33:24.501-07:00 Los_Angeles,"","",Discharge Fan Run Status,"",BI3000335,"","","","","",✓,"","","","",✓,"",✓,@p:ubcv:r:20a64546-f3ae027f FNH,"","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"",JCL-NAE20/N2-A.20A015UN.SF-S.Trend2,Los_Angeles,"","","","","",FNH.HVAC1.SF-S,"",2020-04-08T18:55:28.494Z UTC
@p:ubcv:r:25a64868-8daccea1 FNH Unsorted Points JCL-NAE20/N2-A.20A009UN.RHC-V4,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000162,"",JCL-NAE20/N2-A.20A009UN.RHC-V4,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.508-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A009UN.RHC-V4,✓,AO3000161,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A009UN.RHC-V4.Trend1,Los_Angeles,%,"","","","",FNH.RH3.RHC-V4,"",2020-04-09T19:02:01.347Z UTC
@p:ubcv:r:25a64868-b6d27015 FNH Unsorted Points JCL-NAE20/N2-A.20A011UN.RHC-D1,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000184,"",JCL-NAE20/N2-A.20A011UN.RHC-D1,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.515-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A011UN.RHC-D1,✓,AO3000183,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A011UN.RHC-D1.Trend1,Los_Angeles,_,"","","","",FNH.DMP3.RHC-D1,"",2020-04-09T19:15:04.408Z UTC
