id,air,ancillaryImport,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chilled,cmd,co2,connRef,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,flow,gas,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,mixed,mode,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pressure,primaryLoop,ptTest,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:23d4f718-b7461935 Ponderosa North Unsorted Points HRV_04_HC_EWT_2,"","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"",TL52,✓,HRV_04_HC_EWT_2,"","","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:53:34-07:00 Los_Angeles,"","","",339886,2019-01-18T06:09:28-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:53:35.21-07:00 Los_Angeles,"","","","",HRV_04_HC_EWT_2,✓,AI1406,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",HRV_04_HC_EWT_2_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:38.738Z UTC
@p:ubcv:r:23d4f316-ada02a39 Ponderosa North Unsorted Points POND2_EM13_HTG_ENERGY_KWH_MUX,"","",@p:ubcv:r:23d4dcf3-e76bbd1f PONDN POND2_LVL3_VAV_EM12_EM13_CP730300 (730300),"",TL65,✓,POND2_EM13_HTG_ENERGY_KWH_MUX,"","","",@p:ubcv:r:23d4dcf3-e76bbd1f PONDN POND2_LVL3_VAV_EM12_EM13_CP730300 (730300),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:00:00-07:00 Los_Angeles,"","","",11631,2019-01-13T13:00:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:49:39.744-07:00 Los_Angeles,"","","","",POND2_EM13_HTG_ENERGY_KWH_MUX,✓,AV1064,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_EM13_HTG_ENERGY_KWH_POLL_TL,Los_Angeles,kWh,"","","","","",2020-04-09T19:02:38.323Z UTC
@p:ubcv:r:23d4f427-6d754ee8 Ponderosa North Unsorted Points POND2_VAV_313_FLW_SP,✓,"",@p:ubcv:r:23d4e563-901e6899 PONDN POND2_AHU1_VAV_313_RM3101_103_105 (730313),"",TL4,✓,POND2_VAV_313_FLW_SP,"","","",@p:ubcv:r:23d4e563-901e6899 PONDN POND2_AHU1_VAV_313_RM3101_103_105 (730313),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","",✓,"",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:51:51-07:00 Los_Angeles,"","","",69009,2019-01-17T03:20:09-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:54:19.707-07:00 Los_Angeles,2019-01-23T16:52:58.966-08:00 Los_Angeles,"","","",Discharge Air Flow Sp,"",AV5,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"",✓,"","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","",POND2_VAV_313_FLW_SP_TL,Los_Angeles,L/s,"","","","","",2020-04-09T19:02:38.407Z UTC
@p:ubcv:r:23d4eca3-3a91c6b7 Ponderosa North Unsorted Points POND2_FC107_RT_AV,✓,"",@p:ubcv:r:23d4dde8-58308d0d PONDN POND2_FC107_RM1230_32 (730107),"",TL5,✓,POND2_FC107_RT_AV,"","","",@p:ubcv:r:23d4dde8-58308d0d PONDN POND2_FC107_RM1230_32 (730107),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:44:40-07:00 Los_Angeles,"","","",339542,2019-01-18T05:40:59-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:45:53.009-07:00 Los_Angeles,2019-01-23T16:53:25.265-08:00 Los_Angeles,"","","",Zone Temp,"",AV10,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,"",POND2_FC107_RT_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:38.012Z UTC
@p:ubcv:r:23d4ed2f-b3c0b7ee Ponderosa North Unsorted Points POND2_FC113_Supply Air Temperature,"","",@p:ubcv:r:23d4dde8-f8bbd2a6 PONDN POND2_FC113_RM1008_eZFC (730113),"",TL8,✓,POND2_FC113_Supply Air Temperature,"","","",@p:ubcv:r:23d4dde8-f8bbd2a6 PONDN POND2_FC113_RM1008_eZFC (730113),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",46518,2019-01-13T12:30:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:46:27.416-07:00 Los_Angeles,"","","","",POND2_FC113_Supply Air Temperature,✓,AV10,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FC113_SAT TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:38.041Z UTC
@p:ubcv:r:23d4f3d3-8668d026 Ponderosa North Unsorted Points POND2_VAV_309_DP,✓,"",@p:ubcv:r:23d4e563-fc99c24a PONDN POND2_AHU1_VAV_309_RM3104 (730309),"",TL5,✓,POND2_VAV_309_DP,"","","",@p:ubcv:r:23d4e563-fc99c24a PONDN POND2_AHU1_VAV_309_RM3104 (730309),"","","","","","",✓,"",✓,$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:41:52-07:00 Los_Angeles,"","","",69009,2019-01-17T03:30:25-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:50:41.693-07:00 Los_Angeles,"","","","",Discharge Air Differential Pressure,"",AI5,"","","","",✓,"",✓,"","","","","","","",✓,@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","",@p:ubcv:r:23e65d0e-247ed83f (.+_)?VAV(_)?\w?\d+\w?(_.+)?_DP(_TL)?,"","",POND2_VAV_309_DP_TL,Los_Angeles,Pa,"","","","","",2020-04-09T19:02:38.385Z UTC
@p:ubcv:r:23d4f757-c607fd07 Ponderosa North Unsorted Points POND2_EM20_CLG_ENERGY_TOTAL,"","",@p:ubcv:r:23d4dcf3-0370bdda PONDN POND2_EM1_TO_EM7_EM16_TO_EM20_CP730900 (730900),"",TL128,✓,POND2_EM20_CLG_ENERGY_TOTAL,"","","",@p:ubcv:r:23d4dcf3-0370bdda PONDN POND2_EM1_TO_EM7_EM16_TO_EM20_CP730900 (730900),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",46565,2019-01-13T13:00:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:48:13.583-07:00 Los_Angeles,"","","","",POND2_EM20_CLG_ENERGY_TOTAL,✓,AV3006,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_EM20_CLG_ENERGY_TOTAL_TL,Los_Angeles,kWh,"","","","","",2020-04-09T19:02:38.831Z UTC
@p:ubcv:r:23d4ebda-916a0597 Ponderosa North Unsorted Points BACNET_VFD_P9_POWER_KW_MUX,"","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"",TL265,✓,BACNET_VFD_P9_POWER_KW_MUX,"","","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",46486,2019-01-14T08:15:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:47:42.029-07:00 Los_Angeles,"","","","",BACNET_VFD_P9_POWER_KW_MUX,✓,AV416,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",BACNET_VFD_P9_POWER_KW_MUX_TL,Los_Angeles,kW,"","","","","",2020-04-09T19:02:37.776Z UTC
@p:ubcv:r:23d4f718-113c31d0 Ponderosa North Unsorted Points EF_06_S_BV,✓,"",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"",TL30,✓,EF_06_S_BV,"","","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,✓,✓,"","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T07:00:48-07:00 Los_Angeles,"","","",705,2019-01-14T07:00:52-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:53:35.231-07:00 Los_Angeles,"","","","","Exhaust Fan Run ","",BV32,"","","","",✓,"","","","","","","",✓,"",✓,@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","",@p:ubcv:r:24413a2c-c7fd0c25 (.+_)?EF_?(\d+)?(_A_\d+)?_F?S(_.+)?(_TL)?,"","",EF_06_S_BV_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:54:13.023Z UTC
@p:ubcv:r:23d4f757-fe8d4ef9 Ponderosa North Unsorted Points POND2_EM03_CLG_ENERGY_KWH_MUX,"","",@p:ubcv:r:23d4dcf3-0370bdda PONDN POND2_EM1_TO_EM7_EM16_TO_EM20_CP730900 (730900),"",TL103,✓,POND2_EM03_CLG_ENERGY_KWH_MUX,"","","",@p:ubcv:r:23d4dcf3-0370bdda PONDN POND2_EM1_TO_EM7_EM16_TO_EM20_CP730900 (730900),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:00:00-07:00 Los_Angeles,"","","",11641,2019-01-13T13:00:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:48:09.76-07:00 Los_Angeles,"","","","",POND2_EM03_CLG_ENERGY_KWH_MUX,✓,AV1102,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_EM03_CLG_ENERGY_KWH_POLL_TL,Los_Angeles,kWh,"","","","","",2020-04-09T19:02:38.832Z UTC
