id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,chilled,cmd,connRef,cooling,curStatus,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,gas,groupRef,heating,his,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,leaving,low,navName,noTagMatch,objectId,outside,parcHtgEnergy,parc_Meter,perimeterHeat,point,pointType,power,pressure,pump,quantityID,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:245f4ba8-eba11e13 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-07.HTG-O,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AO3000078,TL3000417,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-07.HTG-O,"","",✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,✓,✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T15:53:32.878-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO3000078,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-07.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:01:57.866Z UTC
@p:ubcv:r:245f4ba9-4abc5150 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-12.HTG-O,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AO3000133,TL3000572,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-12.HTG-O,"","",✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,✓,✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T15:53:32.88-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO3000133,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-12.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:01:57.867Z UTC
@p:ubcv:r:245f4bac-7626798d Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-07.Parameters.EFFCLG-SP,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000440,TL3001031,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-07.Parameters.EFFCLG-SP,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),✓,unknown,$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.888-07:00 Los_Angeles,"","",Zone Temp Effective Cooling Sp,"",AV3000440,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"",✓,"","","","",@p:ubcv:r:240c1e06-1955c0a3 .+(\.|-| )(EFF|ACT)CLG-?SP,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-07.Parameters.EFFCLG-SP.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.868Z UTC
@p:ubcv:r:245f4ba8-fdcd0bd7 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-10.ZN-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000108,TL3000508,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-10.ZN-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.912-07:00 Los_Angeles,"","",Zone Temp,"",AI3000108,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-10.ZN-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.869Z UTC
@p:ubcv:r:245f4bac-4c2d2269 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-15.Parameters.EFFHTG-SP,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000687,TL3001046,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-15.Parameters.EFFHTG-SP,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,✓,✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.914-07:00 Los_Angeles,"","",Zone Temp Effective Heating Sp,"",AV3000687,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"",✓,"","","","",@p:ubcv:r:2538b55e-15822785 .+(\.|-| )(EFF|ACT)HTG-?SP,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-15.Parameters.EFFHTG-SP.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.87Z UTC
@p:ubcv:r:245f4bac-040e7bff Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.PROPANE-LEVEL,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000290,TL3000949,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.PROPANE-LEVEL,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49766,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.916-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.PROPANE-LEVEL,✓,AI3000290,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.PROPANE-LEVEL.Trend1,Los_Angeles,%,"","","","","",2020-04-09T19:01:57.871Z UTC
@p:ubcv:r:245f4c25-0ee68feb Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-24.BLR1-EN,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),BO3000246,TL3000845,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-24.BLR1-EN,"","",✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","",✓,"","","Off,On","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-09T11:04:06-07:00 Los_Angeles,"","",4483,2019-05-02T11:18:05-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:53:32.722-07:00 Los_Angeles,"","",Enable Cmd,"",BO3000246,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-f82aaf07 .+(\.|-| )BLR\d-EN,"","","",Los_Angeles,"","","","","","",2020-04-08T18:55:21.935Z UTC
@p:ubcv:r:245f4ba8-64b61ea6 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-07.SF-S,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),BI3000083,TL3000419,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-07.SF-S,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"",✓,"",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-03T06:25:23-07:00 Los_Angeles,"","",2292,2019-05-02T17:01:26-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:53:32.714-07:00 Los_Angeles,"","",Discharge Fan Run Status,"",BI3000083,"","","","",✓,"","","","","",✓,"",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-07.SF-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:38.951Z UTC
@p:ubcv:r:245f4ba9-4ee38b75 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-14.HTG-O,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AO3000155,TL3000634,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-14.HTG-O,"","",✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,✓,✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T15:53:32.918-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO3000155,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-14.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:01:57.872Z UTC
@p:ubcv:r:245f4bac-72572fba Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Volume Rate,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000236,TL3000835,✓,JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Volume Rate,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.92-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Volume Rate,✓,AI3000236,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Volume Rate.Trend1,Los_Angeles,L/s,"","","","","",2020-04-09T19:01:57.873Z UTC
@p:ubcv:r:245f4bab-3715ca3c Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-19.HTG-O,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AO3000210,TL3000789,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-19.HTG-O,"","",✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,✓,✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T15:53:32.922-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO3000210,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-19.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:01:57.874Z UTC
@p:ubcv:r:245f4bac-f092030b Parc Library Unsorted Points P04 JCL-NAE07/FCB-01.JCL-NAE03  FEC-24.P04-S,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),BI3000257,TL3000858,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-24.P04-S,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $equipName $bmsName,"","","","","","","","Off,On",P04,@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-04-22T11:19:33-07:00 Los_Angeles,"","",602,2019-04-30T14:19:57-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:53:32.652-07:00 Los_Angeles,"","",Run Status,"",BI3000257,"","","","",✓,"","","",✓,"",✓,"",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-24.P04-S.Trend1,Los_Angeles,"","","","","","",2020-05-12T11:03:27.774Z UTC
@p:ubcv:r:245f4baa-67e591fb Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-17.HTG-O,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AO3000188,TL3000727,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-17.HTG-O,"","",✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,✓,✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T15:53:32.923-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO3000188,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-17.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:01:57.875Z UTC
@p:ubcv:r:245f4ba8-56319c10 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-09.HTG-O,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AO3000100,TL3000479,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-09.HTG-O,"","",✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,✓,✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T15:53:32.925-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO3000100,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-09.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:01:57.876Z UTC
@p:ubcv:r:245f4bac-6e069949 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-12.Parameters.EFFHTG-SP,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000594,TL3001040,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-12.Parameters.EFFHTG-SP,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,✓,✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.927-07:00 Los_Angeles,"","",Zone Temp Effective Heating Sp,"",AV3000594,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"",✓,"","","","",@p:ubcv:r:2538b55e-15822785 .+(\.|-| )(EFF|ACT)HTG-?SP,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-12.Parameters.EFFHTG-SP.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.877Z UTC
@p:ubcv:r:245f4bac-96eeea22 Parc Library Unsorted Points JCL-NAE07/FCB-01.AHU-01 integration.AV-52,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3002199,TL3002414,✓,JCL-NAE07/FCB-01.AHU-01 integration.AV-52,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",50584,2019-05-02T12:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.929-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.AHU-01 integration.AV-52,✓,AV3002199,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.AHU-01 integration.AV-52.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:01:57.878Z UTC
@p:ubcv:r:245f4bac-afb2424a Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-07.ZN-C02,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000299,TL3000965,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-07.ZN-C02,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49766,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.932-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-07.ZN-C02,✓,AI3000299,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-07.ZN-C02.Trend1,Los_Angeles,ppm,"","","","","",2020-04-09T19:01:57.879Z UTC
@p:ubcv:r:245f4bac-c8f896b7 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.HEATTRACE-ALM,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),BI3000284,TL3000939,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.HEATTRACE-ALM,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","Normal,Alarm","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-04-22T11:19:33-07:00 Los_Angeles,"","",346,2019-05-04T20:34:22-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:53:32.654-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.HEATTRACE-ALM,✓,BI3000284,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.HEATTRACE-ALM.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:50:08.988Z UTC
@p:ubcv:r:245f4bac-0668d990 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-25.HWS-T,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000319,TL3000987,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-25.HWS-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49766,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T15:53:32.934-07:00 Los_Angeles,✓,"",Leaving Hot Water Temp,"",AI3000319,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-654bc1a2 .+(\.|-|_| )HWS\d?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-25.HWS-T.Trend1,Los_Angeles,°C,"","","",✓,"",2020-04-09T19:01:57.88Z UTC
@p:ubcv:r:245f4bab-7806b099 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  VND-28.Volume Rate,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000218,TL3000817,✓,JCL-NAE07/FCB-01.JCL-NAE03  VND-28.Volume Rate,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.936-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  VND-28.Volume Rate,✓,AI3000218,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  VND-28.Volume Rate.Trend1,Los_Angeles,L/s,"","","","","",2020-04-09T19:01:57.881Z UTC
@p:ubcv:r:245f4bac-34ed44e1 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-09.ZN-C02,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000300,TL3000966,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-09.ZN-C02,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49766,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.938-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-09.ZN-C02,✓,AI3000300,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-09.ZN-C02.Trend1,Los_Angeles,ppm,"","","","","",2020-04-09T19:01:57.882Z UTC
@p:ubcv:r:245f4bac-5c4be4eb Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Volume Total,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000241,TL3000840,✓,JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Volume Total,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.941-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Volume Total,✓,AV3000241,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Volume Total.Trend1,Los_Angeles,L,"","","","","",2020-04-09T19:01:57.883Z UTC
