id,ancillaryImport,disMacro,elec,energy,equipRef,gas,groupRef,his,hisEnd,hisMode,hisSize,hisStart,kind,navName,point,sensor,siteRef,tz,unit,mod
@p:ubcv:r:252a61db-9b608413 Acadia House Gas Main Meter Energy,✓,$equipRef $navName,"",✓,@p:ubcv:r:250ecf08-1191cf78 Acadia House Gas Main Meter,✓,@p:ubcv:r:250ecf05-eb23d38c Acadia House Utilities,✓,2019-06-01T00:00:00-07:00 Los_Angeles,consumption,154748,2014-04-01T00:15:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:24ba6015-a37a0424 Acadia House,Los_Angeles,GJ,2020-04-28T00:03:35.254Z UTC
@p:ubcv:r:250ecf05-acae7f2e Acadia House Elec Main Meter Energy,✓,$equipRef $navName,✓,✓,@p:ubcv:r:250ecf05-ecaece43 Acadia House Elec Main Meter,"",@p:ubcv:r:250ecf05-eb23d38c Acadia House Utilities,✓,2020-01-01T00:00:00-08:00 Los_Angeles,consumption,201700,2014-04-01T00:00:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:24ba6015-a37a0424 Acadia House,Los_Angeles,kWh,2020-04-28T00:03:35.435Z UTC
