id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetDesc,bacnetHis,bacnetPoint,bmsName,boiler,chilled,cmd,connRef,cooling,curStatus,damper,delta,differential,disMacro,discharge,effective,enable,entering,enum,equipName,equipRef,exhaust,fan,flow,groupRef,heating,his,hisConvert,hisEnd,hisErr,hisFunc,hisSize,hisStart,hisStatus,hot,ionaSchedMV,ionaSched_MV,jci,kind,lastSynced,lastTagged,leaving,low,mode,navName,noTagMatch,objectId,occ,outside,point,pointType,pressure,pump,roomRef,run,runtime,scheduleOcc,scheduled,sensor,siteRef,sp,speed,tagTableRef,temp,testUnits,tlName,tz,unit,valve,water,zone,mod
@p:ubcv:r:23244f4f-a426d28f Iona Rm 300 VAV-46 JCL-NAE51/N2-2.TU-46.DA-T,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005053,✓,JCL-NAE51/N2-2.TU-46.DA-T,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e632-d13a2174 Iona Rm 300 VAV-46,"","","",@p:ubcv:r:24e48a79-95bcaaa8 Iona Floor 3,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",57093,2018-09-06T02:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:49:28.629-07:00 Los_Angeles,2018-12-07T09:45:30.323-08:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3004215,"","",✓,"","","",@p:ubcv:r:24e5e632-d2469b20 Iona Rm 300,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,"",JCL-NAE51/N2-2.TU-46.DA-T.Trend1,Los_Angeles,°C,"","","",2020-04-09T19:02:15.172Z UTC
@p:ubcv:r:238b4041-edc3df0e Iona Rm 257 VAV-34 JCL-NAE51/N2-1.TU-34.AHTG-SP,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3004770,✓,JCL-NAE51/N2-1.TU-34.AHTG-SP,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e5e631-a20e247e Iona Rm 257 VAV-34,"","","",@p:ubcv:r:24e4acd1-f0e12d6f Iona Floor 2,✓,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"","",12833,2018-11-21T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.435-07:00 Los_Angeles,2018-12-07T09:45:30.99-08:00 Los_Angeles,"","","",Zone Temp Heating Sp,"",AI3004010,"","",✓,"","","",@p:ubcv:r:24e5e631-b69ca845 Iona Rm 257,"","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,✓,"",@p:ubcv:r:23e65d3e-70b9dd24 .+(\.|-| )AHTG-SP,✓,"",JCL-NAE51/N2-1.TU-34.AHTG-SP.Trend1,Los_Angeles,°C,"","",✓,2020-04-09T19:02:15.173Z UTC
@p:ubcv:r:238b4076-48a761ed Iona Rm 031 FC-031 JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-07.DA-T,"",✓,"","",@p:ubcv:r:21e6bc22-3a9f07a4 IONA (NAE-52),"","",TL3000198,✓,JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-07.DA-T,"","","",@p:ubcv:r:21e6bc22-3a9f07a4 IONA (NAE-52),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e632-4f56d596 Iona Rm 031 FC-031,"","","",@p:ubcv:r:24e4ace9-df32f2aa Iona Floor 0,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50469,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:45:18.356-07:00 Los_Angeles,2018-12-07T09:45:31.929-08:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3000197,"","",✓,"","","",@p:ubcv:r:24e5e15f-9a92b910 Iona Rm 031,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,"",JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-07.DA-T.Trend1,Los_Angeles,°C,"","","",2020-04-09T19:02:15.539Z UTC
@p:ubcv:r:238b4041-3951a45d Iona Rm 441 VAV-41 JCL-NAE51/N2-1.TU-41.ZN-T,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3004823,✓,JCL-NAE51/N2-1.TU-41.ZN-T,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e5e631-40ed6e0c Iona Rm 441 VAV-41,"","","",@p:ubcv:r:24e48a79-ef918fa3 Iona Floor 4,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50516,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.631-07:00 Los_Angeles,2018-12-07T09:45:31.058-08:00 Los_Angeles,"","","",Zone Temp,"",AI3004045,"","",✓,"","","",@p:ubcv:r:24e5e631-281323f7 Iona Rm 441,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"",JCL-NAE51/N2-1.TU-41.ZN-T.Trend1,Los_Angeles,°C,"","",✓,2020-04-09T19:02:15.174Z UTC
@p:ubcv:r:238b4042-5d68833b Iona Heating Plant B-2 JCL-NAE51/N2-1.BOILEDR.Binary Outputs.B2-E,"","","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005273,✓,JCL-NAE51/N2-1.BOILEDR.Binary Outputs.B2-E,✓,"",✓,@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","",✓,"","Off,On","",@p:ubcv:r:24e5eea2-150cde11 Iona Heating Plant B-2,"","","",@p:ubcv:r:24e48e78-476eaa3c Iona Hydronic Systems,"",✓,"",2020-05-12T14:48:11-07:00 Los_Angeles,"","",3364,2019-01-14T13:48:08-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:49:28.989-07:00 Los_Angeles,2018-11-25T13:45:23.935-08:00 Los_Angeles,"","","",Boiler Enable Cmd,"",BO3001882,"","",✓,"","","","","","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:24e5ef4b-7ab6d609 .+(\.|-| )B\d-E,"","",JCL-NAE51/N2-1.BOILEDR.Binary Outputs.B2-E.Trend1,Los_Angeles,"","","","",2020-04-08T18:50:34.336Z UTC
@p:ubcv:r:238b4041-58f8cb65 Iona Unsorted Points JCL-NAE51/N2-1.SHW PUMP.Parameters.P3-P4 Control-PI Stpt.PISTPT,"","","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3003467,✓,JCL-NAE51/N2-1.SHW PUMP.Parameters.P3-P4 Control-PI Stpt.PISTPT,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:2322dda5-34e7842d Iona Unsorted Points,"","","",@p:ubcv:r:2322dda5-a3e422e9 Iona Unsorted Points,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50969,2018-11-22T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.633-07:00 Los_Angeles,2018-11-25T13:45:23.463-08:00 Los_Angeles,"","","",JCL-NAE51/N2-1.SHW PUMP.Parameters.P3-P4 Control-PI Stpt.PISTPT,✓,AO3001951,"","",✓,"","","","","","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,"","","","","",JCL-NAE51/N2-1.SHW PUMP.Parameters.P3-P4 Control-PI Stpt.PISTPT.Trend1,Los_Angeles,psi,"","","",2020-04-09T19:02:15.175Z UTC
@p:ubcv:r:238b4042-0f992927 Iona AHU-02 JCL-NAE51/N2-1.AHU2.DAS-P,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005457,✓,JCL-NAE51/N2-1.AHU2.DAS-P,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e48e78-1e2f5cd9 Iona AHU-02,"","","",@p:ubcv:r:24e48e78-2438be4f Iona Air Systems,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50516,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:49:28.634-07:00 Los_Angeles,2018-11-25T13:45:23.701-08:00 Los_Angeles,"","","",Discharge Air Pressure,"",AI3005400,"","",✓,"",✓,"","","","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:25462df8-3e9a16fd .+(\.|-| )DAS-P,"","",JCL-NAE51/N2-1.AHU2.DAS-P.Trend1,Los_Angeles,Pa,"","","",2020-04-09T19:02:15.176Z UTC
@p:ubcv:r:238b4042-a47357e1 Iona HRV-01 JCL-NAE51/N2-1.HRV.EA-T,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005428,✓,JCL-NAE51/N2-1.HRV.EA-T,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e48e78-092849ba Iona HRV-01,✓,"","",@p:ubcv:r:24e48e78-2438be4f Iona Air Systems,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50516,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.636-07:00 Los_Angeles,2018-12-07T09:45:31.526-08:00 Los_Angeles,"","","",Exhaust Air Temp,"",AI3005377,"","",✓,"","","","","","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-8e9134af .+(\.|-| )EA\d?-T,✓,"",JCL-NAE51/N2-1.HRV.EA-T.Trend1,Los_Angeles,°C,"","","",2020-04-09T19:02:15.177Z UTC
@p:ubcv:r:238b4041-482b7a2c Iona Rm 222 VAV-25 JCL-NAE51/N2-2.TU-25.ZN-T,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3004842,✓,JCL-NAE51/N2-2.TU-25.ZN-T,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e5e631-bc7709b5 Iona Rm 222 VAV-25,"","","",@p:ubcv:r:24e4acd1-f0e12d6f Iona Floor 2,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50516,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.637-07:00 Los_Angeles,2018-12-07T09:45:31.063-08:00 Los_Angeles,"","","",Zone Temp,"",AI3004059,"","",✓,"","","",@p:ubcv:r:24e5e631-734f19db Iona Rm 222,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"",JCL-NAE51/N2-2.TU-25.ZN-T.Trend1,Los_Angeles,°C,"","",✓,2020-04-09T19:02:15.178Z UTC
@p:ubcv:r:23244e14-786a0095 Iona Rm 020 VAV-01 JCL-NAE51/N2-1.TU-01.Parameters.SUPFLOW,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005121,✓,JCL-NAE51/N2-1.TU-01.Parameters.SUPFLOW,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e631-266c7f7a Iona Rm 020 VAV-01,"","",✓,@p:ubcv:r:24e4ace9-df32f2aa Iona Floor 0,"",✓,"",2018-10-26T06:00:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [144] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",3964,2018-09-06T01:45:00-07:00 Los_Angeles,fault,"",✓,"",✓,Number,2020-05-12T10:09:44.429-07:00 Los_Angeles,2018-12-07T09:45:30.312-08:00 Los_Angeles,"","","",Discharge Air Flow,"",AI3004288,"","",✓,"","","",@p:ubcv:r:24e5e631-f04316b7 Iona Rm 020,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:2573299e-4bf282a5 .+(\.|-| )SUPFLOW,"","","",Los_Angeles,L/s,"","","",2020-04-14T16:50:01.631Z UTC
@p:ubcv:r:238b4076-2cb77584 Iona Rm 003 FC-03 JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-06.HTG-O,"","","","",@p:ubcv:r:21e6bc22-3a9f07a4 IONA (NAE-52),"","",TL3000149,✓,JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-06.HTG-O,"","",✓,@p:ubcv:r:21e6bc22-3a9f07a4 IONA (NAE-52),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e5e632-e8ec734b Iona Rm 003 FC-03,"","","",@p:ubcv:r:24e4ace9-df32f2aa Iona Floor 0,✓,✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50469,2018-11-23T03:00:00-08:00 Los_Angeles,ok,✓,"","",✓,Number,2020-05-12T14:45:18.361-07:00 Los_Angeles,2018-12-07T09:45:31.941-08:00 Los_Angeles,"","","",Heating Valve Cmd,"",AO3000148,"","",✓,"","","",@p:ubcv:r:24e5e15e-0c3673e0 Iona Rm 003,"","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-06.HTG-O.Trend1,Los_Angeles,%,✓,✓,"",2020-04-09T19:02:15.541Z UTC
@p:ubcv:r:238b4042-cc24104a Iona AHU-03 SF JCL-NAE51/N2-2.AHU3.SF-S,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005510,✓,JCL-NAE51/N2-2.AHU3.SF-S,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","Off,On","",@p:ubcv:r:24ef2171-f8a83f78 Iona AHU-03 SF,"",✓,"",@p:ubcv:r:24e48e78-2438be4f Iona Air Systems,"",✓,"",2020-05-11T09:54:23-07:00 Los_Angeles,"","",33,2019-01-14T13:48:08-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:49:28.387-07:00 Los_Angeles,2018-12-07T09:45:31.638-08:00 Los_Angeles,"","","",Discharge Fan Run Status,"",BI3005478,"","",✓,"","","","",✓,✓,"","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE51/N2-2.AHU3.SF-S.Trend1,Los_Angeles,"","","","",2020-04-08T18:50:26.954Z UTC
@p:ubcv:r:2324284a-6dfcaab7 Iona Rm 238 VAV-24 JCL-NAE51/N2-1.TU-24.DMPRPOS,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005082,✓,JCL-NAE51/N2-1.TU-24.DMPRPOS,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",✓,"","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e631-57f9e552 Iona Rm 238 VAV-24,"","","",@p:ubcv:r:24e4acd1-f0e12d6f Iona Floor 2,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",57103,2018-09-05T23:15:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:49:28.639-07:00 Los_Angeles,2018-12-07T09:45:30.313-08:00 Los_Angeles,"","","","Discharge Air Damper ","",AI3004247,"","",✓,"","","",@p:ubcv:r:24e5e631-0ad7fb94 Iona Rm 238,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:25d74045-54563a0d .+(\.|-| )DMPRPOS,"","",JCL-NAE51/N2-1.TU-24.DMPRPOS.Trend1,Los_Angeles,%,"","","",2020-04-14T16:50:01.356Z UTC
@p:ubcv:r:238b4041-afd04302 Iona Rm 168 VAV-20 JCL-NAE51/N2-1.TU-20.AHTG-SP,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3004675,✓,JCL-NAE51/N2-1.TU-20.AHTG-SP,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e5e631-5327ea37 Iona Rm 168 VAV-20,"","","",@p:ubcv:r:24e4acd5-b7295d37 Iona Floor 1,✓,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"","",12833,2018-11-21T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.437-07:00 Los_Angeles,2018-12-07T09:45:31.257-08:00 Los_Angeles,"","","",Zone Temp Heating Sp,"",AI3003940,"","",✓,"","","",@p:ubcv:r:24e5e631-3a39fef7 Iona Rm 168,"","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,✓,"",@p:ubcv:r:23e65d3e-70b9dd24 .+(\.|-| )AHTG-SP,✓,"",JCL-NAE51/N2-1.TU-20.AHTG-SP.Trend1,Los_Angeles,°C,"","",✓,2020-04-09T19:02:15.181Z UTC
@p:ubcv:r:23244e14-4985f106 Iona Rm 350 VAV-37 JCL-NAE51/N2-1.TU-37.Parameters.SUPFLOW,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005175,✓,JCL-NAE51/N2-1.TU-37.Parameters.SUPFLOW,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e631-08edbf50 Iona Rm 350 VAV-37,"","",✓,@p:ubcv:r:24e48a79-95bcaaa8 Iona Floor 3,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",57036,2018-09-06T01:45:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:49:28.64-07:00 Los_Angeles,2018-12-07T09:45:30.305-08:00 Los_Angeles,"","","",Discharge Air Flow,"",AI3004801,"","",✓,"","","",@p:ubcv:r:24e5e631-3b40bfd2 Iona Rm 350,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:2573299e-4bf282a5 .+(\.|-| )SUPFLOW,"","",JCL-NAE51/N2-1.TU-37.Parameters.SUPFLOW.Trend1,Los_Angeles,L/s,"","","",2020-04-09T19:02:15.182Z UTC
@p:ubcv:r:238b4077-cc7636b4 Iona Rm 500 VAV-051 JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-18.CLG-O,"","","","",@p:ubcv:r:21e6bc22-3a9f07a4 IONA (NAE-52),"","",TL3000859,✓,JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-18.CLG-O,"",✓,✓,@p:ubcv:r:21e6bc22-3a9f07a4 IONA (NAE-52),✓,"","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e5e632-4e0152f7 Iona Rm 500 VAV-051,"","","",@p:ubcv:r:25fc1ec5-0f9afe14 Iona Floor 5,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50469,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:45:18.364-07:00 Los_Angeles,2018-12-07T09:45:31.473-08:00 Los_Angeles,"","","",Cooling Valve Cmd,"",AO3000858,"","",✓,"","","",@p:ubcv:r:25fc223f-b18d993c Iona Rm 500,"","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-51bf01a3 .+(\.|-| )CLG-(O|VLV),"","",JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-18.CLG-O.Trend1,Los_Angeles,%,✓,✓,"",2020-04-09T19:02:15.542Z UTC
@p:ubcv:r:238b4077-61fd136a Iona Rm 532 VAV-050 JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-17.COVR-O,"","","","",@p:ubcv:r:21e6bc22-3a9f07a4 IONA (NAE-52),"","",TL3000775,✓,JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-17.COVR-O,"","","",@p:ubcv:r:21e6bc22-3a9f07a4 IONA (NAE-52),"","","","","",$equipRef $bmsName,"","","","","Heat,Cool","",@p:ubcv:r:24e5e632-1ff5bdd6 Iona Rm 532 VAV-050,"","","",@p:ubcv:r:25fc1ec5-0f9afe14 Iona Floor 5,"",✓,"",2020-05-11T09:53:09-07:00 Los_Angeles,"","",902,2018-12-06T12:22:48-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:45:18.366-07:00 Los_Angeles,2018-11-25T13:45:23.647-08:00 Los_Angeles,"","","",JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-17.COVR-O,✓,BO3000774,"","",✓,"","","",@p:ubcv:r:25fc1ed8-21ca83f4 Iona Rm 532,"","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,"","","","","",JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-17.COVR-O.Trend1,Los_Angeles,"","","","",2020-04-08T18:55:18.151Z UTC
@p:ubcv:r:2322f9a5-452186cb Iona AHU-02 SF JCL-NAE51/N2-1.AHU2.Analog Outputs.AHU-SF-C,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005363,✓,JCL-NAE51/N2-1.AHU2.Analog Outputs.AHU-SF-C,"","",✓,@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24ef2171-31e04a74 Iona AHU-02 SF,"",✓,"",@p:ubcv:r:24e48e78-2438be4f Iona Air Systems,"",✓,"",2018-10-12T13:15:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [140] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",2751,2018-09-05T01:45:00-07:00 Los_Angeles,fault,"",✓,"",✓,Number,2020-05-12T10:09:44.428-07:00 Los_Angeles,2018-12-07T09:45:36.125-08:00 Los_Angeles,"","","",Discharge Fan Run Cmd,"",AO3001833,"","",✓,"","","","",✓,"","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-2b48d00a .+(\.|-| )SF(\d+)?-C,"","","",Los_Angeles,_,"","","",2020-04-14T16:50:01.102Z UTC
@p:ubcv:r:238b4041-bd18b88e Iona Rm 172 VAV-19 JCL-NAE51/N2-1.TU-19.ACLG-SP,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3004655,✓,JCL-NAE51/N2-1.TU-19.ACLG-SP,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),✓,"","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e5e631-18536cb7 Iona Rm 172 VAV-19,"","","",@p:ubcv:r:24e4acd5-b7295d37 Iona Floor 1,"",✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"","",12833,2018-11-21T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.439-07:00 Los_Angeles,2018-12-07T09:45:31.269-08:00 Los_Angeles,"","","",Zone Temp Cooling Sp,"",AI3003925,"","",✓,"","","",@p:ubcv:r:24e5e631-b2300925 Iona Rm 172,"","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,✓,"",@p:ubcv:r:23e65d3e-89385aab .+(\.|-| )ACLG-SP,✓,"",JCL-NAE51/N2-1.TU-19.ACLG-SP.Trend1,Los_Angeles,°C,"","",✓,2020-04-09T19:02:15.184Z UTC
@p:ubcv:r:238b4042-f397fe9d Iona HRV-01 EF JCL-NAE51/N2-1.HRV.EF-S,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005436,✓,JCL-NAE51/N2-1.HRV.EF-S,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:25d7526b-de53e96e Iona HRV-01 EF,✓,✓,"",@p:ubcv:r:24e48e78-2438be4f Iona Air Systems,"",✓,"",2020-05-11T09:54:23-07:00 Los_Angeles,"","",55,2019-01-14T13:48:08-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:49:28.421-07:00 Los_Angeles,2018-12-07T09:45:31.518-08:00 Los_Angeles,"","","",Exhaust Fan Run Status,"",BI3005380,"","",✓,"","","","",✓,"","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","","","","",JCL-NAE51/N2-1.HRV.EF-S.Trend1,Los_Angeles,"","","","",2020-04-27T18:35:14.625Z UTC
@p:ubcv:r:23244f4e-5fa19201 Iona Rm 245 VAV-33 JCL-NAE51/N2-1.TU-33.DA-T,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3004749,✓,JCL-NAE51/N2-1.TU-33.DA-T,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e631-09029632 Iona Rm 245 VAV-33,"","","",@p:ubcv:r:24e4acd1-f0e12d6f Iona Floor 2,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",57042,2018-09-06T02:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:49:28.641-07:00 Los_Angeles,2018-12-07T09:45:30.276-08:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3003991,"","",✓,"","","",@p:ubcv:r:24e5e631-36d28e41 Iona Rm 245,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,"",JCL-NAE51/N2-1.TU-33.DA-T.Trend1,Los_Angeles,°C,"","","",2020-04-09T19:02:15.185Z UTC
