id,air,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,connRef,cur,curConvert,disMacro,entering,enum,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisMode,hisSize,hisStart,hisStatus,hot,kind,lastSynced,lastTagged,leaving,navName,noTagMatch,objectId,outside,point,pointType,power,primaryLoop,scheduleOcc,sensor,shortName,siemens,siemensName,siteRef,temp,tz,unit,unknownConn,water,mod
@p:ubcv:r:24142068-bf62910f IRSDC Unsorted Points IRSDC_AVERAGE_ZONE_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL95,✓,IRSDC_AVERAGE_ZONE_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41961,2019-03-05T11:15:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.65-07:00 Los_Angeles,"","",IRSDC_AVERAGE_ZONE_TEMP,✓,AV63,"",✓,"","","","","","",✓,IRSDC_AVERAGE_ZONE_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.799Z UTC
@p:ubcv:r:24141523-3137e78f IRSDC Unsorted Points IRSDC_MF-2-2-5_SLAB_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL10,✓,IRSDC_MF-2-2-5_SLAB_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41963,2019-03-05T10:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.666-07:00 Los_Angeles,"","",IRSDC_MF-2-2-5_SLAB_TEMP,✓,AI19,"",✓,"","","","","","",✓,IRSDC_MF-2-2-5_SLAB_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.8Z UTC
@p:ubcv:r:2466082c-b8a194a1 IRSDC Unsorted Points Skysparks.OA-T_Avg,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL107,✓,Skysparks.OA-T_Avg,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"",18265,2019-05-03T15:00:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.923-07:00 Los_Angeles,"","",Skysparks.OA-T_Avg,✓,AV67,"",✓,"","","","","","",✓,Skysparks.OA-T_Avg,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,_,"","",2020-04-09T19:15:02.033Z UTC
@p:ubcv:r:24142068-8775f6e5 IRSDC Unsorted Points Skysparks.OA-T,✓,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL90,✓,Skysparks.OA-T,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T05:00:06-07:00 Los_Angeles,"",538,2019-03-02T23:00:11-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.589-07:00 Los_Angeles,"","",Outside Air Temp,"",AV61,✓,✓,"","","","",✓,"",✓,Skysparks.OA-T,@p:ubcv:r:20ff880a-94a0b072 IRSDC,✓,Los_Angeles,°C,"","",2020-04-09T19:01:56.802Z UTC
@p:ubcv:r:24141e74-c4f9c547 IRSDC Unsorted Points IRSDC_LOWGARDEN_FOUNTAIN_SCHED,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL101,✓,IRSDC_LOWGARDEN_FOUNTAIN_SCHED,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","OFF,ON",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T08:00:00-07:00 Los_Angeles,"",872,2019-03-02T20:00:00-08:00 Los_Angeles,ok,"",Bool,2020-05-12T14:53:06.427-07:00 Los_Angeles,"","",Scheduled Occupancy,"",BV23,"",✓,"","","",✓,"","",✓,IRSDC_LOWGARDEN_FOUNTAIN_SCHED,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,"","","",2020-04-09T19:16:27.146Z UTC
@p:ubcv:r:24141523-75ca170b IRSDC Unsorted Points IRSDC_AHU-01_SUPPLY_FAN_AMPS,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL86,✓,IRSDC_AHU-01_SUPPLY_FAN_AMPS,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-05T00:00:09-07:00 Los_Angeles,"",132,2019-03-04T21:00:16-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.677-07:00 Los_Angeles,"","",IRSDC_AHU-01_SUPPLY_FAN_AMPS,✓,AI36,"",✓,"","","","","","",✓,IRSDC_AHU-01_SUPPLY_FAN_AMPS,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,A,"","",2020-04-09T19:01:56.804Z UTC
@p:ubcv:r:2466082d-6fc72218 IRSDC Unsorted Points IRSDC_AHU-01_SUPPLY_FAN_PROOF,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL89,✓,IRSDC_AHU-01_SUPPLY_FAN_PROOF,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","OFF,ON",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",35952,2019-05-06T15:44:59-07:00 Los_Angeles,ok,"",Bool,2020-05-12T14:53:07.68-07:00 Los_Angeles,"","",IRSDC_AHU-01_SUPPLY_FAN_PROOF,✓,BV17,"",✓,"","","","","","",✓,IRSDC_AHU-01_SUPPLY_FAN_PROOF,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,"","","",2019-12-03T18:23:02.942Z UTC
@p:ubcv:r:2414217e-4f6020f8 IRSDC Unsorted Points IRSDC_BUCK_FOUNTAIN_P-EN,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL102,✓,IRSDC_BUCK_FOUNTAIN_P-EN,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","OFF,ON",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-01-14T12:30:06-08:00 Los_Angeles,"",13594,2019-03-14T08:59:35-07:00 Los_Angeles,ok,"",Bool,2020-05-12T14:53:06.163-07:00 Los_Angeles,"","",IRSDC_BUCK_FOUNTAIN_P-EN,✓,BO5,"",✓,"","","","","",IRSDC_BUCK_FOUNTAIN_P-EN,✓,IRSDC_BUCK_FOUNTAIN_P-EN,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,"","","",2019-12-03T18:23:02.71Z UTC
@p:ubcv:r:24142068-4f60f5c7 IRSDC Unsorted Points IRSDC_MF-2-3-2_SLAB_VALVE_PID,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL60,✓,IRSDC_MF-2-3-2_SLAB_VALVE_PID,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:51:43-07:00 Los_Angeles,"",24899,2019-03-03T05:42:50-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.499-07:00 Los_Angeles,"","",IRSDC_MF-2-3-2_SLAB_VALVE_PID,✓,AV45,"",✓,"","","","","","",✓,IRSDC_MF-2-3-2_SLAB_VALVE_PID,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,%,"","",2020-04-09T19:01:56.805Z UTC
@p:ubcv:r:24141523-18a289a5 IRSDC Unsorted Points IRSDC_MF-2-1-2_SLAB_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL3,✓,IRSDC_MF-2-1-2_SLAB_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41973,2019-03-05T10:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.694-07:00 Los_Angeles,"","",IRSDC_MF-2-1-2_SLAB_TEMP,✓,AI7,"",✓,"","","","","","",✓,IRSDC_MF-2-1-2_SLAB_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.806Z UTC
@p:ubcv:r:24141523-8c17b48f IRSDC Unsorted Points IRSDC_MF-2-1-1_SLAB_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL2,✓,IRSDC_MF-2-1-1_SLAB_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41970,2019-03-05T10:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.715-07:00 Los_Angeles,"","",IRSDC_MF-2-1-1_SLAB_TEMP,✓,AI5,"",✓,"","","","","","",✓,IRSDC_MF-2-1-1_SLAB_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.807Z UTC
@p:ubcv:r:2466082d-ab460ced IRSDC Unsorted Points OATPRED_sky,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL93,✓,OATPRED_sky,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"",18265,2019-05-03T15:00:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.939-07:00 Los_Angeles,"","",OATPRED_sky,✓,AV62,"",✓,"","","","","","",✓,OATPRED_sky,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,_,"","",2020-04-09T19:15:02.035Z UTC
@p:ubcv:r:24141523-84f6d8f1 IRSDC Unsorted Points IRSDC_MF-2-2-3b_ZONE_AIR_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL26,✓,IRSDC_MF-2-2-3b_ZONE_AIR_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41969,2019-03-05T10:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.729-07:00 Los_Angeles,"","",IRSDC_MF-2-2-3b_ZONE_AIR_TEMP,✓,AI24,"",✓,"","","","","","",✓,IRSDC_MF-2-2-3b_ZONE_AIR_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.809Z UTC
@p:ubcv:r:24141523-316964c4 IRSDC Unsorted Points IRSDC_MF-2-2-1_SLAB_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL5,✓,IRSDC_MF-2-2-1_SLAB_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41966,2019-03-05T10:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.743-07:00 Los_Angeles,"","",IRSDC_MF-2-2-1_SLAB_TEMP,✓,AI11,"",✓,"","","","","","",✓,IRSDC_MF-2-2-1_SLAB_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.81Z UTC
@p:ubcv:r:24141523-a2a32f1b IRSDC Unsorted Points IRSDC_MF-2-2-4_SLAB_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL9,✓,IRSDC_MF-2-2-4_SLAB_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41965,2019-03-05T10:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.758-07:00 Los_Angeles,"","",IRSDC_MF-2-2-4_SLAB_TEMP,✓,AI17,"",✓,"","","","","","",✓,IRSDC_MF-2-2-4_SLAB_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.811Z UTC
@p:ubcv:r:24142068-ff118f15 IRSDC Unsorted Points IRSDC_BOILER_RESET_CMD,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL76,✓,IRSDC_BOILER_RESET_CMD,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41966,2019-03-05T11:15:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.772-07:00 Los_Angeles,"","",IRSDC_BOILER_RESET_CMD,✓,AO1,"",✓,"","","","","","",✓,IRSDC_BOILER_RESET_CMD,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,_,"","",2020-04-09T19:15:02.036Z UTC
@p:ubcv:r:24141523-6cf1a590 IRSDC Unsorted Points IRSDC_MF-2-2-1_ZONE_AIR_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL23,✓,IRSDC_MF-2-2-1_ZONE_AIR_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41966,2019-03-05T10:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.787-07:00 Los_Angeles,"","",IRSDC_MF-2-2-1_ZONE_AIR_TEMP,✓,AI12,"",✓,"","","","","","",✓,IRSDC_MF-2-2-1_ZONE_AIR_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.813Z UTC
@p:ubcv:r:24141523-1b666cbe IRSDC Unsorted Points IRSDC_MF-2-2-3b_SLAB_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL8,✓,IRSDC_MF-2-2-3b_SLAB_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41968,2019-03-05T10:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.802-07:00 Los_Angeles,"","",IRSDC_MF-2-2-3b_SLAB_TEMP,✓,AI23,"",✓,"","","","","","",✓,IRSDC_MF-2-2-3b_SLAB_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.814Z UTC
@p:ubcv:r:24141e74-5932d7ab IRSDC Unsorted Points IRSDC_AHU-01_EXHAUST_FAN_PROOF,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL82,✓,IRSDC_AHU-01_EXHAUST_FAN_PROOF,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","OFF,ON",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T00:00:04-07:00 Los_Angeles,"",698,2019-03-04T21:00:19-08:00 Los_Angeles,ok,"",Bool,2020-05-12T14:53:06.633-07:00 Los_Angeles,"","",IRSDC_AHU-01_EXHAUST_FAN_PROOF,✓,BV19,"",✓,"","","","","","",✓,IRSDC_AHU-01_EXHAUST_FAN_PROOF,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,"","","",2020-04-09T19:16:28.41Z UTC
@p:ubcv:r:24141523-622338ce IRSDC Unsorted Points IRSDC_AHU-01_EXHAUST_FAN_AMPS,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL80,✓,IRSDC_AHU-01_EXHAUST_FAN_AMPS,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T00:00:05-07:00 Los_Angeles,"",1174,2019-03-04T21:00:18-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.647-07:00 Los_Angeles,"","",IRSDC_AHU-01_EXHAUST_FAN_AMPS,✓,AI39,"",✓,"","","","","","",✓,IRSDC_AHU-01_EXHAUST_FAN_AMPS,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,A,"","",2020-04-09T19:01:56.816Z UTC
@p:ubcv:r:24142068-e3e2c7e1 IRSDC Unsorted Points IRSDC_MF-2-2-1_SLAB_VALVE_CMD,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL43,✓,IRSDC_MF-2-2-1_SLAB_VALVE_CMD,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-08T08:03:47-07:00 Los_Angeles,"",10695,2019-03-14T08:59:29-07:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.842-07:00 Los_Angeles,"","",IRSDC_MF-2-2-1_SLAB_VALVE_CMD,✓,AO6,"",✓,"","","","","","",✓,IRSDC_MF-2-2-1_SLAB_VALVE_CMD,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,%,"","",2020-04-09T19:01:56.817Z UTC
@p:ubcv:r:24141523-278cb031 IRSDC Unsorted Points IRSDC_MF-2-3-3_SLAB_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL14,✓,IRSDC_MF-2-3-3_SLAB_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41966,2019-03-05T10:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.817-07:00 Los_Angeles,"","",IRSDC_MF-2-3-3_SLAB_TEMP,✓,AI29,"",✓,"","","","","","",✓,IRSDC_MF-2-3-3_SLAB_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.818Z UTC
@p:ubcv:r:24142068-cea7455c IRSDC Unsorted Points IRSDC_BOILER_HWST_MAX-SP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL72,✓,IRSDC_BOILER_HWST_MAX-SP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41963,2019-03-05T11:15:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.831-07:00 Los_Angeles,"","",IRSDC_BOILER_HWST_MAX-SP,✓,AV2,"",✓,"","","","","","",✓,IRSDC_BOILER_HWST_MAX-SP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.819Z UTC
@p:ubcv:r:24142068-1599ed6d IRSDC Unsorted Points IRSDC_MF-2-4-1_SLAB_VALVE_PID,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL64,✓,IRSDC_MF-2-4-1_SLAB_VALVE_PID,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-02-26T14:11:19-08:00 Los_Angeles,"",19452,2019-03-05T02:27:54-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.31-07:00 Los_Angeles,"","",IRSDC_MF-2-4-1_SLAB_VALVE_PID,✓,AV51,"",✓,"","","","","","",✓,IRSDC_MF-2-4-1_SLAB_VALVE_PID,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,%,"","",2020-04-09T19:01:56.82Z UTC
@p:ubcv:r:24142068-cce32447 IRSDC Unsorted Points IRSDC_MF-2-1-3_SLAB_VALVE_CMD,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL41,✓,IRSDC_MF-2-1-3_SLAB_VALVE_CMD,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T12:02:42-07:00 Los_Angeles,"",13948,2019-03-14T08:59:28-07:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.857-07:00 Los_Angeles,"","",IRSDC_MF-2-1-3_SLAB_VALVE_CMD,✓,AO5,"",✓,"","","","","","",✓,IRSDC_MF-2-1-3_SLAB_VALVE_CMD,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,%,"","",2020-04-09T19:01:56.821Z UTC
