id,air,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,connRef,cur,curConvert,disMacro,entering,enum,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisMode,hisSize,hisStart,hisStatus,hot,kind,lastSynced,lastTagged,leaving,navName,noTagMatch,objectId,outside,point,pointType,power,primaryLoop,scheduleOcc,sensor,shortName,siemens,siemensName,siteRef,temp,tz,unit,unknownConn,water,mod
@p:ubcv:r:24142068-45cff367 IRSDC Unsorted Points IRSDC_MF-2-4-2_SLAB_VALVE_CMD,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL65,✓,IRSDC_MF-2-4-2_SLAB_VALVE_CMD,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T12:02:42-07:00 Los_Angeles,"",26799,2019-03-06T02:21:31-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.811-07:00 Los_Angeles,"","",IRSDC_MF-2-4-2_SLAB_VALVE_CMD,✓,AO17,"",✓,"","","","","","",✓,IRSDC_MF-2-4-2_SLAB_VALVE_CMD,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,%,"","",2020-04-09T19:01:56.792Z UTC
@p:ubcv:r:2466082d-b5114ea4 IRSDC Unsorted Points IRSDC_AHU-01_EXHAUST_FAN_PROOF,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL83,✓,IRSDC_AHU-01_EXHAUST_FAN_PROOF,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","OFF,ON",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",35952,2019-05-06T15:44:59-07:00 Los_Angeles,ok,"",Bool,2020-05-12T14:53:07.591-07:00 Los_Angeles,"","",IRSDC_AHU-01_EXHAUST_FAN_PROOF,✓,BV19,"",✓,"","","","","","",✓,IRSDC_AHU-01_EXHAUST_FAN_PROOF,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,"","","",2019-12-03T18:23:12.489Z UTC
@p:ubcv:r:21eac53e-e38b7966 IRSDC Heating Plant $bmsName,"",@p:ubcv:r:ref,"",✓,"",@p:ubcv:r:ref,✓,"",$equipRef $bmsName,"","",@p:ubcv:r:21dffdad-e4d130bf IRSDC Heating Plant,"",@p:ubcv:r:216986d1-d062acf7 IRSDC Hydronic Systems,✓,5kW,10min,"","",cov,"","",ok,✓,Number,"","","",Power,"",AI5,"",✓,"",✓,✓,"",✓,"","","",@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,kW,✓,✓,2020-02-03T20:00:16.51Z UTC
@p:ubcv:r:24141523-228c900d IRSDC Unsorted Points IRSDC_MF-2-3-1_ZONE_AIR_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL30,✓,IRSDC_MF-2-3-1_ZONE_AIR_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41965,2019-03-05T10:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.605-07:00 Los_Angeles,"","",IRSDC_MF-2-3-1_ZONE_AIR_TEMP,✓,AI26,"",✓,"","","","","","",✓,IRSDC_MF-2-3-1_ZONE_AIR_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.793Z UTC
@p:ubcv:r:24142068-778e44c0 IRSDC Unsorted Points IRSDC_MF-2-2-1_SLAB_VALVE_PID,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL44,✓,IRSDC_MF-2-2-1_SLAB_VALVE_PID,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-08T09:27:51-07:00 Los_Angeles,"",11679,2019-03-14T08:59:29-07:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.886-07:00 Los_Angeles,"","",IRSDC_MF-2-2-1_SLAB_VALVE_PID,✓,AV22,"",✓,"","","","","","",✓,IRSDC_MF-2-2-1_SLAB_VALVE_PID,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,%,"","",2020-04-09T19:01:56.794Z UTC
@p:ubcv:r:2466082d-fd92c890 IRSDC Unsorted Points IRSDC_AHU-01_SUPPLY_FAN,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL85,✓,IRSDC_AHU-01_SUPPLY_FAN,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","OFF,ON",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",35952,2019-05-06T15:44:59-07:00 Los_Angeles,ok,"",Bool,2020-05-12T14:53:07.62-07:00 Los_Angeles,"","",IRSDC_AHU-01_SUPPLY_FAN,✓,BO0,"",✓,"","","","","","",✓,IRSDC_AHU-01_SUPPLY_FAN,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,"","","",2019-12-03T18:23:15.134Z UTC
@p:ubcv:r:24141523-d3cf5ec3 IRSDC Unsorted Points IRSDC_OUTDOOR_AIR_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL17,✓,IRSDC_OUTDOOR_AIR_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41966,2019-03-05T10:45:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.635-07:00 Los_Angeles,"","",IRSDC_OUTDOOR_AIR_TEMP,✓,AI35,"",✓,"","","","","","",✓,IRSDC_OUTDOOR_AIR_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.795Z UTC
@p:ubcv:r:21dffdad-87972813 IRSDC Heating Plant $bmsName,"",@p:ubcv:r:ref,"",✓,"",@p:ubcv:r:ref,✓,"",$equipRef $bmsName,"","",@p:ubcv:r:21dffdad-e4d130bf IRSDC Heating Plant,"",@p:ubcv:r:216986d1-d062acf7 IRSDC Hydronic Systems,✓,0.5°C,10min,"","",cov,"","",ok,✓,Number,"","",✓,Leaving Water Temp,"",AI10,"",✓,"","",✓,"",✓,"","","",@p:ubcv:r:20ff880a-94a0b072 IRSDC,✓,Los_Angeles,°C,✓,✓,2020-02-03T20:00:11.676Z UTC
@p:ubcv:r:24142068-545fd066 IRSDC Unsorted Points IRSDC_MF-2-1-2_SLAB_VALVE_PID,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL40,✓,IRSDC_MF-2-1-2_SLAB_VALVE_PID,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T08:01:14-07:00 Los_Angeles,"",20332,2019-03-04T08:13:17-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.372-07:00 Los_Angeles,"","",IRSDC_MF-2-1-2_SLAB_VALVE_PID,✓,AV16,"",✓,"","","","","","",✓,IRSDC_MF-2-1-2_SLAB_VALVE_PID,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,%,"","",2020-04-09T19:01:56.796Z UTC
@p:ubcv:r:21dffdad-3ab27367 IRSDC Heating Plant $bmsName,"",@p:ubcv:r:ref,"",✓,"",@p:ubcv:r:ref,✓,"",$equipRef $bmsName,✓,"",@p:ubcv:r:21dffdad-e4d130bf IRSDC Heating Plant,"",@p:ubcv:r:216986d1-d062acf7 IRSDC Hydronic Systems,✓,0.5°C,10min,"","",cov,"","",ok,✓,Number,"","","",Entering Water Temp,"",AI9,"",✓,"","",✓,"",✓,"","","",@p:ubcv:r:20ff880a-94a0b072 IRSDC,✓,Los_Angeles,°C,✓,✓,2020-02-03T20:00:20.604Z UTC
@p:ubcv:r:24142068-3ef36cac IRSDC Unsorted Points IRSDC_MF-2-2-6_SLAB_VALVE_CMD,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL55,✓,IRSDC_MF-2-2-6_SLAB_VALVE_CMD,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T12:02:42-07:00 Los_Angeles,"",17352,2019-03-05T06:38:06-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.826-07:00 Los_Angeles,"","",IRSDC_MF-2-2-6_SLAB_VALVE_CMD,✓,AO11,"",✓,"","","","","","",✓,IRSDC_MF-2-2-6_SLAB_VALVE_CMD,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,%,"","",2020-04-09T19:01:56.797Z UTC
@p:ubcv:r:2414217e-32bf1a7a IRSDC Unsorted Points IRSDC_AHU-01_EXHAUST_FAN,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL78,✓,IRSDC_AHU-01_EXHAUST_FAN,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","OFF,ON",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T00:00:00-07:00 Los_Angeles,"",883,2019-03-04T20:59:59-08:00 Los_Angeles,ok,"",Bool,2020-05-12T14:53:06.618-07:00 Los_Angeles,"","",IRSDC_AHU-01_EXHAUST_FAN,✓,BO4,"",✓,"","","","","",IRSDC_AHU-01_EXHAUST_FAN,✓,IRSDC_AHU-01_EXHAUST_FAN,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,"","","",2019-12-03T18:23:14.04Z UTC
@p:ubcv:r:24142068-795edb4e IRSDC Unsorted Points IRSDC_MF-2-1-3_SLAB_VALVE_PID,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL42,✓,IRSDC_MF-2-1-3_SLAB_VALVE_PID,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T08:20:06-07:00 Los_Angeles,"",13582,2019-03-14T08:59:28-07:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.456-07:00 Los_Angeles,"","",IRSDC_MF-2-1-3_SLAB_VALVE_PID,✓,AV19,"",✓,"","","","","","",✓,IRSDC_MF-2-1-3_SLAB_VALVE_PID,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,%,"","",2020-04-09T19:01:56.798Z UTC
