id,ancillaryImport,disMacro,elec,energy,equipRef,gas,groupRef,his,hisEnd,hisMode,hisSize,hisStart,kind,navName,point,sensor,siteRef,tz,unit,mod
@p:ubcv:r:2527d649-005f68a4 Thunderbird Residence - A Elec Main Meter Energy,✓,$equipRef $navName,✓,✓,@p:ubcv:r:2527d649-3fa86bb2 Thunderbird Residence - A Elec Main Meter,"",@p:ubcv:r:2527d649-3236495e Thunderbird Residence - A Utilities,✓,2020-01-01T00:00:00-08:00 Los_Angeles,consumption,201700,2014-04-01T00:00:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:24b8e8e3-203e83fc Thunderbird Residence - A,Los_Angeles,kWh,2020-04-28T00:03:36.122Z UTC
@p:ubcv:r:252a61de-ead9d0b0 Thunderbird Residence - A Gas Main Meter Energy,✓,$equipRef $navName,"",✓,@p:ubcv:r:2527d65e-6c12ff4d Thunderbird Residence - A Gas Main Meter,✓,@p:ubcv:r:2527d649-3236495e Thunderbird Residence - A Utilities,✓,2020-01-01T00:00:00-08:00 Los_Angeles,consumption,201700,2014-04-01T00:15:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:24b8e8e3-203e83fc Thunderbird Residence - A,Los_Angeles,GJ,2020-04-28T00:03:35.671Z UTC
