id,ancillaryImport,disMacro,elec,energy,equipRef,gas,groupRef,his,hisEnd,hisMode,hisSize,hisStart,kind,navName,point,sensor,siteRef,tz,unit,mod
@p:ubcv:r:252a61e0-4863a74b Thunderbird Residence - C Gas Main Meter Energy,✓,$equipRef $navName,"",✓,@p:ubcv:r:250ecf08-02ba8519 Thunderbird Residence - C Gas Main Meter,✓,@p:ubcv:r:250ecf08-2a3e86ac Thunderbird Residence - C Utilities,✓,2020-01-01T00:00:00-08:00 Los_Angeles,consumption,201700,2014-04-01T00:15:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:250d1fff-e17681b0 Thunderbird Residence - C,Los_Angeles,GJ,2020-04-28T00:03:35.595Z UTC
@p:ubcv:r:250ecf08-33c88439 Thunderbird Residence - C Elec Main Meter Energy,✓,$equipRef $navName,✓,✓,@p:ubcv:r:250ecf08-34fd5d15 Thunderbird Residence - C Elec Main Meter,"",@p:ubcv:r:250ecf08-2a3e86ac Thunderbird Residence - C Utilities,✓,2020-01-01T00:00:00-08:00 Los_Angeles,consumption,201700,2014-04-01T00:00:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:250d1fff-e17681b0 Thunderbird Residence - C,Los_Angeles,kWh,2020-04-28T00:03:36.121Z UTC
